telemetry_step,train_epoch,update_epoch,minibatch_id,final_critic_backbone_delta_norm,backbone_active_count,backbone_clipped_active_count,backbone_clipped_active_fraction,backbone_active_preconditioner_mean,backbone_active_preconditioner_p95,backbone_active_preconditioner_p99,backbone_active_preconditioner_max,backbone_active_preconditioner_mean_after_clip,backbone_active_preconditioner_p95_after_clip,backbone_active_preconditioner_p99_after_clip,backbone_active_preconditioner_max_after_clip,backbone_soft_geometry_scale_factor_mean,backbone_soft_geometry_scale_factor_min,backbone_soft_geometry_trigger_active_fraction,backbone_soft_geometry_overflow_stat_mean
0,0,0,0,0.10624106784113699,76800,41401,0.5390755208333333,499769.0625,804778.5,11503236.979999037,99157224.0,7635.2685546875,11168.68041992188,55706.78687499942,56718696.0,1.0,1.0,0.0,0.0
1,0,0,1,0.08334090545432479,76800,38399,0.4999869791666667,331353.125,506142.875,8972460.0,98208640.0,2898.764892578125,6482.037939453134,15913.494423828053,1453996.5,1.0,1.0,0.0,0.0
2,0,0,2,0.0742411936097706,76800,36515,0.4754557291666667,274566.8125,465707.53125,7477414.5,66171464.0,2558.525634765625,5305.116455078125,10913.191201171825,118805.8203125,1.0,1.0,0.0,0.0
3,0,0,3,0.06687617321617959,76800,35223,0.4586328125,260682.90625,446185.65625,7384283.5,55828192.0,2442.096923828125,4833.711572265625,8770.522021484343,84702.3203125,1.0,1.0,0.0,0.0
4,0,0,4,0.06317131730953494,76800,35144,0.45760416666666665,253152.421875,431785.5,7143602.0,56668932.0,2406.234375,4638.972998046876,7908.108583984366,36997.9921875,1.0,1.0,0.0,0.0
5,0,0,5,0.06054882723469707,76800,34126,0.4443489583333333,249177.84375,424893.96875,6954266.0,58417872.0,2361.520751953125,4472.887817382817,7189.480258789057,34409.5078125,1.0,1.0,0.0,0.0
6,0,0,6,0.05842790668073571,76800,29977,0.39032552083333333,245496.75,428722.21875,6678883.099999961,57130992.0,2242.63818359375,4130.509960937502,6459.651655273409,26436.853515625,1.0,1.0,0.0,0.0
7,0,1,7,0.05828998682001177,76800,30287,0.39436197916666665,241005.578125,421963.8125,6512705.0,56177028.0,2245.14208984375,4097.439526367188,6337.921386718741,23585.0390625,1.0,1.0,0.0,0.0
8,0,1,8,0.057923266082027344,76800,30726,0.400078125,239462.265625,415286.34375,6628034.0,56364728.0,2251.3818359375,4089.8971923828126,6194.336772460932,23593.90625,1.0,1.0,0.0,0.0
9,0,1,9,0.056591931485585244,76800,30496,0.39708333333333334,234646.3125,421382.9375,6609956.5,51250492.0,2242.78857421875,4027.0003295898446,6056.738056640621,20842.443359375,1.0,1.0,0.0,0.0
