block_index,block_start,block_stop_exclusive,block_size,block_semantic,policy_surrogate_mode,block_value_score_mean,block_value_score_std,block_value_score_max,block_value_score_min,block_value_scale_mean,block_value_scale_std,block_value_scale_max,block_value_scale_min,block_clip_fraction,per_block_selected_action_prob_gain_mean,per_block_selected_action_prob_gain_std,epoch
0,0,3,3,dispatch_decision_block,hierarchical_actor_joint_reward_aligned_credit,0.1623079627752304,0.06890056282281876,0.3236865699291229,-0.18852564692497253,1.0,0.0,1.0,1.0,0.5399999618530273,-0.11255356669425964,0.5648417472839355,0
1,3,6,3,dispatch_decision_block,hierarchical_actor_joint_reward_aligned_credit,-0.006370555143803358,0.1027233898639679,0.29512763023376465,-0.21699349582195282,1.0,0.0,1.0,1.0,0.07000000029802322,-0.10611862689256668,0.37987375259399414,0
2,6,9,3,dispatch_decision_block,hierarchical_actor_joint_reward_aligned_credit,0.38443705439567566,0.09152191877365112,0.5514106750488281,-0.4692702889442444,1.0,0.0,1.0,1.0,0.949999988079071,-0.22640302777290344,0.4804902970790863,0
3,9,12,3,dispatch_decision_block,hierarchical_actor_joint_reward_aligned_credit,0.13663604855537415,0.13491420447826385,0.5412769913673401,-0.21199113130569458,1.0,0.0,1.0,1.0,0.25999999046325684,-0.11502508074045181,0.5440654754638672,0
4,12,15,3,dispatch_decision_block,hierarchical_actor_joint_reward_aligned_credit,-0.27122944593429565,0.10227896273136139,0.28190818428993225,-0.5239191651344299,1.0,0.0,1.0,1.0,0.2149999886751175,-0.09032528847455978,0.42614978551864624,0
5,15,18,3,dispatch_decision_block,hierarchical_actor_joint_reward_aligned_credit,0.5062382817268372,0.1321628838777542,0.7393369078636169,-0.2927679419517517,1.0,0.0,1.0,1.0,0.949999988079071,-0.1887541115283966,0.7317352294921875,0
6,18,21,3,dispatch_decision_block,hierarchical_actor_joint_reward_aligned_credit,0.22785472869873047,0.09262725710868835,0.456338495016098,-0.15549974143505096,1.0,0.0,1.0,1.0,0.29999998211860657,-0.16083690524101257,0.4323427081108093,0
7,21,24,3,dispatch_decision_block,hierarchical_actor_joint_reward_aligned_credit,-0.15030480921268463,0.10190624743700027,0.4785153269767761,-0.5334746837615967,1.0,0.0,1.0,1.0,0.29999998211860657,-0.09175318479537964,0.5152096748352051,0
8,24,27,3,dispatch_decision_block,hierarchical_actor_joint_reward_aligned_credit,-0.0442340113222599,0.06199042499065399,0.2215138077735901,-0.1654391884803772,1.0,0.0,1.0,1.0,0.949999988079071,-0.19523955881595612,0.5178582072257996,0
9,27,30,3,dispatch_decision_block,hierarchical_actor_joint_reward_aligned_credit,0.10850869864225388,0.0896759182214737,0.35706627368927,-0.4298308193683624,1.0,0.0,1.0,1.0,0.5949999690055847,-0.14315558969974518,0.675007164478302,0
10,30,33,3,dispatch_decision_block,hierarchical_actor_joint_reward_aligned_credit,0.09850624948740005,0.04896891862154007,0.21409842371940613,-0.0742751806974411,1.0,0.0,1.0,1.0,0.044999998062849045,-0.09156367927789688,0.395657479763031,0
11,33,36,3,dispatch_decision_block,hierarchical_actor_joint_reward_aligned_credit,0.055796246975660324,0.06693440675735474,0.2119845449924469,-0.349881649017334,1.0,0.0,1.0,1.0,0.8949999809265137,-0.11838182806968689,0.7425848841667175,0
