epoch,policy_surrogate_mode,actor_structure_mode,theta_ratio_mean,theta_ratio_std,theta_ratio_max,route_ratio_mean,route_ratio_std,route_ratio_max,offload_active_fraction,route_logprob_active_fraction,theta_positive_fraction,route_credit_gate_fraction,route_credit_effective_fraction,route_credit_effective_count,route_credit_weight_mean,route_credit_weight_std,route_credit_weight_min,route_credit_weight_max,theta_candidate_score_mean,theta_candidate_score_std,theta_selected_score_mean,theta_expected_score_mean,theta_residual_credit_mean,theta_residual_credit_std,theta_residual_credit_min,theta_residual_credit_max,route_candidate_score_mean,route_candidate_score_std,route_residual_credit_mean,route_residual_credit_std,route_residual_credit_min,route_residual_credit_max,route_expected_score_mean,route_selected_score_mean,route_decision_agreement_ratio,actual_bs1_rate_when_route_true_gap_positive,actual_bs1_rate_when_route_true_gap_negative,route_score_vector_mean_abs,route_score_vector_std,route_credit_fallback_trigger_count,route_credit_fallback_rate,theta_old_logprob_mean,theta_new_logprob_mean,route_old_logprob_mean,route_new_logprob_mean,joint_old_logprob_mean,joint_new_logprob_mean,joint_ratio_mean,joint_approx_kl,joint_clip_fraction,joint_selected_score_mean,joint_expected_score_mean,joint_residual_credit_mean,joint_residual_credit_std,joint_residual_credit_min,joint_residual_credit_max,joint_action_decision_agreement_ratio_under_reward_aligned,actual_local_rate_when_reward_aligned_best_is_local,actual_bs1_rate_when_reward_aligned_best_is_bs1,actual_bs2_rate_when_reward_aligned_best_is_bs2,offload_decision_agreement_ratio,actual_offload_rate_when_theta_true_gap_positive,actual_offload_rate_when_theta_true_gap_negative,theta_approx_kl,route_approx_kl,theta_clip_fraction,route_clip_fraction,conditional_policy_consistency_score,theta_only_step_kl,route_only_step_kl,theta_kl_target,route_kl_target,theta_early_stop_count,route_early_stop_count,coupled_stop_trigger_count,coupled_stop_blocked_by_theta_floor_count,coupled_stop_blocked_by_severity_gate_count,coupled_stop_min_theta_updates_per_epoch,coupled_stop_severity_factor,coupled_stop_severity_freeze_kl_threshold,route_update_cap_trigger_count,route_update_cap_per_epoch,route_alignment_gate_threshold,route_alignment_gate_accept_count,route_alignment_gate_reject_count,route_alignment_gate_reject_rate,route_alignment_gate_score_mean,route_step_alignment_mean,route_step_alignment_min,route_step_alignment_max,route_step_accept_count,route_step_reject_count,route_step_accept_rate,route_step_reject_rate,theta_update_count,route_update_count,route_mask_mean,route_mask_active_fraction,route_mask_threshold,route_confident_mask_margin
0,hierarchical_actor_joint_reward_aligned_credit,hierarchical_actor_separate_theta_route_backbones,0.9920487999916077,0.19127725064754486,1.3057135343551636,0.9960873126983643,0.058451320976018906,1.284312129020691,0.5200000405311584,0.5200000405311584,0.49791666865348816,0.49791666865348816,0.5200000405311584,2496.0,1.0,0.0,1.0,1.0,3.526608338688675e-09,0.9974840879440308,-0.037916149944067,-0.009849194437265396,-0.028066953644156456,0.9892458319664001,-1.1006733179092407,1.1341043710708618,-1.3452834934923885e-07,0.9962119460105896,-0.05674180015921593,0.9817676544189453,-1.1532373428344727,1.1611838340759277,-0.01094769686460495,-0.06768949329853058,0.4655448794364929,0.5123239159584045,0.5733432769775391,0.994598925113678,0.997096598148346,0,0.0,-0.6852500438690186,-0.7120277881622314,-0.6802253723144531,-0.6859182119369507,-1.038967251777649,-1.0687053203582764,0.990068256855011,0.029737981036305428,0.5404166579246521,0.10093452036380768,0.11906865984201431,-0.018134143203496933,1.0276806354522705,-1.6829732656478882,1.6541039943695068,0.40270835161209106,0.4762054681777954,0.27450981736183167,0.2475356012582779,0.48000001907348633,0.5,0.5190615653991699,0.026777712628245354,0.0056928303092718124,0.4937500059604645,0.012419871985912323,0.5025422871112823,0.0003895295374702203,0.00029836277588921284,0.03,0.015,0,0,0,0,0,0,1.0,0.015,0,0,0.0,70,0,0.0,8.008809074583821e-05,8.008809074583821e-05,-0.0014428526628762484,0.0022003573831170797,70,0,1.0,0.0,70,70,0.5200000405311584,0.5200000405311584,0.5,0.0
1,hierarchical_actor_joint_reward_aligned_credit,hierarchical_actor_separate_theta_route_backbones,1.0225082635879517,0.23946551978588104,1.6487778425216675,1.0073013305664062,0.153644397854805,1.6788617372512817,0.48854169249534607,0.48854169249534607,0.5070833563804626,0.5070833563804626,0.48854169249534607,2345.0,1.0,0.0,1.0,1.0,5.140900594113873e-09,0.9974855184555054,0.026249371469020844,0.0022192017640918493,0.0240301713347435,0.9389883875846863,-1.2967309951782227,1.4256024360656738,1.8033517790172482e-06,0.9960639476776123,-0.02305375412106514,0.9542416930198669,-1.3563380241394043,1.33017098903656,-0.023849446326494217,-0.046903204172849655,0.4776119291782379,0.5124324560165405,0.5473984479904175,0.9947172403335571,0.997214138507843,0,0.0,-0.6353312134742737,-0.6433292031288147,-0.6513941287994385,-0.6561020612716675,-0.953564465045929,-0.9638622999191284,1.0305652618408203,0.010297936387360096,0.7102083563804626,0.2732333242893219,0.18044164776802063,0.09279166162014008,0.9670129418373108,-1.8200383186340332,1.7493982315063477,0.46854168176651,0.5576624274253845,0.34812286496162415,0.2517552673816681,0.5120833516120911,1.0,0.4871150255203247,0.007997932843863964,0.004707896616309881,0.5589583516120911,0.19402983784675598,0.5395379960536957,0.0001428299186881889,0.0004310055147600776,0.03,0.015,0,0,0,0,0,0,1.0,0.015,0,0,0.0,70,0,0.0,6.762612392776645e-05,6.762612392776645e-05,-0.004262979608029127,0.0032583880238234997,70,0,1.0,0.0,70,70,0.48854169249534607,0.48854169249534607,0.5,0.0
2,hierarchical_actor_joint_reward_aligned_credit,hierarchical_actor_separate_theta_route_backbones,1.0519737005233765,0.2151850014925003,1.68822181224823,1.026394009590149,0.17110346257686615,1.5610134601593018,0.43958333134651184,0.43958333134651184,0.5077083706855774,0.5077083706855774,0.43958333134651184,2110.0,1.0,0.0,1.0,1.0,2.0364920860771463e-09,0.9974833130836487,0.11999794095754623,0.0424388088285923,0.07755912840366364,0.837427020072937,-1.3740814924240112,1.4538016319274902,-2.1052304077784356e-07,0.9965865015983582,-0.01960914395749569,0.9066160917282104,-1.5444731712341309,1.550398588180542,-0.02911500632762909,-0.04872415214776993,0.47535544633865356,0.4571428596973419,0.5073937177658081,0.994663417339325,0.9971611499786377,0,0.0,-0.5420448184013367,-0.5154098868370056,-0.6033399701118469,-0.5920957326889038,-0.8072630763053894,-0.7756853103637695,1.0669382810592651,-0.03157779946923256,0.6243749856948853,0.49754080176353455,0.27562347054481506,0.2219172716140747,0.8453090190887451,-1.8559341430664062,1.6544528007507324,0.5752083659172058,0.6644498109817505,0.38995566964149475,0.366871178150177,0.5597916841506958,0.3333333432674408,0.4392699599266052,-0.026634983718395233,-0.01124432310461998,0.46291667222976685,0.24834123253822327,0.5987337827682495,-0.0004097476869251945,-0.001077571891021632,0.03,0.015,0,0,0,0,0,0,1.0,0.015,0,0,0.0,70,0,0.0,-0.00011672938007905032,-0.00011672938007905032,-0.007634105160832405,0.004769669845700264,70,0,1.0,0.0,70,70,0.43958333134651184,0.43958333134651184,0.5,0.0
3,hierarchical_actor_joint_reward_aligned_credit,hierarchical_actor_separate_theta_route_backbones,1.0494236946105957,0.20471271872520447,1.7410821914672852,1.0643362998962402,0.19659969210624695,1.7881358861923218,0.3866666853427887,0.3866666853427887,0.5164583325386047,0.5164583325386047,0.3866666853427887,1856.0,1.0,0.0,1.0,1.0,1.9818545027305845e-08,0.9974778294563293,0.22249354422092438,0.09927796572446823,0.12321560084819794,0.7462807297706604,-1.4127564430236816,1.3925094604492188,3.908825192411314e-07,0.9965283870697021,-0.09009896963834763,0.8200636506080627,-1.498151183128357,1.4372481107711792,-0.06285428255796432,-0.15295325219631195,0.42241379618644714,0.4323040544986725,0.5848303437232971,0.9946979284286499,0.997195303440094,0,0.0,-0.46476033329963684,-0.438414990901947,-0.5235614776611328,-0.48035213351249695,-0.6672041416168213,-0.6241512298583984,1.0759352445602417,-0.04305296763777733,0.527916669845581,0.5959648489952087,0.3465611934661865,0.24940364062786102,0.7378327250480652,-1.8708226680755615,1.858980655670166,0.6183333396911621,0.7449139356613159,0.36538460850715637,0.3670613467693329,0.6112500429153442,0.3684210479259491,0.3862389326095581,-0.026345353573560715,-0.04320934787392616,0.3804166615009308,0.3184267282485962,0.6610886752605438,-0.0006615974964786021,-0.003043498267236698,0.03,0.015,0,0,0,0,0,0,1.0,0.015,0,0,0.0,70,0,0.0,0.00018058889798859516,0.00018058889798859516,-0.0017290360992774367,0.004268750082701445,70,0,1.0,0.0,70,70,0.3866666853427887,0.3866666853427887,0.5,0.0
4,hierarchical_actor_joint_reward_aligned_credit,hierarchical_actor_separate_theta_route_backbones,1.0486351251602173,0.16368992626667023,1.752092719078064,1.0933047533035278,0.200961634516716,2.108818531036377,0.2979166805744171,0.2979166805744171,0.5291666984558105,0.5291666984558105,0.2979166805744171,1430.0,1.0,0.0,1.0,1.0,4.929801011854806e-09,0.9974514842033386,0.3570667803287506,0.20901641249656677,0.14805038273334503,0.6358091831207275,-1.465135097503662,1.3873872756958008,-1.9365258197012736e-07,0.997061550617218,-0.02934074215590954,0.6931149363517761,-1.5917677879333496,1.5900633335113525,-0.10632815212011337,-0.13566888868808746,0.4321678578853607,0.41470590233802795,0.5525606274604797,0.9947768449783325,0.9972735643386841,0,0.0,-0.37417837977409363,-0.3408837914466858,-0.400954008102417,-0.33211228251457214,-0.49362921714782715,-0.43982556462287903,1.0776900053024292,-0.05380365997552872,0.3504166603088379,0.6977146863937378,0.44460684061050415,0.25310784578323364,0.5949630737304688,-1.80430269241333,1.8881194591522217,0.671875,0.8729729652404785,0.3771234452724457,0.3218390643596649,0.6793749928474426,0.23152709007263184,0.3006778955459595,-0.033294569700956345,-0.06884169578552246,0.22958333790302277,0.3440559506416321,0.7462830543518066,-0.0007478213795755956,-0.004884338835498576,0.03,0.015,0,0,0,0,0,0,1.0,0.015,0,0,0.0,70,0,0.0,0.0003590056163375266,0.0003590056163375266,-0.00588205736130476,0.01723133586347103,70,0,1.0,0.0,70,70,0.2979166805744171,0.2979166805744171,0.5,0.0
5,hierarchical_actor_joint_reward_aligned_credit,hierarchical_actor_separate_theta_route_backbones,1.023659586906433,0.1306169331073761,2.0876388549804688,1.070926547050476,0.2081160694360733,2.211470365524292,0.26208335161209106,0.26208335161209106,0.5268750190734863,0.5268750190734863,0.26208335161209106,1258.0,1.0,0.0,1.0,1.0,-1.0728836485895954e-07,0.9973719716072083,0.29367148876190186,0.2006092220544815,0.09306228905916214,0.5641555190086365,-1.440100908279419,1.36146879196167,-3.889463755513134e-07,0.9979032278060913,-0.031236419454216957,0.5906822085380554,-1.4353357553482056,1.5532147884368896,-0.14442099630832672,-0.17565742135047913,0.4125596284866333,0.3968871533870697,0.5778078436851501,0.9940995573997498,0.9966429471969604,0,0.0,-0.3011437654495239,-0.28661149740219116,-0.30738577246665955,-0.26372483372688293,-0.3817044198513031,-0.3557293713092804,1.044234037399292,-0.0259750634431839,0.25083333253860474,0.6797758936882019,0.47438812255859375,0.20538783073425293,0.5115371942520142,-1.7614012956619263,1.7566876411437988,0.6600000262260437,0.9228237271308899,0.34200742840766907,0.29308974742889404,0.6483333706855774,0.10037174820899963,0.28291645646095276,-0.014532259665429592,-0.04366093873977661,0.14104166626930237,0.28616851568222046,0.789934515953064,-0.0003807024418555167,-0.0037561369842088813,0.03,0.015,0,0,0,0,0,0,1.0,0.015,0,0,0.0,70,0,0.0,0.0003687730202467979,0.0003687730202467979,-0.02284839190542698,0.03504159301519394,70,0,1.0,0.0,70,70,0.26208335161209106,0.26208335161209106,0.5,0.0
6,hierarchical_actor_joint_reward_aligned_credit,hierarchical_actor_separate_theta_route_backbones,1.0194239616394043,0.12233052402734756,1.5752005577087402,1.0458474159240723,0.18854767084121704,2.1121418476104736,0.2691666781902313,0.2691666781902313,0.5329166650772095,0.5329166650772095,0.2691666781902313,1292.0,1.0,0.0,1.0,1.0,2.182895997293599e-07,0.9972901940345764,0.2434772104024887,0.17461411654949188,0.06886310130357742,0.5386240482330322,-1.338338851928711,1.3910266160964966,1.7069440971795302e-08,0.9976274967193604,-0.03899335488677025,0.5268265008926392,-1.5349724292755127,1.5428427457809448,-0.14056846499443054,-0.1795618236064911,0.41021671891212463,0.38738739490509033,0.5731874108314514,0.9941520690917969,0.9966616034507751,0,0.0,-0.27694523334503174,-0.26545456051826477,-0.25083109736442566,-0.22602735459804535,-0.3444606065750122,-0.32629355788230896,1.0332512855529785,-0.018167048692703247,0.22312501072883606,0.6851809024810791,0.5068774819374084,0.17830340564250946,0.4843903183937073,-1.91548490524292,1.6645872592926025,0.6677083373069763,0.924064576625824,0.34950387477874756,0.31619536876678467,0.6229166984558105,0.09531249850988388,0.2961798906326294,-0.011490709148347378,-0.024803737178444862,0.132708340883255,0.22523219883441925,0.811524361371994,-0.00038112172138166247,-0.0025744115924551027,0.03,0.015,0,0,0,0,0,0,1.0,0.015,0,0,0.0,70,0,0.0,-0.0003017846647578283,-0.0003017846647578283,-0.012117546051740646,0.009337241761386395,70,0,1.0,0.0,70,70,0.2691666781902313,0.2691666781902313,0.5,0.0
7,hierarchical_actor_joint_reward_aligned_credit,hierarchical_actor_separate_theta_route_backbones,1.0194170475006104,0.1151849776506424,1.6261903047561646,1.0521296262741089,0.2000255286693573,3.2563538551330566,0.2516666650772095,0.2516666650772095,0.5414583683013916,0.5414583683013916,0.2516666650772095,1208.0,1.0,0.0,1.0,1.0,1.406048824037498e-07,0.9974116683006287,0.24248000979423523,0.16471658647060394,0.07776344567537308,0.5096285343170166,-1.3923031091690063,1.4564735889434814,-8.536095386091347e-09,0.9978989958763123,-0.02817077748477459,0.44316914677619934,-1.4849255084991455,1.5045974254608154,-0.1911953240633011,-0.21936611831188202,0.3907284736633301,0.3243243396282196,0.5466448664665222,0.9944378733634949,0.9969398975372314,0,0.0,-0.2556997835636139,-0.24330304563045502,-0.1872464418411255,-0.15457949042320251,-0.3028234541416168,-0.2822055518627167,1.0335888862609863,-0.020617902278900146,0.18916666507720947,0.7375960946083069,0.5576684474945068,0.17992767691612244,0.43949735164642334,-1.724644660949707,1.7275922298431396,0.6924999952316284,0.9452303051948547,0.31649190187454224,0.38832995295524597,0.6227083206176758,0.10066225379705429,0.2802785336971283,-0.012396719306707382,-0.032666951417922974,0.11520833522081375,0.1986754983663559,0.8435947299003601,-0.00040427548951161695,-0.0022286068556695683,0.03,0.015,0,0,0,0,0,0,1.0,0.015,0,0,0.0,70,0,0.0,-0.000493203435324371,-0.000493203435324371,-0.012515995651483536,0.006871736142784357,70,0,1.0,0.0,70,70,0.2516666650772095,0.2516666650772095,0.5,0.0
8,hierarchical_actor_joint_reward_aligned_credit,hierarchical_actor_separate_theta_route_backbones,1.0190566778182983,0.11443962156772614,1.6302180290222168,1.0305064916610718,0.20231656730175018,2.5417306423187256,0.26125001907348633,0.26125001907348633,0.550208330154419,0.550208330154419,0.26125001907348633,1254.0,1.0,0.0,1.0,1.0,-3.9106237181840697e-07,0.9973370432853699,0.22450846433639526,0.16484788060188293,0.05966060608625412,0.4944511651992798,-1.414610743522644,1.3661555051803589,6.811280428564714e-08,0.9975718259811401,-0.04094745218753815,0.4138149321079254,-1.47144615650177,1.4690680503845215,-0.23975051939487457,-0.2806979715824127,0.359649121761322,0.3309481143951416,0.6182873845100403,0.9943929314613342,0.9968920350074768,0,0.0,-0.2417534440755844,-0.22959791123867035,-0.1689722090959549,-0.16305327415466309,-0.285897433757782,-0.27219560742378235,1.027977466583252,-0.01370182354003191,0.18312500417232513,0.7304409742355347,0.5652441382408142,0.16519679129123688,0.41068193316459656,-1.820927619934082,1.6307830810546875,0.6852083206176758,0.9454212784767151,0.33435583114624023,0.34890109300613403,0.6135416626930237,0.09664429724216461,0.2917390465736389,-0.012155505828559399,-0.005918919574469328,0.11520833522081375,0.1850079745054245,0.8487200140953064,-0.00033007729273647,-0.0011148714506833,0.03,0.015,0,0,0,0,0,0,1.0,0.015,0,0,0.0,70,0,0.0,0.00040521113534331175,0.00040521113534331175,-0.008896653540432453,0.01857367530465126,70,0,1.0,0.0,70,70,0.26125001907348633,0.26125001907348633,0.5,0.0
9,hierarchical_actor_joint_reward_aligned_credit,hierarchical_actor_separate_theta_route_backbones,1.0272458791732788,0.13009867072105408,1.963306188583374,1.0282715559005737,0.15893010795116425,2.227207899093628,0.26250001788139343,0.26250001788139343,0.5479166507720947,0.5479166507720947,0.26250001788139343,1260.0,1.0,0.0,1.0,1.0,-1.0878593457164243e-06,0.9973394274711609,0.25169840455055237,0.1795659363269806,0.07213246822357178,0.4789349138736725,-1.360971212387085,1.4933842420578003,-2.1408001771305862e-07,0.9983316659927368,-0.04143824428319931,0.3943730890750885,-1.3861403465270996,1.4312652349472046,-0.2744196355342865,-0.3158579170703888,0.3420634865760803,0.3010563254356384,0.625,0.9945544600486755,0.9970519542694092,0,0.0,-0.23483780026435852,-0.21666647493839264,-0.15461495518684387,-0.14062193036079407,-0.27542421221733093,-0.253579705953598,1.0356026887893677,-0.02184448204934597,0.19062501192092896,0.7743194699287415,0.6076348423957825,0.16668467223644257,0.3913232684135437,-1.7574046850204468,1.631500005722046,0.7050000429153442,0.9283241033554077,0.36235037446022034,0.3726082444190979,0.6274999976158142,0.11739131063222885,0.28756728768348694,-0.018171312287449837,-0.013993030413985252,0.13458333909511566,0.1428571492433548,0.859992504119873,-0.0005601306284786136,-0.001960773516241586,0.03,0.015,0,0,0,0,0,0,1.0,0.015,0,0,0.0,70,0,0.0,-0.00015412027607908385,-0.00015412027607908385,-0.00910416804254055,0.0027147631626576185,70,0,1.0,0.0,70,70,0.26250001788139343,0.26250001788139343,0.5,0.0
