epoch,theta_advantage_mean,theta_advantage_std,theta_advantage_max,theta_advantage_min,route_advantage_mean,route_advantage_std,route_advantage_max,route_advantage_min,theta_adv_norm_mean,theta_adv_norm_std,route_adv_norm_mean,route_adv_norm_std,route_adv_norm_active_count,route_adv_norm_used_fallback,theta_advantage_alignment,route_advantage_alignment,theta_adv_to_route_delta_alignment,route_adv_to_theta_delta_alignment,theta_alignment_margin_over_cross,route_alignment_margin_over_cross,cross_branch_alignment_mean,theta_selected_action_prob_gain,route_selected_action_prob_gain,theta_negative_adv_prob_gain,route_negative_adv_prob_gain,theta_clip_fraction,route_clip_fraction,theta_ratio_mean,theta_ratio_std,theta_ratio_max,route_ratio_mean,route_ratio_std,route_ratio_max,theta_approx_kl,route_approx_kl,theta_loss_mean,route_loss_mean,theta_route_loss_ratio,theta_head_grad_norm,route_head_grad_norm,theta_backbone_grad_norm,route_backbone_grad_norm,theta_kl_target,route_kl_target,theta_early_stop_count,route_early_stop_count,coupled_stop_trigger_count,coupled_stop_blocked_by_theta_floor_count,coupled_stop_blocked_by_severity_gate_count,coupled_stop_min_theta_updates_per_epoch,coupled_stop_severity_factor,coupled_stop_severity_freeze_kl_threshold,theta_update_count,route_update_count,theta_only_step_kl,route_only_step_kl,theta_only_step_prob_gain,route_only_step_prob_gain,theta_after_route_shift,route_after_theta_shift,theta_route_feature_correlation,theta_route_head_correlation,offload_rate_mean,bs1_vs_bs2_entropy,offload_vs_local_value_gap_mean,offload_vs_local_value_gap_std,bs1_vs_bs2_value_gap_mean,bs1_vs_bs2_value_gap_std
0,-0.0007097836351022124,0.18104276061058044,1.763906478881836,-2.0567924976348877,-0.0018812903435900807,0.16739806532859802,1.5983150005340576,-2.3009815216064453,6.357828929992593e-09,0.9999998211860657,-3.056648489874192e-09,0.9999998807907104,2496.0,0.0,0.03923853859305382,0.027247782796621323,0.0015730935847386718,-0.022954262793064117,0.037665445008315146,0.05020204558968544,-0.010690584604162723,-0.007951227016746998,-0.003912644926458597,-0.019521439447999,-0.004468647763133049,0.4937500059604645,0.012419871985912323,0.9920487999916077,0.19127725064754486,1.3057135343551636,0.9960873126983643,0.058451320976018906,1.284312129020691,0.026777712628245354,0.0056928303092718124,-0.002714733360335231,-0.0014584454474970698,0.5372314453125,0.07262430499963082,0.07720016148763724,0.06976451166130641,0.05584708482188364,0.03,0.015,0,0,0,0,0,0,1.0,0.015,70,70,0.0003895295374702203,0.00029836277588921284,-0.0003402623074821674,-0.00022671427858378073,0.0,0.0002557580406054123,-0.017276642844080925,0.019389180466532707,0.5051203370094299,0.6606904864311218,-0.09817547351121902,0.5747561454772949,0.12020258605480194,0.6997904777526855
1,0.0041376822628080845,0.1856156438589096,1.2904508113861084,-1.2253119945526123,-0.0019099402707070112,0.1507399082183838,1.4520974159240723,-0.9805606007575989,-5.563100202721216e-09,0.9999998807907104,4.0668413081590415e-10,0.9999997615814209,2345.0,0.0,0.018545396625995636,0.0348975770175457,0.005558003671467304,0.0179680734872818,0.012987392954528332,0.0169295035302639,0.011763038579374552,0.02250819280743599,0.007301250472664833,0.01736430637538433,0.003038048977032304,0.5589583516120911,0.19402983784675598,1.0225082635879517,0.23946551978588104,1.6487778425216675,1.0073013305664062,0.153644397854805,1.6788617372512817,0.007997932843863964,0.004707896616309881,0.013477122411131859,0.0009324380662292242,0.06918668001890182,0.06474223037462382,0.08372987108931618,0.08841725160251021,0.09222776524530633,0.03,0.015,0,0,0,0,0,0,1.0,0.015,70,70,0.0001428299186881889,0.0004310055147600776,-9.945523444494191e-05,-0.00032974707029162736,0.0,0.00021121869025851733,0.02168310433626175,0.1101035624742508,0.4981243908405304,0.653459370136261,-0.41584861278533936,1.0992239713668823,0.1324753612279892,0.9721725583076477
2,0.004489378072321415,0.2365160584449768,1.4900089502334595,-1.5834358930587769,0.0004499280476011336,0.205023854970932,1.6581296920776367,-1.616675615310669,-6.357828929992593e-09,0.9999999403953552,4.519783436407465e-10,0.9999998807907104,2110.0,0.0,0.0367618091404438,0.004736348986625671,-0.024611182510852814,-0.03276251256465912,0.061372991651296616,0.03749886155128479,-0.028686847537755966,0.05197370797395706,0.026394136250019073,0.04421702399849892,0.025923551991581917,0.46291667222976685,0.24834123253822327,1.0519737005233765,0.2151850014925003,1.68822181224823,1.026394009590149,0.17110346257686615,1.5610134601593018,-0.026634983718395233,-0.01124432310461998,0.007605215068906546,0.007453149184584618,0.9800037741661072,0.061287492630837916,0.09173196728222661,0.09779602132493183,0.11209525493783565,0.03,0.015,0,0,0,0,0,0,1.0,0.015,70,70,-0.0004097476869251945,-0.001077571891021632,0.0004586299780774945,0.0012163091559939077,0.0,0.00023378493736215335,0.021408267319202423,0.07471045851707458,0.48072734475135803,0.6436811089515686,-0.5161819458007812,1.6982907056808472,-0.004710549023002386,1.3753607273101807
3,0.009337163530290127,0.25482526421546936,1.261016845703125,-1.1428675651550293,0.0013834609417244792,0.22568778693675995,1.2507703304290771,-1.4655799865722656,3.973643192267673e-09,0.9999999403953552,5.138331427012588e-10,0.9999998807907104,1856.0,0.0,0.01938287541270256,0.02419791929423809,-0.012773459777235985,0.03612042963504791,0.032156335189938545,-0.011922510340809822,0.011673484928905964,0.04942358285188675,0.06433630734682083,0.04376443475484848,0.06469161063432693,0.3804166615009308,0.3184267282485962,1.0494236946105957,0.20471271872520447,1.7410821914672852,1.0643362998962402,0.19659969210624695,1.7881358861923218,-0.026345353573560715,-0.04320934787392616,0.008537267334759235,0.009925821796059608,1.162644863128662,0.05486835728540436,0.09274294648089877,0.09867841381098676,0.11870217091279639,0.03,0.015,0,0,0,0,0,0,1.0,0.015,70,70,-0.0006615974964786021,-0.003043498267236698,0.0007190286344017035,0.0032137841611984187,0.0,0.00029105156853412545,0.02706989459693432,0.010962828993797302,0.4497900903224945,0.6210454702377319,-0.7836875319480896,2.222773790359497,-0.0622083805501461,1.8443095684051514
4,0.01509539783000946,0.2360176295042038,1.5649107694625854,-0.9697027206420898,0.003518831916153431,0.21103571355342865,1.1322393417358398,-1.2240285873413086,-8.344650304081824e-09,0.9999999403953552,2.0007153711532055e-09,0.9999999403953552,1430.0,0.0,0.022459950298070908,-0.01670457236468792,0.0060446797870099545,0.02986554056406021,0.016415270511060953,-0.04657011292874813,0.017955110175535083,0.04863504320383072,0.09330473840236664,0.04805658385157585,0.09409112483263016,0.22958333790302277,0.3440559506416321,1.0486351251602173,0.16368992626667023,1.752092719078064,1.0933047533035278,0.200961634516716,2.108818531036377,-0.033294569700956345,-0.06884169578552246,0.006488925777375698,0.0194851066917181,3.0028202533721924,0.05023686608047657,0.09037195904929302,0.08576542415066189,0.13404841085362107,0.03,0.015,0,0,0,0,0,0,1.0,0.015,70,70,-0.0007478213795755956,-0.004884338835498576,0.0008063442837218255,0.0051922659273259345,0.0,0.0002814416683187509,0.02422729693353176,0.05346417427062988,0.386475145816803,0.5816392302513123,-1.1830470561981201,2.8868532180786133,-0.2358834594488144,2.991328001022339
5,0.015552753582596779,0.2603137195110321,2.721698760986328,-1.6996407508850098,0.004880126100033522,0.25438565015792847,2.47998046875,-1.2779998779296875,-1.4305115314527939e-08,0.9999999403953552,-1.1371315000729965e-09,0.9999998807907104,1258.0,0.0,-0.03675493970513344,-0.02407897263765335,-0.023692090064287186,0.03418237343430519,-0.013062849640846252,-0.05826134607195854,0.005245141685009003,0.023659542202949524,0.07092656195163727,0.03037162683904171,0.07137855142354965,0.14104166626930237,0.28616851568222046,1.023659586906433,0.1306169331073761,2.0876388549804688,1.070926547050476,0.2081160694360733,2.211470365524292,-0.014532259665429592,-0.04366093873977661,0.010811321437358856,0.019088422879576683,1.7655940055847168,0.043037096496418036,0.0902090157789056,0.07355627184577002,0.1673039000139926,0.03,0.015,0,0,0,0,0,0,1.0,0.015,70,70,-0.0003807024418555167,-0.0037561369842088813,0.00040927635405491205,0.004830358711914024,0.0,0.00017862372551462612,0.032368727028369904,0.014593692496418953,0.33488571643829346,0.5293914079666138,-1.118741512298584,3.257478713989258,-0.31796544790267944,3.734088659286499
6,0.017775503918528557,0.24141739308834076,1.4217058420181274,-1.1781554222106934,0.006265425123274326,0.26107677817344666,1.8751015663146973,-1.0206491947174072,-3.973643192267673e-09,0.9999999403953552,2.952551980683893e-09,0.9999999403953552,1292.0,0.0,-0.03599569946527481,0.018623504787683487,-0.047458846122026443,-0.024007147178053856,0.011463146656751633,0.04263065196573734,-0.03573299665004015,0.019423985853791237,0.04584734886884689,0.02576698176562786,0.044644441455602646,0.132708340883255,0.22523219883441925,1.0194239616394043,0.12233052402734756,1.5752005577087402,1.0458474159240723,0.18854767084121704,2.1121418476104736,-0.011490709148347378,-0.024803737178444862,0.008296813815832138,0.0099336514249444,1.1972836256027222,0.0402579015420688,0.07582304249712184,0.0721708470768223,0.14382361989293185,0.03,0.015,0,0,0,0,0,0,1.0,0.015,70,70,-0.00038112172138166247,-0.0025744115924551027,0.00040629659199891777,0.00309855526382827,0.0,0.0001466854957210931,0.029900982975959778,0.029241248965263367,0.330559104681015,0.48363983631134033,-1.3540023565292358,3.412184476852417,-0.38134145736694336,4.448596477508545
7,0.0244352575391531,0.24518175423145294,1.465555191040039,-1.1229851245880127,0.005848657339811325,0.28166717290878296,1.6392877101898193,-1.4734015464782715,0.0,0.9999999403953552,0.0,1.0,1208.0,0.0,-0.06447487324476242,-0.05520028620958328,-0.01171103585511446,-0.03633546084165573,-0.05276383738964796,-0.01886482536792755,-0.024023248348385096,0.01941693387925625,0.05212957784533501,0.02744312584400177,0.061966415494680405,0.11520833522081375,0.1986754983663559,1.0194170475006104,0.1151849776506424,1.6261903047561646,1.0521296262741089,0.2000255286693573,3.2563538551330566,-0.012396719306707382,-0.032666951417922974,0.009821781888604164,0.023061037063598633,2.3479459285736084,0.03800562714548376,0.064224782563898,0.06896331141768454,0.12002358027833476,0.03,0.015,0,0,0,0,0,0,1.0,0.015,70,70,-0.00040427548951161695,-0.0022286068556695683,0.0004296478884498356,0.0027011506722504105,0.0,0.00010899615138311803,0.018859555944800377,-0.00650390749797225,0.31941312551498413,0.44555848836898804,-1.785709261894226,3.9422874450683594,-0.35378673672676086,5.156067848205566
8,0.03483003005385399,0.28296753764152527,1.9496177434921265,-1.366343379020691,0.004292876925319433,0.31266170740127563,1.572404146194458,-1.7922275066375732,-2.38418573772492e-09,0.9999999403953552,1.6731128482661006e-08,0.9999998807907104,1254.0,0.0,-0.009376178495585918,0.019860826432704926,0.015873659402132034,-0.0283682681620121,-0.025249837897717953,0.048229094594717026,-0.006247304379940033,0.019056666642427444,0.030506523326039314,0.019787568598985672,0.028067218139767647,0.11520833522081375,0.1850079745054245,1.0190566778182983,0.11443962156772614,1.6302180290222168,1.0305064916610718,0.20231656730175018,2.5417306423187256,-0.012155505828559399,-0.005918919574469328,0.004618230741471052,0.015505253337323666,3.357393980026245,0.03455162789256529,0.06009281849226453,0.06566415159849626,0.12106864502736069,0.03,0.015,0,0,0,0,0,0,1.0,0.015,70,70,-0.00033007729273647,-0.0011148714506833,0.00035546166495805667,0.0017746935451733797,0.0,0.00010472594398639298,0.03256489336490631,0.03844025358557701,0.31708475947380066,0.4256516098976135,-2.3698103427886963,4.128459930419922,-0.27335506677627563,5.160696029663086
9,0.03438373655080795,0.2790350317955017,2.1673920154571533,-1.2809890508651733,0.0021617126185446978,0.3209886848926544,2.558865547180176,-1.885630488395691,-1.1126200405442432e-08,0.9999999403953552,9.83949721700128e-09,1.0,1260.0,0.0,-0.0093770120292902,0.05625603720545769,0.012988288886845112,0.048482462763786316,-0.02236530091613531,0.0077735744416713715,0.030735375825315714,0.027245966717600822,0.028271518647670746,0.026975328102707863,0.0206111092120409,0.13458333909511566,0.1428571492433548,1.0272458791732788,0.13009867072105408,1.963306188583374,1.0282715559005737,0.15893010795116425,2.227207899093628,-0.018171312287449837,-0.013993030413985252,0.006134415045380592,0.0007592534529976547,0.12376929819583893,0.03281490881748954,0.0506196003789664,0.0663953614640008,0.09642672974867599,0.03,0.015,0,0,0,0,0,0,1.0,0.015,70,70,-0.0005601306284786136,-0.001960773516241586,0.0005932829766087317,0.002232234506845998,0.0,0.00010859879756545914,0.018256118521094322,0.035972218960523605,0.3243166506290436,0.4037237763404846,-2.4090874195098877,4.237933158874512,-0.16133789718151093,5.2695441246032715
