epoch,final_critic_backbone_delta_norm,backbone_active_count,backbone_clipped_active_count,backbone_clipped_active_fraction,backbone_active_preconditioner_mean,backbone_active_preconditioner_p95,backbone_active_preconditioner_p99,backbone_active_preconditioner_max,backbone_active_preconditioner_mean_after_clip,backbone_active_preconditioner_p95_after_clip,backbone_active_preconditioner_p99_after_clip,backbone_active_preconditioner_max_after_clip,backbone_soft_geometry_scale_factor_mean,backbone_soft_geometry_scale_factor_min,backbone_soft_geometry_trigger_active_fraction,backbone_soft_geometry_overflow_stat_mean
0,0.042650721854942925,5376000,0,0.0,209305.109375,389610.21875,5777932.0,99157224.0,209305.109375,389610.21875,5777932.0,99157224.0,0.6508937595969067,0.2800455102491723,0.36353652424045974,2.5092894055642723
1,0.030057075849439892,5375969,0,0.0,220304.3125,484999.6875,6093744.5,49761568.0,220304.3125,484999.6875,6093744.5,49761568.0,0.7028349457066404,0.28693970268254243,0.2590837342398507,2.187632062413831
2,0.036562770685761525,5376000,0,0.0,207807.875,532756.5749999951,5805234.5,45053748.0,207807.875,532756.5749999951,5805234.5,45053748.0,0.7668210647492133,0.28767150834629046,0.1789496558053153,1.9385632669462007
3,0.03184196655712543,5376000,0,0.0,189098.265625,500460.4359374967,5283080.5,39387848.0,189098.265625,500460.4359374967,5283080.5,39387848.0,0.7908621118516592,0.2886329600823716,0.11265246397150415,1.845039238535775
4,0.02669851499542968,5376000,0,0.0,186528.328125,510646.6734374977,5265546.809999993,34057092.0,186528.328125,510646.6734374977,5265546.809999993,34057092.0,0.7943297506877509,0.28897728181504817,0.09405863575105156,1.8361825856429428
5,0.028540288147353748,5376000,0,0.0,189637.265625,529577.1874999751,5389579.5,31587954.0,189637.265625,529577.1874999751,5389579.5,31587954.0,0.7981535240171915,0.2886253840129152,0.08237663778875555,1.8272969937118055
6,0.023867890075291966,5376000,0,0.0,188682.625,537576.4562499855,5275037.5,31118524.0,188682.625,537576.4562499855,5275037.5,31118524.0,0.8041140284009487,0.2886796798972466,0.06338918613536017,1.8086258936547799
7,0.02751289805378798,5376000,0,0.0,189773.34375,550038.8468749996,5244891.0,29700576.0,189773.34375,550038.8468749996,5244891.0,29700576.0,0.8033737031856614,0.2876980067624567,0.0631395118843232,1.81775508676712
8,0.02627815263505497,5376000,0,0.0,192133.625,570325.7062499764,5223725.5,29563548.0,192133.625,570325.7062499764,5223725.5,29563548.0,0.8029071989831611,0.28710741185676836,0.06422247979789972,1.8250902338572494
9,0.024557418836547315,5376000,0,0.0,194089.53125,590019.471874997,5246839.5,29032322.0,194089.53125,590019.471874997,5246839.5,29032322.0,0.8027889641479874,0.2864931567008868,0.06309639585337469,1.829045841804457
10,0.02311344419519758,5376000,0,0.0,197327.484375,602738.2687499897,5336824.5,27893626.0,197327.484375,602738.2687499897,5336824.5,27893626.0,0.8020827433802925,0.28511036134853945,0.06273639923227685,1.8414705146347834
11,0.02374198879849076,5376000,0,0.0,200519.671875,625031.5562499558,5356680.5,28142446.0,200519.671875,625031.5562499558,5356680.5,28142446.0,0.8012115075322307,0.285081196278192,0.06632240603544882,1.8470839638081766
