epoch,layer_name,layer_active_count,layer_clipped_active_count,layer_clipped_active_fraction,layer_active_preconditioner_mean,layer_active_preconditioner_p95,layer_active_preconditioner_p99,layer_active_preconditioner_max,layer_active_preconditioner_mean_after_clip,layer_active_preconditioner_p95_after_clip,layer_active_preconditioner_p99_after_clip,layer_active_preconditioner_max_after_clip,layer_actual_param_delta_norm,layer_raw_grad_norm,layer_preconditioned_grad_norm,layer_soft_geometry_scale_factor,layer_soft_geometry_trigger_active_fraction,layer_soft_geometry_overflow_stat
0,critic_backbone.0.weight,3001600,0,0.0,371822.625,2016844.25,8724513.329999434,99157224.0,371822.625,2016844.25,8724513.329999434,99157224.0,0.012747232722384589,0.12351625455277307,197.30211639404297,0.29230886629591846,0.5158282258680889,6.919256813759098
0,critic_backbone.4.bias,8960,0,0.0,1554.153076171875,4074.413439941406,6143.866562499999,405584.4375,1554.153076171875,4074.413439941406,6143.866562499999,405584.4375,0.004321957845240832,0.01098200546278219,8.883127021789551,0.9694773329025791,0.05279017857142857,0.09442925854655018
0,critic_backbone.6.weight,1146880,0,0.0,4428.1875,10950.404638671876,22569.356738281233,76132208.0,4428.1875,10950.404638671876,22569.356738281233,76132208.0,0.027926311774977616,0.047035448705511435,106.07754598345075,0.7415941876756993,0.29780447823660716,1.0269968828901
0,critic_backbone.7.bias,8960,0,0.0,1463.8966064453125,3853.8212036132813,8167.630561523433,71250.265625,1463.8966064453125,3853.8212036132813,8167.630561523433,71250.265625,0.005067227155502354,0.010951449615614756,10.550612245287214,1.0,0.0,0.0
0,critic_backbone.7.weight,8960,0,0.0,13208.1533203125,39681.074609374984,99772.62609374999,10930330.0,13208.1533203125,39681.074609374984,99772.62609374999,10930330.0,0.0037014286482839713,0.004728787771559187,16.95969988959176,0.60019465151343,0.5877232142857143,1.99647466706134
1,critic_backbone.0.weight,3001569,0,0.0,391699.1875,2272041.75,9071229.0,49761568.0,391699.1875,2272041.75,9071229.0,49761568.0,0.010735855950042606,0.26479222098631516,283.16984808785577,0.288744250038274,0.42098023550851005,7.038220613280472
1,critic_backbone.4.bias,8960,0,0.0,1936.4774169921875,4929.031274414061,6841.331821289063,7220.93017578125,1936.4774169921875,4929.031274414061,6841.331821289063,7220.93017578125,0.001372796028486586,0.0035698519944812037,5.608343269143786,0.929730911984913,0.08136160714285715,0.21661042044192924
1,critic_backbone.6.weight,1146880,0,0.0,4223.5458984375,8599.984082031251,11383.162265624993,19992.58984375,4223.5458984375,8599.984082031251,11383.162265624993,19992.58984375,0.017094949074089528,0.02501879432903869,105.08214825221471,0.7904826796228727,0.4297520228794643,0.7612029792269576
1,critic_backbone.7.bias,8960,0,0.0,1357.4078369140625,2211.645727539062,3194.9447607421857,5817.630859375,1357.4078369140625,2211.645727539062,3194.9447607421857,5817.630859375,0.0032289430357715383,0.005705498395920066,7.69135543022837,1.0,0.0,0.0
1,critic_backbone.7.weight,8960,0,0.0,3093.908935546875,9901.092431640618,19763.679609374965,68911.2578125,3093.908935546875,9901.092431640618,19763.679609374965,68911.2578125,0.0037580750026141425,0.004993051039387605,12.03165168932506,0.8023819411805019,0.10424107142857143,0.7344942367059671
2,critic_backbone.0.weight,3001600,0,0.0,369766.4375,2308923.25,8397324.0,45053748.0,369766.4375,2308923.25,8397324.0,45053748.0,0.01225433090169515,0.35884366439921517,280.5677136012486,0.28835365458242146,0.2008868626185826,7.051334470169532
2,critic_backbone.4.bias,8960,0,0.0,2104.510498046875,4566.69418945312,6886.714755859374,7442.1904296875,2104.510498046875,4566.69418945312,6886.714755859374,7442.1904296875,0.0015810154311891114,0.004985229463116931,9.014283561706543,0.9512643543586636,0.07522321428571428,0.14674917364355144
2,critic_backbone.6.weight,1146880,0,0.0,3806.369140625,6126.120629882813,7486.8301855468735,11524.123046875,3806.369140625,6126.120629882813,7486.8301855468735,11524.123046875,0.021587583515793086,0.0388262327760458,142.84751423427036,0.8728685990046734,0.37785818917410713,0.41772409770113833
2,critic_backbone.7.bias,8960,0,0.0,1471.3154296875,2160.594287109375,2718.645146484374,3047.5400390625,1471.3154296875,2160.594287109375,2718.645146484374,3047.5400390625,0.002000461259324636,0.0051988804114184205,7.80592497587204,1.0,0.0,0.0
2,critic_backbone.7.weight,8960,0,0.0,2545.776611328125,4609.016625976562,15819.798691406248,18946.552734375,2545.776611328125,4609.016625976562,15819.798691406248,18946.552734375,0.0028260576247703282,0.004135447117732838,9.749226110322136,0.9547976510510949,0.061830357142857145,0.13844532627058168
3,critic_backbone.0.weight,3001600,0,0.0,336561.90625,2185142.75,7368223.5,39387848.0,336561.90625,2185142.75,7368223.5,39387848.0,0.01023192862048745,0.3544936301452773,239.62645906720843,0.289968913127029,0.12188932714717729,6.996147988832278
3,critic_backbone.4.bias,8960,0,0.0,2010.01806640625,4062.166125488281,6044.110078125,6589.1162109375,2010.01806640625,4062.166125488281,6044.110078125,6589.1162109375,0.0016237270577611135,0.005957786000466772,10.272082792009627,0.9710619534006556,0.05613839285714286,0.0851537179645625
3,critic_backbone.6.weight,1146880,0,0.0,3423.384033203125,5033.885693359376,6045.877519531248,10006.57421875,3423.384033203125,5033.885693359376,6045.877519531248,10006.57421875,0.019790735481573004,0.04201389058892216,138.4052877153669,0.923047861710954,0.22749285016741072,0.23865972070467484
3,critic_backbone.7.bias,8960,0,0.0,1570.8992919921875,2173.1009033203118,2645.5761987304686,3458.3134765625,1570.8992919921875,2173.1009033203118,2645.5761987304686,3458.3134765625,0.0013142245547247253,0.004676440155266651,7.393333263056618,1.0,0.0,0.0
