epoch,advantage_mean,advantage_std,positive_advantage_ratio,negative_advantage_ratio,delta_log_prob_selected_action_mean,delta_log_prob_selected_action_std,selected_action_prob_gain_mean,advantage_action_alignment,theta_advantage_alignment,route_advantage_alignment,theta_adv_to_route_delta_alignment,route_adv_to_theta_delta_alignment,theta_alignment_margin_over_cross,route_alignment_margin_over_cross,cross_branch_alignment_mean,theta_selected_action_prob_gain,route_selected_action_prob_gain,theta_negative_adv_prob_gain,route_negative_adv_prob_gain,theta_clip_fraction,route_clip_fraction,high_advantage_action_prob_gain,mid_advantage_action_prob_gain,low_advantage_action_prob_gain,negative_advantage_action_prob_gain,advantage_bucket_high_positive_threshold,advantage_bucket_near_zero_threshold
0,-24.45332908630371,4.10780143737793,0.0,1.0,-0.01967777870595455,0.04229535162448883,-0.018609927967190742,-0.031698279082775116,0.020506087690591812,0.01860981620848179,-0.017583908513188362,0.015799537301063538,0.038089996203780174,0.002810278907418251,-0.0008921856060624123,0.0010074629681184888,-0.00022529749548994005,-0.0037494238931685686,-0.000767005083616823,0.5262500047683716,0.002487562131136656,0.0,0.0,0.0,-0.018609927967190742,0.0,0.410780143737793
1,-18.93184471130371,7.4549665451049805,0.044999998062849045,0.9549999833106995,-0.018171850591897964,0.06673227250576019,-0.015833299607038498,-0.16180045902729034,0.024564899504184723,-0.0012850643834099174,0.03280671685934067,-0.02740740403532982,-0.008241817355155945,0.0261223396519199,0.0026996564120054245,0.018006540834903717,-0.0043153888545930386,0.013186373747885227,-0.001588448416441679,0.5535416603088379,0.14327608048915863,-0.050358355045318604,-0.07694920897483826,0.0,-0.013371149078011513,11.093244552612305,0.7454966545104981
2,-15.917933464050293,10.793168067932129,0.07000000029802322,0.9300000071525574,0.029780298471450806,0.07023400813341141,0.03276025503873825,0.0744704157114029,0.03591698408126831,-0.004391255788505077,-0.025714227929711342,-0.021508129313588142,0.06163121201097965,0.017116873525083065,-0.023611178621649742,0.0516522116959095,0.02640897035598755,0.04989485442638397,0.02732199989259243,0.47208333015441895,0.27383267879486084,-0.043454065918922424,0.05526880547404289,0.0,0.033189136534929276,18.568126678466797,1.0793168067932128
3,-13.352164268493652,13.197972297668457,0.0949999988079071,0.9049999713897705,0.02697872184216976,0.07960459589958191,0.03054048679769039,0.08011015504598618,0.05579192936420441,-0.005206339061260223,-0.02427472546696663,0.010259092785418034,0.08006665483117104,-0.015465431846678257,-0.007007816340774298,0.04372315853834152,0.03555558994412422,0.02684190683066845,0.03480400890111923,0.3774999976158142,0.3042564392089844,-0.004569280426949263,0.034719012677669525,0.008724570274353027,0.031600791960954666,28.042238235473633,1.3197972297668459
4,-9.360420227050781,14.879817008972168,0.16499999165534973,0.8349999785423279,0.05382660776376724,0.060068290680646896,0.0571991428732872,0.052150409668684006,0.05019736289978027,0.03571569547057152,-0.014222402125597,0.013171506114304066,0.06441976502537727,0.022544189356267452,-0.0005254480056464672,0.05336717888712883,0.07643800228834152,0.04758896678686142,0.06958062946796417,0.26895833015441895,0.3380737006664276,0.06445268541574478,0.051646385341882706,0.045200299471616745,0.0580294132232666,31.413238525390625,1.487981700897217
5,-7.897935390472412,15.153287887573242,0.14499999582767487,0.8549999594688416,0.038036659359931946,0.04541650414466858,0.03983326256275177,0.09197255223989487,-0.02226434275507927,0.01615576446056366,-0.01368388906121254,-0.016876503825187683,-0.00858045369386673,0.03303226828575134,-0.015280196443200111,0.03222934156656265,0.08910024166107178,0.036866020411252975,0.08909092098474503,0.15520833432674408,0.307037889957428,0.04269978031516075,0.0593850240111351,0.030573368072509766,0.03753174841403961,39.060726165771484,1.5153287887573244
6,-5.908638954162598,19.225732803344727,0.1899999976158142,0.8100000023841858,0.012911160476505756,0.041285689920186996,0.013856122270226479,-0.08136583864688873,-0.10299897193908691,-0.02703154645860195,0.017225904390215874,-0.05926442891359329,-0.12022487632930279,0.03223288245499134,-0.02101926226168871,0.011096070520579815,0.06186620891094208,0.02422655001282692,0.0707252025604248,0.12395833432674408,0.23374485969543457,-0.007281899452209473,0.01803545653820038,0.02271837182343006,0.014030513353645802,45.51487731933594,1.9225732803344728
7,-1.2584987878799438,20.01049041748047,0.2549999952316284,0.7450000047683716,0.021997226402163506,0.03583944961428642,0.022898409515619278,0.11872097849845886,-0.034477245062589645,-0.026033198460936546,-0.016707027330994606,0.04254680871963501,-0.01777021773159504,-0.06858000718057156,0.012919890694320202,0.020471906289458275,0.05249210074543953,0.024139247834682465,0.045100994408130646,0.11395833641290665,0.20189274847507477,0.02851942740380764,0.03605455532670021,0.01815634034574032,0.02089521661400795,37.02272415161133,2.001049041748047
8,-0.8033454418182373,22.489177703857422,0.3449999988079071,0.6549999713897705,0.014361153356730938,0.037653129547834396,0.015163639560341835,0.06794701516628265,0.004360655788332224,0.05690085515379906,-0.012227967381477356,-0.024716803804039955,0.01658862316980958,0.08161765895783901,-0.018472385592758656,0.02144634537398815,0.02312331460416317,0.019056197255849838,0.016882436349987984,0.11708333343267441,0.1556982398033142,0.02158806473016739,0.018414711579680443,0.02053231932222843,0.01092175766825676,40.94317626953125,2.2489177703857424
9,-0.5151676535606384,20.673154830932617,0.41999998688697815,0.5799999833106995,0.011798251420259476,0.03705951198935509,0.012559871189296246,0.21565939486026764,-0.003800224279984832,-0.02577330730855465,-0.017135482281446457,0.06671695411205292,0.013335258001461625,-0.09249026142060757,0.02479073591530323,0.018306761980056763,0.025427695363759995,0.01902160793542862,0.02914944291114807,0.12270833551883698,0.18694600462913513,0.028286930173635483,0.023095030337572098,0.011153839528560638,0.004225865472108126,19.197269439697266,2.0673154830932616
10,-1.5485674142837524,20.6309757232666,0.29499998688697815,0.7049999833106995,0.013450590893626213,0.04031118005514145,0.014364154078066349,-0.04819954186677933,-0.0043267738074064255,-0.046316564083099365,-0.011616893112659454,-0.011388016864657402,0.007290119305253029,-0.03492854721844196,-0.011502454988658428,0.018418753519654274,0.028923572972416878,0.018551811575889587,0.04185889661312103,0.12479166686534882,0.15614886581897736,-0.0027730558067560196,0.011950880289077759,0.013081755489110947,0.017108187079429626,34.17045211791992,2.0630975723266602
11,-0.5551095604896545,22.289274215698242,0.32999998331069946,0.6699999570846558,0.00500106206163764,0.03950972110033035,0.005796149838715792,-0.03946558013558388,-0.0013907449319958687,-0.019136935472488403,0.00864394474774599,-0.004039914347231388,-0.01003468967974186,-0.015097021125257015,0.0023020152002573013,0.013513816520571709,0.014315948821604252,0.01272618118673563,0.021627139300107956,0.11375000327825546,0.1317957192659378,0.010502380318939686,-0.0006222930387593806,-0.0025981548242270947,0.010363198816776276,49.88347625732422,2.2289274215698245
