bucket_name,bucket_sample_count,bucket_mean_advantage,bucket_mean_ratio,bucket_mean_delta_log_prob_selected_action,bucket_mean_selected_action_prob_gain,bucket_mean_clip_fraction,epoch
high_positive,0,0.0,0.0,0.0,0.0,0.0,0
mid_positive,0,0.0,0.0,0.0,0.0,0.0,0
near_zero,0,0.0,0.0,0.0,0.0,0.0,0
negative,200,-24.45332908630371,0.9813900589942932,-0.01967777870595455,-0.018609927967190742,0.0,0
high_positive,3,12.53309154510498,0.9496416449546814,-0.0518454872071743,-0.050358355045318604,0.0,1
mid_positive,6,5.3251776695251465,0.9230508208274841,-0.08166526257991791,-0.07694920897483826,0.0,1
near_zero,0,0.0,0.0,0.0,0.0,0.0,1
negative,191,-20.188060760498047,0.9866288304328918,-0.015648387372493744,-0.013371149078011513,0.005235602147877216,1
high_positive,4,23.381832122802734,0.9565459489822388,-0.04825242608785629,-0.043454065918922424,0.0,2
mid_positive,10,9.406325340270996,1.0552688837051392,0.05226865038275719,0.05526880547404289,0.0,2
near_zero,0,0.0,0.0,0.0,0.0,0.0,2
negative,186,-18.12460708618164,1.0331891775131226,0.030249372124671936,0.033189136534929276,0.005376344081014395,2
high_positive,5,30.419797897338867,0.9954307675361633,-0.009047091007232666,-0.004569280426949263,0.0,3
mid_positive,12,10.96513557434082,1.0347189903259277,0.028127364814281464,0.034719012677669525,0.0833333358168602,3
near_zero,3,0.06305716931819916,1.008724570274353,0.003295173402875662,0.008724570274353027,0.0,3
negative,180,-16.41279411315918,1.031600832939148,0.02829759009182453,0.031600791960954666,0.0,3
high_positive,7,44.63561248779297,1.0644526481628418,0.06061301752924919,0.06445268541574478,0.0,4
mid_positive,21,12.91443157196045,1.05164635181427,0.048863399773836136,0.051646385341882706,0.0,4
near_zero,6,0.5649237632751465,1.045200228691101,0.043454211205244064,0.045200299471616745,0.0,4
negative,166,-14.814011573791504,1.058029294013977,0.05454321578145027,0.0580294132232666,0.012048192322254181,4
high_positive,7,44.47842788696289,1.0426998138427734,0.04139663651585579,0.04269978031516075,0.0,5
mid_positive,21,17.238279342651367,1.059385061264038,0.05678693577647209,0.0593850240111351,0.0,5
near_zero,5,-0.08152622729539871,1.0305733680725098,0.029365748167037964,0.030573368072509766,0.0,5
negative,167,-13.4882173538208,1.0375317335128784,0.035797618329524994,0.03753174841403961,0.0,5
high_positive,9,61.49043655395508,0.9927181601524353,-0.007801261264830828,-0.007281899452209473,0.0,6
mid_positive,24,16.365446090698242,1.0180355310440063,0.0171048603951931,0.01803545653820038,0.0,6
near_zero,7,0.1731703132390976,1.0227184295654297,0.02226647548377514,0.02271837182343006,0.0,6
negative,160,-13.307028770446777,1.0140304565429688,0.01303788460791111,0.014030513353645802,0.0,6
high_positive,10,67.40563201904297,1.0285195112228394,0.02742045558989048,0.02851942740380764,0.0,7
mid_positive,27,16.399747848510742,1.0360544919967651,0.03459992632269859,0.03605455532670021,0.0,7
near_zero,31,-0.23570778965950012,1.0181562900543213,0.01751639135181904,0.01815634034574032,0.0,7
negative,132,-10.3124418258667,1.0208953619003296,0.020060870796442032,0.02089521661400795,0.0,7
high_positive,13,62.614952087402344,1.0215880870819092,0.02089952491223812,0.02158806473016739,0.0,8
mid_positive,37,11.423341751098633,1.0184147357940674,0.01787763275206089,0.018414711579680443,0.0,8
near_zero,45,-0.3206348419189453,1.0205323696136475,0.01992376148700714,0.02053231932222843,0.0,8
negative,105,-13.170461654663086,1.010921835899353,0.009928529150784016,0.01092175766825676,0.009523809887468815,8
high_positive,18,47.46910858154297,1.0282869338989258,0.027147896587848663,0.028286930173635483,0.0,9
mid_positive,54,7.069105625152588,1.0230950117111206,0.022307109087705612,0.023095030337572098,0.0,9
near_zero,31,-0.3568551242351532,1.0111538171768188,0.010439944453537464,0.011153839528560638,0.0,9
negative,97,-13.69223403930664,1.0042258501052856,0.003533672308549285,0.004225865472108126,0.0,9
high_positive,13,56.58702850341797,0.9972270727157593,-0.0032237963750958443,-0.0027730558067560196,0.0,10
mid_positive,36,11.649065971374512,1.0119508504867554,0.011116287671029568,0.011950880289077759,0.0,10
near_zero,26,-0.1815962791442871,1.0130817890167236,0.011750978417694569,0.013081755489110947,0.0,10
negative,125,-11.67991828918457,1.0171083211898804,0.01621052995324135,0.017108187079429626,0.0,10
high_positive,10,74.04694366455078,1.0105023384094238,0.009809638373553753,0.010502380318939686,0.0,11
mid_positive,29,18.193071365356445,0.9993776679039001,-0.0010638658422976732,-0.0006222930387593806,0.0,11
near_zero,46,0.1682959645986557,0.997401773929596,-0.0035200798884034157,-0.0025981548242270947,0.0,11
negative,115,-12.059408187866211,1.0103631019592285,0.009520797990262508,0.010363198816776276,0.0,11
