epoch,final_critic_backbone_delta_norm,backbone_active_count,backbone_clipped_active_count,backbone_clipped_active_fraction,backbone_active_preconditioner_mean,backbone_active_preconditioner_p95,backbone_active_preconditioner_p99,backbone_active_preconditioner_max,backbone_active_preconditioner_mean_after_clip,backbone_active_preconditioner_p95_after_clip,backbone_active_preconditioner_p99_after_clip,backbone_active_preconditioner_max_after_clip,backbone_soft_geometry_scale_factor_mean,backbone_soft_geometry_scale_factor_min,backbone_soft_geometry_trigger_active_fraction,backbone_soft_geometry_overflow_stat_mean
0,0.05721589683304299,5376000,0,0.0,183945.625,381978.0625,5094574.624999975,87483448.0,183945.625,381978.0625,5094574.624999975,87483448.0,1.0,1.0,0.0,0.0
1,0.044034965647094526,5376000,0,0.0,218660.234375,509555.37031246955,6144132.0,42918840.0,218660.234375,509555.37031246955,6144132.0,42918840.0,1.0,1.0,0.0,0.0
2,0.0467333263101954,5376000,0,0.0,215279.5,549409.8468749349,5931085.184999985,39302092.0,215279.5,549409.8468749349,5931085.184999985,39302092.0,1.0,1.0,0.0,0.0
3,0.0381510713714896,5376000,0,0.0,209342.46875,569004.3343749666,5848110.5,36085424.0,209342.46875,569004.3343749666,5848110.5,36085424.0,1.0,1.0,0.0,0.0
4,0.03349129155594809,5376000,0,0.0,216555.015625,584169.1906249824,6163579.5,35697340.0,216555.015625,584169.1906249824,6163579.5,35697340.0,1.0,1.0,0.0,0.0
5,0.030207053394676064,5376000,0,0.0,223834.0625,625998.7656249632,6311997.089999998,33635704.0,223834.0625,625998.7656249632,6311997.089999998,33635704.0,1.0,1.0,0.0,0.0
6,0.030011734759493428,5376000,0,0.0,233778.328125,678342.3187499753,6545571.5,33498402.0,233778.328125,678342.3187499753,6545571.5,33498402.0,1.0,1.0,0.0,0.0
7,0.032369124912729745,5376000,0,0.0,242907.328125,708569.9437499765,6695951.5,34161488.0,242907.328125,708569.9437499765,6695951.5,34161488.0,1.0,1.0,0.0,0.0
8,0.037611532901901064,5376000,0,0.0,249143.03125,745684.2906249634,6780541.5,34073872.0,249143.03125,745684.2906249634,6780541.5,34073872.0,1.0,1.0,0.0,0.0
9,0.03077307967342218,5376000,0,0.0,253712.71875,783167.9781249752,6823608.0,34224396.0,253712.71875,783167.9781249752,6823608.0,34224396.0,1.0,1.0,0.0,0.0
10,0.03105835109350358,5376000,0,0.0,259957.734375,808017.771874977,7057491.5,34214760.0,259957.734375,808017.771874977,7057491.5,34214760.0,1.0,1.0,0.0,0.0
11,0.03410753932473664,5376000,0,0.0,264128.71875,819063.6874999802,7191761.0,33890652.0,264128.71875,819063.6874999802,7191761.0,33890652.0,1.0,1.0,0.0,0.0
