block_index,block_start,block_stop_exclusive,block_size,block_semantic,policy_surrogate_mode,block_path_cost_local_mean,block_path_cost_local_std,block_path_cost_bs1_mean,block_path_cost_bs1_std,block_path_cost_bs2_mean,block_path_cost_bs2_std,block_local_cost_now_mean,block_local_cost_now_std,block_local_cost_now_max,block_local_cost_now_min,block_local_cost_next_mean,block_local_cost_next_std,block_local_cost_next_max,block_local_cost_next_min,block_action_conditioned_cost_now_mean,block_action_conditioned_cost_now_std,block_action_conditioned_cost_next_mean,block_action_conditioned_cost_next_std,block_delta_cost_mean,block_delta_cost_std,block_delta_cost_max,block_delta_cost_min,block_td_reward_mean,block_td_reward_std,block_td_reward_max,block_td_reward_min,block_value_pred_mean,block_value_pred_std,block_value_pred_max,block_value_pred_min,block_path_value_local_mean,block_path_value_local_std,block_path_value_bs1_mean,block_path_value_bs1_std,block_path_value_bs2_mean,block_path_value_bs2_std,path_value_local_mean,path_value_local_std,path_value_bs1_mean,path_value_bs1_std,path_value_bs2_mean,path_value_bs2_std,path_td_target_local_mean,path_td_target_local_std,path_td_target_bs1_mean,path_td_target_bs1_std,path_td_target_bs2_mean,path_td_target_bs2_std,block_action_conditioned_value_now_mean,block_action_conditioned_value_now_std,block_action_conditioned_value_next_mean,block_action_conditioned_value_next_std,block_td_target_mean,block_td_target_std,block_td_target_max,block_td_target_min,block_td_advantage_mean,block_td_advantage_std,block_td_advantage_max,block_td_advantage_min,block_clip_fraction,per_block_selected_action_prob_gain_mean,per_block_selected_action_prob_gain_std,epoch
0,0,3,3,dispatch_decision_block,hierarchical_actor_joint_reward_aligned_credit,0.6705485582351685,0.2732068598270416,0.9068366885185242,0.29231488704681396,0.9055908918380737,0.2900352478027344,0.7800590395927429,0.2880455255508423,1.4893717765808105,0.2803625464439392,0.7776306867599487,0.28822818398475647,1.4893717765808105,0.2803625464439392,0.7916184663772583,0.27809154987335205,0.790585458278656,0.2779596447944641,-0.0010330274235457182,0.257220983505249,0.6523139476776123,-0.8352831602096558,0.0010330274235457182,0.257220983505249,0.8352831602096558,-0.6523139476776123,0.1566542685031891,0.04387505725026131,0.3352827727794647,-0.06570719927549362,0.07750128209590912,0.07235757261514664,0.1260649710893631,0.09558019042015076,0.3424670100212097,0.06740406900644302,0.07750128209590912,0.07235757261514664,0.1260649710893631,0.09558019042015076,0.3424670100212097,0.06740406900644302,0.08006532490253448,0.2572471499443054,0.1263749897480011,0.29135140776634216,0.33883926272392273,0.2753118574619293,0.1566542685031891,0.04387505725026131,0.15783636271953583,0.04197027534246445,0.15652810037136078,0.26052573323249817,1.0045201778411865,-0.5230972766876221,-0.00012616603635251522,0.25976651906967163,0.8414914608001709,-0.6647835373878479,0.4899999797344208,-0.17355717718601227,0.4436979293823242,0
1,3,6,3,dispatch_decision_block,hierarchical_actor_joint_reward_aligned_credit,0.4537508189678192,0.3609152138233185,0.715394139289856,0.3770669400691986,0.7076239585876465,0.37498804926872253,0.5632612705230713,0.3742084801197052,2.0912578105926514,0.020238645374774933,0.5604793429374695,0.3739336431026459,2.0912578105926514,0.020238645374774933,0.5763193368911743,0.36450856924057007,0.5751836895942688,0.36633405089378357,-0.0011356478789821267,0.46788445115089417,1.8310173749923706,-1.6776405572891235,0.0011356478789821267,0.46788445115089417,1.6776405572891235,-1.8310173749923706,-0.16600081324577332,0.0888839140534401,0.3349141478538513,-0.39211246371269226,-0.38814106583595276,0.10385676473379135,0.4998127520084381,0.09826246649026871,-0.42312657833099365,0.08859766274690628,-0.38814106583595276,0.10385676473379135,0.4998127520084381,0.09826246649026871,-0.42312657833099365,0.08859766274690628,-0.37919193506240845,0.46684563159942627,0.4944266676902771,0.47918030619621277,-0.4140399694442749,0.47697845101356506,-0.16600081324577332,0.0888839140534401,-0.16535428166389465,0.09579645842313766,-0.1616903692483902,0.4641841650009155,1.4012795686721802,-2.0058236122131348,0.004310439806431532,0.4523136019706726,1.5940629243850708,-1.7412590980529785,0.20499999821186066,-0.1798066645860672,0.3443818688392639,0
2,6,9,3,dispatch_decision_block,hierarchical_actor_joint_reward_aligned_credit,0.5222116112709045,0.3690488338470459,0.7133282423019409,0.3894928991794586,0.7142185568809509,0.3919787108898163,0.631722092628479,0.39174801111221313,2.1895751953125,0.03696213662624359,0.6291565299034119,0.39181336760520935,2.1895751953125,0.03696213662624359,0.6226959228515625,0.379947692155838,0.6211119890213013,0.38258862495422363,-0.0015839665429666638,0.47540929913520813,1.9553180932998657,-1.5507378578186035,0.0015839665429666638,0.47540929913520813,1.5507378578186035,-1.9553180932998657,-0.22429855167865753,0.04836053028702736,0.08480645716190338,-0.3814229965209961,-0.1043110266327858,0.08040472865104675,-0.4213215410709381,0.07539954036474228,-0.2403504103422165,0.07162875682115555,-0.1043110266327858,0.08040472865104675,-0.4213215410709381,0.07539954036474228,-0.2403504103422165,0.07162875682115555,-0.09993525594472885,0.47139647603034973,-0.412643164396286,0.47735652327537537,-0.23391278088092804,0.4984511435031891,-0.22429855167865753,0.04836053028702736,-0.22487667202949524,0.04997259005904198,-0.21992455422878265,0.477308452129364,1.3199687004089355,-2.1616106033325195,0.0043740039691329,0.47068503499031067,1.4948862791061401,-1.9312872886657715,0.9099999666213989,-0.17925132811069489,0.644576370716095,0
3,9,12,3,dispatch_decision_block,hierarchical_actor_joint_reward_aligned_credit,0.6451240181922913,0.214607372879982,0.8728663325309753,0.22958092391490936,0.8716205954551697,0.22969630360603333,0.7461845278739929,0.23099851608276367,1.3969438076019287,0.2740992307662964,0.7442057132720947,0.2305103838443756,1.3969438076019287,0.2740992307662964,0.7572891116142273,0.2176850587129593,0.75713711977005,0.21708635985851288,-0.00015192001592367887,0.20872260630130768,0.7258217334747314,-0.5629626512527466,0.00015192001592367887,0.20872260630130768,0.5629626512527466,-0.7258217334747314,0.07553539425134659,0.0670410692691803,0.2733927369117737,-0.09420177340507507,-0.0183755811303854,0.07029879093170166,-0.31049081683158875,0.08406467735767365,0.5865986347198486,0.10618013888597488,-0.0183755811303854,0.07029879093170166,-0.31049081683158875,0.08406467735767365,0.5865986347198486,0.10618013888597488,-0.016361910849809647,0.21056902408599854,-0.30425044894218445,0.2456936538219452,0.5788505673408508,0.2573394179344177,0.07553539425134659,0.0670410692691803,0.07534166425466537,0.07014792412519455,0.0744958221912384,0.2169722616672516,0.7637172341346741,-0.6886544227600098,-0.0010395711287856102,0.21344801783561707,0.6240379810333252,-0.8029404282569885,0.5949999690055847,-0.1056852638721466,0.5338141918182373,0
4,12,15,3,dispatch_decision_block,hierarchical_actor_joint_reward_aligned_credit,0.634136974811554,0.27019843459129333,0.8893400430679321,0.29484251141548157,0.8815699815750122,0.28903377056121826,0.7351974248886108,0.28265294432640076,1.5676933526992798,0.2944263815879822,0.7341507077217102,0.2838190495967865,1.5676933526992798,0.2944263815879822,0.7612659335136414,0.2805359959602356,0.7632537484169006,0.2785390019416809,0.001987879164516926,0.2559448778629303,0.7946560382843018,-0.8056356906890869,-0.001987879164516926,0.2559448778629303,0.8056356906890869,-0.7946560382843018,0.12853990495204926,0.05776477977633476,0.2854262590408325,-0.17768360674381256,0.3536836802959442,0.08104981482028961,-0.023421116173267365,0.08037851005792618,-0.17591533064842224,0.08386975526809692,0.3536836802959442,0.08104981482028961,-0.023421116173267365,0.08037851005792618,-0.17591533064842224,0.08386975526809692,0.3494377136230469,0.26263347268104553,-0.02256259322166443,0.2718300223350525,-0.17294442653656006,0.28090396523475647,0.12853990495204926,0.05776477977633476,0.12786932289600372,0.05749186873435974,0.1242164745926857,0.2502554953098297,0.951842188835144,-0.6851129531860352,-0.00432343827560544,0.24588286876678467,0.8700889348983765,-0.7630296349525452,0.19999998807907104,-0.07623488456010818,0.5918707847595215,0
5,15,18,3,dispatch_decision_block,hierarchical_actor_joint_reward_aligned_credit,0.4811548590660095,0.400281697511673,0.6631954312324524,0.4212598204612732,0.6640858054161072,0.4178012013435364,0.5822153091430664,0.42016589641571045,2.150545120239258,0.0,0.5827760100364685,0.4194628894329071,2.150545120239258,0.04251541197299957,0.5740447640419006,0.4101775288581848,0.5769641995429993,0.40973424911499023,0.0029194126836955547,0.5141832828521729,1.75119948387146,-1.849346399307251,-0.0029194126836955547,0.5141832828521729,1.849346399307251,-1.75119948387146,0.21956820785999298,0.08111200481653214,0.3731774091720581,-0.35777464509010315,0.05822848528623581,0.08556423336267471,0.5821980834007263,0.1618005782365799,0.14975190162658691,0.09536463022232056,0.05822848528623581,0.08556423336267471,0.5821980834007263,0.1618005782365799,0.14975190162658691,0.09536463022232056,0.056770164519548416,0.512306809425354,0.572467029094696,0.5654709339141846,0.14690841734409332,0.5320707559585571,0.21956820785999298,0.08111200481653214,0.21798944473266602,0.08886031061410904,0.21314111351966858,0.5248180031776428,2.1570072174072266,-1.5565824508666992,-0.006427086889743805,0.5208062529563904,1.8150551319122314,-1.7603120803833008,0.8650000095367432,-0.13231076300144196,0.5652705430984497,0
6,18,21,3,dispatch_decision_block,hierarchical_actor_joint_reward_aligned_credit,0.4380824863910675,0.3899504244327545,0.6703875660896301,0.40765655040740967,0.6691418290138245,0.4089849293231964,0.5479797124862671,0.3983742296695709,2.390315294265747,0.0,0.5489844679832458,0.3972426950931549,2.390315294265747,0.004735562484711409,0.5489522814750671,0.3975963294506073,0.5515937805175781,0.39390087127685547,0.00264147506095469,0.5087539553642273,1.8969393968582153,-2.1056768894195557,-0.00264147506095469,0.5087539553642273,2.1056768894195557,-1.8969393968582153,-0.030482692644000053,0.08023171126842499,0.3121914863586426,-0.23913942277431488,-0.020488692447543144,0.08233926445245743,-0.43041160702705383,0.14598774909973145,0.4267982244491577,0.148064985871315,-0.020488692447543144,0.08233926445245743,-0.43041160702705383,0.14598774909973145,0.4267982244491577,0.148064985871315,-0.020691072568297386,0.49562880396842957,-0.4249102771282196,0.5591462850570679,0.4183025360107422,0.5419324636459351,-0.030482692644000053,0.08023171126842499,-0.031220590695738792,0.07749513536691666,-0.03276585042476654,0.5099896192550659,2.1226630210876465,-1.915382981300354,-0.002283158479258418,0.5013188719749451,2.0612411499023438,-1.8031600713729858,0.625,-0.18029549717903137,0.555461585521698,0
7,21,24,3,dispatch_decision_block,hierarchical_actor_joint_reward_aligned_credit,0.6733368635177612,0.1989147961139679,0.9404006004333496,0.23080411553382874,0.9326304197311401,0.22646430134773254,0.7832340002059937,0.22290432453155518,1.4359593391418457,0.2709531784057617,0.7837061882019043,0.22245389223098755,1.4359593391418457,0.2709531784057617,0.808988630771637,0.208838552236557,0.811730146408081,0.2109682857990265,0.0027416343800723553,0.2083805352449417,0.5442709922790527,-0.817851185798645,-0.0027416343800723553,0.2083805352449417,0.817851185798645,-0.5442709922790527,0.11927878111600876,0.09525489807128906,0.4753745198249817,-0.13457658886909485,-0.27832162380218506,0.10819633305072784,0.8885220289230347,0.17418427765369415,-0.03255433961749077,0.07353460043668747,-0.27832162380218506,0.10819633305072784,0.8885220289230347,0.17418427765369415,-0.03255433961749077,0.07353460043668747,-0.2736890912055969,0.2230754792690277,0.8740061521530151,0.3034549355506897,-0.0329500176012516,0.2501489818096161,0.11927878111600876,0.09525489807128906,0.11735811084508896,0.10279543697834015,0.11230432242155075,0.2299080193042755,0.9472615718841553,-0.49243059754371643,-0.006974457763135433,0.20963066816329956,0.7835222482681274,-0.5217933058738708,0.1550000011920929,-0.06771456450223923,0.45176804065704346,0
8,24,27,3,dispatch_decision_block,hierarchical_actor_joint_reward_aligned_credit,0.70490962266922,0.2887202501296997,0.8944820761680603,0.32622480392456055,0.8953725099563599,0.3258039951324463,0.8148068189620972,0.3183515667915344,1.7967767715454102,0.26639384031295776,0.8128885626792908,0.3183858096599579,1.7967767715454102,0.26639384031295776,0.8025669455528259,0.3090711534023285,0.8021140694618225,0.30778786540031433,-0.0004528206482063979,0.3075306713581085,0.8861072063446045,-0.9956052303314209,0.0004528206482063979,0.3075306713581085,0.9956052303314209,-0.8861072063446045,0.24330851435661316,0.13561898469924927,0.5439838171005249,-0.3504185676574707,0.8247969150543213,0.1561695784330368,0.11664804816246033,0.105132557451725,-0.7578431367874146,0.1191694438457489,0.8247969150543213,0.1561695784330368,0.11664804816246033,0.105132557451725,-0.7578431367874146,0.1191694438457489,0.8148683905601501,0.34268268942832947,0.11652994155883789,0.3439788520336151,-0.7445889115333557,0.33941203355789185,0.24330851435661316,0.13561898469924927,0.24198465049266815,0.13921675086021423,0.2391008883714676,0.3191281259059906,1.4652612209320068,-0.6359729766845703,-0.004207611083984375,0.30145788192749023,0.9212774038314819,-0.8322972655296326,0.9699999690055847,-0.19716578722000122,0.5449761748313904,0
9,27,30,3,dispatch_decision_block,hierarchical_actor_joint_reward_aligned_credit,0.47140318155288696,0.3794806897640228,0.6949506402015686,0.39531072974205017,0.6937048435211182,0.38997817039489746,0.573422908782959,0.39233845472335815,2.138235092163086,0.0008907269802875817,0.5694196820259094,0.39034149050712585,2.138235092163086,0.0008907269802875817,0.5839159488677979,0.3832462728023529,0.5830127596855164,0.38358649611473083,-0.0009031808003783226,0.49617233872413635,1.5486524105072021,-1.4893075227737427,0.0009031808003783226,0.49617233872413635,1.4893075227737427,-1.5486524105072021,-0.033150047063827515,0.08120070397853851,0.23958173394203186,-0.243848979473114,0.3208580017089844,0.09523265063762665,-0.3469644784927368,0.08120312541723251,-0.4136260449886322,0.08268779516220093,0.3208580017089844,0.09523265063762665,-0.3469644784927368,0.08120312541723251,-0.4136260449886322,0.08268779516220093,0.32026413083076477,0.492428183555603,-0.3380083441734314,0.5117186903953552,-0.4050053358078003,0.5070434212684631,-0.033150047063827515,0.08120070397853851,-0.03326471149921417,0.08142905682325363,-0.0318046435713768,0.4999678432941437,1.471482276916504,-1.6655933856964111,0.0013454050058498979,0.4827638268470764,1.42081618309021,-1.5577774047851562,0.14999999105930328,-0.1265609711408615,0.4808543026447296,0
