probe_index,sensor_id,task_name,old_top1_choice,new_top1_choice,top1_changed,old_sampled_choice,new_sampled_choice,sampled_changed,old_top1_prob,new_top1_prob,top1_prob_delta,decision_kl,decision_l1,old_local_prob,new_local_prob,old_BS1_prob,new_BS1_prob,old_BS2_prob,new_BS2_prob
0,S1,LatCrit,local,local,0,local,local,0,0.6687698364257812,0.7585534453392029,0.08978360891342163,0.03629995882511139,0.17956723272800446,0.6687698364257812,0.7585534453392029,0.09861907362937927,0.04151065647602081,0.23261110484600067,0.1999358981847763
0,S1,ComHvy,local,local,0,BS1,BS1,0,0.5983776450157166,0.6284140348434448,0.03003638982772827,0.015481997281312943,0.060072798281908035,0.5983776450157166,0.6284140348434448,0.36421215534210205,0.3583552837371826,0.037410203367471695,0.01323066558688879
0,S1,BWHvy,local,local,0,local,local,0,0.7514190673828125,0.8751970529556274,0.12377798557281494,0.057657159864902496,0.24755600094795227,0.7514190673828125,0.8751970529556274,0.13341984152793884,0.07241301238536835,0.11516113579273224,0.052389957010746
0,S2,LatCrit,local,local,0,local,local,0,0.8285813331604004,0.8949607610702515,0.06637942790985107,0.05156019702553749,0.16193252801895142,0.8285813331604004,0.8949607610702515,0.1282329559326172,0.04726668447256088,0.04318571835756302,0.05777255818247795
0,S2,ComHvy,BS1,BS1,0,BS1,BS1,0,0.6844348311424255,0.8256032466888428,0.14116841554641724,0.0588153675198555,0.2823367714881897,0.16215676069259644,0.0886109471321106,0.6844348311424255,0.8256032466888428,0.15340842306613922,0.085785873234272
0,S2,BWHvy,local,local,0,local,local,0,0.7964735627174377,0.9045780897140503,0.10810452699661255,0.052835725247859955,0.2162090539932251,0.7964735627174377,0.9045780897140503,0.09919922798871994,0.0474301278591156,0.10432722419500351,0.0479917973279953
0,S3,LatCrit,local,local,0,local,local,0,0.49459362030029297,0.6727002859115601,0.1781066656112671,0.07166343927383423,0.3562132716178894,0.49459362030029297,0.6727002859115601,0.07971235364675522,0.06817571818828583,0.4256940186023712,0.2591240406036377
0,S3,ComHvy,local,local,0,local,local,0,0.5990873575210571,0.6456089019775391,0.046521544456481934,0.03197120130062103,0.15282568335533142,0.5990873575210571,0.6456089019775391,0.15603695809841156,0.07962413877248764,0.24487566947937012,0.2747669816017151
0,S3,BWHvy,local,local,0,local,local,0,0.6786640882492065,0.8559152483940125,0.1772511601448059,0.10091032832860947,0.3545023202896118,0.6786640882492065,0.8559152483940125,0.16062447428703308,0.07660802453756332,0.16071143746376038,0.06747671216726303
0,S4,LatCrit,local,local,0,local,local,0,0.787091076374054,0.7846494913101196,-0.002441585063934326,0.0012715952470898628,0.024214647710323334,0.787091076374054,0.7846494913101196,0.14779439568519592,0.1599017083644867,0.06511453539133072,0.05544878542423248
0,S4,ComHvy,local,local,0,local,BS2,1,0.6212502717971802,0.47332334518432617,-0.147926926612854,0.044705718755722046,0.295853853225708,0.6212502717971802,0.47332334518432617,0.056377679109573364,0.06798737496137619,0.32237204909324646,0.45868927240371704
0,S4,BWHvy,local,local,0,local,local,0,0.8600863814353943,0.9236732721328735,0.06358689069747925,0.024081062525510788,0.12717381119728088,0.8600863814353943,0.9236732721328735,0.09808961302042007,0.0500841960310936,0.04182402417063713,0.02624252624809742
0,S5,LatCrit,local,local,0,local,local,0,0.7188763618469238,0.8070847988128662,0.08820843696594238,0.04645685851573944,0.17641693353652954,0.7188763618469238,0.8070847988128662,0.20212984085083008,0.16856122016906738,0.07899383455514908,0.024353954941034317
0,S5,ComHvy,local,local,0,local,local,0,0.7505255937576294,0.8526400327682495,0.10211443901062012,0.0604703426361084,0.20422880351543427,0.7505255937576294,0.8526400327682495,0.16342653334140778,0.06382286548614502,0.08604783564805984,0.08353713899850845
0,S5,BWHvy,local,local,0,local,local,0,0.7218773365020752,0.8574095368385315,0.1355322003364563,0.0663963034749031,0.2710644006729126,0.7218773365020752,0.8574095368385315,0.14806918799877167,0.08890411257743835,0.13005347549915314,0.05368634685873985
0,S6,LatCrit,local,local,0,local,local,0,0.8620522022247314,0.9145103693008423,0.05245816707611084,0.022907044738531113,0.10491633415222168,0.8620522022247314,0.9145103693008423,0.10832305997610092,0.07692015916109085,0.029624715447425842,0.008569453842937946
0,S6,ComHvy,BS1,BS1,0,BS2,BS1,1,0.4203929007053375,0.5157122015953064,0.09531930088996887,0.020105428993701935,0.19063866138458252,0.27560168504714966,0.21089184284210205,0.4203929007053375,0.5157122015953064,0.3040054142475128,0.2733958959579468
0,S6,BWHvy,local,local,0,local,local,0,0.7741404175758362,0.8533158302307129,0.07917541265487671,0.0229879692196846,0.15835082530975342,0.7741404175758362,0.8533158302307129,0.13079354166984558,0.07849262654781342,0.09506604820489883,0.0681915432214737
0,S7,LatCrit,local,local,0,local,local,0,0.6771844029426575,0.7311434745788574,0.05395907163619995,0.021099409088492393,0.15801173448562622,0.6771844029426575,0.7311434745788574,0.2641564905643463,0.1851506531238556,0.05865909159183502,0.08370592445135117
0,S7,ComHvy,local,local,0,local,local,0,0.6367741823196411,0.5132830142974854,-0.12349116802215576,0.054099589586257935,0.3030257821083069,0.6367741823196411,0.5132830142974854,0.21056817471981049,0.36208102107048035,0.15265770256519318,0.1246359646320343
0,S7,BWHvy,local,local,0,local,local,0,0.7777294516563416,0.8967869281768799,0.11905747652053833,0.060412339866161346,0.23811498284339905,0.7777294516563416,0.8967869281768799,0.07142189145088196,0.029454298317432404,0.1508486568927765,0.07375874370336533
0,S8,LatCrit,BS2,local,1,BS2,BS2,0,0.4586358368396759,0.4705449342727661,0.01190909743309021,0.01149800606071949,0.08041641861200333,0.4307969808578491,0.4705449342727661,0.11056718230247498,0.07035895437002182,0.4586358368396759,0.4590960741043091
0,S8,ComHvy,local,local,0,local,local,0,0.635635495185852,0.6157777309417725,-0.01985776424407959,0.03409472852945328,0.14403192698955536,0.635635495185852,0.6157777309417725,0.09021972119808197,0.03806152567267418,0.2741447687149048,0.34616073966026306
0,S8,BWHvy,local,local,0,local,local,0,0.6987813711166382,0.8328936696052551,0.13411229848861694,0.05532237887382507,0.2682246267795563,0.6987813711166382,0.8328936696052551,0.11866854131221771,0.06105228513479233,0.1825501024723053,0.10605403780937195
1,S1,LatCrit,local,local,0,local,local,0,0.6716005802154541,0.6879130005836487,0.01631242036819458,0.0008867643773555756,0.03262481093406677,0.6716005802154541,0.6879130005836487,0.16554297506809235,0.15096139907836914,0.16285641491413116,0.16112560033798218
1,S1,ComHvy,local,BS1,1,BS1,BS1,0,0.3852528929710388,0.441489040851593,0.0562361478805542,0.048360541462898254,0.22669997811317444,0.3852528929710388,0.4336426258087158,0.3765287697315216,0.441489040851593,0.23821833729743958,0.12486835569143295
1,S1,BWHvy,local,local,0,local,local,0,0.5358057022094727,0.5207926034927368,-0.01501309871673584,0.008085966110229492,0.10102425515651703,0.5358057022094727,0.5207926034927368,0.23941223323345184,0.20391321182250977,0.2247820496559143,0.2752941846847534
1,S2,LatCrit,local,local,0,local,local,0,0.6820105910301208,0.6337918043136597,-0.04821878671646118,0.04111882671713829,0.18581673502922058,0.6820105910301208,0.6337918043136597,0.25165754556655884,0.20696796476840973,0.06633186340332031,0.1592402309179306
1,S2,ComHvy,BS1,BS1,0,BS1,BS1,0,0.7808434963226318,0.9369765520095825,0.15613305568695068,0.17538878321647644,0.3122660517692566,0.05749469995498657,0.03636658191680908,0.7808434963226318,0.9369765520095825,0.161661759018898,0.026656869798898697
1,S2,BWHvy,local,local,0,local,local,0,0.6508201360702515,0.6736524105072021,0.022832274436950684,0.01154274120926857,0.09488337486982346,0.6508201360702515,0.6736524105072021,0.1479741483926773,0.10053243488073349,0.20120574533939362,0.22581513226032257
1,S3,LatCrit,local,BS2,1,local,BS2,1,0.5040321350097656,0.429474413394928,-0.07455772161483765,0.018908604979515076,0.1827467679977417,0.5040321350097656,0.4126587510108948,0.15313267707824707,0.15786683559417725,0.3428351879119873,0.429474413394928
1,S3,ComHvy,local,local,0,local,local,0,0.6749359965324402,0.6968154907226562,0.021879494190216064,0.00301142456009984,0.052272990345954895,0.6749359965324402,0.6968154907226562,0.1483858823776245,0.12224936485290527,0.1766781210899353,0.1809350997209549
1,S3,BWHvy,local,local,0,local,local,0,0.6922800540924072,0.7086130380630493,0.01633298397064209,0.0008956331294029951,0.03266594558954239,0.6922800540924072,0.7086130380630493,0.13417261838912964,0.12117434293031693,0.17354732751846313,0.17021264135837555
1,S4,LatCrit,local,local,0,local,local,0,0.8010959029197693,0.7622376680374146,-0.038858234882354736,0.004718473181128502,0.07771646976470947,0.8010959029197693,0.7622376680374146,0.12693920731544495,0.14459553360939026,0.07196488976478577,0.09316679835319519
1,S4,ComHvy,local,local,0,local,local,0,0.5587228536605835,0.6343079805374146,0.07558512687683105,0.03853842616081238,0.15930354595184326,0.5587228536605835,0.6343079805374146,0.15028995275497437,0.07063817232847214,0.29098719358444214,0.2950538396835327
1,S4,BWHvy,local,local,0,local,local,0,0.7848815321922302,0.7500327825546265,-0.03484874963760376,0.009356647729873657,0.08565501868724823,0.7848815321922302,0.7500327825546265,0.13231658935546875,0.1243378296494484,0.08280184119939804,0.12562935054302216
1,S5,LatCrit,local,local,0,local,local,0,0.5804690718650818,0.5693786144256592,-0.011090457439422607,0.015490062534809113,0.1245686262845993,0.5804690718650818,0.5693786144256592,0.2188826948404312,0.28116703033447266,0.200648233294487,0.14945439994335175
