epoch,advantage_mean,advantage_std,positive_advantage_ratio,negative_advantage_ratio,delta_log_prob_selected_action_mean,delta_log_prob_selected_action_std,selected_action_prob_gain_mean,advantage_action_alignment,theta_advantage_alignment,route_advantage_alignment,theta_adv_to_route_delta_alignment,route_adv_to_theta_delta_alignment,theta_alignment_margin_over_cross,route_alignment_margin_over_cross,cross_branch_alignment_mean,theta_selected_action_prob_gain,route_selected_action_prob_gain,theta_negative_adv_prob_gain,route_negative_adv_prob_gain,theta_clip_fraction,route_clip_fraction,high_advantage_action_prob_gain,mid_advantage_action_prob_gain,low_advantage_action_prob_gain,negative_advantage_action_prob_gain,advantage_bucket_high_positive_threshold,advantage_bucket_near_zero_threshold
0,-24.45332908630371,4.10780143737793,0.0,1.0,-0.01967777870595455,0.04229535162448883,-0.018609927967190742,-0.031698279082775116,0.005998985841870308,0.009870166890323162,-0.022392917424440384,0.01585134118795395,0.028391903266310692,-0.005981174297630787,-0.0032707881182432175,0.0010074629681184888,-0.00022529749548994005,-0.0008706614607945085,-0.0009668687707744539,0.5262500047683716,0.002487562131136656,0.0,0.0,0.0,-0.018609927967190742,0.0,0.410780143737793
1,-19.139713287353516,7.225553035736084,0.03999999910593033,0.9599999785423279,-0.018171850591897964,0.06673227250576019,-0.015833299607038498,-0.15320871770381927,0.013379496522247791,0.01377533096820116,0.01886625960469246,-0.0034263520501554012,-0.005486763082444668,0.01720168301835656,0.007719953777268529,0.018006540834903717,-0.0043153888545930386,0.011138212867081165,-0.0008079313556663692,0.5535416603088379,0.14327608048915863,-0.062144458293914795,-0.08805052191019058,-0.024114400148391724,-0.013371149078011513,10.941241264343262,0.7225553035736084
2,-15.689785957336426,10.109253883361816,0.07499999552965164,0.9249999523162842,0.029780298471450806,0.07023400813341141,0.03276025503873825,0.012879075482487679,0.05132593959569931,-0.015558095648884773,-0.03001297637820244,-0.017800938338041306,0.08133891597390175,0.0022428426891565323,-0.023906957358121872,0.0516522116959095,0.02640897035598755,0.04527485743165016,0.02365013025701046,0.47208333015441895,0.27383267879486084,0.02133716642856598,0.02935231290757656,0.06539452075958252,0.03301505371928215,22.821077346801758,1.0109253883361817
3,-12.76233959197998,13.53330135345459,0.08500000089406967,0.9149999618530273,0.02697872184216976,0.07960459589958191,0.03054048679769039,0.025711597874760628,0.048909686505794525,0.007393617182970047,-0.03915213420987129,0.0067146592773497105,0.08806182071566582,0.0006789579056203365,-0.01621873746626079,0.04372315853834152,0.03555558994412422,0.03132566064596176,0.031419433653354645,0.3774999976158142,0.3042564392089844,0.023188680410385132,0.026039812713861465,-0.011883631348609924,0.031914032995700836,30.13581657409668,1.353330135345459
4,-9.024806022644043,15.39334487915039,0.17000000178813934,0.8299999833106995,0.05382660776376724,0.060068290680646896,0.0571991428732872,0.04906051233410835,0.0547264963388443,0.03456839546561241,-0.02598818764090538,-0.009208339266479015,0.08071468397974968,0.04377673473209143,-0.017598263453692198,0.05336717888712883,0.07643800228834152,0.045192454010248184,0.06411538273096085,0.26895833015441895,0.3380737006664276,0.061010345816612244,0.04670250415802002,0.08152395486831665,0.05723517760634422,33.32564926147461,1.5393344879150392
5,-7.595298767089844,16.123138427734375,0.1550000011920929,0.8449999690055847,0.038036659359931946,0.04541650414466858,0.03983326256275177,0.08998210728168488,-0.03363383188843727,0.013841640204191208,-0.005620092619210482,-0.017887527123093605,-0.02801373926922679,0.03172916732728481,-0.011753809871152043,0.03222934156656265,0.08910024166107178,0.03625065088272095,0.07972583174705505,0.15520833432674408,0.307037889957428,0.046625882387161255,0.05704859271645546,0.035252898931503296,0.03733472526073456,37.6898078918457,1.6123138427734376
6,-5.942466735839844,19.3721981048584,0.17999999225139618,0.8199999928474426,0.012911160476505756,0.041285689920186996,0.013856122270226479,-0.07591839879751205,-0.10143387317657471,-0.02959161251783371,-0.012732797302305698,-0.05563373118638992,-0.08870107587426901,0.026042118668556213,-0.03418326424434781,0.011096070520579815,0.06186620891094208,0.024577880278229713,0.0646095797419548,0.12395833432674408,0.23374485969543457,-0.007281899452209473,0.009943637065589428,0.0299880038946867,0.015112186782062054,41.39461898803711,1.93721981048584
7,-1.1596544981002808,19.501062393188477,0.2199999988079071,0.7799999713897705,0.021997226402163506,0.03583944961428642,0.022898409515619278,0.14444203674793243,-0.03342556580901146,-0.01623689755797386,-0.025993401184678078,0.03896113112568855,-0.007432164624333382,-0.055198028683662415,0.006483864970505238,0.020471906289458275,0.05249210074543953,0.02512405440211296,0.04559149965643883,0.11395833641290665,0.20189274847507477,0.026616454124450684,0.03917541727423668,0.015329999849200249,0.020681429654359818,39.62163543701172,1.9501062393188477
8,-0.9834638833999634,22.426740646362305,0.41499999165534973,0.5849999785423279,0.014361153356730938,0.037653129547834396,0.015163639560341835,0.07583906501531601,-0.0037679728120565414,0.04546085372567177,0.0006652493611909449,-0.001999946078285575,-0.004433222173247486,0.04746079980395734,-0.000667348358547315,0.02144634537398815,0.02312331460416317,0.021974794566631317,0.019546756520867348,0.11708333343267441,0.1556982398033142,0.02387891337275505,0.015013101510703564,0.01566648855805397,0.013662842102348804,35.07379913330078,2.2426740646362306
9,-0.35071882605552673,19.494346618652344,0.35499998927116394,0.6449999809265137,0.011798251420259476,0.03705951198935509,0.012559871189296246,0.19129611551761627,-0.0007662316784262657,-0.010962150990962982,-0.026091938838362694,0.08709724247455597,0.025325707159936428,-0.09805939346551895,0.030502651818096638,0.018306761980056763,0.025427695363759995,0.019508929923176765,0.02361280657351017,0.12270833551883698,0.18694600462913513,0.028607068583369255,0.02104748785495758,0.012902338057756424,0.006987599655985832,25.181499481201172,1.9494346618652345
