telemetry_step,train_epoch,update_epoch,minibatch_id,layer_name,layer_active_count,layer_clipped_active_count,layer_clipped_active_fraction,layer_active_preconditioner_mean,layer_active_preconditioner_p95,layer_active_preconditioner_p99,layer_active_preconditioner_max,layer_active_preconditioner_mean_after_clip,layer_active_preconditioner_p95_after_clip,layer_active_preconditioner_p99_after_clip,layer_active_preconditioner_max_after_clip,layer_actual_param_delta_norm,layer_raw_grad_norm,layer_preconditioned_grad_norm,layer_soft_geometry_reference_preconditioner,layer_soft_geometry_scale_factor,layer_soft_geometry_trigger_active_fraction,layer_soft_geometry_overflow_stat
0,0,0,0,critic_backbone.0.weight,42880,0,0.0,622596.375,2390877.25,15536319.0,87483448.0,622596.375,2390877.25,15536319.0,87483448.0,0.02958611398935318,0.12352410703897476,205.9308319091797,2000.0,0.2873403070319367,0.6889225840568542,7.086268447228367
0,0,0,0,critic_backbone.4.bias,128,0,0.0,2126.971923828125,6930.1724365234295,18865.182656250003,39666.48046875,2126.971923828125,6930.1724365234295,18865.182656250003,39666.48046875,0.004743875935673714,0.017877737060189247,11.313467025756836,4000.0,0.8386246693477152,0.1015625,0.5497958623741249
0,0,0,0,critic_backbone.6.weight,16384,0,0.0,25153.703125,46163.91738281248,235358.94000000024,54959136.0,25153.703125,46163.91738281248,235358.94000000024,54959136.0,0.03447350859642029,0.09442179650068283,127.97024536132812,4000.0,0.5387738317790113,0.41180419921875,2.4459039662499515
0,0,0,0,critic_backbone.7.weight,128,0,0.0,175496.21875,233000.6054687493,566578.4212500013,17483244.0,175496.21875,233000.6054687493,566578.4212500013,17483244.0,0.0023311537224799395,0.0023382080253213644,11.29519271850586,4000.0,0.4127691736339166,0.7890625,4.064747244264877
0,0,0,0,critic_backbone.7.bias,128,0,0.0,1572.21826171875,5094.587011718746,15352.335908203135,17300.5859375,1572.21826171875,5094.587011718746,15352.335908203135,17300.5859375,0.005656764842569828,0.01947375386953354,11.313529968261719,0.0,1.0,0.0,0.0
1,0,0,1,critic_backbone.0.weight,42880,0,0.0,506038.0625,2402095.174999926,12393118.0,69653048.0,506038.0625,2402095.174999926,12393118.0,69653048.0,0.02179981768131256,0.12769411504268646,208.59837341308594,2000.0,0.28720494113963435,0.6178871393203735,7.090954991750909
1,0,0,1,critic_backbone.4.bias,128,0,0.0,1919.48046875,7520.044433593748,18647.569843750014,22383.380859375,1919.48046875,7520.044433593748,18647.569843750014,22383.380859375,0.0044991434551775455,0.018168272450566292,11.20386028289795,4000.0,0.8190225591333308,0.09375,0.6313359707983592
1,0,0,1,critic_backbone.6.weight,16384,0,0.0,6007.318359375,20776.391308593684,56096.31851562502,4818337.0,6007.318359375,20776.391308593684,56096.31851562502,4818337.0,0.03178238496184349,0.09356091916561127,127.64312744140625,4000.0,0.6342631259262359,0.30859375,1.647522068743343
1,0,0,1,critic_backbone.7.weight,128,0,0.0,19638.6953125,70208.88945312487,116399.04984375,432875.15625,19638.6953125,70208.88945312487,116399.04984375,432875.15625,0.0022688638418912888,0.002274834318086505,11.219176292419434,4000.0,0.499297657213745,0.7890625,2.8651809227977703
1,0,0,1,critic_backbone.7.bias,128,0,0.0,1639.217041015625,4988.144506835935,17324.49434570315,24357.486328125,1639.217041015625,4988.144506835935,17324.49434570315,24357.486328125,0.005610555876046419,0.019254149869084358,11.167141914367676,0.0,1.0,0.0,0.0
2,0,0,2,critic_backbone.0.weight,42880,0,0.0,458535.84375,2258135.5,10855329.0,63330408.0,458535.84375,2258135.5,10855329.0,63330408.0,0.018289489671587944,0.11897081136703491,204.4713897705078,2000.0,0.28900049799769695,0.5990905165672302,7.0291475712065985
2,0,0,2,critic_backbone.4.bias,128,0,0.0,1513.6953125,5093.146093749998,8162.247104492193,10912.763671875,1513.6953125,5093.146093749998,8162.247104492193,10912.763671875,0.00498481560498476,0.019010664895176888,11.785038948059082,4000.0,0.9189491895725932,0.078125,0.2519984202674047
2,0,0,2,critic_backbone.6.weight,16384,0,0.0,4838.6982421875,17995.735546874937,43432.6948046875,322477.3125,4838.6982421875,17995.735546874937,43432.6948046875,322477.3125,0.02962000109255314,0.08344803750514984,121.12281799316406,4000.0,0.6551603765449464,0.28179931640625,1.5038395212639155
2,0,0,2,critic_backbone.7.weight,128,0,0.0,19978.765625,85471.51328124983,140666.04390625,499476.0,19978.765625,85471.51328124983,140666.04390625,499476.0,0.0019663546700030565,0.002303874585777521,11.019927024841309,4000.0,0.48270441620566207,0.78125,3.061889082945168
2,0,0,2,critic_backbone.7.bias,128,0,0.0,1679.279541015625,5451.283959960934,19605.669560546903,29345.7734375,1679.279541015625,5451.283959960934,19605.669560546903,29345.7734375,0.005580596160143614,0.02069389633834362,11.632079124450684,0.0,1.0,0.0,0.0
3,0,0,3,critic_backbone.0.weight,42880,0,0.0,419559.6875,2270246.25,9768935.309999935,51596572.0,419559.6875,2270246.25,9768935.309999935,51596572.0,0.016397012397646904,0.12892253696918488,210.9947967529297,2000.0,0.2888442230507122,0.5754897594451904,7.0344964042081655
3,0,0,3,critic_backbone.4.bias,128,0,0.0,1479.8656005859375,4802.6938720703065,6869.62255859375,10148.072265625,1479.8656005859375,4802.6938720703065,6869.62255859375,10148.072265625,0.005015153903514147,0.019141944125294685,11.378520965576172,4000.0,0.934043192457262,0.0859375,0.20175514694873417
3,0,0,3,critic_backbone.6.weight,16384,0,0.0,4504.73193359375,17115.836132812485,38190.86972656251,187230.828125,4504.73193359375,17115.836132812485,38190.86972656251,187230.828125,0.028672724962234497,0.08700548857450485,124.08836364746094,4000.0,0.6627790990362871,0.26580810546875,1.453709523834879
3,0,0,3,critic_backbone.7.weight,128,0,0.0,19280.4609375,63722.09296874984,161435.65750000003,556953.3125,19280.4609375,63722.09296874984,161435.65750000003,556953.3125,0.0019814500119537115,0.0022279091645032167,11.347700119018555,4000.0,0.5079021721032198,0.78125,2.768237411091568
3,0,0,3,critic_backbone.7.bias,128,0,0.0,1696.663818359375,5815.162817382798,17816.498164062526,33100.484375,1696.663818359375,5815.162817382798,17816.498164062526,33100.484375,0.00555424066260457,0.020029651001095772,11.301490783691406,0.0,1.0,0.0,0.0
4,0,0,4,critic_backbone.0.weight,42880,0,0.0,407376.0,2243270.0,9602876.0,52408968.0,407376.0,2243270.0,9602876.0,52408968.0,0.015170418657362461,0.122890904545784,208.0809783935547,2000.0,0.28919370302652536,0.5631529688835144,7.022542721214274
4,0,0,4,critic_backbone.4.bias,128,0,0.0,1394.972412109375,4469.791064453125,5683.891616210938,7142.3330078125,1394.972412109375,4469.791064453125,5683.891616210938,7142.3330078125,0.005055156536400318,0.019799210131168365,11.94477367401123,4000.0,0.9509779815497599,0.0859375,0.14728302082197084
4,0,0,4,critic_backbone.6.weight,16384,0,0.0,4365.1982421875,16966.10390624999,35818.556640625,162532.046875,4365.1982421875,16966.10390624999,35818.556640625,162532.046875,0.02754274010658264,0.078290194272995,116.697509765625,4000.0,0.6641327618584726,0.26226806640625,1.4449229664849152
4,0,0,4,critic_backbone.7.weight,128,0,0.0,16575.130859375,67627.81777343737,157542.65312500004,174698.953125,16575.130859375,67627.81777343737,157542.65312500004,174698.953125,0.0019269314361736178,0.0023090303875505924,10.19550609588623,4000.0,0.5025873449264183,0.828125,2.827725426918612
4,0,0,4,critic_backbone.7.bias,128,0,0.0,1659.1632080078125,6198.068823242164,13898.24534179689,32773.2890625,1659.1632080078125,6198.068823242164,13898.24534179689,32773.2890625,0.00554021168500185,0.020703651010990143,11.493406295776367,0.0,1.0,0.0,0.0
5,0,0,5,critic_backbone.0.weight,42880,0,0.0,385426.75,2146423.0,9291236.0,46899256.0,385426.75,2146423.0,9291236.0,46899256.0,0.014502876438200474,0.12555386126041412,210.36325073242188,2000.0,0.2904913080474121,0.5534514784812927,6.978410834110904
5,0,0,5,critic_backbone.4.bias,128,0,0.0,1337.248291015625,4103.5560302734375,5446.652368164066,5912.62548828125,1337.248291015625,4103.5560302734375,5446.652368164066,5912.62548828125,0.005097601562738419,0.018676407635211945,11.520437240600586,4000.0,0.9676417551153669,0.0625,0.09554375651222967
5,0,0,5,critic_backbone.6.weight,16384,0,0.0,4244.5126953125,16625.241015624983,32555.37326171875,146907.359375,4244.5126953125,16625.241015624983,32555.37326171875,146907.359375,0.027453413233160973,0.08568717539310455,123.51448059082031,4000.0,0.6672807410254276,0.2567138671875,1.4246274405465558
5,0,0,5,critic_backbone.7.weight,128,0,0.0,16709.09375,58667.24707031241,165284.37156250002,182037.953125,16709.09375,58667.24707031241,165284.37156250002,182037.953125,0.0019420076860114932,0.002137088915333152,10.962003707885742,4000.0,0.5154757094720617,0.828125,2.685587488131951
