block_index,block_start,block_stop_exclusive,block_size,block_semantic,block_weight_mean,block_weight_std,block_weight_max,block_weight_min,block_adv_scale_mean,block_adv_scale_std,block_adv_scale_max,block_adv_scale_min,block_value_score_mean,block_value_score_std,block_value_score_max,block_value_score_min,block_value_scale_mean,block_value_scale_std,block_value_scale_max,block_value_scale_min,block_value_pred_mean,block_value_pred_std,block_value_pred_max,block_value_pred_min,block_td_target_mean,block_td_target_std,block_td_target_max,block_td_target_min,block_td_advantage_mean,block_td_advantage_std,block_td_advantage_max,block_td_advantage_min,block_advantage_mean,block_advantage_std,block_advantage_max,block_advantage_min,block_active_rate,block_clip_fraction,block_positive_adv_clip_fraction,block_negative_adv_clip_fraction,block_ratio_mean,block_ratio_std,block_ratio_max,block_surrogate_mean,block_surrogate_std,per_block_selected_action_prob_gain_mean,per_block_selected_action_prob_gain_std,epoch
0,0,3,3,dispatch_decision_block,0.04808402806520462,0.017571795731782913,0.09959721565246582,0.01753656193614006,1.0,0.0,1.0,1.0,0.1522817611694336,0.05557144060730934,0.3405018150806427,-0.03561130166053772,1.0,0.0,1.0,1.0,0.1522817611694336,0.05557144060730934,0.3405018150806427,-0.03561130166053772,0.15252645313739777,0.26211017370224,0.9955330491065979,-0.5374380350112915,0.00024467913317494094,0.26105424761772156,0.8517048358917236,-0.6203321218490601,0.00024467913317494094,0.26105424761772156,0.8517048358917236,-0.6203321218490601,0.2849999964237213,0.4899999797344208,0.5698924660682678,0.420560747385025,0.8264427185058594,0.4436979591846466,3.0195164680480957,-0.017209157347679138,0.9013211727142334,-0.17355717718601227,0.4436979293823242,0
1,3,6,3,dispatch_decision_block,0.033764079213142395,0.020511841401457787,0.10510369390249252,0.0010182118276134133,1.0,0.0,1.0,1.0,-0.07753358036279678,0.09084446728229523,0.14128848910331726,-0.3787582814693451,1.0,0.0,1.0,1.0,-0.07753358036279678,0.09084446728229523,0.14128848910331726,-0.3787582814693451,-0.07495080679655075,0.45826345682144165,1.503747820854187,-1.881980299949646,0.002582782646641135,0.4383419454097748,1.5644237995147705,-1.6619669198989868,0.002582782646641135,0.4383419454097748,1.5644237995147705,-1.6619669198989868,0.47999998927116394,0.20499999821186066,0.17999999225139618,0.22999998927116394,0.8201932907104492,0.3443818688392639,2.134903907775879,-0.014407648704946041,0.792982816696167,-0.1798066645860672,0.3443818688392639,0
2,6,9,3,dispatch_decision_block,0.03799557685852051,0.02133229188621044,0.11004498600959778,0.002723194658756256,1.0,0.0,1.0,1.0,-0.20214255154132843,0.06238832697272301,0.04576036334037781,-0.3312544822692871,1.0,0.0,1.0,1.0,-0.20214255154132843,0.06238832697272301,0.04576036334037781,-0.3312544822692871,-0.1990874856710434,0.4740189015865326,1.3476629257202148,-2.1946604251861572,0.0030550770461559296,0.46411874890327454,1.506892442703247,-1.8881067037582397,0.0030550770461559296,0.46411874890327454,1.506892442703247,-1.8881067037582397,0.5149999856948853,0.9099999666213989,0.9399999976158142,0.8799999952316284,0.8207485675811768,0.6445763111114502,4.846959114074707,0.038505952805280685,0.8076550960540771,-0.17925132811069489,0.644576370716095,0
3,9,12,3,dispatch_decision_block,0.0461655855178833,0.014779243618249893,0.09474498778581619,0.018719440326094627,1.0,0.0,1.0,1.0,0.033385295420885086,0.08147173374891281,0.27096933126449585,-0.16531911492347717,1.0,0.0,1.0,1.0,0.033385295420885086,0.08147173374891281,0.27096933126449585,-0.16531911492347717,0.033399004489183426,0.22720468044281006,0.7702744007110596,-0.7826399803161621,1.3707280231756158e-05,0.2232394814491272,0.6325927972793579,-0.8582397699356079,1.3707280231756158e-05,0.2232394814491272,0.6325927972793579,-0.8582397699356079,0.22499999403953552,0.5949999690055847,0.5643564462661743,0.6262626051902771,0.894314706325531,0.5338141918182373,3.903982639312744,-0.0016284965677186847,0.8718713521957397,-0.1056852638721466,0.5338141918182373,0
4,12,15,3,dispatch_decision_block,0.045148856937885284,0.01643368788063526,0.09782969206571579,0.016508784145116806,1.0,0.0,1.0,1.0,0.18052811920642853,0.06009415537118912,0.32378891110420227,-0.12708407640457153,1.0,0.0,1.0,1.0,0.18052811920642853,0.06009415537118912,0.32378891110420227,-0.12708407640457153,0.1749303787946701,0.2493617981672287,1.0231871604919434,-0.5980759859085083,-0.005597734823822975,0.24404796957969666,0.877520740032196,-0.7551192045211792,-0.005597734823822975,0.24404796957969666,0.877520740032196,-0.7551192045211792,0.20999999344348907,0.19999998807907104,0.1538461595773697,0.23853209614753723,0.9237650632858276,0.5918707847595215,5.633684158325195,0.02160901576280594,0.8906975388526917,-0.07623488456010818,0.5918707847595215,0
5,15,18,3,dispatch_decision_block,0.03462764993309975,0.02273382991552353,0.12379693984985352,5.662378299575721e-08,1.0,0.0,1.0,1.0,0.2242974191904068,0.0736609548330307,0.43849891424179077,-0.04302496090531349,1.0,0.0,1.0,1.0,0.2242974191904068,0.0736609548330307,0.43849891424179077,-0.04302496090531349,0.21748174726963043,0.5201550126075745,2.160060405731201,-1.530580997467041,-0.006815681234002113,0.510419487953186,1.759577989578247,-1.7257106304168701,-0.006815681234002113,0.510419487953186,1.759577989578247,-1.7257106304168701,0.5099999904632568,0.8650000095367432,0.8673469424247742,0.8627451062202454,0.8676891922950745,0.5652704834938049,3.3238625526428223,-0.09531852602958679,0.9460108876228333,-0.13231076300144196,0.5652705430984497,0
6,18,21,3,dispatch_decision_block,0.03263244405388832,0.02167041227221489,0.12569785118103027,5.662378299575721e-08,1.0,0.0,1.0,1.0,-0.03800034523010254,0.08815664798021317,0.2768056094646454,-0.2510148286819458,1.0,0.0,1.0,1.0,-0.03800034523010254,0.08815664798021317,0.2768056094646454,-0.2510148286819458,-0.039088621735572815,0.5078985095024109,2.155470132827759,-1.8791145086288452,-0.001088274409994483,0.49138209223747253,2.0406839847564697,-1.8170747756958008,-0.001088274409994483,0.49138209223747253,2.0406839847564697,-1.8170747756958008,0.5299999713897705,0.625,0.6078431606292725,0.6428571343421936,0.8197044134140015,0.5554615259170532,4.025340557098389,0.029962381348013878,0.9719993472099304,-0.18029549717903137,0.555461585521698,0
7,21,24,3,dispatch_decision_block,0.048963192850351334,0.015373784117400646,0.09446290880441666,0.013943981379270554,1.0,0.0,1.0,1.0,0.1283693164587021,0.08478390425443649,0.40099939703941345,-0.09248323738574982,1.0,0.0,1.0,1.0,0.1283693164587021,0.08478390425443649,0.40099939703941345,-0.09248323738574982,0.12038310617208481,0.22800420224666595,0.9844933748245239,-0.4814371168613434,-0.007986212149262428,0.2133796662092209,0.7958216667175293,-0.514624834060669,-0.007986212149262428,0.2133796662092209,0.7958216667175293,-0.514624834060669,0.2199999988079071,0.1550000011920929,0.11363636702299118,0.1875000149011612,0.9322854280471802,0.45176804065704346,2.6165008544921875,-0.06868744641542435,1.0206917524337769,-0.06771456450223923,0.45176804065704346,0
8,24,27,3,dispatch_decision_block,0.049828872084617615,0.018093883991241455,0.0934499129652977,0.017507018521428108,1.0,0.0,1.0,1.0,0.1533828228712082,0.1308917999267578,0.4946635365486145,-0.23151123523712158,1.0,0.0,1.0,1.0,0.1533828228712082,0.1308917999267578,0.4946635365486145,-0.23151123523712158,0.14981821179389954,0.3133012354373932,1.3720227479934692,-0.7445734739303589,-0.003564601531252265,0.2980123460292816,0.8773592114448547,-0.820436954498291,-0.003564601531252265,0.2980123460292816,0.8773592114448547,-0.820436954498291,0.3349999785423279,0.9699999690055847,0.9504950046539307,0.9898989796638489,0.8028342127799988,0.5449761748313904,3.2698633670806885,-0.01378584373742342,1.0705525875091553,-0.19716578722000122,0.5449761748313904,0
9,27,30,3,dispatch_decision_block,0.03423796221613884,0.021236702799797058,0.10649111121892929,5.5646931286901236e-05,1.0,0.0,1.0,1.0,0.07552651315927505,0.09170334041118622,0.4056626558303833,-0.23010262846946716,1.0,0.0,1.0,1.0,0.07552651315927505,0.09170334041118622,0.4056626558303833,-0.23010262846946716,0.07560517638921738,0.4965592324733734,1.5503648519515991,-1.550642728805542,7.865905354265124e-05,0.4772029519081116,1.4058207273483276,-1.5824267864227295,7.865905354265124e-05,0.4772029519081116,1.4058207273483276,-1.5824267864227295,0.5349999666213989,0.14999999105930328,0.1428571343421936,0.1568627506494522,0.8734390139579773,0.4808543026447296,2.925844430923462,-0.04737536236643791,0.8362001180648804,-0.1265609711408615,0.4808543026447296,0
