block_index,block_start,block_stop_exclusive,block_size,block_semantic,policy_surrogate_mode,theta_advantage_mean,theta_advantage_std,theta_advantage_norm_mean,theta_advantage_norm_std,theta_advantage_max,theta_advantage_min,route_advantage_mean,route_advantage_std,route_advantage_norm_mean,route_advantage_norm_std,route_advantage_max,route_advantage_min,route_gate_mean,route_gate_std,route_gate_min,route_gate_max,route_gate_active_fraction,route_credit_gate_fraction,route_credit_effective_fraction,route_mask_mean,route_mask_active_fraction,theta_selected_action_prob_gain_mean,theta_selected_action_prob_gain_std,theta_ratio_mean,theta_ratio_std,theta_ratio_max,route_selected_action_prob_gain_mean,route_selected_action_prob_gain_std,route_ratio_mean,route_ratio_std,route_ratio_max,theta_clip_fraction,route_clip_fraction,offload_vs_local_value_gap_mean,offload_vs_local_value_gap_std,bs1_vs_bs2_value_gap_mean,bs1_vs_bs2_value_gap_std,epoch
0,0,3,3,dispatch_decision_block,hierarchical_actor_joint_reward_aligned_credit,-0.0075188023038208485,0.17971861362457275,-0.017409952357411385,0.9148738384246826,0.5062377452850342,-0.6448040008544922,0.002629566704854369,0.168157160282135,-0.019656892865896225,0.8354140520095825,0.6061261892318726,-0.4042978286743164,0.512334942817688,0.08664090931415558,0.25828099250793457,0.7385990023612976,0.5699999928474426,0.45499998331069946,0.5699999928474426,0.5699999928474426,0.5699999928474426,-0.02323906682431698,0.19695094227790833,0.9767609238624573,0.19695094227790833,1.2492729425430298,0.001938629080541432,0.03412711247801781,1.0006579160690308,0.03525509312748909,1.0790640115737915,0.4899999797344208,0.0,0.3053751289844513,0.13568775355815887,-0.15673869848251343,0.142408087849617,0
1,3,6,3,dispatch_decision_block,hierarchical_actor_joint_reward_aligned_credit,-0.009100132621824741,0.22467859089374542,-0.025459855794906616,1.1437464952468872,0.7716269493103027,-1.190568208694458,-0.012209738604724407,0.18160514533519745,0.014420152641832829,0.8100617527961731,0.6392050981521606,-0.9100341200828552,0.47540679574012756,0.08540298044681549,0.27267277240753174,0.7617852091789246,0.429999977350235,0.47999998927116394,0.429999977350235,0.429999977350235,0.429999977350235,-0.016326922923326492,0.17051973938941956,0.983673095703125,0.17051972448825836,1.318045973777771,-0.0052551222033798695,0.03866475075483322,0.9977749586105347,0.04135992005467415,1.0828205347061157,0.20499999821186066,0.0,0.5422120094299316,0.17595195770263672,0.7718391418457031,0.14857980608940125,0
2,6,9,3,dispatch_decision_block,hierarchical_actor_joint_reward_aligned_credit,0.0008367901900783181,0.175741046667099,0.025124946609139442,0.8946255445480347,0.8811299800872803,-0.4753016233444214,-0.0021543323528021574,0.18637971580028534,0.04263211041688919,0.9339129328727722,0.4847440719604492,-0.7311768531799316,0.5192906260490417,0.09331171214580536,0.27938947081565857,0.7259251475334167,0.5649999976158142,0.48499998450279236,0.5649999976158142,0.5649999976158142,0.5649999976158142,-0.019038299098610878,0.2392854392528534,0.9809616804122925,0.2392854392528534,1.3340097665786743,-9.170352859655395e-05,0.01148392166942358,0.9993939399719238,0.011183075606822968,1.0235843658447266,0.9099999666213989,0.0,-0.3026537299156189,0.1153600886464119,0.11863186210393906,0.15253880620002747,0
3,9,12,3,dispatch_decision_block,hierarchical_actor_joint_reward_aligned_credit,-0.004523970186710358,0.17332209646701813,-0.0021644877269864082,0.8823117613792419,0.7069330215454102,-0.56983482837677,0.01589955948293209,0.213951975107193,0.022580383345484734,1.0389831066131592,0.8544807434082031,-0.6920106410980225,0.4930702745914459,0.08755231648683548,0.23964712023735046,0.7190553545951843,0.4599999785423279,0.4899999797344208,0.4599999785423279,0.4599999785423279,0.4599999785423279,0.013910410925745964,0.20192351937294006,1.0139102935791016,0.20192353427410126,1.2272945642471313,0.000613420910667628,0.021442946046590805,1.001537799835205,0.02440188080072403,1.0862494707107544,0.5949999690055847,0.0,0.2818121910095215,0.17705252766609192,-1.0239174365997314,0.1624229997396469,0
4,12,15,3,dispatch_decision_block,hierarchical_actor_joint_reward_aligned_credit,0.0026756934821605682,0.20227260887622833,0.034486040472984314,1.0296868085861206,1.0995252132415771,-0.5205873250961304,-0.001402305904775858,0.22253350913524628,0.02934527024626732,1.131179690361023,0.6568213701248169,-0.6435662508010864,0.5031916499137878,0.09539883583784103,0.263249933719635,0.7573018074035645,0.4899999797344208,0.5149999856948853,0.4899999797344208,0.4899999797344208,0.4899999797344208,-0.005546301603317261,0.17157673835754395,0.9944537281990051,0.17157673835754395,1.2665841579437256,0.0028448167722672224,0.06798017024993896,1.0056904554367065,0.06851857900619507,1.1716357469558716,0.19999998807907104,0.0,-0.4162155091762543,0.11928296089172363,0.10912280529737473,0.16205298900604248,0
5,15,18,3,dispatch_decision_block,hierarchical_actor_joint_reward_aligned_credit,-0.007812910713255405,0.16267631947994232,-0.018907129764556885,0.8281184434890747,0.5525742769241333,-0.3812220096588135,-0.006778303068131208,0.24266473948955536,-0.13967296481132507,1.075093388557434,1.1771864891052246,-0.9934781789779663,0.5121558308601379,0.09262164682149887,0.29646337032318115,0.7769756317138672,0.550000011920929,0.42499998211860657,0.550000011920929,0.550000011920929,0.550000011920929,-0.014091525226831436,0.21625670790672302,0.9859085083007812,0.21625670790672302,1.2776247262954712,-0.004177079536020756,0.022609224542975426,0.9945036172866821,0.022227682173252106,1.052507996559143,0.8650000095367432,0.0,0.3453960418701172,0.13110332190990448,0.45099905133247375,0.19778592884540558,0
6,18,21,3,dispatch_decision_block,hierarchical_actor_joint_reward_aligned_credit,-0.00010953031596727669,0.17342038452625275,0.020307613536715508,0.8828120231628418,0.4095982313156128,-0.45272886753082275,0.013204097747802734,0.23542995750904083,0.06494242697954178,1.2258706092834473,0.7920095920562744,-0.6635980010032654,0.4817141592502594,0.09055444598197937,0.24821016192436218,0.6942994594573975,0.45499998331069946,0.5099999904632568,0.45499998331069946,0.45499998331069946,0.45499998331069946,0.008370792493224144,0.2077181488275528,1.0083707571029663,0.2077181190252304,1.2349516153335571,-0.0008892890764400363,0.0198824405670166,0.9978398084640503,0.019227514043450356,1.0459864139556885,0.625,0.0,-0.07566895335912704,0.149049311876297,-0.8230607509613037,0.22385939955711365,0
7,21,24,3,dispatch_decision_block,hierarchical_actor_joint_reward_aligned_credit,-0.01610783487558365,0.2352684736251831,-0.061133187264204025,1.1976553201675415,0.9121257066726685,-0.6723252534866333,-0.01037396676838398,0.20312926173210144,-0.04220709949731827,0.9603641629219055,0.6718734502792358,-0.5492255091667175,0.513493537902832,0.08519604057073593,0.2957783341407776,0.7180367112159729,0.5849999785423279,0.4949999749660492,0.5849999785423279,0.5849999785423279,0.5849999785423279,0.030029352754354477,0.17570838332176208,1.030029296875,0.17570838332176208,1.2443794012069702,-0.002501133130863309,0.03685387223958969,0.9963480234146118,0.03554731607437134,1.0782103538513184,0.1550000011920929,0.0,0.6017712354660034,0.17922914028167725,0.6648883819580078,0.15123562514781952,0
8,24,27,3,dispatch_decision_block,hierarchical_actor_joint_reward_aligned_credit,0.014955159276723862,0.20564225316047668,0.0969957709312439,1.0468403100967407,1.0867784023284912,-0.5120164155960083,-0.013600488193333149,0.2105647325515747,-0.09600117802619934,1.0735396146774292,0.5407319068908691,-0.7209362983703613,0.5107195973396301,0.09200049936771393,0.2850083112716675,0.7858948111534119,0.574999988079071,0.4949999749660492,0.574999988079071,0.574999988079071,0.574999988079071,-0.03241104632616043,0.22181066870689392,0.9675889611244202,0.2218106985092163,1.262591004371643,-0.001150764524936676,0.01705857925117016,0.9997902512550354,0.017736027017235756,1.062291145324707,0.9699999690055847,0.0,-1.2220665216445923,0.16548864543437958,0.8675884008407593,0.21689555048942566,0
9,27,30,3,dispatch_decision_block,hierarchical_actor_joint_reward_aligned_credit,0.0070434981025755405,0.18115822970867157,0.05672074109315872,0.9222022891044617,0.6111393570899963,-0.5088135004043579,-0.003533889539539814,0.21116773784160614,-0.167151540517807,0.9921817779541016,0.7003134489059448,-0.8047052621841431,0.5049226880073547,0.09549082815647125,0.2693774104118347,0.7313955426216125,0.5,0.5199999809265137,0.5,0.5,0.5,-4.75600354548078e-05,0.18374769389629364,0.9999523758888245,0.18374769389629364,1.219800591468811,0.0013671859633177519,0.014966716058552265,0.99979567527771,0.01663953997194767,1.0571868419647217,0.14999999105930328,0.0,-0.667618989944458,0.14305351674556732,0.33418601751327515,0.16051577031612396,0
