epoch,offload_active_fraction,route_logprob_active_fraction,theta_positive_fraction,route_credit_gate_fraction,route_credit_effective_fraction,route_credit_effective_count,route_credit_fallback_trigger_count,route_credit_weight_mean,route_credit_weight_std,route_credit_weight_min,route_credit_weight_max,theta_selected_score_mean,theta_expected_score_mean,theta_residual_credit_mean,theta_residual_credit_std,theta_candidate_score_mean,theta_candidate_score_std,route_residual_credit_mean,route_residual_credit_std,route_candidate_score_mean,route_candidate_score_std,route_expected_score_mean,route_selected_score_mean,theta_ratio_mean,route_ratio_mean,theta_approx_kl,route_approx_kl,theta_clip_fraction,route_clip_fraction,advantage_action_alignment,offload_decision_agreement_ratio,actual_offload_rate_when_theta_true_gap_positive,actual_offload_rate_when_theta_true_gap_negative,route_decision_agreement_ratio,actual_bs1_rate_when_route_true_gap_positive,actual_bs1_rate_when_route_true_gap_negative,conditional_policy_consistency_score
0,0.5133333206176758,0.5133333206176758,0.49270835518836975,0.49270835518836975,0.5133333206176758,2464.0,0,1.0,0.0,1.0,1.0,-0.027499491348862648,-0.007427569478750229,-0.02007192000746727,0.9855170249938965,-1.067916532981883e-09,0.9974843263626099,0.020834852010011673,0.9852232336997986,7.206985515040287e-07,0.997043788433075,-0.010939943604171276,0.009894909337162971,0.984039306640625,0.9950926899909973,0.03445638716220856,0.006250998005270958,0.4247916638851166,0.006087662186473608,0.16915985941886902,0.48645833134651184,0.3333333432674408,0.5137230157852173,0.5040584206581116,0.48528242111206055,0.47408026456832886,0.5001728981733322
1,0.48625001311302185,0.48625001311302185,0.49916666746139526,0.49916666746139526,0.48625001311302185,2334.0,0,1.0,0.0,1.0,1.0,0.02958223968744278,0.0010274220257997513,0.028554817661643028,0.9396457672119141,-4.892548144397324e-09,0.9974852800369263,-0.03395431116223335,0.9564933776855469,-3.0749765755899716e-07,0.9959614276885986,-0.017041536048054695,-0.0509958416223526,1.0326210260391235,1.0016350746154785,-0.002874500583857298,0.009836380369961262,0.5506250262260437,0.17737789452075958,0.006613587029278278,0.5137500166893005,0.5,0.48512154817581177,0.4738646149635315,0.46434634923934937,0.5153643488883972,0.5390320718288422
2,0.43312501907348633,0.43312501907348633,0.5014583468437195,0.5014583468437195,0.43312501907348633,2079.0,0,1.0,0.0,1.0,1.0,0.13333052396774292,0.04629494994878769,0.08703557401895523,0.8299090266227722,-1.1300047120244017e-08,0.997483491897583,-0.031541261821985245,0.9099560379981995,-4.816106979887991e-07,0.9964897036552429,-0.02714366838335991,-0.058684926480054855,1.0470889806747437,1.0286221504211426,-0.021020783111453056,-0.013936221599578857,0.4595833420753479,0.24098125100135803,0.1865154355764389,0.5664583444595337,0.25,0.43273261189460754,0.47138047218322754,0.46343693137168884,0.5216048955917358,0.5982098281383514
3,0.359375,0.359375,0.5164583325386047,0.5164583325386047,0.359375,1725.0,0,1.0,0.0,1.0,1.0,0.2645854353904724,0.13166911900043488,0.13291628658771515,0.7178962230682373,1.0949869988507999e-07,0.9974698424339294,-0.04844475910067558,0.8361127376556396,-3.543625552993035e-07,0.997324526309967,-0.03618502989411354,-0.08462979644536972,1.0489274263381958,1.0624139308929443,-0.0291142538189888,-0.04133301600813866,0.3335416615009308,0.33507245779037476,0.29552334547042847,0.6333333253860474,0.1568627506494522,0.3619047701358795,0.45739129185676575,0.4581395387649536,0.5431235432624817,0.6645678579807281
4,0.26770833134651184,0.26770833134651184,0.53104168176651,0.53104168176651,0.26770833134651184,1285.0,0,1.0,0.0,1.0,1.0,0.3691808581352234,0.228285014629364,0.14089582860469818,0.6031407117843628,4.2327991423007916e-07,0.9973953366279602,-0.0225918497890234,0.7230377197265625,-1.8127233261111542e-06,0.997875452041626,-0.09412923455238342,-0.11672109365463257,1.042641043663025,1.1027024984359741,-0.031082497909665108,-0.07937673479318619,0.17729167640209198,0.3626459240913391,-0.14687304198741913,0.6860417127609253,0.12751677632331848,0.27735596895217896,0.4420233368873596,0.43661972880363464,0.5511022210121155,0.7490135133266449
5,0.2522916793823242,0.2522916793823242,0.5260416865348816,0.5260416865348816,0.2522916793823242,1211.0,0,1.0,0.0,1.0,1.0,0.28374046087265015,0.19030576944351196,0.09343471378087997,0.5541302561759949,-1.9017607044702345e-08,0.9974040985107422,-0.05846294388175011,0.5912705063819885,2.589676739717106e-07,0.9986840486526489,-0.11330344527959824,-0.17176638543605804,1.0187315940856934,1.080810546875,-0.011137093417346478,-0.054949142038822174,0.12708333134651184,0.29727497696876526,0.031011616811156273,0.643750011920929,0.03364486247301102,0.28059419989585876,0.415359228849411,0.39168763160705566,0.54347825050354,0.7935014069080353
6,0.27687501907348633,0.27687501907348633,0.534583330154419,0.534583330154419,0.27687501907348633,1329.0,0,1.0,0.0,1.0,1.0,0.23330791294574738,0.16538123786449432,0.06792664527893066,0.5299311280250549,-2.2746623073999217e-07,0.9974226951599121,-0.04189436137676239,0.518587589263916,-2.4528051767447323e-07,0.9988216757774353,-0.11009616404771805,-0.15199050307273865,1.017401933670044,1.0582195520401,-0.009812090545892715,-0.03941512480378151,0.12666666507720947,0.22422873973846436,0.1589236557483673,0.6185416579246521,0.07020547986030579,0.3065362572669983,0.42362678050994873,0.45068663358688354,0.6171428561210632,0.8161481022834778
7,0.26750001311302185,0.26750001311302185,0.5358333587646484,0.5358333587646484,0.26750001311302185,1284.0,0,1.0,0.0,1.0,1.0,0.22993314266204834,0.16414985060691833,0.0657833069562912,0.5088316202163696,-9.83060658654722e-07,0.9973674416542053,-0.024878794327378273,0.46395206451416016,-5.686580095698446e-08,0.9976134896278381,-0.10206764936447144,-0.12694644927978516,1.0226762294769287,1.0497324466705322,-0.015524514950811863,-0.031333085149526596,0.125,0.19470404088497162,-0.08576630055904388,0.6164583563804626,0.07219661772251129,0.29866665601730347,0.43691587448120117,0.4516128897666931,0.5850467681884766,0.8384189009666443
8,0.26500001549720764,0.26500001549720764,0.5387499928474426,0.5387499928474426,0.26500001549720764,1272.0,0,1.0,0.0,1.0,1.0,0.2233596295118332,0.16222400963306427,0.061135612428188324,0.4839610457420349,-1.542127392895054e-06,0.9973568320274353,-0.023262472823262215,0.40030404925346375,3.418363903051613e-08,0.9971588850021362,-0.1850682944059372,-0.20833078026771545,1.0174105167388916,1.0180325508117676,-0.00974636897444725,0.0009998931782320142,0.12979167699813843,0.1588050276041031,-0.03334277495741844,0.612708330154419,0.06518518179655075,0.29773226380348206,0.3946540653705597,0.4297994375228882,0.6472662687301636,0.8504703342914581
9,0.2554166615009308,0.2554166615009308,0.5691666603088379,0.5691666603088379,0.2554166615009308,1226.0,0,1.0,0.0,1.0,1.0,0.25291335582733154,0.17835208773612976,0.07456126809120178,0.47550123929977417,6.717939982081589e-08,0.9974075555801392,-0.01614472270011902,0.4029383361339569,8.22359353946922e-08,0.9979258179664612,-0.16248416900634766,-0.17862890660762787,1.0223952531814575,1.0274478197097778,-0.01462535746395588,-0.005384193267673254,0.13333334028720856,0.17210440337657928,0.06700684130191803,0.627916693687439,0.06923077255487442,0.2850218117237091,0.4102773368358612,0.4367283880710602,0.6195462346076965,0.8583051264286041
