epoch,policy_surrogate_mode,actor_structure_mode,theta_backbone_grad_norm,route_backbone_grad_norm,theta_route_feature_correlation,theta_head_grad_norm,route_head_grad_norm,theta_route_head_correlation,route_mask_mean,route_mask_active_fraction,offload_rate_mean
0,hierarchical_actor_joint_reward_aligned_credit,hierarchical_actor_separate_theta_route_backbones,0.06679309455645253,0.05484132870757801,-0.04268363490700722,0.06620866343702414,0.07591556840470907,-0.2994590401649475,0.5133333206176758,0.5133333206176758,0.5022043585777283
1,hierarchical_actor_joint_reward_aligned_credit,hierarchical_actor_separate_theta_route_backbones,0.08898766751205632,0.09260667768237316,-0.005911338608711958,0.06597777047345034,0.08511076353173042,-0.06051073223352432,0.48625001311302185,0.48625001311302185,0.4976450800895691
2,hierarchical_actor_joint_reward_aligned_credit,hierarchical_actor_separate_theta_route_backbones,0.09652541008994893,0.10534233003122921,0.010188938118517399,0.060681462029427626,0.08718858673060471,-0.07241244614124298,0.43312501907348633,0.43312501907348633,0.4775775372982025
3,hierarchical_actor_joint_reward_aligned_credit,hierarchical_actor_separate_theta_route_backbones,0.08886693408443297,0.12437272943179285,-0.013027532026171684,0.05343882812551915,0.09233336168795053,-0.04114008694887161,0.359375,0.359375,0.43183523416519165
4,hierarchical_actor_joint_reward_aligned_credit,hierarchical_actor_separate_theta_route_backbones,0.075661438312311,0.1567948068219344,-0.022570936009287834,0.049197379165716384,0.101683585146598,-0.072970449924469,0.26770833134651184,0.26770833134651184,0.3556241989135742
5,hierarchical_actor_joint_reward_aligned_credit,hierarchical_actor_separate_theta_route_backbones,0.07271108461397877,0.15554122301461504,-0.010413838550448418,0.044915014246951816,0.08592742224455295,-0.05068923160433769,0.2522916793823242,0.2522916793823242,0.3225615918636322
6,hierarchical_actor_joint_reward_aligned_credit,hierarchical_actor_separate_theta_route_backbones,0.07101860974267823,0.14458881573774224,0.00016732803487684578,0.040823937065146455,0.07495554781177745,-0.06750437617301941,0.27687501907348633,0.27687501907348633,0.3337858319282532
7,hierarchical_actor_joint_reward_aligned_credit,hierarchical_actor_separate_theta_route_backbones,0.06761831557756777,0.13748952016626823,-0.004194471053779125,0.037209897055439096,0.06810753814053846,-0.06450752168893814,0.26750001311302185,0.26750001311302185,0.3242092430591583
8,hierarchical_actor_joint_reward_aligned_credit,hierarchical_actor_separate_theta_route_backbones,0.06155197601332885,0.10857757356519106,-0.023218004032969475,0.03219730101925883,0.05469293768609039,-0.06812333315610886,0.26500001549720764,0.26500001549720764,0.3178386092185974
9,hierarchical_actor_joint_reward_aligned_credit,hierarchical_actor_separate_theta_route_backbones,0.06483890473623259,0.11770742408731388,-0.009211414493620396,0.032350144484244815,0.05917364370626146,-0.06556937843561172,0.2554166615009308,0.2554166615009308,0.3157985508441925
10,hierarchical_actor_joint_reward_aligned_credit,hierarchical_actor_separate_theta_route_backbones,0.06538525618484041,0.12696035720602794,-0.012305357493460178,0.0311324644254287,0.05380420208436162,-0.06754659861326218,0.25333333015441895,0.25333333015441895,0.30288225412368774
11,hierarchical_actor_joint_reward_aligned_credit,hierarchical_actor_separate_theta_route_backbones,0.0637508523079335,0.08190671154559861,-0.010273524560034275,0.027291210712048174,0.041902300623503475,-0.04311119392514229,0.3243750035762787,0.3243750035762787,0.36557021737098694
