epoch,policy_surrogate_mode,actor_structure_mode,theta_adv_norm_mean,theta_adv_norm_std,route_adv_norm_mean,route_adv_norm_std,route_adv_norm_active_count,route_adv_norm_used_fallback,theta_loss_mean,route_loss_mean,theta_route_loss_ratio,theta_clip_fraction,route_clip_fraction,route_mask_mean,route_mask_active_fraction
0,hierarchical_actor_joint_reward_aligned_credit,hierarchical_actor_separate_theta_route_backbones,3.1789144649962964e-09,0.9999998807907104,2.358633954813172e-09,0.9999998807907104,2426.0,0.0,-0.0017656151903793216,0.0005599044961854815,0.3171140253543854,0.4260416626930237,0.0020610056817531586,0.5054166913032532,0.5054166913032532
1,hierarchical_actor_joint_reward_aligned_credit,hierarchical_actor_separate_theta_route_backbones,-7.947286162490741e-10,0.9999998807907104,-1.0662197347244273e-08,0.9999999403953552,2415.0,0.0,0.01301145926117897,0.0008432656759396195,0.0648094117641449,0.5708333253860474,0.16066253185272217,0.503125011920929,0.503125011920929
2,hierarchical_actor_joint_reward_aligned_credit,hierarchical_actor_separate_theta_route_backbones,-7.947286162490741e-10,0.9999999403953552,1.6133588687239353e-08,0.9999998807907104,2128.0,0.0,0.005927698686718941,0.006508985068649054,1.098060965538025,0.4504166841506958,0.22274436056613922,0.44333335757255554,0.44333335757255554
3,hierarchical_actor_joint_reward_aligned_credit,hierarchical_actor_separate_theta_route_backbones,5.563100202721216e-09,0.9999998807907104,1.0703415931345717e-08,1.0,1782.0,0.0,0.00241541163995862,0.01572294719517231,6.509400844573975,0.3631249964237213,0.34455668926239014,0.3712500035762787,0.3712500035762787
4,hierarchical_actor_joint_reward_aligned_credit,hierarchical_actor_separate_theta_route_backbones,-6.357828929992593e-09,0.9999998807907104,-6.319909595653428e-10,1.0,1509.0,0.0,0.004048753529787064,0.017014775425195694,4.202462196350098,0.22083333134651184,0.3207422196865082,0.31437501311302185,0.31437501311302185
5,hierarchical_actor_joint_reward_aligned_credit,hierarchical_actor_separate_theta_route_backbones,-1.1126200405442432e-08,0.9999999403953552,8.836863685246499e-09,0.9999999403953552,1349.0,0.0,0.009752640500664711,0.0241380762308836,2.475027322769165,0.1693750023841858,0.24610823392868042,0.28104168176651,0.28104168176651
6,hierarchical_actor_joint_reward_aligned_credit,hierarchical_actor_separate_theta_route_backbones,0.0,0.9999999403953552,-1.1728507942621036e-08,1.0,1301.0,0.0,0.006377004086971283,0.007163831498473883,1.1233834028244019,0.1458333432674408,0.20215219259262085,0.2710416615009308,0.2710416615009308
7,hierarchical_actor_joint_reward_aligned_credit,hierarchical_actor_separate_theta_route_backbones,7.152557657263969e-09,0.9999999403953552,-7.527026779641233e-10,0.9999998211860657,1267.0,0.0,0.008566262200474739,0.01702713407576084,1.9876946210861206,0.11145833879709244,0.17442777752876282,0.2639583349227905,0.2639583349227905
8,hierarchical_actor_joint_reward_aligned_credit,hierarchical_actor_separate_theta_route_backbones,-1.5894572769070692e-08,1.0,2.2421808854033998e-09,0.9999999403953552,1276.0,0.0,0.00874509196728468,0.019805561751127243,2.2647604942321777,0.11791666597127914,0.16379310190677643,0.2658333480358124,0.2658333480358124
9,hierarchical_actor_joint_reward_aligned_credit,hierarchical_actor_separate_theta_route_backbones,1.5894572324981482e-09,1.0,-5.244085166111745e-09,1.0,1273.0,0.0,0.005441668909043074,0.004057794343680143,0.7456879615783691,0.11937500536441803,0.12411626428365707,0.26520833373069763,0.26520833373069763
10,hierarchical_actor_joint_reward_aligned_credit,hierarchical_actor_separate_theta_route_backbones,-1.5894572324981482e-09,0.9999999403953552,-3.0227396141668805e-09,1.0,1262.0,0.0,0.005720002111047506,0.009631088934838772,1.683753252029419,0.12833333015441895,0.14580032229423523,0.2629166841506958,0.2629166841506958
11,hierarchical_actor_joint_reward_aligned_credit,hierarchical_actor_separate_theta_route_backbones,-3.5762788286319847e-09,0.9999999403953552,-7.521091305306982e-09,0.9999999403953552,1268.0,0.0,0.003817216260358691,0.004091557115316391,1.071866512298584,0.11937500536441803,0.12145110964775085,0.2641666829586029,0.2641666829586029
