telemetry_step,train_epoch,update_epoch,minibatch_id,layer_name,layer_active_count,layer_clipped_active_count,layer_clipped_active_fraction,layer_active_preconditioner_mean,layer_active_preconditioner_p95,layer_active_preconditioner_p99,layer_active_preconditioner_max,layer_active_preconditioner_mean_after_clip,layer_active_preconditioner_p95_after_clip,layer_active_preconditioner_p99_after_clip,layer_active_preconditioner_max_after_clip,layer_actual_param_delta_norm,layer_raw_grad_norm,layer_preconditioned_grad_norm,layer_soft_geometry_reference_preconditioner,layer_soft_geometry_scale_factor,layer_soft_geometry_trigger_active_fraction,layer_soft_geometry_overflow_stat
0,0,0,0,critic_backbone.0.weight,42880,0,0.0,802317.4375,2984184.25,20039920.299999837,90994840.0,802317.4375,2984184.25,20039920.299999837,90994840.0,0.09543216228485107,0.09587261825799942,205.6668243408203,1780020.0437499732,0.928026818341326,0.0668143630027771,0.5170337770145654
0,0,0,0,critic_backbone.4.bias,128,0,0.0,3624.47021484375,12178.73999023437,54480.585351562586,63620.30859375,3624.47021484375,12178.73999023437,54480.585351562586,63620.30859375,0.005656648892909288,0.015300008468329906,11.313297271728516,0.0,1.0,0.0,0.0
0,0,0,0,critic_backbone.6.weight,16384,0,0.0,42764.8515625,74272.74062499995,389409.44906250003,41811696.0,42764.8515625,74272.74062499995,389409.44906250003,41811696.0,0.04462963342666626,0.06790682673454285,127.94788360595703,4129.422778320308,0.6976220514778908,0.5230712890625,2.8896061784126115
0,0,0,0,critic_backbone.7.weight,128,0,0.0,224198.625,518240.2968749987,3903122.640000017,15926878.0,224198.625,518240.2968749987,3903122.640000017,15926878.0,0.005644781980663538,0.0019345467444509268,11.289563179016113,0.0,1.0,0.0,0.0
0,0,0,0,critic_backbone.7.bias,128,0,0.0,2702.31396484375,7096.749023437494,29616.666894531314,91992.1875,2702.31396484375,7096.749023437494,29616.666894531314,91992.1875,0.005656701046973467,0.01674448698759079,11.31340217590332,0.0,1.0,0.0,0.0
1,0,0,1,critic_backbone.0.weight,42880,0,0.0,536248.625,2591414.75,12611473.0,81351400.0,536248.625,2591414.75,12611473.0,81351400.0,0.0698309913277626,0.09793148934841156,209.0468292236328,1780020.0437499732,0.946370965260629,0.06180037185549736,0.377787264599787
1,0,0,1,critic_backbone.4.bias,128,0,0.0,2350.10693359375,7183.407861328121,13805.907109375014,58352.234375,2350.10693359375,7183.407861328121,13805.907109375014,58352.234375,0.005498857703059912,0.015931060537695885,11.790438652038574,0.0,1.0,0.0,0.0
1,0,0,1,critic_backbone.6.weight,16384,0,0.0,7942.7861328125,28206.231542968744,67821.896640625,1220266.875,7942.7861328125,28206.231542968744,67821.896640625,1220266.875,0.03806814178824425,0.06362579762935638,127.02330017089844,4129.422778320308,0.7762704743389852,0.42559814453125,1.921405258062287
1,0,0,1,critic_backbone.7.weight,128,0,0.0,31595.1953125,157253.10312499964,243694.44734375004,571573.25,31595.1953125,157253.10312499964,243694.44734375004,571573.25,0.0043032183311879635,0.0017088288441300392,11.265483856201172,0.0,1.0,0.0,0.0
1,0,0,1,critic_backbone.7.bias,128,0,0.0,1963.51513671875,8110.304003906249,19265.26478515626,25104.72265625,1963.51513671875,8110.304003906249,19265.26478515626,25104.72265625,0.005583891179412603,0.017115823924541473,11.398792266845703,0.0,1.0,0.0,0.0
2,0,0,2,critic_backbone.0.weight,42880,0,0.0,450567.21875,2445832.75,10450622.0,59744880.0,450567.21875,2445832.75,10450622.0,59744880.0,0.0599246472120285,0.10943206399679184,217.0104217529297,1780020.0437499732,0.9538975282176978,0.06147387996315956,0.32220422298009305
2,0,0,2,critic_backbone.4.bias,128,0,0.0,1781.211181640625,6499.210229492176,9942.833544921878,11765.9423828125,1781.211181640625,6499.210229492176,9942.833544921878,11765.9423828125,0.005449590273201466,0.016651423647999763,12.017144203186035,0.0,1.0,0.0,0.0
2,0,0,2,critic_backbone.6.weight,16384,0,0.0,6413.9775390625,23763.28427734373,47938.344765625,462306.75,6413.9775390625,23763.28427734373,47938.344765625,462306.75,0.03626430034637451,0.06509436666965485,126.24614715576172,4129.422778320308,0.7920788438691642,0.3914794921875,1.7500038684295462
2,0,0,2,critic_backbone.7.weight,128,0,0.0,26791.869140625,77340.5828125,276086.37250000023,623964.8125,26791.869140625,77340.5828125,276086.37250000023,623964.8125,0.003914125729352236,0.0017845644615590572,11.254871368408203,0.0,1.0,0.0,0.0
2,0,0,2,critic_backbone.7.bias,128,0,0.0,1836.62158203125,8658.415234375,15376.184638671892,19555.984375,1836.62158203125,8658.415234375,15376.184638671892,19555.984375,0.005542045459151268,0.017016636207699776,11.40989875793457,0.0,1.0,0.0,0.0
3,0,0,3,critic_backbone.0.weight,42880,0,0.0,451238.3125,2460254.0,10849604.0,55665068.0,451238.3125,2460254.0,10849604.0,55665068.0,0.052313338965177536,0.10672233253717422,205.71498107910156,1780020.0437499732,0.9531361826423744,0.06114738807082176,0.3277867892756954
3,0,0,3,critic_backbone.4.bias,128,0,0.0,1754.9415283203125,5680.874560546875,9343.846162109377,10963.3720703125,1754.9415283203125,5680.874560546875,9343.846162109377,10963.3720703125,0.005309884436428547,0.01487851794809103,10.800045013427734,0.0,1.0,0.0,0.0
3,0,0,3,critic_backbone.6.weight,16384,0,0.0,5739.3271484375,21017.445703124973,41926.680078125006,125438.3203125,5739.3271484375,21017.445703124973,41926.680078125006,125438.3203125,0.03451327234506607,0.06850238144397736,131.55117797851562,4129.422778320308,0.8038053932190026,0.3648681640625,1.6272148162239137
3,0,0,3,critic_backbone.7.weight,128,0,0.0,24432.228515625,69067.04453125,224457.90296875042,604235.6875,24432.228515625,69067.04453125,224457.90296875042,604235.6875,0.003703497117385268,0.0018110180972144008,10.864307403564453,0.0,1.0,0.0,0.0
3,0,0,3,critic_backbone.7.bias,128,0,0.0,1790.5101318359375,8094.597485351547,11994.392177734378,17728.470703125,1790.5101318359375,8094.597485351547,11994.392177734378,17728.470703125,0.005475509446114302,0.015096301212906837,10.467577934265137,0.0,1.0,0.0,0.0
4,0,0,4,critic_backbone.0.weight,42880,0,0.0,445000.875,2435342.75,10530862.0,55682084.0,445000.875,2435342.75,10530862.0,55682084.0,0.04885580763220787,0.09656812995672226,201.23330688476562,1780020.0437499732,0.9544532982220735,0.061567164957523346,0.31813466314709204
4,0,0,4,critic_backbone.4.bias,128,0,0.0,1654.620849609375,5331.47783203125,8040.27692871094,8614.6689453125,1654.620849609375,5331.47783203125,8040.27692871094,8614.6689453125,0.005220712628215551,0.015518990345299244,11.615523338317871,0.0,1.0,0.0,0.0
4,0,0,4,critic_backbone.6.weight,16384,0,0.0,5339.607421875,19558.948242187475,36577.455507812505,128536.953125,5339.607421875,19558.948242187475,36577.455507812505,128536.953125,0.03339483216404915,0.06785652041435242,129.0023956298828,4129.422778320308,0.8108365145640585,0.35247802734375,1.555294908720649
4,0,0,4,critic_backbone.7.weight,128,0,0.0,19768.9375,69648.19765624989,156451.13828125023,280059.40625,19768.9375,69648.19765624989,156451.13828125023,280059.40625,0.0035810580011457205,0.0018216513562947512,11.847302436828613,0.0,1.0,0.0,0.0
4,0,0,4,critic_backbone.7.bias,128,0,0.0,1705.495849609375,6536.137402343743,10807.40087890625,14179.5751953125,1705.495849609375,6536.137402343743,10807.40087890625,14179.5751953125,0.00545189855620265,0.015970714390277863,11.293340682983398,0.0,1.0,0.0,0.0
5,0,0,5,critic_backbone.0.weight,42880,0,0.0,429032.96875,2433933.5,10035734.0,47654004.0,429032.96875,2433933.5,10035734.0,47654004.0,0.04620002582669258,0.09843605756759644,205.26547241210938,1780020.0437499732,0.9545280849600952,0.061403919011354446,0.31758740789560486
5,0,0,5,critic_backbone.4.bias,128,0,0.0,1585.25146484375,5058.811059570309,7020.375805664065,8297.6162109375,1585.25146484375,5058.811059570309,7020.375805664065,8297.6162109375,0.005156210623681545,0.015944600105285645,11.791213035583496,0.0,1.0,0.0,0.0
5,0,0,5,critic_backbone.6.weight,16384,0,0.0,5139.80859375,18072.995996093745,34421.77632812501,95288.65625,5139.80859375,18072.995996093745,34421.77632812501,95288.65625,0.03311314806342125,0.06550655514001846,125.5433120727539,4129.422778320308,0.8187043333504248,0.35076904296875,1.476281153560854
5,0,0,5,critic_backbone.7.weight,128,0,0.0,17653.3359375,56701.4638671875,124947.34453125008,143263.609375,17653.3359375,56701.4638671875,124947.34453125008,143263.609375,0.003584568854421377,0.0018665146781131625,11.954841613769531,0.0,1.0,0.0,0.0
5,0,0,5,critic_backbone.7.bias,128,0,0.0,1638.812744140625,6241.049902343748,10698.667060546879,11707.6748046875,1638.812744140625,6241.049902343748,10698.667060546879,11707.6748046875,0.005431971047073603,0.015504160895943642,11.153648376464844,0.0,1.0,0.0,0.0
6,0,0,6,critic_backbone.0.weight,42880,0,0.0,425166.53125,2441829.5,10216306.0,45742088.0,425166.53125,2441829.5,10216306.0,45742088.0,0.044933777302503586,0.1513727307319641,247.29443359375,1780020.0437499732,0.9541094317115489,0.0620102621614933,0.3206520256006646
6,0,0,6,critic_backbone.4.bias,128,0,0.0,1557.2119140625,4453.1844726562485,7234.12045410157,8764.5517578125,1557.2119140625,4453.1844726562485,7234.12045410157,8764.5517578125,0.005090943071991205,0.01290553156286478,10.485673904418945,0.0,1.0,0.0,0.0
6,0,0,6,critic_backbone.6.weight,16384,0,0.0,4629.3876953125,15959.577392578121,27728.468085937504,66757.1015625,4629.3876953125,15959.577392578121,27728.468085937504,66757.1015625,0.031813304871320724,0.08313389867544174,152.5616455078125,4129.422778320308,0.8314015646683299,0.32513427734375,1.3519214019355283
6,0,0,6,critic_backbone.7.weight,128,0,0.0,16811.2578125,57211.40761718746,115901.72132812503,148667.328125,16811.2578125,57211.40761718746,115901.72132812503,148667.328125,0.003369892481714487,0.002185586141422391,12.475778579711914,0.0,1.0,0.0,0.0
6,0,0,6,critic_backbone.7.bias,128,0,0.0,1660.339599609375,6236.337988281243,10620.948583984384,12455.2685546875,1660.339599609375,6236.337988281243,10620.948583984384,12455.2685546875,0.005330070853233337,0.01225325744599104,8.964226722717285,0.0,1.0,0.0,0.0
7,0,1,7,critic_backbone.0.weight,42880,0,0.0,424656.53125,2455053.25,9842909.76999992,45255204.0,424656.53125,2455053.25,9842909.76999992,45255204.0,0.04512607306241989,0.09309609979391098,186.60528564453125,1780020.0437499732,0.9534103802165418,0.06231343373656273,0.32577520831324625
7,0,1,7,critic_backbone.4.bias,128,0,0.0,1531.213134765625,4304.409912109374,6025.450522460938,9345.6767578125,1531.213134765625,4304.409912109374,6025.450522460938,9345.6767578125,0.005063195712864399,0.014389279298484325,11.242362976074219,0.0,1.0,0.0,0.0
7,0,1,7,critic_backbone.6.weight,16384,0,0.0,4525.7265625,15114.230371093672,25682.487148437507,70619.71875,4525.7265625,15114.230371093672,25682.487148437507,70619.71875,0.031913042068481445,0.06140771135687828,120.30287170410156,4129.422778320308,0.8370830057556343,0.32684326171875,1.297497724233457
7,0,1,7,critic_backbone.7.weight,128,0,0.0,16334.39453125,61079.78984374995,116778.7896875001,151518.421875,16334.39453125,61079.78984374995,116778.7896875001,151518.421875,0.003401563735678792,0.0025521840434521437,12.506943702697754,0.0,1.0,0.0,0.0
7,0,1,7,critic_backbone.7.bias,128,0,0.0,1631.013427734375,5575.235375976554,10195.81036621095,12529.9140625,1631.013427734375,5575.235375976554,10195.81036621095,12529.9140625,0.005299145355820656,0.013788416050374508,10.642614364624023,0.0,1.0,0.0,0.0
8,0,1,8,critic_backbone.0.weight,42880,0,0.0,420011.6875,2453654.0,9880693.0,46481796.0,420011.6875,2453654.0,9880693.0,46481796.0,0.04414595663547516,0.10323307663202286,198.70611572265625,1780020.0437499732,0.9534842236303551,0.06149720028042793,0.3252336725792057
8,0,1,8,critic_backbone.4.bias,128,0,0.0,1470.3714599609375,3977.02734375,5677.930874023443,8329.2255859375,1470.3714599609375,3977.02734375,5677.930874023443,8329.2255859375,0.005068144761025906,0.016200976446270943,12.592704772949219,0.0,1.0,0.0,0.0
8,0,1,8,critic_backbone.6.weight,16384,0,0.0,4409.5791015625,14316.853857421873,23988.75587890625,51847.99609375,4409.5791015625,14316.853857421873,23988.75587890625,51847.99609375,0.03219865635037422,0.06445871293544769,123.85814666748047,4129.422778320308,0.842818577586019,0.32940673828125,1.243299776836722
8,0,1,8,critic_backbone.7.weight,128,0,0.0,15571.0078125,61059.215625,107321.60343750022,133682.421875,15571.0078125,61059.215625,107321.60343750022,133682.421875,0.003540036967024207,0.0026043260004371405,13.125946998596191,0.0,1.0,0.0,0.0
8,0,1,8,critic_backbone.7.bias,128,0,0.0,1585.9239501953125,4869.454370117183,9925.98505371095,11838.46875,1585.9239501953125,4869.454370117183,9925.98505371095,11838.46875,0.005292842630296946,0.014835190959274769,11.460022926330566,0.0,1.0,0.0,0.0
9,0,1,9,critic_backbone.0.weight,42880,0,0.0,420206.34375,2392400.0,9794318.0,46594976.0,420206.34375,2392400.0,9794318.0,46594976.0,0.044237151741981506,0.0937492623925209,184.93116760253906,1780020.0437499732,0.9567446172270778,0.061054106801748276,0.30140667979081576
9,0,1,9,critic_backbone.4.bias,128,0,0.0,1458.7608642578125,3943.9351806640616,5684.6169042968795,8451.6005859375,1458.7608642578125,3943.9351806640616,5684.6169042968795,8451.6005859375,0.005043667741119862,0.014377604238688946,11.15679931640625,0.0,1.0,0.0,0.0
9,0,1,9,critic_backbone.6.weight,16384,0,0.0,4350.65380859375,13785.45024414059,22584.039296875002,48405.38671875,4350.65380859375,13785.45024414059,22584.039296875002,48405.38671875,0.032629236578941345,0.060663674026727676,118.98602294921875,4129.422778320308,0.8468681896252946,0.33221435546875,1.2054753600829753
9,0,1,9,critic_backbone.7.weight,128,0,0.0,15064.001953125,51282.48945312495,110972.85429687523,140938.578125,15064.001953125,51282.48945312495,110972.85429687523,140938.578125,0.003645829390734434,0.0026737728621810675,13.25711727142334,0.0,1.0,0.0,0.0
