epoch,policy_surrogate_mode,actor_structure_mode,route_gate_mean,route_gate_std,route_gate_min,route_gate_max,route_gate_active_fraction,offload_rate_mean,theta_head_grad_norm,route_head_grad_norm,theta_backbone_grad_norm,route_backbone_grad_norm
0,hierarchical_actor_joint_reward_aligned_credit,hierarchical_actor_separate_theta_route_backbones,0.4994763433933258,0.09250037372112274,0.20869626104831696,0.8171867728233337,0.4975000023841858,0.4994763433933258,0.08034027324304227,0.08461142852496993,0.0724159197568803,0.05701634965476505
1,hierarchical_actor_joint_reward_aligned_credit,hierarchical_actor_separate_theta_route_backbones,0.49718090891838074,0.10910723358392715,0.16757072508335114,0.8588139414787292,0.49145835638046265,0.49718090891838074,0.06710082355134565,0.08935822092470391,0.09408479752540669,0.09282207649836217
2,hierarchical_actor_joint_reward_aligned_credit,hierarchical_actor_separate_theta_route_backbones,0.47627687454223633,0.14685125648975372,0.09837460517883301,0.9189208745956421,0.42770835757255554,0.47627687454223633,0.06345397558936401,0.09535818877447297,0.1000333186442094,0.11900689814722375
3,hierarchical_actor_joint_reward_aligned_credit,hierarchical_actor_separate_theta_route_backbones,0.4480511546134949,0.19161328673362732,0.039692703634500504,0.9744612574577332,0.37437501549720764,0.4480511546134949,0.05623743913687314,0.08991598993982586,0.09396206119842021,0.12157967897233175
4,hierarchical_actor_joint_reward_aligned_credit,hierarchical_actor_separate_theta_route_backbones,0.39502692222595215,0.22435623407363892,0.019470661878585815,0.9752693772315979,0.3135416805744171,0.39502692222595215,0.0497980753433218,0.09655884813977642,0.0861122949306193,0.15078464992906088
5,hierarchical_actor_joint_reward_aligned_credit,hierarchical_actor_separate_theta_route_backbones,0.3469487130641937,0.24800002574920654,0.01128857396543026,0.9854329228401184,0.26895833015441895,0.3469487130641937,0.04389219465924832,0.08488734201816137,0.07453302714167179,0.14610968597446122
6,hierarchical_actor_joint_reward_aligned_credit,hierarchical_actor_separate_theta_route_backbones,0.3190735876560211,0.2668549716472626,0.004918775055557489,0.992021918296814,0.2643750011920929,0.3190735876560211,0.03970482444816243,0.06921605319815262,0.07047512623563397,0.13635449135538336
7,hierarchical_actor_joint_reward_aligned_credit,hierarchical_actor_separate_theta_route_backbones,0.3213018476963043,0.27457088232040405,0.007353908382356167,0.9936624765396118,0.25854167342185974,0.3213018476963043,0.0388389884990248,0.06476675313155049,0.06875872322770533,0.1269526898365103
8,hierarchical_actor_joint_reward_aligned_credit,hierarchical_actor_separate_theta_route_backbones,0.315342515707016,0.28651177883148193,0.007230148185044527,0.997911274433136,0.2581250071525574,0.315342515707016,0.03423185073566011,0.05432948070583368,0.06379947641234929,0.11072871753447522
9,hierarchical_actor_joint_reward_aligned_credit,hierarchical_actor_separate_theta_route_backbones,0.3143337666988373,0.2882968783378601,0.005766014568507671,0.9978654980659485,0.2564583420753479,0.3143337666988373,0.03322465234408944,0.05181778254723645,0.06612209922740024,0.11840480426076776
10,hierarchical_actor_joint_reward_aligned_credit,hierarchical_actor_separate_theta_route_backbones,0.3121762275695801,0.3028516471385956,0.0045911348424851894,0.9995040893554688,0.26645833253860474,0.3121762275695801,0.029895931851438816,0.04434307267585995,0.06420438244629999,0.09124949815417392
11,hierarchical_actor_joint_reward_aligned_credit,hierarchical_actor_separate_theta_route_backbones,0.3923672139644623,0.33060044050216675,0.005449897609651089,0.9987088441848755,0.3658333420753479,0.3923672139644623,0.027990743104557576,0.0453843099863365,0.06950310116850078,0.07644578940414941
