epoch,final_critic_backbone_delta_norm,backbone_active_count,backbone_clipped_active_count,backbone_clipped_active_fraction,backbone_active_preconditioner_mean,backbone_active_preconditioner_p95,backbone_active_preconditioner_p99,backbone_active_preconditioner_max,backbone_active_preconditioner_mean_after_clip,backbone_active_preconditioner_p95_after_clip,backbone_active_preconditioner_p99_after_clip,backbone_active_preconditioner_max_after_clip,backbone_soft_geometry_scale_factor_mean,backbone_soft_geometry_scale_factor_p50,backbone_soft_geometry_scale_factor_p95,backbone_soft_geometry_scale_factor_min,backbone_soft_geometry_trigger_active_fraction,backbone_soft_geometry_overflow_stat_mean,backbone_soft_geometry_overflow_stat_p95
0,0.055545013242902896,5376000,0,0.0,173399.015625,390386.0625,4752842.0,89635400.0,173399.015625,390386.0625,4752842.0,89635400.0,0.9303271566965061,0.9321783483028412,0.9901643931865692,0.696063567498768,0.18158449887165,0.52897728463791,1.2222720086574548
1,0.041809579079495465,5375969,0,0.0,203486.5625,527062.0625,5521654.0,38511544.0,203486.5625,527062.0625,5521654.0,38511544.0,0.9287151864123668,0.9460057020187378,0.9666082441806794,0.884885787273564,0.2468383845474039,0.5196981252869994,0.8607052564620972
2,0.048523852315418954,5376000,0,0.0,198297.40625,537204.8437499964,5424137.244999793,32735940.0,198297.40625,537204.8437499964,5424137.244999793,32735940.0,0.9571692726468057,0.9563250243663788,0.9735527068376542,0.9436272077745611,0.1738310704539929,0.2988366317331399,0.3949316844344139
3,0.03952745728111697,5376000,0,0.0,196221.71875,552297.4281249905,5361454.5,30915922.0,196221.71875,552297.4281249905,5361454.5,30915922.0,0.9697999538469578,0.9676618576049805,0.9858256846666336,0.9533272451102419,0.07448107781154768,0.20884000452828938,0.31699649840593336
4,0.03522889919482311,5376000,0,0.0,202886.484375,592825.2562499781,5680207.5,30335154.0,202886.484375,592825.2562499781,5680207.5,30335154.0,0.9689172644878502,0.9699856340885162,0.9860533684492111,0.9462690187547679,0.0635550480602043,0.21589972444128472,0.3679717674851417
5,0.030059971280589817,5376000,0,0.0,211893.328125,625599.6999999939,5992696.0,31220736.0,211893.328125,625599.6999999939,5992696.0,31220736.0,0.9658687217833032,0.966357558965683,0.9860492378473282,0.9421067667663218,0.06399135286254543,0.2384138687575525,0.4005678430199623
6,0.03109217563098037,5375999,0,0.0,219725.1875,668193.7749999701,6242392.0,31307112.0,219725.1875,668193.7749999701,6242392.0,31307112.0,0.96281347236715,0.9637138247489929,0.986523500084877,0.9352909958020904,0.06445078924298286,0.26134976831231477,0.4526812672615051
7,0.029924678388222232,5375998,0,0.0,226432.03125,705103.25,6348994.5,30509438.0,226432.03125,705103.25,6348994.5,30509438.0,0.9582998159337355,0.9594046175479889,0.9848807871341705,0.9280271845496358,0.07117835921900613,0.29516527932712566,0.5095061689615249
8,0.03227255244987964,5375998,0,0.0,233020.71875,743072.875,6554837.5,30989236.0,233020.71875,743072.875,6554837.5,30989236.0,0.9545713913133085,0.9555599689483643,0.9835080087184906,0.9220991421075184,0.07599307426384518,0.32346812625943344,0.5560507893562316
9,0.029907334327523478,5375998,0,0.0,240018.640625,779628.8125,6758826.5,31383122.0,240018.640625,779628.8125,6758826.5,31383122.0,0.9516357434130941,0.9524579644203186,0.9838647335767746,0.9163579405383543,0.07616143035037178,0.3465966077347668,0.6019889950752259
10,0.034962028227699636,5376000,0,0.0,243022.703125,801727.6687499817,6803962.084999652,31529648.0,243022.703125,801727.6687499817,6803962.084999652,31529648.0,0.9520843718337902,0.9510648250579834,0.9875717669725418,0.9157095609596143,0.06409713578011308,0.3446845110416968,0.6079852312803269
11,0.027148846547126692,5376000,0,0.0,246456.859375,807887.9343749599,6895313.0,31542226.0,246456.859375,807887.9343749599,6895313.0,31542226.0,0.9513440209019799,0.9514899551868439,0.9880421698093415,0.9127353190295272,0.06218739716070039,0.35097733549582394,0.6316843420267105
