epoch,policy_surrogate_mode,actor_structure_mode,theta_ratio_mean,theta_ratio_std,theta_ratio_max,route_ratio_mean,route_ratio_std,route_ratio_max,offload_active_fraction,route_logprob_active_fraction,theta_positive_fraction,route_credit_gate_fraction,route_credit_effective_fraction,route_credit_effective_count,route_credit_weight_mean,route_credit_weight_std,route_credit_weight_min,route_credit_weight_max,theta_candidate_score_mean,theta_candidate_score_std,theta_selected_score_mean,theta_expected_score_mean,theta_residual_credit_mean,theta_residual_credit_std,theta_residual_credit_min,theta_residual_credit_max,route_candidate_score_mean,route_candidate_score_std,route_residual_credit_mean,route_residual_credit_std,route_residual_credit_min,route_residual_credit_max,route_expected_score_mean,route_selected_score_mean,route_decision_agreement_ratio,actual_bs1_rate_when_route_true_gap_positive,actual_bs1_rate_when_route_true_gap_negative,route_score_vector_mean_abs,route_score_vector_std,route_credit_fallback_trigger_count,route_credit_fallback_rate,theta_old_logprob_mean,theta_new_logprob_mean,route_old_logprob_mean,route_new_logprob_mean,joint_old_logprob_mean,joint_new_logprob_mean,joint_ratio_mean,joint_approx_kl,joint_clip_fraction,joint_selected_score_mean,joint_expected_score_mean,joint_residual_credit_mean,joint_residual_credit_std,joint_residual_credit_min,joint_residual_credit_max,joint_action_decision_agreement_ratio_under_reward_aligned,actual_local_rate_when_reward_aligned_best_is_local,actual_bs1_rate_when_reward_aligned_best_is_bs1,actual_bs2_rate_when_reward_aligned_best_is_bs2,offload_decision_agreement_ratio,actual_offload_rate_when_theta_true_gap_positive,actual_offload_rate_when_theta_true_gap_negative,theta_approx_kl,route_approx_kl,theta_clip_fraction,route_clip_fraction,conditional_policy_consistency_score,theta_only_step_kl,route_only_step_kl,theta_kl_target,route_kl_target,theta_early_stop_count,route_early_stop_count,coupled_stop_trigger_count,coupled_stop_blocked_by_theta_floor_count,coupled_stop_blocked_by_severity_gate_count,coupled_stop_min_theta_updates_per_epoch,coupled_stop_severity_factor,coupled_stop_severity_freeze_kl_threshold,route_update_cap_trigger_count,route_update_cap_per_epoch,route_alignment_gate_threshold,route_alignment_gate_accept_count,route_alignment_gate_reject_count,route_alignment_gate_reject_rate,route_alignment_gate_score_mean,route_step_alignment_mean,route_step_alignment_min,route_step_alignment_max,route_step_accept_count,route_step_reject_count,route_step_accept_rate,route_step_reject_rate,theta_update_count,route_update_count,route_mask_mean,route_mask_active_fraction,route_mask_threshold,route_confident_mask_margin
0,hierarchical_actor_joint_reward_aligned_credit,hierarchical_actor_separate_theta_route_backbones,0.9966967105865479,0.19699573516845703,1.3456213474273682,0.9989400506019592,0.0388285256922245,1.1672344207763672,0.51583331823349,0.51583331823349,0.4935416877269745,0.4935416877269745,0.51583331823349,2476.0,1.0,0.0,1.0,1.0,-5.041559614227253e-09,0.9974855184555054,-0.029999542981386185,-0.010245464742183685,-0.0197540782392025,0.9906055331230164,-1.1006877422332764,1.156991720199585,1.735828845994547e-06,0.9963107705116272,0.0039240638725459576,0.9847439527511597,-1.1850067377090454,1.1725263595581055,-0.003124391194432974,0.0007996713393367827,0.49959614872932434,0.488023966550827,0.4848754405975342,0.9945387840270996,0.9970384240150452,0,0.0,-0.686412513256073,-0.7095862030982971,-0.6816167235374451,-0.6834320425987244,-1.038013219833374,-1.06212317943573,0.9962608218193054,0.02411000244319439,0.5360416769981384,0.09723324328660965,0.11889336258172989,-0.02166012115776539,1.0249112844467163,-1.6883049011230469,1.6811573505401611,0.39645835757255554,0.4818669259548187,0.2139253318309784,0.2554858922958374,0.48416668176651,0.5,0.5150817036628723,0.023173606023192406,0.001815312309190631,0.5047916769981384,0.0,0.5037635862827301,0.0002899522659260713,0.00017918697404378952,0.03,0.015,0,0,0,0,0,0,1.0,0.015,0,0,0.0,70,0,0.0,-9.06265692427561e-05,-9.06265692427561e-05,-0.0013750155922025442,0.0009349324973300099,70,0,1.0,0.0,70,70,0.51583331823349,0.51583331823349,0.5,0.0
1,hierarchical_actor_joint_reward_aligned_credit,hierarchical_actor_separate_theta_route_backbones,1.0209987163543701,0.23848065733909607,1.6391245126724243,1.0025137662887573,0.15549837052822113,1.563843011856079,0.48520833253860474,0.48520833253860474,0.4958333373069763,0.4958333373069763,0.48520833253860474,2329.0,1.0,0.0,1.0,1.0,7.748604424762107e-09,0.9974847435951233,0.02874961867928505,0.0050806207582354546,0.02366900071501732,0.9362168908119202,-1.3219130039215088,1.3214601278305054,-2.0946080780959164e-07,0.9968946576118469,-0.01663297787308693,0.9596214294433594,-1.387275218963623,1.3354014158248901,-0.009974479675292969,-0.026607459411025047,0.4864749014377594,0.48098257184028625,0.5066413879394531,0.9946576356887817,0.9971567988395691,0,0.0,-0.6328083872795105,-0.6419380307197571,-0.6559363603591919,-0.6657920479774475,-0.9510741233825684,-0.9649859070777893,1.02644944190979,0.013911728747189045,0.7016667127609253,0.2762733995914459,0.17377960681915283,0.10249380767345428,0.970144510269165,-1.744607925415039,1.752221703529358,0.47291669249534607,0.5591962933540344,0.27559056878089905,0.31952664256095886,0.5141666531562805,0.20000000298023224,0.4852232038974762,0.00912965927273035,0.00985570065677166,0.5433333516120911,0.20352083444595337,0.5365401208400726,2.265809903942032e-05,0.0005010915843740804,0.03,0.015,0,0,0,0,0,0,1.0,0.015,0,0,0.0,70,0,0.0,-0.00026859098016659896,-0.00026859098016659896,-0.003518846817314625,0.0014539123512804508,70,0,1.0,0.0,70,70,0.48520833253860474,0.48520833253860474,0.5,0.0
2,hierarchical_actor_joint_reward_aligned_credit,hierarchical_actor_separate_theta_route_backbones,1.047603726387024,0.2167261838912964,1.6424522399902344,1.0241142511367798,0.18302300572395325,1.6484376192092896,0.43020835518836975,0.43020835518836975,0.49145835638046265,0.49145835638046265,0.43020835518836975,2065.0,1.0,0.0,1.0,1.0,-2.4884940330593963e-08,0.9974837899208069,0.13791458308696747,0.04667523503303528,0.09123935550451279,0.8454020619392395,-1.4345760345458984,1.4032375812530518,-4.764619063735154e-07,0.9977284073829651,-0.048472169786691666,0.9102446436882019,-1.3917512893676758,1.4120793342590332,-0.01591225527226925,-0.06438442319631577,0.46634382009506226,0.4687216579914093,0.5335429310798645,0.9946956634521484,0.9971930980682373,0,0.0,-0.5506208539009094,-0.5289372205734253,-0.6067190170288086,-0.5997629165649414,-0.8116364479064941,-0.786960244178772,1.0619269609451294,-0.024676160886883736,0.6197916865348816,0.4625921845436096,0.2676934599876404,0.19489870965480804,0.8556597828865051,-1.87100088596344,1.8353986740112305,0.5491666793823242,0.6732332706451416,0.28475338220596313,0.3225351870059967,0.5697916746139526,0.5,0.43066611886024475,-0.02168360911309719,-0.006956049706786871,0.4554166793823242,0.3016948997974396,0.5932710766792297,-0.0003130097075362366,-0.0008109522647178632,0.03,0.015,0,0,0,0,0,0,1.0,0.015,0,0,0.0,70,0,0.0,6.529827082236547e-05,6.529827082236547e-05,-0.00273909792304039,0.002541325753554702,70,0,1.0,0.0,70,70,0.43020835518836975,0.43020835518836975,0.5,0.0
3,hierarchical_actor_joint_reward_aligned_credit,hierarchical_actor_separate_theta_route_backbones,1.0521843433380127,0.19896823167800903,1.7344006299972534,1.0573506355285645,0.19447031617164612,1.8245428800582886,0.3700000047683716,0.3700000047683716,0.5006250143051147,0.5006250143051147,0.3700000047683716,1776.0,1.0,0.0,1.0,1.0,3.303090778672413e-08,0.9974810481071472,0.25249481201171875,0.10537698119878769,0.14711782336235046,0.745347261428833,-1.475255012512207,1.4548759460449219,3.120048177152057e-06,0.9980659484863281,-0.0108231445774436,0.8251444101333618,-1.3840328454971313,1.5391722917556763,-0.04092568904161453,-0.05174883455038071,0.474662184715271,0.5005192160606384,0.5576208233833313,0.9946344494819641,0.9971383213996887,0,0.0,-0.4680899679660797,-0.43803802132606506,-0.5224876403808594,-0.48541614413261414,-0.6614104509353638,-0.6176420450210571,1.0758240222930908,-0.043768398463726044,0.5087500214576721,0.6026968955993652,0.3505221903324127,0.2521747350692749,0.73549485206604,-1.8851351737976074,1.7728431224822998,0.6285417079925537,0.761874794960022,0.3435448706150055,0.39745405316352844,0.6274999976158142,0.0714285746216774,0.3714825510978699,-0.0300519447773695,-0.037071485072374344,0.3604166805744171,0.32713964581489563,0.6601520776748657,-0.0005418787629813388,-0.002115242469257542,0.03,0.015,0,0,0,0,0,0,1.0,0.015,0,0,0.0,70,0,0.0,-0.00014361321157463992,-0.00014361321157463992,-0.004716128576546907,0.003092652652412653,70,0,1.0,0.0,70,70,0.3700000047683716,0.3700000047683716,0.5,0.0
4,hierarchical_actor_joint_reward_aligned_credit,hierarchical_actor_separate_theta_route_backbones,1.044420599937439,0.17562496662139893,1.8045262098312378,1.0790890455245972,0.21766647696495056,2.0142300128936768,0.3179166615009308,0.3179166615009308,0.5131250023841858,0.5131250023841858,0.3179166615009308,1526.0,1.0,0.0,1.0,1.0,2.2757798490147252e-07,0.9974424242973328,0.3299792408943176,0.1880340427160263,0.14194519817829132,0.6510910391807556,-1.465935468673706,1.4434456825256348,2.7673586089349556e-08,0.9975367188453674,-0.04557041451334953,0.7271846532821655,-1.407789945602417,1.526489019393921,-0.04157270863652229,-0.08714311569929123,0.4574050009250641,0.46627217531204224,0.5563797950744629,0.9947689175605774,0.9972653985023499,0,0.0,-0.3843255341053009,-0.35735827684402466,-0.43108826875686646,-0.3782811164855957,-0.5213756561279297,-0.4776201546192169,1.0712292194366455,-0.043755512684583664,0.37687501311302185,0.6500910520553589,0.42374593019485474,0.22634512186050415,0.627437949180603,-1.9217950105667114,1.7540361881256104,0.6479166746139526,0.8398791551589966,0.3221476674079895,0.34961438179016113,0.6660416722297668,0.26946109533309937,0.31980904936790466,-0.026967240497469902,-0.05280715227127075,0.24791666865348816,0.3656618595123291,0.7251299023628235,-0.0004970050164177207,-0.00414606114167587,0.03,0.015,0,0,0,0,0,0,1.0,0.015,0,0,0.0,70,0,0.0,1.1522764693186867e-05,1.1522764693186867e-05,-0.005766068585216999,0.010325518436729908,70,0,1.0,0.0,70,70,0.3179166615009308,0.3179166615009308,0.5,0.0
5,hierarchical_actor_joint_reward_aligned_credit,hierarchical_actor_separate_theta_route_backbones,1.0239787101745605,0.12615707516670227,1.7313226461410522,1.077882170677185,0.1926865130662918,2.2203187942504883,0.26520833373069763,0.26520833373069763,0.5231249928474426,0.5231249928474426,0.26520833373069763,1273.0,1.0,0.0,1.0,1.0,-6.020069065471034e-08,0.9974335432052612,0.2912328541278839,0.2102508395910263,0.0809820294380188,0.5547299981117249,-1.4353446960449219,1.4247324466705322,-3.6476825471254415e-07,0.9986928105354309,-0.0017491054022684693,0.5490615963935852,-1.4969266653060913,1.4895336627960205,-0.057950593531131744,-0.05969970300793648,0.4713275730609894,0.518573522567749,0.5845896005630493,0.9945870041847229,0.9970840811729431,0,0.0,-0.29364851117134094,-0.2782334089279175,-0.2779698073863983,-0.22314511239528656,-0.3673684000968933,-0.33741334080696106,1.0465214252471924,-0.029955057427287102,0.23895834386348724,0.6895990371704102,0.4979793429374695,0.19161981344223022,0.5189862251281738,-1.71181321144104,1.8650317192077637,0.674791693687439,0.9261817932128906,0.344455361366272,0.3307468593120575,0.6475000381469727,0.09788867086172104,0.2864864766597748,-0.015415090136229992,-0.05482469126582146,0.1339583396911621,0.2678711712360382,0.8071578741073608,-0.0003157902774546528,-0.002723549533194663,0.03,0.015,0,0,0,0,0,0,1.0,0.015,0,0,0.0,70,0,0.0,5.858075060132251e-05,5.858075060132251e-05,-0.004904360510408878,0.00863138772547245,70,0,1.0,0.0,70,70,0.26520833373069763,0.26520833373069763,0.5,0.0
6,hierarchical_actor_joint_reward_aligned_credit,hierarchical_actor_separate_theta_route_backbones,1.0024292469024658,0.11706800758838654,1.6092071533203125,1.0645620822906494,0.17174500226974487,1.9884859323501587,0.25729167461395264,0.25729167461395264,0.5270833373069763,0.5270833373069763,0.25729167461395264,1235.0,1.0,0.0,1.0,1.0,-8.489936931255215e-08,0.9973316192626953,0.21743981540203094,0.16194112598896027,0.05549868941307068,0.5235799551010132,-1.46689772605896,1.3697443008422852,3.6467423569774837e-07,0.9974396824836731,-0.0007614425267092884,0.4683261215686798,-1.5523715019226074,1.4657666683197021,-0.11015059053897858,-0.110912024974823,0.44453439116477966,0.468406617641449,0.5908183455467224,0.9940739274024963,0.996579647064209,0,0.0,-0.2614690065383911,-0.2662101686000824,-0.2117810696363449,-0.16393253207206726,-0.31595849990844727,-0.3083886206150055,1.0203665494918823,-0.007569864857941866,0.2043749988079071,0.6775549650192261,0.5189758539199829,0.15857909619808197,0.47861364483833313,-1.7999353408813477,1.669407844543457,0.6664583683013916,0.9373593330383301,0.31721311807632446,0.3424507677555084,0.6100000143051147,0.059474412351846695,0.29262274503707886,0.0047411611303687096,-0.047848522663116455,0.12020833790302277,0.20161943137645721,0.8309261500835419,-4.3966105850553764e-05,-0.003633747061394388,0.03,0.015,0,0,0,0,0,0,1.0,0.015,0,0,0.0,70,0,0.0,0.00035680195278473545,0.00035680195278473545,-0.00488294567912817,0.007392223924398422,70,0,1.0,0.0,70,70,0.25729167461395264,0.25729167461395264,0.5,0.0
7,hierarchical_actor_joint_reward_aligned_credit,hierarchical_actor_separate_theta_route_backbones,1.02711820602417,0.12222902476787567,1.6370272636413574,1.031535267829895,0.17293888330459595,2.0093226432800293,0.2722916603088379,0.2722916603088379,0.53125,0.53125,0.2722916603088379,1307.0,1.0,0.0,1.0,1.0,-3.643954826770823e-08,0.9974350929260254,0.2899859547615051,0.2013900727033615,0.0885959044098854,0.523409366607666,-1.399705410003662,1.4018399715423584,3.705338613713138e-08,0.9972677230834961,-0.00582853052765131,0.4312919080257416,-1.4994864463806152,1.4579678773880005,-0.11351721733808517,-0.11934574693441391,0.4399387836456299,0.48255813121795654,0.6078431606292725,0.9946283102035522,0.9971257448196411,0,0.0,-0.2709016501903534,-0.2520088851451874,-0.18133790791034698,-0.16704565286636353,-0.32027846574783325,-0.29749399423599243,1.036903738975525,-0.022784434258937836,0.1912500113248825,0.7646629810333252,0.581757128238678,0.1829058825969696,0.4486863911151886,-1.832221508026123,1.7968578338623047,0.6941666603088379,0.9275362491607666,0.3819655776023865,0.33638209104537964,0.6460416913032532,0.07939913868904114,0.2930394411087036,-0.018892766907811165,-0.014292269945144653,0.12812499701976776,0.16143840551376343,0.8380387425422668,-0.00040316940290462556,-0.001148464622487414,0.03,0.015,0,0,0,0,0,0,1.0,0.015,0,0,0.0,70,0,0.0,-0.00036909011688034555,-0.00036909011688034555,-0.011474847793579102,0.0019768960773944855,70,0,1.0,0.0,70,70,0.2722916603088379,0.2722916603088379,0.5,0.0
8,hierarchical_actor_joint_reward_aligned_credit,hierarchical_actor_separate_theta_route_backbones,1.0210723876953125,0.11658667773008347,1.7929977178573608,1.0246657133102417,0.15855015814304352,1.9466192722320557,0.2618750035762787,0.2618750035762787,0.5370833277702332,0.5370833277702332,0.2618750035762787,1257.0,1.0,0.0,1.0,1.0,-7.644295862974104e-08,0.9974081516265869,0.233334019780159,0.17138943076133728,0.06194458156824112,0.48779764771461487,-1.3909518718719482,1.3940496444702148,-2.0347138729448488e-07,0.9979627728462219,-0.008636655285954475,0.4029526710510254,-1.4877007007598877,1.4567385911941528,-0.13137604296207428,-0.1400127112865448,0.43118536472320557,0.4667721688747406,0.6080645322799683,0.9943311810493469,0.9968315958976746,0,0.0,-0.23775920271873474,-0.22391457855701447,-0.1568550020456314,-0.14747409522533417,-0.27883559465408325,-0.26253437995910645,1.0284993648529053,-0.016301242634654045,0.17854167520999908,0.7492365837097168,0.585525393486023,0.16371123492717743,0.4163466989994049,-1.7552881240844727,1.5918081998825073,0.6966666579246521,0.93389892578125,0.3680485486984253,0.34419554471969604,0.6181250214576721,0.06363636255264282,0.29397472739219666,-0.013844613917171955,-0.009380913339555264,0.12062500417232513,0.1591089814901352,0.8555392026901245,-0.0004059281425205492,-0.0012773998693384264,0.03,0.015,0,0,0,0,0,0,1.0,0.015,0,0,0.0,70,0,0.0,-0.00012219458562218017,-0.00012219458562218017,-0.005833541043102741,0.0037618663627654314,70,0,1.0,0.0,70,70,0.2618750035762787,0.2618750035762787,0.5,0.0
9,hierarchical_actor_joint_reward_aligned_credit,hierarchical_actor_separate_theta_route_backbones,1.0186208486557007,0.11203757673501968,1.6497812271118164,1.0282208919525146,0.18001674115657806,2.549619197845459,0.25874999165534973,0.25874999165534973,0.5381250381469727,0.5381250381469727,0.25874999165534973,1242.0,1.0,0.0,1.0,1.0,-5.06639494801675e-08,0.9973436594009399,0.2641027271747589,0.19498619437217712,0.06911656260490417,0.4727921783924103,-1.5828852653503418,1.2701219320297241,1.672481353409694e-08,0.9967291951179504,-0.010004878975450993,0.3777465522289276,-1.4535467624664307,1.5216596126556396,-0.1349254548549652,-0.14493033289909363,0.4275362491607666,0.4545454680919647,0.5950292348861694,0.992952287197113,0.9962793588638306,0,0.0,-0.22796522080898285,-0.21598577499389648,-0.13880644738674164,-0.12855203449726105,-0.2638813853263855,-0.24924860894680023,1.0268499851226807,-0.014632771722972393,0.16312500834465027,0.7440215349197388,0.5837571024894714,0.16026443243026733,0.40219995379447937,-1.9425675868988037,1.7468633651733398,0.6943750381469727,0.945916473865509,0.39929741621017456,0.3240973949432373,0.6337500214576721,0.08785942196846008,0.28506022691726685,-0.011979439295828342,-0.01025442499667406,0.1145833358168602,0.14251208305358887,0.8658141791820526,-0.0004493781433536372,-0.0029492326878555884,0.03,0.015,0,0,0,0,0,0,1.0,0.015,0,0,0.0,70,0,0.0,-0.0008651738716642805,-0.0008651738716642805,-0.03213878720998764,0.006657917983829975,70,0,1.0,0.0,70,70,0.25874999165534973,0.25874999165534973,0.5,0.0
