epoch,policy_surrogate_mode,actor_structure_mode,theta_backbone_grad_norm,route_backbone_grad_norm,theta_route_feature_correlation,theta_head_grad_norm,route_head_grad_norm,theta_route_head_correlation,route_mask_mean,route_mask_active_fraction,offload_rate_mean
0,hierarchical_actor_joint_reward_aligned_credit,hierarchical_actor_separate_theta_route_backbones,0.07248280859122169,0.05735788161187213,0.021544644609093666,0.07444585836001309,0.08076058032028481,-0.15201960504055023,0.51583331823349,0.51583331823349,0.5044488906860352
1,hierarchical_actor_joint_reward_aligned_credit,hierarchical_actor_separate_theta_route_backbones,0.09184990430245044,0.09196328589477731,-0.00893676932901144,0.06495251238492572,0.0865351703113179,-0.10395531356334686,0.48520833253860474,0.48520833253860474,0.4964854121208191
2,hierarchical_actor_joint_reward_aligned_credit,hierarchical_actor_separate_theta_route_backbones,0.09958868815344628,0.11417415426432698,-0.0020551406778395176,0.06164983925394181,0.09197990143389122,-0.04332674294710159,0.43020835518836975,0.43020835518836975,0.47895753383636475
3,hierarchical_actor_joint_reward_aligned_credit,hierarchical_actor_separate_theta_route_backbones,0.098972220845202,0.1254075607094886,0.00166392105165869,0.055953071220520456,0.0935553590035047,-0.0800705999135971,0.3700000047683716,0.3700000047683716,0.4473090171813965
4,hierarchical_actor_joint_reward_aligned_credit,hierarchical_actor_separate_theta_route_backbones,0.08924869507573058,0.14598655931749221,-0.010464134626090527,0.04903534624131636,0.09284383614524505,-0.041485488414764404,0.3179166615009308,0.3179166615009308,0.3966038227081299
5,hierarchical_actor_joint_reward_aligned_credit,hierarchical_actor_separate_theta_route_backbones,0.0733623488181836,0.15112378159853937,-0.025315048173069954,0.04544703745117481,0.08727711519788312,-0.042544957250356674,0.26520833373069763,0.26520833373069763,0.3318161964416504
6,hierarchical_actor_joint_reward_aligned_credit,hierarchical_actor_separate_theta_route_backbones,0.07302191622641158,0.13929591636447267,-0.014563675969839096,0.041967558323049846,0.07436767297924204,-0.04543589428067207,0.25729167461395264,0.25729167461395264,0.31210237741470337
7,hierarchical_actor_joint_reward_aligned_credit,hierarchical_actor_separate_theta_route_backbones,0.0693422938098745,0.11892030991875581,-0.0015747395809739828,0.03849594522498271,0.06584790915137806,-0.04250095412135124,0.2722916603088379,0.2722916603088379,0.3384838402271271
8,hierarchical_actor_joint_reward_aligned_credit,hierarchical_actor_separate_theta_route_backbones,0.06708008971750501,0.10446693723868225,0.0040171388536691666,0.03474092089539271,0.052161428060549436,-0.06847517937421799,0.2618750035762787,0.2618750035762787,0.31750887632369995
9,hierarchical_actor_joint_reward_aligned_credit,hierarchical_actor_separate_theta_route_backbones,0.06509086978450958,0.116405369902864,-0.0003828469489235431,0.03252244129952601,0.05721195568200402,-0.06684916466474533,0.25874999165534973,0.25874999165534973,0.3151140511035919
10,hierarchical_actor_joint_reward_aligned_credit,hierarchical_actor_separate_theta_route_backbones,0.06923187588831528,0.08422482830029689,0.0026076834183186293,0.02911445089883362,0.045229123177074046,-0.0621785931289196,0.3460416793823242,0.3460416793823242,0.379248708486557
11,hierarchical_actor_joint_reward_aligned_credit,hierarchical_actor_separate_theta_route_backbones,0.07026804911688216,0.09585268250966957,0.002414326649159193,0.030323707301571245,0.04804477875555062,-0.06291734427213669,0.27416667342185974,0.27416667342185974,0.33544525504112244
