telemetry_step,train_epoch,update_epoch,minibatch_id,final_critic_backbone_delta_norm,backbone_active_count,backbone_clipped_active_count,backbone_clipped_active_fraction,backbone_active_preconditioner_mean,backbone_active_preconditioner_p95,backbone_active_preconditioner_p99,backbone_active_preconditioner_max,backbone_active_preconditioner_mean_after_clip,backbone_active_preconditioner_p95_after_clip,backbone_active_preconditioner_p99_after_clip,backbone_active_preconditioner_max_after_clip,backbone_soft_geometry_scale_factor_mean,backbone_soft_geometry_scale_factor_p50,backbone_soft_geometry_scale_factor_p95,backbone_soft_geometry_scale_factor_min,backbone_soft_geometry_trigger_active_fraction,backbone_soft_geometry_overflow_stat_mean,backbone_soft_geometry_overflow_stat_p95
0,0,0,0,0.13802039051363257,76800,0,0.0,461735.84375,796885.1875,10112296.0,90994840.0,461735.84375,796885.1875,10112296.0,90994840.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
1,0,0,1,0.09999839900929948,76800,0,0.0,301834.625,463678.875,8156559.5,84630008.0,301834.625,463678.875,8156559.5,84630008.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
2,0,0,2,0.087524699807906,76800,0,0.0,251295.546875,429173.75,7492255.0,56770824.0,251295.546875,429173.75,7492255.0,56770824.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
3,0,0,3,0.07815767689587082,76800,0,0.0,251614.0,457210.0,7406416.0,56136792.0,251614.0,457210.0,7406416.0,56136792.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
4,0,0,4,0.07354229185171408,76800,0,0.0,246872.453125,458612.5,7054919.0,56879936.0,246872.453125,458612.5,7054919.0,56879936.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
5,0,0,5,0.07057900374326194,76800,0,0.0,237532.90625,467931.15625,6991592.5,50197908.0,237532.90625,467931.15625,6991592.5,50197908.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
6,0,0,6,0.06785569647750637,76800,0,0.0,235420.53125,485058.46875,6725007.5,49053268.0,235420.53125,485058.46875,6725007.5,49053268.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
7,0,1,7,0.06788538089199607,76800,0,0.0,235469.140625,485774.875,6827801.5,48492000.0,235469.140625,485774.875,6827801.5,48492000.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
8,0,1,8,0.06704850332009198,76800,0,0.0,233264.796875,480984.46875,6801755.054999926,49817612.0,233264.796875,480984.46875,6801755.054999926,49817612.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
9,0,1,9,0.06725074691689716,76800,0,0.0,233656.421875,480165.96875,6905248.969999959,50542664.0,233656.421875,480165.96875,6905248.969999959,50542664.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
10,0,1,10,0.06650359698891853,76800,0,0.0,231675.5,465146.625,6814803.0,48185420.0,231675.5,465146.625,6814803.0,48185420.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
11,0,1,11,0.06471501224528102,76800,0,0.0,229665.46875,461101.84375,6804659.954999997,46978836.0,229665.46875,461101.84375,6804659.954999997,46978836.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
12,0,1,12,0.06376302790616845,76800,0,0.0,224210.484375,444195.375,6543346.5,45255140.0,224210.484375,444195.375,6543346.5,45255140.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
13,0,1,13,0.06300848106170434,76800,0,0.0,221080.40625,437881.75,6575355.564999844,45324384.0,221080.40625,437881.75,6575355.564999844,45324384.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
14,0,2,14,0.06400643611801193,76800,0,0.0,219796.4375,435744.65625,6390398.794999708,43322676.0,219796.4375,435744.65625,6390398.794999708,43322676.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
15,0,2,15,0.06396563961350886,76800,0,0.0,219670.046875,441068.96875,6365059.5,43768700.0,219670.046875,441068.96875,6365059.5,43768700.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
16,0,2,16,0.06385926999723515,76800,0,0.0,218904.96875,435864.6875,6218873.62499992,44191340.0,218904.96875,435864.6875,6218873.62499992,44191340.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
17,0,2,17,0.06387297142656707,76800,0,0.0,218456.375,440002.375,6204737.019999911,44902268.0,218456.375,440002.375,6204737.019999911,44902268.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
18,0,2,18,0.06321945683765048,76800,0,0.0,216058.421875,439652.09375,6016412.5,45574216.0,216058.421875,439652.09375,6016412.5,45574216.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
19,0,2,19,0.06278827557614221,76800,0,0.0,214114.1875,433944.75,5923923.5,45579184.0,214114.1875,433944.75,5923923.5,45579184.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
20,0,2,20,0.062267837499922436,76800,0,0.0,215086.5625,440998.125,5997185.764999934,46071748.0,215086.5625,440998.125,5997185.764999934,46071748.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
21,0,3,21,0.06269109777088097,76800,0,0.0,215646.875,437548.78125,6070626.5,45442228.0,215646.875,437548.78125,6070626.5,45442228.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
22,0,3,22,0.06353390477351178,76800,0,0.0,213976.5,436930.09375,6045335.5,45745780.0,213976.5,436930.09375,6045335.5,45745780.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
23,0,3,23,0.06386543386842773,76800,0,0.0,212847.734375,433500.59375,6134097.554999958,45986556.0,212847.734375,433500.59375,6134097.554999958,45986556.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
24,0,3,24,0.06384023814547717,76800,0,0.0,212866.46875,433273.90625,6036310.574999639,46123448.0,212866.46875,433273.90625,6036310.574999639,46123448.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
25,0,3,25,0.06282293041637048,76800,0,0.0,214032.890625,436697.59375,6055559.589999777,46588428.0,214032.890625,436697.59375,6055559.589999777,46588428.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
26,0,3,26,0.06284798858164647,76800,0,0.0,213966.609375,436799.875,6092970.799999966,46503120.0,213966.609375,436799.875,6092970.799999966,46503120.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
27,0,3,27,0.06386535125750885,76800,0,0.0,211274.140625,438343.03125,6173740.5,42011980.0,211274.140625,438343.03125,6173740.5,42011980.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
28,0,4,28,0.06379896563266695,76800,0,0.0,212071.328125,439092.625,6204124.5,42430032.0,212071.328125,439092.625,6204124.5,42430032.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
29,0,4,29,0.06425334472348361,76800,0,0.0,211550.34375,433382.75,6137722.0,42695012.0,211550.34375,433382.75,6137722.0,42695012.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
30,0,4,30,0.0633663140792566,76800,0,0.0,212456.640625,431787.78125,6190027.0,43010648.0,212456.640625,431787.78125,6190027.0,43010648.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
31,0,4,31,0.06298579497395165,76800,0,0.0,213455.96875,434649.75,6201367.5,43260616.0,213455.96875,434649.75,6201367.5,43260616.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
32,0,4,32,0.06243500559039537,76800,0,0.0,214567.875,436790.0,6207737.0,43601648.0,214567.875,436790.0,6207737.0,43601648.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
33,0,4,33,0.06101590781382038,76800,0,0.0,215367.859375,438976.90625,6268903.0,43793512.0,215367.859375,438976.90625,6268903.0,43793512.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
34,0,4,34,0.06153954108636386,76800,0,0.0,215714.78125,441785.5625,6262945.0,43886196.0,215714.78125,441785.5625,6262945.0,43886196.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
35,0,5,35,0.060403047265031214,76800,0,0.0,217242.046875,444993.40625,6149038.5,44227228.0,217242.046875,444993.40625,6149038.5,44227228.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
36,0,5,36,0.06032348505308469,76800,0,0.0,218225.578125,448518.96875,6154758.0,44413644.0,218225.578125,448518.96875,6154758.0,44413644.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
37,0,5,37,0.059843483281277005,76796,0,0.0,218310.9375,434492.75,6152292.5,44341524.0,218310.9375,434492.75,6152292.5,44341524.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
38,0,5,38,0.058574162199606365,76800,0,0.0,220247.8125,453911.40625,6290478.0,44653280.0,220247.8125,453911.40625,6290478.0,44653280.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
39,0,5,39,0.05777982066288359,76800,0,0.0,220982.546875,457396.34375,6278332.5,44496536.0,220982.546875,457396.34375,6278332.5,44496536.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
40,0,5,40,0.056484787677237844,76800,0,0.0,222178.421875,462013.6875,6315579.5,44790544.0,222178.421875,462013.6875,6315579.5,44790544.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
41,0,5,41,0.05636446539816016,76800,0,0.0,222636.953125,463978.59375,6338659.0,44986272.0,222636.953125,463978.59375,6338659.0,44986272.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
42,0,6,42,0.055723974949347506,76800,0,0.0,224159.140625,466477.59375,6378438.0,45179248.0,224159.140625,466477.59375,6378438.0,45179248.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
43,0,6,43,0.05441365628173127,76800,0,0.0,225600.5,469182.15625,6448893.5,45182772.0,225600.5,469182.15625,6448893.5,45182772.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
44,0,6,44,0.05365937189101966,76800,0,0.0,226782.0,472341.96875,6494293.5,45444456.0,226782.0,472341.96875,6494293.5,45444456.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
45,0,6,45,0.05275359672406531,76800,0,0.0,228205.890625,475505.15625,6509140.5,45436748.0,228205.890625,475505.15625,6509140.5,45436748.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
46,0,6,46,0.051413571614977394,76800,0,0.0,229888.421875,479028.34375,6556972.0,45703108.0,229888.421875,479028.34375,6556972.0,45703108.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
47,0,6,47,0.05045740984745564,76800,0,0.0,231450.0,482349.0,6617390.0,45940824.0,231450.0,482349.0,6617390.0,45940824.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
48,0,6,48,0.04899256088889635,76800,0,0.0,233093.65625,487050.5,6680309.0,46192832.0,233093.65625,487050.5,6680309.0,46192832.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
49,0,7,49,0.0480888476011426,76800,0,0.0,234639.78125,490602.75,6726326.0,46449588.0,234639.78125,490602.75,6726326.0,46449588.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
50,0,7,50,0.04723356113239304,76800,0,0.0,236009.953125,493319.90625,6761039.5,46674416.0,236009.953125,493319.90625,6761039.5,46674416.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
51,0,7,51,0.04601597908429445,76800,0,0.0,237769.328125,497139.0625,6820969.5,46917648.0,237769.328125,497139.0625,6820969.5,46917648.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
52,0,7,52,0.04484758478767656,76800,0,0.0,239400.109375,500716.125,6874861.0,47150872.0,239400.109375,500716.125,6874861.0,47150872.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
53,0,7,53,0.0435658247967804,76800,0,0.0,241073.8125,505281.4375,6922569.5,47344992.0,241073.8125,505281.4375,6922569.5,47344992.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
54,0,7,54,0.043059176863531154,76800,0,0.0,242519.3125,508988.21875,6912982.0,47537824.0,242519.3125,508988.21875,6912982.0,47537824.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
55,0,7,55,0.04208448832220788,76800,0,0.0,244204.59375,513483.65625,6953757.389999945,47680212.0,244204.59375,513483.65625,6953757.389999945,47680212.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
56,0,8,56,0.04255960443726934,76800,0,0.0,245970.6875,517899.5,6999678.054999878,47871212.0,245970.6875,517899.5,6999678.054999878,47871212.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
57,0,8,57,0.04116965857059836,76800,0,0.0,247632.140625,522160.59375,7044925.32499983,48086784.0,247632.140625,522160.59375,7044925.32499983,48086784.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
58,0,8,58,0.039968482966184514,76800,0,0.0,249375.3125,526577.875,7101944.519999839,48304296.0,249375.3125,526577.875,7101944.519999839,48304296.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
59,0,8,59,0.03884192586137279,76800,0,0.0,251122.953125,530874.6875,7147148.14499978,48477632.0,251122.953125,530874.6875,7147148.14499978,48477632.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
60,0,8,60,0.03789670944956166,76800,0,0.0,252815.328125,535303.125,7200370.82499977,48622824.0,252815.328125,535303.125,7200370.82499977,48622824.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
61,0,8,61,0.03674290064114253,76800,0,0.0,254480.296875,539258.1875,7253961.264999799,48782404.0,254480.296875,539258.1875,7253961.264999799,48782404.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
62,0,8,62,0.03607011217304092,76800,0,0.0,256098.671875,543195.375,7294453.669999752,48987220.0,256098.671875,543195.375,7294453.669999752,48987220.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
63,0,9,63,0.03588625229975044,76800,0,0.0,257815.5,547314.1875,7348300.454999812,49157392.0,257815.5,547314.1875,7348300.454999812,49157392.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
64,0,9,64,0.034932342787707585,76800,0,0.0,259396.15625,551167.125,7396214.354999794,49354284.0,259396.15625,551167.125,7396214.354999794,49354284.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
65,0,9,65,0.03650259765673256,76800,0,0.0,259884.90625,552726.6875,7405201.0,49188868.0,259884.90625,552726.6875,7405201.0,49188868.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
66,0,9,66,0.03494875594319441,76800,0,0.0,261508.875,556803.75,7449356.5,49325096.0,261508.875,556803.75,7449356.5,49325096.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
67,0,9,67,0.03738903296255158,76800,0,0.0,261903.96875,555498.875,7421448.0,49017340.0,261903.96875,555498.875,7421448.0,49017340.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
