epoch,policy_surrogate_mode,actor_structure_mode,route_gate_mean,route_gate_std,route_gate_min,route_gate_max,route_gate_active_fraction,offload_rate_mean,theta_head_grad_norm,route_head_grad_norm,theta_backbone_grad_norm,route_backbone_grad_norm
0,hierarchical_actor_joint_reward_aligned_credit,hierarchical_actor_separate_theta_route_backbones,0.49985021352767944,0.0917033776640892,0.21513128280639648,0.8217537999153137,0.5054166913032532,0.49985021352767944,0.07385832644867604,0.0821469442348829,0.06890912283881745,0.0567407038037201
1,hierarchical_actor_joint_reward_aligned_credit,hierarchical_actor_separate_theta_route_backbones,0.5003257989883423,0.11129488795995712,0.1579785794019699,0.8425493240356445,0.503125011920929,0.5003257989883423,0.06557494885440814,0.08489949927566658,0.0878157733145775,0.09198963971429519
2,hierarchical_actor_joint_reward_aligned_credit,hierarchical_actor_separate_theta_route_backbones,0.48265549540519714,0.15399202704429626,0.07022276520729065,0.9326964020729065,0.44333335757255554,0.48265549540519714,0.060021853192016306,0.08815660221236492,0.09757096954823176,0.10510539710917496
3,hierarchical_actor_joint_reward_aligned_credit,hierarchical_actor_separate_theta_route_backbones,0.44238054752349854,0.19758820533752441,0.05613141506910324,0.9645813703536987,0.3712500035762787,0.44238054752349854,0.055421653485017916,0.08992265716682034,0.09223900643696178,0.12867024170627378
4,hierarchical_actor_joint_reward_aligned_credit,hierarchical_actor_separate_theta_route_backbones,0.38948914408683777,0.22815825045108795,0.019131779670715332,0.9784851670265198,0.31437501311302185,0.38948914408683777,0.04778805636931419,0.09302017982304946,0.08242425669529581,0.13474042323105664
5,hierarchical_actor_joint_reward_aligned_credit,hierarchical_actor_separate_theta_route_backbones,0.34956908226013184,0.25447776913642883,0.008968600071966648,0.9859675765037537,0.28104168176651,0.34956908226013184,0.04385525593215584,0.08774535766543592,0.07790943580936241,0.15954346471341063
6,hierarchical_actor_joint_reward_aligned_credit,hierarchical_actor_separate_theta_route_backbones,0.33587390184402466,0.2671201229095459,0.004122515674680471,0.986153244972229,0.2710416615009308,0.33587390184402466,0.04208823702752963,0.07397854757701584,0.07587349737779236,0.14336416772281163
7,hierarchical_actor_joint_reward_aligned_credit,hierarchical_actor_separate_theta_route_backbones,0.32104364037513733,0.2805270850658417,0.006217363756150007,0.9966111779212952,0.2639583349227905,0.32104364037513733,0.0367411607941661,0.06860735245051676,0.06830802802032959,0.13106726780656378
8,hierarchical_actor_joint_reward_aligned_credit,hierarchical_actor_separate_theta_route_backbones,0.3203006684780121,0.2877359390258789,0.0077539850026369095,0.9974063038825989,0.2658333480358124,0.3203006684780121,0.03612038522796727,0.06305020488081582,0.07012107044602836,0.1417064520146434
9,hierarchical_actor_joint_reward_aligned_credit,hierarchical_actor_separate_theta_route_backbones,0.3145524561405182,0.29661476612091064,0.0044686938636004925,0.9981645941734314,0.26520833373069763,0.3145524561405182,0.03286514306753293,0.04606873310730283,0.06634612593069868,0.09792513755357188
10,hierarchical_actor_joint_reward_aligned_credit,hierarchical_actor_separate_theta_route_backbones,0.3195570707321167,0.2961319386959076,0.007073645014315844,0.9988366961479187,0.2629166841506958,0.3195570707321167,0.030212466629983562,0.04114716315759411,0.06466982488059568,0.09573367801925015
11,hierarchical_actor_joint_reward_aligned_credit,hierarchical_actor_separate_theta_route_backbones,0.3042886555194855,0.31177642941474915,0.003128388896584511,0.999142050743103,0.2641666829586029,0.3042886555194855,0.029173561190184008,0.035263117702387166,0.06429442665725131,0.08223984393855151
