block_index,block_start,block_stop_exclusive,block_size,block_semantic,policy_surrogate_mode,block_adv_scale_mean,block_adv_scale_std,block_adv_scale_max,block_adv_scale_min,block_clip_fraction,per_block_selected_action_prob_gain_mean,per_block_selected_action_prob_gain_std,epoch
0,0,3,3,dispatch_decision_block,hierarchical_actor_joint_reward_aligned_credit,1.0,0.0,1.0,1.0,0.32999998331069946,-0.11870700865983963,0.6275205612182617,0
1,3,6,3,dispatch_decision_block,hierarchical_actor_joint_reward_aligned_credit,1.0,0.0,1.0,1.0,0.125,-0.11926767230033875,0.38493627309799194,0
2,6,9,3,dispatch_decision_block,hierarchical_actor_joint_reward_aligned_credit,1.0,0.0,1.0,1.0,0.9899999499320984,-0.23224887251853943,0.5728798508644104,0
3,9,12,3,dispatch_decision_block,hierarchical_actor_joint_reward_aligned_credit,1.0,0.0,1.0,1.0,0.1599999964237213,-0.07675308734178543,0.4153709411621094,0
4,12,15,3,dispatch_decision_block,hierarchical_actor_joint_reward_aligned_credit,1.0,0.0,1.0,1.0,0.14999999105930328,-0.0870281383395195,0.3833124339580536,0
5,15,18,3,dispatch_decision_block,hierarchical_actor_joint_reward_aligned_credit,1.0,0.0,1.0,1.0,0.6949999928474426,-0.17080378532409668,0.5487089157104492,0
6,18,21,3,dispatch_decision_block,hierarchical_actor_joint_reward_aligned_credit,1.0,0.0,1.0,1.0,0.29499998688697815,-0.13060764968395233,0.5334941148757935,0
7,21,24,3,dispatch_decision_block,hierarchical_actor_joint_reward_aligned_credit,1.0,0.0,1.0,1.0,0.11499999463558197,-0.101814866065979,0.5049833655357361,0
8,24,27,3,dispatch_decision_block,hierarchical_actor_joint_reward_aligned_credit,1.0,0.0,1.0,1.0,0.8499999642372131,-0.10666651278734207,0.6748616695404053,0
9,27,30,3,dispatch_decision_block,hierarchical_actor_joint_reward_aligned_credit,1.0,0.0,1.0,1.0,0.20499999821186066,-0.16297073662281036,0.497739315032959,0
10,30,33,3,dispatch_decision_block,hierarchical_actor_joint_reward_aligned_credit,1.0,0.0,1.0,1.0,0.17499999701976776,-0.1487085372209549,0.45348623394966125,0
11,33,36,3,dispatch_decision_block,hierarchical_actor_joint_reward_aligned_credit,1.0,0.0,1.0,1.0,0.824999988079071,-0.21470053493976593,0.4574419856071472,0
12,36,39,3,dispatch_decision_block,hierarchical_actor_joint_reward_aligned_credit,1.0,0.0,1.0,1.0,0.5550000071525574,-0.1586848944425583,0.470674991607666,0
13,39,42,3,dispatch_decision_block,hierarchical_actor_joint_reward_aligned_credit,1.0,0.0,1.0,1.0,0.11999999731779099,-0.13275417685508728,0.3903087079524994,0
14,42,45,3,dispatch_decision_block,hierarchical_actor_joint_reward_aligned_credit,1.0,0.0,1.0,1.0,0.949999988079071,-0.1536443829536438,0.5882635116577148,0
15,45,48,3,dispatch_decision_block,hierarchical_actor_joint_reward_aligned_credit,1.0,0.0,1.0,1.0,0.26499998569488525,-0.1314091682434082,0.558734118938446,0
16,48,51,3,dispatch_decision_block,hierarchical_actor_joint_reward_aligned_credit,1.0,0.0,1.0,1.0,0.20999999344348907,-0.17887042462825775,0.45055091381073,0
17,51,54,3,dispatch_decision_block,hierarchical_actor_joint_reward_aligned_credit,1.0,0.0,1.0,1.0,0.9799999594688416,-0.14782367646694183,0.5863960385322571,0
18,54,57,3,dispatch_decision_block,hierarchical_actor_joint_reward_aligned_credit,1.0,0.0,1.0,1.0,0.03999999910593033,-0.05334428697824478,0.3470284342765808,0
19,57,60,3,dispatch_decision_block,hierarchical_actor_joint_reward_aligned_credit,1.0,0.0,1.0,1.0,0.03500000014901161,-0.05831670016050339,0.35948485136032104,0
20,60,63,3,dispatch_decision_block,hierarchical_actor_joint_reward_aligned_credit,1.0,0.0,1.0,1.0,0.8799999952316284,-0.10638157278299332,0.6357800364494324,0
21,63,66,3,dispatch_decision_block,hierarchical_actor_joint_reward_aligned_credit,1.0,0.0,1.0,1.0,0.19499999284744263,-0.10883121192455292,0.45373132824897766,0
22,66,69,3,dispatch_decision_block,hierarchical_actor_joint_reward_aligned_credit,1.0,0.0,1.0,1.0,0.14999999105930328,-0.1744195967912674,0.3793916404247284,0
23,69,72,3,dispatch_decision_block,hierarchical_actor_joint_reward_aligned_credit,1.0,0.0,1.0,1.0,0.9749999642372131,-0.17436160147190094,0.6144595146179199,0
0,0,3,3,dispatch_decision_block,hierarchical_actor_joint_reward_aligned_credit,1.0,0.0,1.0,1.0,0.675000011920929,-0.19780726730823517,0.639181911945343,1
1,3,6,3,dispatch_decision_block,hierarchical_actor_joint_reward_aligned_credit,1.0,0.0,1.0,1.0,0.5349999666213989,-0.22156207263469696,0.5603859424591064,1
2,6,9,3,dispatch_decision_block,hierarchical_actor_joint_reward_aligned_credit,1.0,0.0,1.0,1.0,0.7549999952316284,-0.33213043212890625,0.6754142045974731,1
3,9,12,3,dispatch_decision_block,hierarchical_actor_joint_reward_aligned_credit,1.0,0.0,1.0,1.0,0.6800000071525574,-0.29638558626174927,0.5134810209274292,1
4,12,15,3,dispatch_decision_block,hierarchical_actor_joint_reward_aligned_credit,1.0,0.0,1.0,1.0,0.45499998331069946,-0.1765134334564209,0.578103244304657,1
5,15,18,3,dispatch_decision_block,hierarchical_actor_joint_reward_aligned_credit,1.0,0.0,1.0,1.0,0.7649999856948853,-0.32581645250320435,0.6462530493736267,1
6,18,21,3,dispatch_decision_block,hierarchical_actor_joint_reward_aligned_credit,1.0,0.0,1.0,1.0,0.574999988079071,-0.3449028432369232,0.5642881989479065,1
7,21,24,3,dispatch_decision_block,hierarchical_actor_joint_reward_aligned_credit,1.0,0.0,1.0,1.0,0.4350000023841858,-0.16388419270515442,0.5384045839309692,1
8,24,27,3,dispatch_decision_block,hierarchical_actor_joint_reward_aligned_credit,1.0,0.0,1.0,1.0,0.7599999904632568,-0.3665425777435303,0.6181331276893616,1
9,27,30,3,dispatch_decision_block,hierarchical_actor_joint_reward_aligned_credit,1.0,0.0,1.0,1.0,0.5849999785423279,-0.18794852495193481,0.6594205498695374,1
10,30,33,3,dispatch_decision_block,hierarchical_actor_joint_reward_aligned_credit,1.0,0.0,1.0,1.0,0.39499998092651367,-0.1350516676902771,0.5685567855834961,1
11,33,36,3,dispatch_decision_block,hierarchical_actor_joint_reward_aligned_credit,1.0,0.0,1.0,1.0,0.7799999713897705,-0.34424686431884766,0.6493213176727295,1
12,36,39,3,dispatch_decision_block,hierarchical_actor_joint_reward_aligned_credit,1.0,0.0,1.0,1.0,0.6449999809265137,-0.15811452269554138,0.7531399726867676,1
13,39,42,3,dispatch_decision_block,hierarchical_actor_joint_reward_aligned_credit,1.0,0.0,1.0,1.0,0.4699999988079071,-0.25732409954071045,0.496913343667984,1
14,42,45,3,dispatch_decision_block,hierarchical_actor_joint_reward_aligned_credit,1.0,0.0,1.0,1.0,0.7799999713897705,-0.25733116269111633,0.8138276934623718,1
15,45,48,3,dispatch_decision_block,hierarchical_actor_joint_reward_aligned_credit,1.0,0.0,1.0,1.0,0.5899999737739563,-0.2039240151643753,0.6505605578422546,1
16,48,51,3,dispatch_decision_block,hierarchical_actor_joint_reward_aligned_credit,1.0,0.0,1.0,1.0,0.47999998927116394,-0.2741214632987976,0.4857321083545685,1
17,51,54,3,dispatch_decision_block,hierarchical_actor_joint_reward_aligned_credit,1.0,0.0,1.0,1.0,0.75,-0.2591211795806885,0.635638952255249,1
18,54,57,3,dispatch_decision_block,hierarchical_actor_joint_reward_aligned_credit,1.0,0.0,1.0,1.0,0.6150000095367432,-0.2594873011112213,0.7122339010238647,1
19,57,60,3,dispatch_decision_block,hierarchical_actor_joint_reward_aligned_credit,1.0,0.0,1.0,1.0,0.429999977350235,-0.20885126292705536,0.4870296120643616,1
20,60,63,3,dispatch_decision_block,hierarchical_actor_joint_reward_aligned_credit,1.0,0.0,1.0,1.0,0.8149999976158142,-0.33258193731307983,0.6753493547439575,1
21,63,66,3,dispatch_decision_block,hierarchical_actor_joint_reward_aligned_credit,1.0,0.0,1.0,1.0,0.5199999809265137,-0.21965140104293823,0.7273170948028564,1
22,66,69,3,dispatch_decision_block,hierarchical_actor_joint_reward_aligned_credit,1.0,0.0,1.0,1.0,0.48499998450279236,-0.18578481674194336,0.5567315816879272,1
23,69,72,3,dispatch_decision_block,hierarchical_actor_joint_reward_aligned_credit,1.0,0.0,1.0,1.0,0.7549999952316284,-0.21029828488826752,1.0022759437561035,1
0,0,3,3,dispatch_decision_block,hierarchical_actor_joint_reward_aligned_credit,1.0,0.0,1.0,1.0,0.675000011920929,-0.3626929521560669,0.816801130771637,2
1,3,6,3,dispatch_decision_block,hierarchical_actor_joint_reward_aligned_credit,1.0,0.0,1.0,1.0,0.41499999165534973,-0.25993433594703674,0.5271402597427368,2
2,6,9,3,dispatch_decision_block,hierarchical_actor_joint_reward_aligned_credit,1.0,0.0,1.0,1.0,0.8199999928474426,-0.39014381170272827,0.6469389796257019,2
3,9,12,3,dispatch_decision_block,hierarchical_actor_joint_reward_aligned_credit,1.0,0.0,1.0,1.0,0.5349999666213989,-0.2685496211051941,1.0784753561019897,2
4,12,15,3,dispatch_decision_block,hierarchical_actor_joint_reward_aligned_credit,1.0,0.0,1.0,1.0,0.3700000047683716,-0.2104356288909912,0.6639701128005981,2
5,15,18,3,dispatch_decision_block,hierarchical_actor_joint_reward_aligned_credit,1.0,0.0,1.0,1.0,0.6899999976158142,-0.3697666823863983,0.6459034085273743,2
6,18,21,3,dispatch_decision_block,hierarchical_actor_joint_reward_aligned_credit,1.0,0.0,1.0,1.0,0.4599999785423279,-0.3463976979255676,0.5279600024223328,2
7,21,24,3,dispatch_decision_block,hierarchical_actor_joint_reward_aligned_credit,1.0,0.0,1.0,1.0,0.3149999976158142,-0.19304032623767853,0.5728141069412231,2
8,24,27,3,dispatch_decision_block,hierarchical_actor_joint_reward_aligned_credit,1.0,0.0,1.0,1.0,0.7599999904632568,-0.5041569471359253,0.5496123433113098,2
9,27,30,3,dispatch_decision_block,hierarchical_actor_joint_reward_aligned_credit,1.0,0.0,1.0,1.0,0.5299999713897705,-0.2562350034713745,0.7034460306167603,2
10,30,33,3,dispatch_decision_block,hierarchical_actor_joint_reward_aligned_credit,1.0,0.0,1.0,1.0,0.41499999165534973,-0.26257866621017456,0.5797621607780457,2
11,33,36,3,dispatch_decision_block,hierarchical_actor_joint_reward_aligned_credit,1.0,0.0,1.0,1.0,0.7549999952316284,-0.2600540816783905,0.9583691954612732,2
12,36,39,3,dispatch_decision_block,hierarchical_actor_joint_reward_aligned_credit,1.0,0.0,1.0,1.0,0.550000011920929,-0.31232765316963196,0.6221491694450378,2
13,39,42,3,dispatch_decision_block,hierarchical_actor_joint_reward_aligned_credit,1.0,0.0,1.0,1.0,0.3499999940395355,-0.1775125116109848,0.6193822026252747,2
14,42,45,3,dispatch_decision_block,hierarchical_actor_joint_reward_aligned_credit,1.0,0.0,1.0,1.0,0.8399999737739563,-0.4824827015399933,0.5551701188087463,2
15,45,48,3,dispatch_decision_block,hierarchical_actor_joint_reward_aligned_credit,1.0,0.0,1.0,1.0,0.5949999690055847,-0.23031118512153625,0.7259144186973572,2
16,48,51,3,dispatch_decision_block,hierarchical_actor_joint_reward_aligned_credit,1.0,0.0,1.0,1.0,0.23499999940395355,-0.1994435042142868,0.44455066323280334,2
17,51,54,3,dispatch_decision_block,hierarchical_actor_joint_reward_aligned_credit,1.0,0.0,1.0,1.0,0.7999999523162842,-0.33717992901802063,0.7074910998344421,2
18,54,57,3,dispatch_decision_block,hierarchical_actor_joint_reward_aligned_credit,1.0,0.0,1.0,1.0,0.41999998688697815,-0.26960673928260803,0.4947482943534851,2
19,57,60,3,dispatch_decision_block,hierarchical_actor_joint_reward_aligned_credit,1.0,0.0,1.0,1.0,0.3199999928474426,-0.1424500197172165,0.6146864295005798,2
20,60,63,3,dispatch_decision_block,hierarchical_actor_joint_reward_aligned_credit,1.0,0.0,1.0,1.0,0.7249999642372131,-0.39057761430740356,0.613791823387146,2
21,63,66,3,dispatch_decision_block,hierarchical_actor_joint_reward_aligned_credit,1.0,0.0,1.0,1.0,0.4399999976158142,-0.32699301838874817,0.7333723306655884,2
22,66,69,3,dispatch_decision_block,hierarchical_actor_joint_reward_aligned_credit,1.0,0.0,1.0,1.0,0.2800000011920929,-0.13456015288829803,0.4759316146373749,2
23,69,72,3,dispatch_decision_block,hierarchical_actor_joint_reward_aligned_credit,1.0,0.0,1.0,1.0,0.7299999594688416,-0.42769378423690796,0.5695722103118896,2
0,0,3,3,dispatch_decision_block,hierarchical_actor_joint_reward_aligned_credit,1.0,0.0,1.0,1.0,0.4650000035762787,-0.33173346519470215,0.7549688816070557,3
1,3,6,3,dispatch_decision_block,hierarchical_actor_joint_reward_aligned_credit,1.0,0.0,1.0,1.0,0.38499999046325684,-0.33641111850738525,0.5125917196273804,3
2,6,9,3,dispatch_decision_block,hierarchical_actor_joint_reward_aligned_credit,1.0,0.0,1.0,1.0,0.6200000047683716,-0.5164526104927063,0.6902422904968262,3
3,9,12,3,dispatch_decision_block,hierarchical_actor_joint_reward_aligned_credit,1.0,0.0,1.0,1.0,0.3799999952316284,-0.2792472541332245,0.8229417204856873,3
4,12,15,3,dispatch_decision_block,hierarchical_actor_joint_reward_aligned_credit,1.0,0.0,1.0,1.0,0.3149999976158142,-0.1541837900876999,0.8607605695724487,3
5,15,18,3,dispatch_decision_block,hierarchical_actor_joint_reward_aligned_credit,1.0,0.0,1.0,1.0,0.4599999785423279,-0.4318743944168091,0.7428841590881348,3
6,18,21,3,dispatch_decision_block,hierarchical_actor_joint_reward_aligned_credit,1.0,0.0,1.0,1.0,0.32999998331069946,-0.27168452739715576,0.7347513437271118,3
7,21,24,3,dispatch_decision_block,hierarchical_actor_joint_reward_aligned_credit,1.0,0.0,1.0,1.0,0.3700000047683716,-0.19758598506450653,0.6728782057762146,3
8,24,27,3,dispatch_decision_block,hierarchical_actor_joint_reward_aligned_credit,1.0,0.0,1.0,1.0,0.5299999713897705,-0.6211161613464355,0.4227384030818939,3
9,27,30,3,dispatch_decision_block,hierarchical_actor_joint_reward_aligned_credit,1.0,0.0,1.0,1.0,0.35999998450279236,-0.31798914074897766,0.43415698409080505,3
10,30,33,3,dispatch_decision_block,hierarchical_actor_joint_reward_aligned_credit,1.0,0.0,1.0,1.0,0.47999998927116394,-0.2971489727497101,0.7129086256027222,3
11,33,36,3,dispatch_decision_block,hierarchical_actor_joint_reward_aligned_credit,1.0,0.0,1.0,1.0,0.5899999737739563,-0.46899253129959106,0.5766811966896057,3
12,36,39,3,dispatch_decision_block,hierarchical_actor_joint_reward_aligned_credit,1.0,0.0,1.0,1.0,0.3499999940395355,-0.21624599397182465,0.7241843938827515,3
13,39,42,3,dispatch_decision_block,hierarchical_actor_joint_reward_aligned_credit,1.0,0.0,1.0,1.0,0.2750000059604645,-0.2198372632265091,0.5509892106056213,3
14,42,45,3,dispatch_decision_block,hierarchical_actor_joint_reward_aligned_credit,1.0,0.0,1.0,1.0,0.550000011920929,-0.5136586427688599,0.6383768320083618,3
15,45,48,3,dispatch_decision_block,hierarchical_actor_joint_reward_aligned_credit,1.0,0.0,1.0,1.0,0.4699999988079071,-0.352038711309433,0.6146855354309082,3
16,48,51,3,dispatch_decision_block,hierarchical_actor_joint_reward_aligned_credit,1.0,0.0,1.0,1.0,0.32999998331069946,-0.16866356134414673,0.5587349534034729,3
