block_index,block_start,block_stop_exclusive,block_size,block_semantic,policy_surrogate_mode,block_advantage_mean,block_advantage_std,block_advantage_max,block_advantage_min,block_clip_fraction,per_block_selected_action_prob_gain_mean,per_block_selected_action_prob_gain_std,epoch
0,0,3,3,dispatch_decision_block,hierarchical_actor_joint_reward_aligned_credit,-0.002025185851380229,0.30742353200912476,0.9063633680343628,-0.817649245262146,0.32999998331069946,-0.11870700865983963,0.6275205612182617,0
1,3,6,3,dispatch_decision_block,hierarchical_actor_joint_reward_aligned_credit,-0.0076920525170862675,0.3950476348400116,1.081024408340454,-1.3825745582580566,0.125,-0.11926767230033875,0.38493627309799194,0
2,6,9,3,dispatch_decision_block,hierarchical_actor_joint_reward_aligned_credit,-0.0039581297896802425,0.3946435749530792,1.2394664287567139,-1.0049901008605957,0.9899999499320984,-0.23224887251853943,0.5728798508644104,0
3,9,12,3,dispatch_decision_block,hierarchical_actor_joint_reward_aligned_credit,-0.0017209943616762757,0.24222083389759064,0.9624621868133545,-0.6239942312240601,0.1599999964237213,-0.07675308734178543,0.4153709411621094,0
4,12,15,3,dispatch_decision_block,hierarchical_actor_joint_reward_aligned_credit,-0.0016488813562318683,0.2872104346752167,0.8429687023162842,-0.8849217295646667,0.14999999105930328,-0.0870281383395195,0.3833124339580536,0
5,15,18,3,dispatch_decision_block,hierarchical_actor_joint_reward_aligned_credit,-0.002566723385825753,0.4943382143974304,1.5455400943756104,-1.6038726568222046,0.6949999928474426,-0.17080378532409668,0.5487089157104492,0
6,18,21,3,dispatch_decision_block,hierarchical_actor_joint_reward_aligned_credit,-0.005130585748702288,0.4739053249359131,1.4504156112670898,-1.704242467880249,0.29499998688697815,-0.13060764968395233,0.5334941148757935,0
7,21,24,3,dispatch_decision_block,hierarchical_actor_joint_reward_aligned_credit,-0.00959413405507803,0.2272411286830902,0.7080339193344116,-0.8419846892356873,0.11499999463558197,-0.101814866065979,0.5049833655357361,0
8,24,27,3,dispatch_decision_block,hierarchical_actor_joint_reward_aligned_credit,0.0011064383434131742,0.2769472002983093,0.9135370254516602,-0.8560892343521118,0.8499999642372131,-0.10666651278734207,0.6748616695404053,0
9,27,30,3,dispatch_decision_block,hierarchical_actor_joint_reward_aligned_credit,-0.010042562149465084,0.5075603127479553,1.6919221878051758,-2.3061563968658447,0.20499999821186066,-0.16297073662281036,0.497739315032959,0
