telemetry_step,train_epoch,update_epoch,minibatch_id,layer_name,layer_active_count,layer_clipped_active_count,layer_clipped_active_fraction,layer_active_preconditioner_mean,layer_active_preconditioner_p95,layer_active_preconditioner_p99,layer_active_preconditioner_max,layer_active_preconditioner_mean_after_clip,layer_active_preconditioner_p95_after_clip,layer_active_preconditioner_p99_after_clip,layer_active_preconditioner_max_after_clip,layer_actual_param_delta_norm,layer_raw_grad_norm,layer_preconditioned_grad_norm,layer_soft_geometry_reference_preconditioner,layer_soft_geometry_scale_factor,layer_soft_geometry_trigger_active_fraction,layer_soft_geometry_overflow_stat
0,0,0,0,critic_backbone.0.weight,42880,0,0.0,559831.0,2583117.25,13042546.0,79416096.0,559831.0,2583117.25,13042546.0,79416096.0,0.09752800315618515,0.10919513553380966,206.0182342529297,1780020.0437499732,0.9467898995159297,0.06159048527479172,0.37467024459016923
0,0,0,0,critic_backbone.4.bias,128,0,0.0,4152.5,12043.148437499993,65482.147773437515,157991.125,4152.5,12043.148437499993,65482.147773437515,157991.125,0.005656619090586901,0.017094377428293228,11.313238143920898,0.0,1.0,0.0,0.0
0,0,0,0,critic_backbone.6.weight,16384,0,0.0,39479.4765625,66717.68632812491,348567.3934375,93926056.0,39479.4765625,66717.68632812491,348567.3934375,93926056.0,0.045138996094465256,0.07378050684928894,127.95549774169922,4129.422778320308,0.7055421238394537,0.44708251953125,2.782332112297336
0,0,0,0,critic_backbone.7.weight,128,0,0.0,271971.625,464849.30468749965,2582131.258750005,22819980.0,271971.625,464849.30468749965,2582131.258750005,22819980.0,0.005642636213451624,0.0020704518537968397,11.285272598266602,0.0,1.0,0.0,0.0
0,0,0,0,critic_backbone.7.bias,128,0,0.0,4260.9619140625,7700.8601074218695,88033.78023437505,124530.9921875,4260.9619140625,7700.8601074218695,88033.78023437505,124530.9921875,0.005656612571328878,0.017608679831027985,11.313225746154785,0.0,1.0,0.0,0.0
1,0,0,1,critic_backbone.0.weight,42880,0,0.0,482069.15625,2344129.5,12283443.0,75113984.0,482069.15625,2344129.5,12283443.0,75113984.0,0.07209856063127518,0.11291950941085815,207.43580627441406,1780020.0437499732,0.9593474326851533,0.05951492488384247,0.28250152780807547
1,0,0,1,critic_backbone.4.bias,128,0,0.0,2333.474853515625,6185.223779296872,12070.126083984393,85608.21875,2333.474853515625,6185.223779296872,12070.126083984393,85608.21875,0.00542928371578455,0.018478721380233765,11.802693367004395,0.0,1.0,0.0,0.0
1,0,0,1,critic_backbone.6.weight,16384,0,0.0,7798.30712890625,30084.33740234363,83126.01312500001,932778.125,7798.30712890625,30084.33740234363,83126.01312500001,932778.125,0.03865431994199753,0.0795324519276619,128.2876739501953,4129.422778320308,0.7704873188257064,0.3558349609375,1.9858659627181754
1,0,0,1,critic_backbone.7.weight,128,0,0.0,37216.6171875,191053.0749999996,386841.078125,876190.5625,37216.6171875,191053.0749999996,386841.078125,876190.5625,0.004443483892828226,0.0019333044765517116,11.172271728515625,0.0,1.0,0.0,0.0
1,0,0,1,critic_backbone.7.bias,128,0,0.0,2042.4697265625,9905.387988281236,22529.728984375004,24470.4140625,2042.4697265625,9905.387988281236,22529.728984375004,24470.4140625,0.005579849239438772,0.019333193078637123,11.760591506958008,0.0,1.0,0.0,0.0
2,0,0,2,critic_backbone.0.weight,42880,0,0.0,438558.65625,2318609.75,10473146.0,65177820.0,438558.65625,2318609.75,10473146.0,65177820.0,0.060574971139431,0.10716340690851212,202.39649963378906,1780020.0437499732,0.960732898739038,0.05935167893767357,0.2724801819701065
2,0,0,2,critic_backbone.4.bias,128,0,0.0,1644.859619140625,4795.703271484373,9656.977861328138,12065.7412109375,1644.859619140625,4795.703271484373,9656.977861328138,12065.7412109375,0.005404967814683914,0.017354724928736687,11.321911811828613,0.0,1.0,0.0,0.0
2,0,0,2,critic_backbone.6.weight,16384,0,0.0,6031.2314453125,24414.89580078124,54457.5655078125,653522.9375,6031.2314453125,24414.89580078124,54457.5655078125,653522.9375,0.03596245124936104,0.07464919984340668,128.9691925048828,4129.422778320308,0.7895412006598918,0.30694580078125,1.7770556635863008
2,0,0,2,critic_backbone.7.weight,128,0,0.0,27196.6328125,124698.85820312495,310707.2150000001,443270.21875,27196.6328125,124698.85820312495,310707.2150000001,443270.21875,0.0038891355507075787,0.002085817977786064,11.653969764709473,0.0,1.0,0.0,0.0
2,0,0,2,critic_backbone.7.bias,128,0,0.0,1844.23095703125,10735.441064453124,17895.650000000027,21983.57421875,1844.23095703125,10735.441064453124,17895.650000000027,21983.57421875,0.005552687216550112,0.017961516976356506,11.122298240661621,0.0,1.0,0.0,0.0
3,0,0,3,critic_backbone.0.weight,42880,0,0.0,402430.0,2284417.75,9546629.0,53509872.0,402430.0,2284417.75,9546629.0,53509872.0,0.05474018678069115,0.11717675626277924,211.9930877685547,1780020.0437499732,0.962596648662764,0.057929106056690216,0.259044819995974
3,0,0,3,critic_backbone.4.bias,128,0,0.0,1423.3502197265625,3986.636486816403,5256.080039062501,6795.1904296875,1423.3502197265625,3986.636486816403,5256.080039062501,6795.1904296875,0.00540397921577096,0.018694128841161728,12.403874397277832,0.0,1.0,0.0,0.0
3,0,0,3,critic_backbone.6.weight,16384,0,0.0,5301.962890625,21573.797070312485,44798.592890625005,180800.234375,5301.962890625,21573.797070312485,44798.592890625005,180800.234375,0.034972142428159714,0.07748278230428696,128.96112060546875,4129.422778320308,0.801281249793159,0.28900146484375,1.6533416554893632
3,0,0,3,critic_backbone.7.weight,128,0,0.0,25063.66015625,89181.29882812493,333844.4151562504,500725.25,25063.66015625,89181.29882812493,333844.4151562504,500725.25,0.0037676224019378424,0.0022511696442961693,11.311903953552246,0.0,1.0,0.0,0.0
3,0,0,3,critic_backbone.7.bias,128,0,0.0,1755.3922119140625,8283.864501953125,18546.128476562535,22170.908203125,1755.3922119140625,8283.864501953125,18546.128476562535,22170.908203125,0.005533610004931688,0.019493823871016502,11.893119812011719,0.0,1.0,0.0,0.0
4,0,0,4,critic_backbone.0.weight,42880,0,0.0,378897.6875,2177882.75,8401460.0,51005032.0,378897.6875,2177882.75,8401460.0,51005032.0,0.050778768956661224,0.12630650401115417,223.4583740234375,1780020.0437499732,0.9684188647405272,0.05711287260055542,0.2174068570899124
4,0,0,4,critic_backbone.4.bias,128,0,0.0,1311.050537109375,3349.405932617185,4611.445917968752,4981.52880859375,1311.050537109375,3349.405932617185,4611.445917968752,4981.52880859375,0.005391400307416916,0.02017105557024479,12.629955291748047,0.0,1.0,0.0,0.0
4,0,0,4,critic_backbone.6.weight,16384,0,0.0,4941.6953125,20373.12285156249,39079.7209375,197760.0625,4941.6953125,20373.12285156249,39079.7209375,197760.0625,0.03375483676791191,0.07676227390766144,127.76537322998047,4129.422778320308,0.8068343252137922,0.27911376953125,1.5960788045304801
4,0,0,4,critic_backbone.7.weight,128,0,0.0,24666.83203125,83061.90878906226,370787.3068750005,545370.625,24666.83203125,83061.90878906226,370787.3068750005,545370.625,0.0036608765367418528,0.002225798089057207,11.458751678466797,0.0,1.0,0.0,0.0
4,0,0,4,critic_backbone.7.bias,128,0,0.0,1613.065673828125,7203.090185546875,14860.617812500017,18146.607421875,1613.065673828125,7203.090185546875,14860.617812500017,18146.607421875,0.0055329990573227406,0.02045561745762825,12.258272171020508,0.0,1.0,0.0,0.0
5,0,0,5,critic_backbone.0.weight,42880,0,0.0,368929.34375,2167381.0,8382434.5,53245020.0,368929.34375,2167381.0,8382434.5,53245020.0,0.04741552099585533,0.12086032330989838,208.53424072265625,1780020.0437499732,0.9689904926532956,0.05662313476204872,0.21334579703868878
5,0,0,5,critic_backbone.4.bias,128,0,0.0,1298.325927734375,3307.8430297851537,4717.961328125002,5360.580078125,1298.325927734375,3307.8430297851537,4717.961328125002,5360.580078125,0.005338081158697605,0.018151795491576195,11.22457218170166,0.0,1.0,0.0,0.0
5,0,0,5,critic_backbone.6.weight,16384,0,0.0,4607.63037109375,18348.35556640624,34167.4321875,133605.609375,4607.63037109375,18348.35556640624,34167.4321875,133605.609375,0.03335818275809288,0.07788649946451187,132.52963256835938,4129.422778320308,0.8171868572921331,0.27081298828125,1.4914022097193664
5,0,0,5,critic_backbone.7.weight,128,0,0.0,20868.66015625,72687.08749999995,199058.4164062501,443616.4375,20868.66015625,72687.08749999995,199058.4164062501,443616.4375,0.0036845658905804157,0.0023017076309770346,12.11465072631836,0.0,1.0,0.0,0.0
5,0,0,5,critic_backbone.7.bias,128,0,0.0,1529.26513671875,6785.693872070309,12274.690439453136,14131.95703125,1529.26513671875,6785.693872070309,12274.690439453136,14131.95703125,0.005502185318619013,0.017846571281552315,11.026480674743652,0.0,1.0,0.0,0.0
6,0,0,6,critic_backbone.0.weight,42880,0,0.0,366614.59375,2240448.5,8461426.0,37122320.0,366614.59375,2240448.5,8461426.0,37122320.0,0.04614613205194473,0.1782013177871704,251.01123046875,1780020.0437499732,0.9650006299771934,0.05762593448162079,0.24179169032344786
6,0,0,6,critic_backbone.4.bias,128,0,0.0,1314.3319091796875,3143.468103027343,4987.92931152344,5772.46630859375,1314.3319091796875,3143.468103027343,4987.92931152344,5772.46630859375,0.005191877018660307,0.013032836839556694,9.17538833618164,0.0,1.0,0.0,0.0
6,0,0,6,critic_backbone.6.weight,16384,0,0.0,4218.57861328125,16203.726269531204,29262.61117187501,128319.8515625,4218.57861328125,16203.726269531204,29262.61117187501,128319.8515625,0.032313939183950424,0.0914817750453949,147.65054321289062,4129.422778320308,0.8298304633950669,0.25567626953125,1.3671028329386892
6,0,0,6,critic_backbone.7.weight,128,0,0.0,16261.59375,54808.87832031245,153164.37101562516,181743.78125,16261.59375,54808.87832031245,153164.37101562516,181743.78125,0.0035037866327911615,0.0020629828795790672,12.782029151916504,0.0,1.0,0.0,0.0
6,0,0,6,critic_backbone.7.bias,128,0,0.0,1563.4359130859375,6844.761303710934,11720.997021484382,14452.9287109375,1563.4359130859375,6844.761303710934,11720.997021484382,14452.9287109375,0.005365016404539347,0.012715708464384079,8.201034545898438,0.0,1.0,0.0,0.0
7,0,1,7,critic_backbone.0.weight,42880,0,0.0,363105.46875,2272727.0,8515305.929999981,36238012.0,363105.46875,2272727.0,8515305.929999981,36238012.0,0.04519236832857132,0.1011134684085846,177.114990234375,1780020.0437499732,0.9632353076586043,0.05713619291782379,0.25445282891302307
7,0,1,7,critic_backbone.4.bias,128,0,0.0,1314.150634765625,3253.1051025390625,4676.151418457035,5983.56982421875,1314.150634765625,3253.1051025390625,4676.151418457035,5983.56982421875,0.005105077754706144,0.01579093374311924,10.524985313415527,0.0,1.0,0.0,0.0
7,0,1,7,critic_backbone.6.weight,16384,0,0.0,4096.9345703125,15351.413232421864,26784.020097656252,77113.0703125,4096.9345703125,15351.413232421864,26784.020097656252,77113.0703125,0.03209146484732628,0.07021808624267578,119.55228424072266,4129.422778320308,0.8354494883260004,0.25799560546875,1.3130697025837854
7,0,1,7,critic_backbone.7.weight,128,0,0.0,15780.376953125,57976.96445312495,151561.74906250014,180793.3125,15780.376953125,57976.96445312495,151561.74906250014,180793.3125,0.003457660786807537,0.0029544325079768896,12.804277420043945,0.0,1.0,0.0,0.0
7,0,1,7,critic_backbone.7.bias,128,0,0.0,1521.4833984375,6587.97668457031,9554.878623046876,13325.8193359375,1521.4833984375,6587.97668457031,9554.878623046876,13325.8193359375,0.005341642536222935,0.015846142545342445,10.62018871307373,0.0,1.0,0.0,0.0
8,0,1,8,critic_backbone.0.weight,42880,0,0.0,365061.4375,2243955.862499984,8453938.059999973,36781732.0,365061.4375,2243955.862499984,8453938.059999973,36781732.0,0.04525577649474144,0.09814146161079407,174.27304077148438,1780020.0437499732,0.9648085841627685,0.05729944258928299,0.2431668237264531
8,0,1,8,critic_backbone.4.bias,128,0,0.0,1316.5711669921875,3289.4155395507805,4378.168332519534,5498.88671875,1316.5711669921875,3289.4155395507805,4378.168332519534,5498.88671875,0.005034201312810183,0.015206681564450264,10.383075714111328,0.0,1.0,0.0,0.0
8,0,1,8,critic_backbone.6.weight,16384,0,0.0,4027.85205078125,14706.35048828124,25096.757402343756,49850.125,4027.85205078125,14706.35048828124,25096.757402343756,49850.125,0.03231292590498924,0.06950327754020691,114.77465057373047,4129.422778320308,0.8399682163919857,0.26190185546875,1.2701415798438793
8,0,1,8,critic_backbone.7.weight,128,0,0.0,14921.830078125,53809.83222656249,118474.62945312505,165864.484375,14921.830078125,53809.83222656249,118474.62945312505,165864.484375,0.0035681354347616434,0.0029637604020535946,12.525871276855469,0.0,1.0,0.0,0.0
8,0,1,8,critic_backbone.7.bias,128,0,0.0,1500.532958984375,6423.928076171868,9299.976298828127,12525.060546875,1500.532958984375,6423.928076171868,9299.976298828127,12525.060546875,0.0053050522692501545,0.015164518728852272,10.274055480957031,0.0,1.0,0.0,0.0
9,0,1,9,critic_backbone.0.weight,42880,0,0.0,360572.8125,2200550.912499962,8377081.264999797,36767748.0,360572.8125,2200550.912499962,8377081.264999797,36767748.0,0.0440671406686306,0.11057455092668533,195.6399688720703,1780020.0437499732,0.9671818787867371,0.05729944258928299,0.2262113047750021
9,0,1,9,critic_backbone.4.bias,128,0,0.0,1297.601806640625,3113.2043090820293,3986.314155273438,5222.0341796875,1297.601806640625,3113.2043090820293,3986.314155273438,5222.0341796875,0.005001260433346033,0.01784641668200493,11.727807998657227,0.0,1.0,0.0,0.0
9,0,1,9,critic_backbone.6.weight,16384,0,0.0,3937.021484375,13816.379882812487,23044.181660156253,50635.5703125,3937.021484375,13816.379882812487,23044.181660156253,50635.5703125,0.03178352117538452,0.0726773589849472,122.14225006103516,4129.422778320308,0.8466271160757629,0.26361083984375,1.2077169197788218
9,0,1,9,critic_backbone.7.weight,128,0,0.0,14719.296875,56622.42539062498,121481.24265625005,149682.140625,14719.296875,56622.42539062498,121481.24265625005,149682.140625,0.003601375035941601,0.0030436909291893244,12.45470142364502,0.0,1.0,0.0,0.0
9,0,1,9,critic_backbone.7.bias,128,0,0.0,1478.4498291015625,5911.300268554681,9263.001962890625,12570.5,1478.4498291015625,5911.300268554681,9263.001962890625,12570.5,0.005293663125485182,0.016255052760243416,10.901718139648438,0.0,1.0,0.0,0.0
10,0,1,10,critic_backbone.0.weight,42880,0,0.0,359466.6875,2230252.25,8370754.0,37667968.0,359466.6875,2230252.25,8370754.0,37667968.0,0.04232866317033768,0.11130062490701675,194.35293579101562,1780020.0437499732,0.965558453667353,0.05697294697165489,0.23780052674409793
10,0,1,10,critic_backbone.4.bias,128,0,0.0,1290.91162109375,3108.585668945312,4109.396333007813,5446.72802734375,1290.91162109375,3108.585668945312,4109.396333007813,5446.72802734375,0.0049690003506839275,0.01651851087808609,11.26973819732666,0.0,1.0,0.0,0.0
10,0,1,10,critic_backbone.6.weight,16384,0,0.0,3889.926025390625,13391.573974609351,22113.19873046875,50162.05078125,3889.926025390625,13391.573974609351,22113.19873046875,50162.05078125,0.0316055528819561,0.0707954540848732,120.20968627929688,4129.422778320308,0.8499981589973656,0.26580810546875,1.1764875756089659
10,0,1,10,critic_backbone.7.weight,128,0,0.0,14510.802734375,54850.58632812497,117725.27156250001,143261.03125,14510.802734375,54850.58632812497,117725.27156250001,143261.03125,0.003700872650370002,0.003183003980666399,12.46230411529541,0.0,1.0,0.0,0.0
10,0,1,10,critic_backbone.7.bias,128,0,0.0,1466.88671875,5554.725781249999,9500.455673828126,12479.7041015625,1466.88671875,5554.725781249999,9500.455673828126,12479.7041015625,0.00526645639911294,0.01530142966657877,10.43205738067627,0.0,1.0,0.0,0.0
11,0,1,11,critic_backbone.0.weight,42880,0,0.0,355026.375,2206613.0,8030082.5,37095928.0,355026.375,2206613.0,8030082.5,37095928.0,0.04142273962497711,0.11098243296146393,197.58975219726562,1780020.0437499732,0.9668510670086319,0.056319963186979294,0.22856972924781238
11,0,1,11,critic_backbone.4.bias,128,0,0.0,1278.498291015625,2963.6050170898434,4155.251108398437,5619.5771484375,1278.498291015625,2963.6050170898434,4155.251108398437,5619.5771484375,0.0049558463506400585,0.017437143251299858,11.844942092895508,0.0,1.0,0.0,0.0
11,0,1,11,critic_backbone.6.weight,16384,0,0.0,3838.546142578125,12623.942187499999,21123.450078125,51529.78515625,3838.546142578125,12623.942187499999,21123.450078125,51529.78515625,0.03207603842020035,0.06772603839635849,118.87458038330078,4129.422778320308,0.856444030341301,0.26800537109375,1.117457491464178
11,0,1,11,critic_backbone.7.weight,128,0,0.0,14451.279296875,56596.13867187496,120706.33515625,138406.53125,14451.279296875,56596.13867187496,120706.33515625,138406.53125,0.003786372486501932,0.0035901854280382395,12.817876815795898,0.0,1.0,0.0,0.0
11,0,1,11,critic_backbone.7.bias,128,0,0.0,1449.586669921875,4919.177929687497,9718.46856445313,12445.6376953125,1449.586669921875,4919.177929687497,9718.46856445313,12445.6376953125,0.005258479155600071,0.016022544354200363,11.01235294342041,0.0,1.0,0.0,0.0
12,0,1,12,critic_backbone.0.weight,42880,0,0.0,351464.1875,2145190.5,7554247.334999983,38015044.0,351464.1875,2145190.5,7554247.334999983,38015044.0,0.041062988340854645,0.1211458295583725,207.1692657470703,1780020.0437499732,0.9701947531190124,0.05664645507931709,0.20480593740015443
12,0,1,12,critic_backbone.4.bias,128,0,0.0,1250.387939453125,2961.576123046874,4167.575200195315,4675.0712890625,1250.387939453125,2961.576123046874,4167.575200195315,4675.0712890625,0.0049601346254348755,0.018371757119894028,12.644170761108398,0.0,1.0,0.0,0.0
12,0,1,12,critic_backbone.6.weight,16384,0,0.0,3786.73974609375,12263.614013671868,20071.3079296875,50033.3984375,3786.73974609375,12263.614013671868,20071.3079296875,50033.3984375,0.03202274069190025,0.06908413022756577,123.272216796875,4129.422778320308,0.8596420809960073,0.26788330078125,1.0884989005452894
12,0,1,12,critic_backbone.7.weight,128,0,0.0,14331.279296875,53140.33437499983,121655.49843750006,138840.0625,14331.279296875,53140.33437499983,121655.49843750006,138840.0625,0.0038426846731454134,0.003341739298775792,12.568910598754883,0.0,1.0,0.0,0.0
12,0,1,12,critic_backbone.7.bias,128,0,0.0,1436.858642578125,4433.987133789062,9855.083769531255,12489.3408203125,1436.858642578125,4433.987133789062,9855.083769531255,12489.3408203125,0.005250846967101097,0.01602208986878395,11.048933029174805,0.0,1.0,0.0,0.0
13,0,1,13,critic_backbone.0.weight,42880,0,0.0,349334.53125,2123464.25,7551909.364999984,38298912.0,349334.53125,2123464.25,7551909.364999984,38298912.0,0.041434839367866516,0.18758712708950043,275.5581970214844,1780020.0437499732,0.9713677688536317,0.05678638070821762,0.19650800355570658
13,0,1,13,critic_backbone.4.bias,128,0,0.0,1251.851318359375,2965.7382202148433,4113.12663574219,4418.16455078125,1251.851318359375,2965.7382202148433,4113.12663574219,4418.16455078125,0.0049044666811823845,0.014599730260670185,10.265125274658203,0.0,1.0,0.0,0.0
13,0,1,13,critic_backbone.6.weight,16384,0,0.0,3625.68408203125,11400.950878906244,18131.8881640625,39608.65234375,3625.68408203125,11400.950878906244,18131.8881640625,39608.65234375,0.031590890139341354,0.08103670924901962,148.31747436523438,4129.422778320308,0.8678040636984705,0.2603759765625,1.015559017152077
13,0,1,13,critic_backbone.7.weight,128,0,0.0,13476.63671875,49737.8109374999,98284.9178906251,128857.90625,13476.63671875,49737.8109374999,98284.9178906251,128857.90625,0.0038059260696172714,0.0033721253275871277,12.592751502990723,0.0,1.0,0.0,0.0
13,0,1,13,critic_backbone.7.bias,128,0,0.0,1446.218505859375,4363.69072265625,10096.85346679688,12679.5673828125,1446.218505859375,4363.69072265625,10096.85346679688,12679.5673828125,0.0051802778616547585,0.012865926139056683,9.181534767150879,0.0,1.0,0.0,0.0
14,0,2,14,critic_backbone.0.weight,42880,0,0.0,350042.875,2107776.25,7711303.5,39052152.0,350042.875,2107776.25,7711303.5,39052152.0,0.04132010415196419,0.09595947712659836,170.13067626953125,1780020.0437499732,0.9722101298267524,0.05711287260055542,0.19056147994261052
14,0,2,14,critic_backbone.4.bias,128,0,0.0,1246.4794921875,2921.900927734374,3740.367250976563,4570.3583984375,1246.4794921875,2921.900927734374,3740.367250976563,4570.3583984375,0.004886800888925791,0.015168468467891216,10.984517097473145,0.0,1.0,0.0,0.0
14,0,2,14,critic_backbone.6.weight,16384,0,0.0,3633.427734375,11239.592480468737,17647.143144531252,39480.390625,3633.427734375,11239.592480468737,17647.143144531252,39480.390625,0.03202245011925697,0.061167601495981216,107.25971221923828,4129.422778320308,0.8694172637529745,0.263671875,1.0013046798982337
14,0,2,14,critic_backbone.7.weight,128,0,0.0,13234.9375,48043.39199218744,97580.3235937501,125683.7265625,13234.9375,48043.39199218744,97580.3235937501,125683.7265625,0.003974431660026312,0.0037808865308761597,13.45380687713623,0.0,1.0,0.0,0.0
14,0,2,14,critic_backbone.7.bias,128,0,0.0,1442.3790283203125,4270.153198242186,10102.712656250005,12574.20703125,1442.3790283203125,4270.153198242186,10102.712656250005,12574.20703125,0.005144026130437851,0.013459460809826851,9.915605545043945,0.0,1.0,0.0,0.0
15,0,2,15,critic_backbone.0.weight,42880,0,0.0,350655.34375,2132344.0,7717428.0,39482884.0,350655.34375,2132344.0,7717428.0,39482884.0,0.041249845176935196,0.10244464129209518,177.28152465820312,1780020.0437499732,0.970889172009154,0.05713619291782379,0.1998911844943413
15,0,2,15,critic_backbone.4.bias,128,0,0.0,1248.161865234375,2899.5591308593725,3742.2947631835937,4721.12939453125,1248.161865234375,2899.5591308593725,3742.2947631835937,4721.12939453125,0.004871052224189043,0.015433692373335361,10.850335121154785,0.0,1.0,0.0,0.0
15,0,2,15,critic_backbone.6.weight,16384,0,0.0,3628.1025390625,10855.816796874999,17393.703183593752,40413.13671875,3628.1025390625,10855.816796874999,17393.703183593752,40413.13671875,0.03227008879184723,0.06308268010616302,113.14876556396484,4129.422778320308,0.8733742515182048,0.2659912109375,0.9665634807505029
15,0,2,15,critic_backbone.7.weight,128,0,0.0,13217.35546875,48930.74570312495,100626.1936718751,129824.9921875,13217.35546875,48930.74570312495,100626.1936718751,129824.9921875,0.004086864180862904,0.0038123782724142075,13.356561660766602,0.0,1.0,0.0,0.0
15,0,2,15,critic_backbone.7.bias,128,0,0.0,1440.14697265625,4221.144787597653,10111.231142578132,12403.8681640625,1440.14697265625,4221.144787597653,10111.231142578132,12403.8681640625,0.0051029035821557045,0.012929176911711693,9.694807052612305,0.0,1.0,0.0,0.0
16,0,2,16,critic_backbone.0.weight,42880,0,0.0,351949.21875,2104398.75,7785210.5,40151900.0,351949.21875,2104398.75,7785210.5,40151900.0,0.04066292569041252,0.11406877636909485,187.21131896972656,1780020.0437499732,0.9723909016699953,0.05697294697165489,0.18928669038064547
16,0,2,16,critic_backbone.4.bias,128,0,0.0,1247.73779296875,2909.9743774414046,3598.7800805664065,4832.3759765625,1247.73779296875,2909.9743774414046,3598.7800805664065,4832.3759765625,0.004861971829086542,0.015384589321911335,10.895642280578613,0.0,1.0,0.0,0.0
16,0,2,16,critic_backbone.6.weight,16384,0,0.0,3625.416015625,10694.207128906246,17082.39095703125,41641.203125,3625.416015625,10694.207128906246,17082.39095703125,41641.203125,0.03248069807887077,0.06354052573442459,112.90235900878906,4129.422778320308,0.8750937612761702,0.26837158203125,0.9515646151385048
16,0,2,16,critic_backbone.7.weight,128,0,0.0,12931.08984375,46738.371289062496,102470.23343750011,131635.90625,12931.08984375,46738.371289062496,102470.23343750011,131635.90625,0.004211042542010546,0.0037614363245666027,13.900552749633789,0.0,1.0,0.0,0.0
16,0,2,16,critic_backbone.7.bias,128,0,0.0,1438.3194580078125,4185.749658203119,10142.009882812506,12096.5078125,1438.3194580078125,4185.749658203119,10142.009882812506,12096.5078125,0.00507003627717495,0.012876758351922035,9.776564598083496,0.0,1.0,0.0,0.0
17,0,2,17,critic_backbone.0.weight,42880,0,0.0,350405.59375,2118426.75,7742233.0,40790608.0,350405.59375,2118426.75,7742233.0,40790608.0,0.04074149206280708,0.13393794000148773,212.40521240234375,1780020.0437499732,0.9716387191172683,0.056669775396585464,0.1945941450919659
17,0,2,17,critic_backbone.4.bias,128,0,0.0,1238.717529296875,2816.4727416992187,3621.8256005859375,4879.52783203125,1238.717529296875,2816.4727416992187,3621.8256005859375,4879.52783203125,0.004900079686194658,0.017574401572346687,12.331825256347656,0.0,1.0,0.0,0.0
17,0,2,17,critic_backbone.6.weight,16384,0,0.0,3595.03271484375,10448.00473632812,16708.696367187502,42793.8671875,3595.03271484375,10448.00473632812,16708.696367187502,42793.8671875,0.03248169645667076,0.0679212287068367,126.81391143798828,4129.422778320308,0.8777773830715899,0.26788330078125,0.9282734573749508
