epoch,theta_selected_score_mean,theta_expected_score_mean,theta_residual_credit_mean,theta_residual_credit_std,theta_ratio_mean,theta_approx_kl,theta_clip_fraction,advantage_action_alignment,offload_decision_agreement_ratio,actual_offload_rate_when_theta_true_gap_positive,actual_offload_rate_when_theta_true_gap_negative
0,-0.027499491348862648,-0.007427569478750229,-0.02007192000746727,0.9855170249938965,0.984039306640625,0.03445638716220856,0.4247916638851166,0.16915985941886902,0.48645833134651184,0.3333333432674408,0.5137230157852173
1,0.02958223968744278,0.0010274220257997513,0.028554817661643028,0.9396457672119141,1.0326210260391235,-0.002874500583857298,0.5506250262260437,0.0019576787017285824,0.5137500166893005,0.5,0.48512154817581177
2,0.13333052396774292,0.04629494994878769,0.08703557401895523,0.8299090266227722,1.0470889806747437,-0.021020783111453056,0.4595833420753479,0.18427647650241852,0.5664583444595337,0.25,0.43273261189460754
3,0.2645854353904724,0.13166911900043488,0.13291628658771515,0.7178962230682373,1.0489274263381958,-0.0291142538189888,0.3335416615009308,0.30651968717575073,0.6333333253860474,0.1568627506494522,0.3619047701358795
4,0.3691808581352234,0.228285014629364,0.14089582860469818,0.6031407117843628,1.042641043663025,-0.031082497909665108,0.17729167640209198,-0.14117272198200226,0.6860417127609253,0.12751677632331848,0.27735596895217896
5,0.28374046087265015,0.19030576944351196,0.09343471378087997,0.5541302561759949,1.0187315940856934,-0.011137093417346478,0.12708333134651184,0.019810305908322334,0.643750011920929,0.03364486247301102,0.28059419989585876
6,0.23330791294574738,0.16538123786449432,0.06792664527893066,0.5299311280250549,1.017401933670044,-0.009812090545892715,0.12666666507720947,0.1771335005760193,0.6185416579246521,0.07020547986030579,0.3065362572669983
7,0.22993314266204834,0.16414985060691833,0.0657833069562912,0.5088316202163696,1.0226762294769287,-0.015524514950811863,0.125,-0.08764304965734482,0.6164583563804626,0.07219661772251129,0.29866665601730347
8,0.2233596295118332,0.16222400963306427,0.061135612428188324,0.4839610457420349,1.0174105167388916,-0.00974636897444725,0.12979167699813843,-0.006550114136189222,0.612708330154419,0.06518518179655075,0.29773226380348206
9,0.25291335582733154,0.17835208773612976,0.07456126809120178,0.47550123929977417,1.0223952531814575,-0.01462535746395588,0.13333334028720856,0.045160796493291855,0.627916693687439,0.06923077255487442,0.2850218117237091
10,0.2512395679950714,0.19226115942001343,0.058978401124477386,0.4502303898334503,1.0111075639724731,-0.0042449068278074265,0.11791666597127914,-0.1169615238904953,0.6272916793823242,0.10041841119527817,0.2808573544025421
11,0.1546553373336792,0.11203371733427048,0.04262160137295723,0.4617728292942047,1.0109139680862427,0.0015368267195299268,0.1614583432674408,-0.11880908161401749,0.5787500143051147,0.12918660044670105,0.3545432686805725
