telemetry_step,train_epoch,update_epoch,minibatch_id,final_critic_backbone_delta_norm,backbone_active_count,backbone_clipped_active_count,backbone_clipped_active_fraction,backbone_active_preconditioner_mean,backbone_active_preconditioner_p95,backbone_active_preconditioner_p99,backbone_active_preconditioner_max,backbone_active_preconditioner_mean_after_clip,backbone_active_preconditioner_p95_after_clip,backbone_active_preconditioner_p99_after_clip,backbone_active_preconditioner_max_after_clip,backbone_soft_geometry_scale_factor_mean,backbone_soft_geometry_scale_factor_p50,backbone_soft_geometry_scale_factor_p95,backbone_soft_geometry_scale_factor_min,backbone_soft_geometry_trigger_active_fraction,backbone_soft_geometry_overflow_stat_mean,backbone_soft_geometry_overflow_stat_p95
0,0,0,0,0.12923490482325645,76800,0,0.0,265281.1875,584032.0,6265571.0,83243000.0,265281.1875,584032.0,6265571.0,83243000.0,0.8516207716265782,0.8516207635402679,0.9652555257081985,0.7253599157086156,0.23685539700090885,1.3374820214418528,2.4055039286613464
1,0,0,1,0.09705901791066975,76800,0,0.0,219663.046875,390727.34375,5646178.0,73732256.0,219663.046875,390727.34375,5646178.0,73732256.0,0.8991777046736946,0.8991777002811432,0.9735731393098831,0.8165161004300069,0.18255697190761566,0.8107073166621531,1.4293643116950987
2,0,0,2,0.08451207150011017,76800,0,0.0,199954.859375,389801.375,5688271.0,50721900.0,199954.859375,389801.375,5688271.0,50721900.0,0.90941320624497,0.9094131886959076,0.9758634954690933,0.8355795219449982,0.16494933143258095,0.7127091387911512,1.2519160211086273
3,0,0,3,0.07708682214603732,76800,0,0.0,190837.03125,374505.78125,5534190.0,54230728.0,190837.03125,374505.78125,5534190.0,54230728.0,0.91250683908241,0.9125068485736847,0.9774282425642014,0.8403719704947205,0.15564174391329288,0.6851570113187466,1.208211201429367
4,0,0,4,0.07315232159243623,76800,0,0.0,189175.546875,371404.125,5680647.0,46528756.0,189175.546875,371404.125,5680647.0,46528756.0,0.9129139453204851,0.9129139482975006,0.9765020698308945,0.8422604689134522,0.15245497971773148,0.6799609842763971,1.1916831016540528
5,0,0,5,0.06961388803062714,76800,0,0.0,182180.40625,357905.90625,5204564.5,45318176.0,182180.40625,357905.90625,5204564.5,45318176.0,0.9150550857687865,0.9150550961494446,0.9783728241920471,0.8447020576053397,0.14683209359645844,0.6621911122119191,1.169315332174301
6,0,0,6,0.06656569846619233,76800,0,0.0,184630.828125,373807.71875,5238054.549999721,46930456.0,184630.828125,373807.71875,5238054.549999721,46930456.0,0.9199304211346426,0.9199304282665253,0.9778307110071183,0.8555967643517889,0.14054073579609394,0.6158745787098485,1.0742366969585417
7,0,1,7,0.06610060699758755,76800,0,0.0,185158.40625,379824.84375,5367554.0,47794876.0,185158.40625,379824.84375,5367554.0,47794876.0,0.9210152552333482,0.9210152626037598,0.9772614538669586,0.8585194862407651,0.14131433330476284,0.6052044880852274,1.0492959856986999
8,0,1,8,0.0646427951592475,76800,0,0.0,182536.390625,391385.34375,5417713.414999662,48761804.0,182536.390625,391385.34375,5417713.414999662,48761804.0,0.9228229643486681,0.9228229820728302,0.9783249944448471,0.8611540725636644,0.14249386079609394,0.5899494091822388,1.026389306783676
9,0,1,9,0.06396138828639922,76800,0,0.0,179342.703125,393249.21875,5283528.0,44883692.0,179342.703125,393249.21875,5283528.0,44883692.0,0.9247924499027678,0.9247924387454987,0.9797260373830795,0.863755126281887,0.14230109937489033,0.5736981308765253,1.003782969713211
10,0,1,10,0.06376168803437683,76800,0,0.0,173777.59375,391020.5,5016098.5,42171828.0,173777.59375,391020.5,5016098.5,42171828.0,0.9272460091492061,0.9272460043430328,0.9808141440153122,0.8677258388183471,0.14158853515982628,0.5528301265598066,0.9699094206094742
11,0,1,11,0.06211796800187452,76800,0,0.0,172467.875,395122.0,5000003.5,42102856.0,172467.875,395122.0,5000003.5,42102856.0,0.930018712331331,0.9300187230110168,0.9814474523067475,0.8728756686203358,0.14136598445475101,0.5288124680989246,0.9267124354839325
12,0,1,12,0.06121218718111465,76800,0,0.0,168256.640625,384998.21875,4796757.0,41233176.0,168256.640625,384998.21875,4796757.0,41233176.0,0.9319117375361494,0.9319117367267609,0.9826340526342392,0.8755535908026695,0.14075417630374432,0.5133462905621182,0.9041418582201004
13,0,1,13,0.06050737867466921,76800,0,0.0,167583.140625,387807.28125,4766300.5,37231808.0,167583.140625,387807.28125,4766300.5,37231808.0,0.934858393221291,0.9348583817481995,0.9828673481941224,0.8815150936622433,0.1389392465353012,0.4878323132754567,0.8552463948726654
14,0,2,14,0.06111812270124586,76800,0,0.0,165279.3125,390391.625,4773309.0,34597516.0,165279.3125,390391.625,4773309.0,34597516.0,0.937522239081226,0.9375222623348236,0.9838510125875473,0.8860458546290789,0.13834875263273716,0.4657783793483239,0.8182363897562026
15,0,2,15,0.06125053659151707,76800,0,0.0,166351.96875,384914.46875,4730051.0,35227652.0,166351.96875,384914.46875,4730051.0,35227652.0,0.9380060867484774,0.9380060732364655,0.9836272031068802,0.8873159529980819,0.14027035795152187,0.461424305847431,0.8081080675125122
