block_index,block_start,block_stop_exclusive,block_size,block_semantic,policy_surrogate_mode,block_path_cost_local_mean,block_path_cost_local_std,block_path_cost_bs1_mean,block_path_cost_bs1_std,block_path_cost_bs2_mean,block_path_cost_bs2_std,block_local_cost_now_mean,block_local_cost_now_std,block_local_cost_now_max,block_local_cost_now_min,block_local_cost_next_mean,block_local_cost_next_std,block_local_cost_next_max,block_local_cost_next_min,block_action_conditioned_cost_now_mean,block_action_conditioned_cost_now_std,block_action_conditioned_cost_next_mean,block_action_conditioned_cost_next_std,block_delta_cost_mean,block_delta_cost_std,block_delta_cost_max,block_delta_cost_min,block_td_reward_mean,block_td_reward_std,block_td_reward_max,block_td_reward_min,block_value_pred_mean,block_value_pred_std,block_value_pred_max,block_value_pred_min,block_path_value_local_mean,block_path_value_local_std,block_path_value_bs1_mean,block_path_value_bs1_std,block_path_value_bs2_mean,block_path_value_bs2_std,path_value_local_mean,path_value_local_std,path_value_bs1_mean,path_value_bs1_std,path_value_bs2_mean,path_value_bs2_std,path_td_target_local_mean,path_td_target_local_std,path_td_target_bs1_mean,path_td_target_bs1_std,path_td_target_bs2_mean,path_td_target_bs2_std,block_action_conditioned_value_now_mean,block_action_conditioned_value_now_std,block_action_conditioned_value_next_mean,block_action_conditioned_value_next_std,block_td_target_mean,block_td_target_std,block_td_target_max,block_td_target_min,block_td_advantage_mean,block_td_advantage_std,block_td_advantage_max,block_td_advantage_min,block_clip_fraction,per_block_selected_action_prob_gain_mean,per_block_selected_action_prob_gain_std,epoch
0,0,3,3,dispatch_decision_block,hierarchical_actor_joint_reward_aligned_credit,0.6709496974945068,0.27337750792503357,0.9032776951789856,0.28697794675827026,0.9042202830314636,0.2910936772823334,0.7764064073562622,0.28609299659729004,1.4976141452789307,0.28175488114356995,0.7739854454994202,0.28623929619789124,1.4976141452789307,0.28175488114356995,0.7858901619911194,0.2768072187900543,0.7858718633651733,0.27950266003608704,-1.8265247490489855e-05,0.2557447850704193,0.6625801920890808,-0.830714762210846,1.8265247490489855e-05,0.2557447850704193,0.830714762210846,-0.6625801920890808,-0.194688081741333,0.10004807263612747,0.16741296648979187,-0.44495925307273865,0.26709091663360596,0.07510504871606827,-0.7938326597213745,0.09525756537914276,-0.5436292290687561,0.09761595726013184,0.26709091663360596,0.07510504871606827,-0.7938326597213745,0.09525756537914276,-0.5436292290687561,0.09761595726013184,0.2653144299983978,0.2558661997318268,-0.7799908518791199,0.2962588369846344,-0.5334586501121521,0.30417004227638245,-0.194688081741333,0.10004807263612747,-0.19352534413337708,0.10411255806684494,-0.1909174621105194,0.28289994597435,0.8579927086830139,-0.8075982332229614,0.0037706121802330017,0.25341862440109253,0.8714789152145386,-0.7014878988265991,0.29999998211860657,-0.10470223426818848,0.4639844000339508,0
1,3,6,3,dispatch_decision_block,hierarchical_actor_joint_reward_aligned_credit,0.45374706387519836,0.36108750104904175,0.712369978427887,0.3783857524394989,0.7005143761634827,0.3741548955440521,0.5592038035392761,0.3720821142196655,2.0706064701080322,0.020672718062996864,0.5564640164375305,0.3717491626739502,2.0706064701080322,0.020672718062996864,0.5799070596694946,0.3635525405406952,0.5813122391700745,0.3664856255054474,0.0014052009209990501,0.4671919643878937,1.8176515102386475,-1.6618727445602417,-0.0014052009209990501,0.4671919643878937,1.6618727445602417,-1.8176515102386475,-0.42253097891807556,0.09864354133605957,-0.11021501570940018,-0.6885787844657898,-0.8620166778564453,0.08910169452428818,-0.3050215542316437,0.06971340626478195,0.2928506135940552,0.07015588134527206,-0.8620166778564453,0.08910169452428818,-0.3050215542316437,0.06971340626478195,0.2928506135940552,0.07015588134527206,-0.84651780128479,0.4571194648742676,-0.2984047532081604,0.48323002457618713,0.291425883769989,0.4860689043998718,-0.42253097891807556,0.09864354133605957,-0.4243093729019165,0.10220662504434586,-0.41881921887397766,0.46389707922935486,1.145369291305542,-2.163100242614746,0.003711746307089925,0.45886602997779846,1.5523344278335571,-1.612526297569275,0.08500000089406967,-0.06056817248463631,0.3745555281639099,0
2,6,9,3,dispatch_decision_block,hierarchical_actor_joint_reward_aligned_credit,0.5181726217269897,0.36772873997688293,0.7065061926841736,0.3853466808795929,0.7026969790458679,0.3874260187149048,0.6236293911933899,0.38761621713638306,2.155078411102295,0.040108874440193176,0.6209799647331238,0.3876861035823822,2.155078411102295,0.040108874440193176,0.6083175539970398,0.37559935450553894,0.6083453297615051,0.37819188833236694,2.7777552531915717e-05,0.4702291786670685,1.8919377326965332,-1.513913869857788,-2.7777552531915717e-05,0.4702291786670685,1.513913869857788,-1.8919377326965332,-0.03876488655805588,0.05958549678325653,0.13458871841430664,-0.1984165459871292,-0.1401604562997818,0.07695341110229492,-0.34161320328712463,0.08509205281734467,0.5085623264312744,0.10580243915319443,-0.1401604562997818,0.07695341110229492,-0.34161320328712463,0.08509205281734467,0.5085623264312744,0.10580243915319443,-0.13603328168392181,0.45192670822143555,-0.3337423503398895,0.4879920482635498,0.5027569532394409,0.4873064160346985,-0.03876488655805588,0.05958549678325653,-0.037663400173187256,0.058384984731674194,-0.03712805360555649,0.46447187662124634,1.4156875610351562,-1.855467677116394,0.001636834698729217,0.4569426476955414,1.4241760969161987,-1.8094532489776611,0.8899999856948853,-0.18660759925842285,0.636009693145752,0
3,9,12,3,dispatch_decision_block,hierarchical_actor_joint_reward_aligned_credit,0.6408699750900269,0.2245526909828186,0.8715133666992188,0.24466481804847717,0.872455894947052,0.24256525933742523,0.7423893809318542,0.24282988905906677,1.4577014446258545,0.2093934565782547,0.7406033277511597,0.2422415316104889,1.4577014446258545,0.2093934565782547,0.7551828026771545,0.2303510308265686,0.7568997144699097,0.2330385148525238,0.0017169357743114233,0.21643544733524323,0.5380783081054688,-0.7382151484489441,-0.0017169357743114233,0.21643544733524323,0.7382151484489441,-0.5380783081054688,-0.10051781684160233,0.05761450156569481,0.26355114579200745,-0.25309035181999207,-0.18390046060085297,0.09800496697425842,0.07219631224870682,0.058147501200437546,-0.1090155765414238,0.06463851034641266,-0.18390046060085297,0.09800496697425842,0.07219631224870682,0.058147501200437546,-0.1090155765414238,0.06463851034641266,-0.1792234629392624,0.21698948740959167,0.0723271295428276,0.24390040338039398,-0.10730261355638504,0.23782561719417572,-0.10051781684160233,0.05761450156569481,-0.10065538436174393,0.05693892389535904,-0.10082871466875076,0.21537986397743225,0.6458956003189087,-0.6279750466346741,-0.0003109012614004314,0.21651054918766022,0.8387194871902466,-0.449398934841156,0.5049999952316284,-0.12773755192756653,0.5076436996459961,0
4,12,15,3,dispatch_decision_block,hierarchical_actor_joint_reward_aligned_credit,0.6331126093864441,0.26961004734039307,0.890107274055481,0.29537519812583923,0.8782515525817871,0.2921527326107025,0.7346320748329163,0.28408747911453247,1.6905239820480347,0.2939363121986389,0.7335870265960693,0.2852432429790497,1.6905239820480347,0.2939363121986389,0.7642090916633606,0.28044378757476807,0.7662590146064758,0.27865689992904663,0.0020498894155025482,0.25775033235549927,0.7918456792831421,-0.810033917427063,-0.0020498894155025482,0.25775033235549927,0.810033917427063,-0.7918456792831421,-0.13906675577163696,0.06610716134309769,0.34771549701690674,-0.28251734375953674,-0.3736978769302368,0.07694191485643387,0.02428393065929413,0.08051747828722,0.12530378997325897,0.09413089603185654,-0.3736978769302368,0.07694191485643387,0.02428393065929413,0.08051747828722,0.12530378997325897,0.09413089603185654,-0.36714968085289,0.27386122941970825,0.024719813838601112,0.30765479803085327,0.12484334409236908,0.29374364018440247,-0.13906675577163696,0.06610716134309769,-0.14142154157161713,0.058106232434511185,-0.14123766124248505,0.2739276587963104,1.0609427690505981,-1.0328502655029297,-0.002170907100662589,0.26785391569137573,1.20090913772583,-0.7984674572944641,0.14000000059604645,-0.06124897673726082,0.5317228436470032,0
5,15,18,3,dispatch_decision_block,hierarchical_actor_joint_reward_aligned_credit,0.47712865471839905,0.3990975022315979,0.6625162363052368,0.41438746452331543,0.6587070226669312,0.4151352047920227,0.5786481499671936,0.41738161444664,2.1179959774017334,0.0,0.579164445400238,0.4167288541793823,2.1179959774017334,0.03643220663070679,0.5675743222236633,0.4041336476802826,0.5708263516426086,0.40372520685195923,0.0032520252279937267,0.5129229426383972,1.7562400102615356,-1.8337457180023193,-0.0032520252279937267,0.5129229426383972,1.8337457180023193,-1.7562400102615356,0.0020988374017179012,0.06381315737962723,0.17823004722595215,-0.22023972868919373,0.27036598324775696,0.06385022401809692,-0.2970353066921234,0.055520374327898026,-0.24747610092163086,0.0761682316660881,0.27036598324775696,0.06385022401809692,-0.2970353066921234,0.055520374327898026,-0.24747610092163086,0.0761682316660881,0.26613420248031616,0.501040518283844,-0.2937556505203247,0.5287176370620728,-0.244154155254364,0.5214077234268188,0.0020988374017179012,0.06381315737962723,0.002430766588076949,0.06520950794219971,-0.0001709729403955862,0.5090047717094421,1.6930592060089111,-1.7193357944488525,-0.0022698102984577417,0.5029239058494568,1.754400610923767,-1.774796962738037,0.9749999642372131,-0.16879042983055115,0.6037338972091675,0
6,18,21,3,dispatch_decision_block,hierarchical_actor_joint_reward_aligned_credit,0.4369620382785797,0.3898041248321533,0.6745399236679077,0.4096289277076721,0.6754823923110962,0.40644407272338867,0.5466858744621277,0.39818239212036133,2.3922414779663086,0.0,0.5477478504180908,0.3970043659210205,2.3922414779663086,0.0049456581473350525,0.5622514486312866,0.3969291150569916,0.5657923221588135,0.39820098876953125,0.0035408425610512495,0.5117300152778625,1.9572864770889282,-2.143737554550171,-0.0035408425610512495,0.5117300152778625,2.143737554550171,-1.9572864770889282,-0.0798354372382164,0.06241844221949577,0.23355518281459808,-0.23020140826702118,0.08134301751852036,0.0806262269616127,-0.3123955726623535,0.09206793457269669,-0.12014220654964447,0.07446587830781937,0.08134301751852036,0.0806262269616127,-0.3123955726623535,0.09206793457269669,-0.12014220654964447,0.07446587830781937,0.08035552501678467,0.49888670444488525,-0.30899277329444885,0.5371848940849304,-0.11979570984840393,0.5325227379798889,-0.0798354372382164,0.06241844221949577,-0.07946281135082245,0.0647227093577385,-0.08140329271554947,0.5144599080085754,2.0930705070495605,-1.9756999015808105,-0.001567850704304874,0.5005795955657959,2.0847487449645996,-1.9250624179840088,0.6150000095367432,-0.2175527960062027,0.49340370297431946,0
7,21,24,3,dispatch_decision_block,hierarchical_actor_joint_reward_aligned_credit,0.6608181595802307,0.1928725242614746,0.9242823719978333,0.21486617624759674,0.9124266505241394,0.21247079968452454,0.7705419659614563,0.21060509979724884,1.3233493566513062,0.13816630840301514,0.7705408930778503,0.21060636639595032,1.3233493566513062,0.13816630840301514,0.7850836515426636,0.1963353455066681,0.7887433171272278,0.19916829466819763,0.0036596900317817926,0.21291130781173706,0.5558210015296936,-0.7808531522750854,-0.0036596900317817926,0.21291130781173706,0.7808531522750854,-0.5558210015296936,-0.37849730253219604,0.039048079401254654,-0.22589139640331268,-0.5015500783920288,-0.43945884704589844,0.06448238343000412,-0.43744149804115295,0.09344390779733658,-0.1763051599264145,0.07412204146385193,-0.43945884704589844,0.06448238343000412,-0.43744149804115295,0.09344390779733658,-0.1763051599264145,0.07412204146385193,-0.43270567059516907,0.21999366581439972,-0.43133074045181274,0.25858205556869507,-0.17441534996032715,0.2411014288663864,-0.37849730253219604,0.039048079401254654,-0.37826278805732727,0.03852273151278496,-0.3763721287250519,0.21613207459449768,0.39488282799720764,-0.9154270887374878,0.002125142840668559,0.21958833932876587,0.7770050764083862,-0.5454694628715515,0.05999999865889549,-0.11419913917779922,0.3949882984161377,0
8,24,27,3,dispatch_decision_block,hierarchical_actor_joint_reward_aligned_credit,0.6988667249679565,0.28750815987586975,0.8902125954627991,0.3218035101890564,0.8864033222198486,0.3234850764274597,0.8085905313491821,0.31589457392692566,1.8124182224273682,0.26271432638168335,0.806740939617157,0.3158513605594635,1.8124182224273682,0.26271432638168335,0.7924232482910156,0.30369532108306885,0.7920132279396057,0.30434906482696533,-0.0004100185469724238,0.30942416191101074,0.9172893762588501,-1.0246843099594116,0.0004100185469724238,0.30942416191101074,1.0246843099594116,-0.9172893762588501,-0.019152821972966194,0.08844386041164398,0.19477015733718872,-0.2758760452270508,0.19317150115966797,0.06631162762641907,-0.7841615080833435,0.0791289433836937,0.3612085282802582,0.060543835163116455,0.19317150115966797,0.06631162762641907,-0.7841615080833435,0.0791289433836937,0.3612085282802582,0.060543835163116455,0.1927500069141388,0.3024945855140686,-0.7707310318946838,0.3439393937587738,0.3568706810474396,0.3291022777557373,-0.019152821972966194,0.08844386041164398,-0.020029140636324883,0.08602729439735413,-0.01978028379380703,0.32455453276634216,0.9751975536346436,-0.8223220109939575,-0.0006274610641412437,0.31105488538742065,0.9473166465759277,-0.8925178647041321,0.9149999618530273,-0.21998943388462067,0.44717270135879517,0
9,27,30,3,dispatch_decision_block,hierarchical_actor_joint_reward_aligned_credit,0.472449392080307,0.3796926736831665,0.707608699798584,0.3965787887573242,0.7085511684417725,0.39577716588974,0.5832791924476624,0.39603114128112793,2.155318021774292,0.00428904639557004,0.5792925357818604,0.39414408802986145,2.155318021774292,0.00428904639557004,0.5966693758964539,0.3896487057209015,0.5941755771636963,0.38810864090919495,-0.002493796404451132,0.4975148141384125,1.6124507188796997,-1.49237060546875,0.002493796404451132,0.4975148141384125,1.49237060546875,-1.6124507188796997,-0.1725846827030182,0.08566009998321533,0.1756705641746521,-0.37616387009620667,0.2685721218585968,0.07617232203483582,-0.5975195169448853,0.10735581070184708,-0.5407325029373169,0.07210535556077957,0.2685721218585968,0.07617232203483582,-0.5975195169448853,0.10735581070184708,-0.5407325029373169,0.07210535556077957,0.26900118589401245,0.4966382384300232,-0.5847110748291016,0.5169874429702759,-0.5288143157958984,0.5168631672859192,-0.1725846827030182,0.08566009998321533,-0.17163600027561188,0.08174427598714828,-0.16701407730579376,0.5065871477127075,1.2777711153030396,-1.8896398544311523,0.005570601671934128,0.4912186861038208,1.474005937576294,-1.5651211738586426,0.17999999225139618,-0.20531456172466278,0.3979867994785309,0
10,30,33,3,dispatch_decision_block,hierarchical_actor_joint_reward_aligned_credit,0.45921066403388977,0.3886381983757019,0.7251133322715759,0.3976691961288452,0.7132577300071716,0.40471145510673523,0.5700404047966003,0.4016740918159485,2.0531530380249023,0.012794934213161469,0.5658280849456787,0.3998052179813385,2.0531530380249023,0.012794934213161469,0.5916374921798706,0.3930700421333313,0.5903444290161133,0.39238038659095764,-0.0012930530356243253,0.4993821084499359,1.4453389644622803,-1.6529548168182373,0.0012930530356243253,0.4993821084499359,1.6529548168182373,-1.4453389644622803,0.40015578269958496,0.06060301512479782,0.5246614813804626,0.14689069986343384,0.5331824421882629,0.08080659061670303,0.10612408071756363,0.07609796524047852,0.4385601580142975,0.06763582676649094,0.5331824421882629,0.08080659061670303,0.10612408071756363,0.07609796524047852,0.4385601580142975,0.06763582676649094,0.5304073691368103,0.5011295080184937,0.10861483961343765,0.5044252872467041,0.4353916049003601,0.5177773237228394,0.40015578269958496,0.06060301512479782,0.3989225924015045,0.05941367149353027,0.3944500982761383,0.49825242161750793,1.9615564346313477,-1.0855557918548584,-0.005705663934350014,0.49538058042526245,1.506251573562622,-1.426146149635315,0.3499999940395355,-0.10189588367938995,0.5158264636993408,0
11,33,36,3,dispatch_decision_block,hierarchical_actor_joint_reward_aligned_credit,0.6556833386421204,0.19904637336730957,0.852259635925293,0.23970162868499756,0.8484503626823425,0.24243158102035522,0.7665131092071533,0.2391566038131714,1.6326847076416016,0.29793575406074524,0.7656580805778503,0.2386254221200943,1.6326847076416016,0.29793575406074524,0.756597101688385,0.2167738527059555,0.7578503489494324,0.22012023627758026,0.0012531953398138285,0.23075461387634277,0.6911110281944275,-0.8998686075210571,-0.0012531953398138285,0.23075461387634277,0.8998686075210571,-0.6911110281944275,-0.2262151837348938,0.07794177532196045,0.15313826501369476,-0.40707799792289734,0.11459880322217941,0.07661861181259155,-0.677274763584137,0.09683024883270264,-0.3978569805622101,0.07456327974796295,0.11459880322217941,0.07661861181259155,-0.677274763584137,0.09683024883270264,-0.3978569805622101,0.07456327974796295,0.11463598161935806,0.21255603432655334,-0.666326105594635,0.27813881635665894,-0.3910903334617615,0.28050872683525085,-0.2262151837348938,0.07794177532196045,-0.22728946805000305,0.07554695755243301,-0.2253802865743637,0.25343263149261475,0.6804110407829285,-1.021549940109253,0.0008349156123585999,0.24104979634284973,0.8605489134788513,-0.7002129554748535,0.7899999618530273,-0.1768183708190918,0.5267612934112549,0
12,36,39,3,dispatch_decision_block,hierarchical_actor_joint_reward_aligned_credit,0.6751763820648193,0.30449163913726807,0.9098478555679321,0.33570045232772827,0.9107903838157654,0.34120991826057434,0.7853415608406067,0.3267976939678192,1.546003818511963,0.29135656356811523,0.7882292866706848,0.3271096348762512,1.546003818511963,0.29135656356811523,0.7963418960571289,0.3262057304382324,0.8017396926879883,0.3251137137413025,0.005397773813456297,0.2674386501312256,0.8702777624130249,-0.7716667652130127,-0.005397773813456297,0.2674386501312256,0.7716667652130127,-0.8702777624130249,-0.33531031012535095,0.13158366084098816,0.028262373059988022,-0.694650411605835,-1.0337005853652954,0.09687785804271698,0.29686474800109863,0.055104002356529236,0.3649812340736389,0.08446463197469711,-1.0337005853652954,0.09687785804271698,0.29686474800109863,0.055104002356529236,0.3649812340736389,0.08446463197469711,-1.020667552947998,0.2907966375350952,0.28824806213378906,0.28722554445266724,0.35605573654174805,0.29753780364990234,-0.33531031012535095,0.13158366084098816,-0.33471670746803284,0.12754683196544647,-0.3357357680797577,0.3102254569530487,0.6063284873962402,-1.2216864824295044,-0.00042543173185549676,0.27037402987480164,0.724218487739563,-0.8757811188697815,0.8100000023841858,-0.1922193169593811,0.5751655697822571,0
