pair,pearson,spearman
v_local_vs_advantage,-0.19563478706683457,-0.35997972687131946
v_local_vs_return,-0.30566003956247173,-0.3712111341709715
v_bs1_vs_advantage,-0.1587319311826454,-0.3368728334488956
v_bs1_vs_return,-0.27494421658376805,-0.34077954106454134
v_bs2_vs_advantage,-0.1991454625460805,-0.3543187717819301
v_bs2_vs_return,-0.2980577959919164,-0.3613010689065727
selected_value_vs_advantage,-0.17654848503630308,-0.3660811293057934
selected_value_vs_return,-0.30938575254067324,-0.3786972306560874
best_value_vs_advantage,-0.20513154057401914,-0.3485250791364878
best_value_vs_return,-0.30050653180788844,-0.35892235156685326
v_local_vs_r_local,-0.1672139150619689,-0.1005886896778458
v_bs1_vs_r_bs1,-0.12194521377461992,-0.0667630178745977
v_bs2_vs_r_bs2,-0.13754061943214077,-0.08075412460397363
selected_value_vs_selected_reward,-0.15847372449171254,-0.09616966712328957
best_value_vs_best_reward,-0.16122642138947102,-0.10544244018927712
