telemetry_step,train_epoch,update_epoch,minibatch_id,final_critic_backbone_delta_norm,backbone_active_count,backbone_clipped_active_count,backbone_clipped_active_fraction,backbone_active_preconditioner_mean,backbone_active_preconditioner_p95,backbone_active_preconditioner_p99,backbone_active_preconditioner_max,backbone_active_preconditioner_mean_after_clip,backbone_active_preconditioner_p95_after_clip,backbone_active_preconditioner_p99_after_clip,backbone_active_preconditioner_max_after_clip
0,0,0,0,0.10250535324220092,77696,45591,0.5867869645799012,337441.9375,813527.0625,8006502.950000231,87227216.0,8101.1005859375,10889.51220703125,55061.98457031283,87227216.0
1,0,0,1,0.07761257375248266,77696,44716,0.5755251235584844,270707.125,734069.1875,6942900.075000292,70327152.0,2773.558349609375,6585.5792236328125,16115.079589843794,380955.875
2,0,0,2,0.06415258701270742,77696,44694,0.5752419686985173,256750.5,746159.125,6604949.5,65427768.0,2507.70361328125,5710.828857421875,11378.579052734407,198523.90625
3,0,0,3,0.058140154933002466,77696,43002,0.5534647858319605,250808.171875,823458.875,6765494.0,50264932.0,2324.56591796875,5032.3048095703125,9108.466992187507,54970.71484375
4,0,1,4,0.05675392802192332,77696,43535,0.5603248558484349,236798.265625,824073.375,6422628.0,44840184.0,2307.78759765625,4928.8284912109375,8473.745263671892,32552.095703125
5,0,1,5,0.05627057851916161,77696,43959,0.5657820222405272,225325.34375,835810.75,6195178.450000007,37979972.0,2302.2001953125,4878.91552734375,8104.504785156251,30608.1640625
6,0,1,6,0.054120622977949145,77696,44178,0.5686007001647446,216188.0625,816717.3125,5807503.5,37600668.0,2289.4833984375,4809.5557861328125,7644.878100585938,30267.490234375
7,0,1,7,0.052419006193607065,77696,42046,0.5411604200988468,214027.234375,842352.09375,5666311.5,35946148.0,2215.067138671875,4478.406494140625,7061.684936523438,31981.033203125
8,0,2,8,0.052360108631549926,77696,42114,0.542035626029654,206809.390625,821832.75,5574464.0,36898936.0,2208.96240234375,4434.2020263671875,6815.806298828125,33803.58984375
9,0,2,9,0.050893895831365096,77696,42432,0.5461285008237232,205871.421875,819488.125,5548966.5,37719408.0,2212.666015625,4422.779052734375,6731.850708007813,30425.419921875
10,0,2,10,0.050360426010077494,77696,42821,0.5511351935749588,201606.703125,818387.5625,5270724.175000029,35972688.0,2219.4765625,4440.4281005859375,6629.259643554688,26367.462890625
11,0,2,11,0.051012300004647126,77696,40208,0.517504118616145,199669.28125,830968.875,5360221.0,36582932.0,2129.814697265625,4110.3031005859375,6147.381250000007,22839.556640625
12,0,3,12,0.05140497755160688,77696,40547,0.5218672775947282,195920.890625,796711.25,5319908.500000135,37201516.0,2136.389404296875,4116.48095703125,6076.322509765626,19982.431640625
13,0,3,13,0.05077539196997838,77696,40859,0.5258829283360791,193531.109375,801278.9375,5266862.0,36772748.0,2146.177001953125,4140.896728515625,6055.050366210938,19967.353515625
14,0,3,14,0.04993618342376048,77696,40921,0.5266809102141681,190106.671875,792602.6875,5139683.0,34013620.0,2147.520263671875,4142.1505126953125,5998.341455078133,20672.859375
15,0,3,15,0.04989090484582042,77696,38909,0.5007851112026359,188663.390625,795328.125,5050902.5,29590036.0,2082.7236328125,3999.999755859375,5668.1444091796975,21248.45703125
16,0,4,16,0.049737177578086725,77696,39312,0.5059719934102141,187817.015625,795147.25,4991540.025,29111592.0,2092.99365234375,3999.999755859375,5671.08364257813,21405.341796875
