telemetry_step,train_epoch,update_epoch,minibatch_id,layer_name,layer_active_count,layer_clipped_active_count,layer_clipped_active_fraction,layer_active_preconditioner_mean,layer_active_preconditioner_p95,layer_active_preconditioner_p99,layer_active_preconditioner_max,layer_active_preconditioner_mean_after_clip,layer_active_preconditioner_p95_after_clip,layer_active_preconditioner_p99_after_clip,layer_active_preconditioner_max_after_clip,layer_actual_param_delta_norm,layer_raw_grad_norm,layer_preconditioned_grad_norm
0,0,0,0,critic_backbone.0.weight,43776,36548,0.8348866959064327,573411.0,2235569.25,12908685.0,85565536.0,1526.130126953125,1600.0,1600.0,1600.0,0.06119339168071747,0.10099786520004272,122.38680267333984
0,0,0,0,critic_backbone.4.bias,128,20,0.15625,6266.3056640625,11312.115673828097,30410.081464843817,465070.96875,1708.12109375,3999.999755859375,3999.999755859375,3999.999755859375,0.005332984961569309,0.013485387898981571,10.665969848632812
0,0,0,0,critic_backbone.6.weight,16384,8908,0.543701171875,35184.6484375,75792.02460937499,332237.7840625,73211040.0,3129.345703125,3999.999755859375,3999.999755859375,3999.999755859375,0.049073897302150726,0.05828505754470825,98.14781951904297
0,0,0,0,critic_backbone.7.weight,128,115,0.8984375,221582.0,250233.3773437497,3327849.307500013,16370807.0,3946.40625,3999.999755859375,3999.999755859375,3999.999755859375,0.002890203846618533,0.0015513859689235687,5.780407905578613
0,0,0,0,critic_backbone.7.bias,128,0,0.0,2073.26953125,6815.32045898436,19551.646230468752,21489.31640625,2073.26953125,6815.32045898436,19551.646230468752,21489.31640625,0.005656736437231302,0.014666320756077766,11.313472747802734
1,0,0,1,critic_backbone.0.weight,43776,37125,0.8480674342105263,474576.5625,2206245.0,10693676.0,70327152.0,1542.5867919921875,1600.0,1600.0,1600.0,0.04416956380009651,0.09348995238542557,125.20457458496094
1,0,0,1,critic_backbone.4.bias,128,15,0.1171875,2010.392333984375,6339.752832031247,8149.083374023441,10966.5478515625,1735.43505859375,3999.999755859375,3999.999755859375,3999.999755859375,0.005277457647025585,0.012969587929546833,10.644210815429688
1,0,0,1,critic_backbone.6.weight,16384,7457,0.45513916015625,9337.060546875,34056.125195312496,94141.40093750006,1224475.875,2988.68505859375,3999.999755859375,3999.999755859375,3999.999755859375,0.04266602545976639,0.059643521904945374,105.34205627441406
1,0,0,1,critic_backbone.7.weight,128,119,0.9296875,49129.46875,139557.37187499966,862268.0912500017,1349292.375,3954.975341796875,3999.999755859375,3999.999755859375,3999.999755859375,0.0025339429266750813,0.0016478485194966197,5.883630275726318
1,0,0,1,critic_backbone.7.bias,128,0,0.0,2228.4384765625,6791.6971923828105,22456.06546875003,26139.421875,2228.4384765625,6791.6971923828105,22456.06546875003,26139.421875,0.005538313649594784,0.013424846343696117,10.638910293579102
2,0,0,2,critic_backbone.0.weight,43776,38021,0.8685352704678363,451114.75,2216575.0,10283180.0,65427768.0,1554.1890869140625,1600.0,1600.0,1600.0,0.033788468688726425,0.08557914197444916,121.17894744873047
2,0,0,2,critic_backbone.4.bias,128,16,0.125,2052.3056640625,6520.4853271484335,8187.804150390625,12997.0341796875,1764.2347412109375,3999.999755859375,3999.999755859375,3999.999755859375,0.00517614372074604,0.01193623524159193,10.112086296081543
2,0,0,2,critic_backbone.6.weight,16384,6540,0.399169921875,7154.35302734375,26790.233789062455,60003.582773437534,292773.0625,2888.9658203125,3999.999755859375,3999.999755859375,3999.999755859375,0.03867900371551514,0.06037285178899765,111.100341796875
2,0,0,2,critic_backbone.7.weight,128,117,0.9140625,33345.50390625,113757.70351562492,376802.51218750014,831775.1875,3940.88720703125,3999.999755859375,3999.999755859375,3999.999755859375,0.002380985300987959,0.001813818933442235,6.647083759307861
2,0,0,2,critic_backbone.7.bias,128,0,0.0,2143.1162109375,7802.628198242183,17270.939980468753,18480.71484375,2143.1162109375,7802.628198242183,17270.939980468753,18480.71484375,0.005490262992680073,0.01312766969203949,10.771533966064453
3,0,0,3,critic_backbone.0.weight,43776,37027,0.845828764619883,441266.09375,2395778.0,10429680.0,50264932.0,1541.2938232421875,1600.0,1600.0,1600.0,0.031091678887605667,0.12099994719028473,149.4145050048828
3,0,0,3,critic_backbone.4.bias,128,17,0.1328125,2210.01806640625,6021.060302734373,9019.807641601568,11695.7197265625,1897.81689453125,3999.999755859375,3999.999755859375,3999.999755859375,0.004757685121148825,0.005554217379540205,5.960807800292969
3,0,0,3,critic_backbone.6.weight,16384,5842,0.3565673828125,6045.24267578125,23612.280468749985,45237.407382812504,239968.203125,2756.893310546875,3999.999755859375,3999.999755859375,3999.999755859375,0.03544753044843674,0.07397808879613876,123.740234375
3,0,0,3,critic_backbone.7.weight,128,116,0.90625,26375.484375,126717.09179687478,293744.45562500006,401336.90625,3949.0556640625,3999.999755859375,3999.999755859375,3999.999755859375,0.002228101482614875,0.0018525499617680907,7.1340765953063965
3,0,0,3,critic_backbone.7.bias,128,0,0.0,2361.3701171875,8911.418847656243,17785.271328125003,19666.234375,2361.3701171875,8911.418847656243,17785.271328125003,19666.234375,0.0050940434448421,0.005849694367498159,5.493840217590332
4,0,1,4,critic_backbone.0.weight,43776,37588,0.8586440058479532,416589.1875,2382977.25,9307672.0,44840184.0,1548.9434814453125,1600.0,1600.0,1600.0,0.031224239617586136,0.08393020182847977,119.0280990600586
4,0,1,4,critic_backbone.4.bias,128,12,0.09375,2115.68994140625,5783.678515624994,9102.277070312504,11684.59765625,1863.0113525390625,3999.999755859375,3999.999755859375,3999.999755859375,0.004809988662600517,0.011349845677614212,11.482168197631836
4,0,1,4,critic_backbone.6.weight,16384,5818,0.3551025390625,5673.07177734375,21824.517089843743,38801.00957031251,130330.296875,2770.54248046875,3999.999755859375,3999.999755859375,3999.999755859375,0.033851008862257004,0.05451520159840584,100.67115020751953
4,0,1,4,critic_backbone.7.weight,128,117,0.9140625,24084.55078125,105139.03007812463,272443.04843750066,321104.4375,3924.9736328125,3999.999755859375,3999.999755859375,3999.999755859375,0.002178595867007971,0.002089281100779772,7.186644077301025
4,0,1,4,critic_backbone.7.bias,128,0,0.0,2185.94287109375,8584.183325195292,14153.03565429688,14542.2421875,2185.94287109375,8584.183325195292,14153.03565429688,14542.2421875,0.005155003629624844,0.012505623511970043,11.780019760131836
5,0,1,5,critic_backbone.0.weight,43776,38043,0.8690378289473685,396325.71875,2298651.6875,8850884.0,37979972.0,1554.3775634765625,1600.0,1600.0,1600.0,0.03040420636534691,0.08353735506534576,119.71485137939453
5,0,1,5,critic_backbone.4.bias,128,10,0.078125,2069.08740234375,5012.304101562495,9893.619882812505,11759.4287109375,1834.9617919921875,3999.999755859375,3999.999755859375,3999.999755859375,0.004834949970245361,0.012010197155177593,11.610685348510742
5,0,1,5,critic_backbone.6.weight,16384,5792,0.353515625,5458.18310546875,20471.452441406243,34545.9921484375,96243.71875,2781.1708984375,3999.999755859375,3999.999755859375,3999.999755859375,0.034396931529045105,0.05657007545232773,102.667724609375
5,0,1,5,critic_backbone.7.weight,128,114,0.890625,24287.8671875,103270.64218749957,285929.17484375066,341246.0,3917.455078125,3999.999755859375,3999.999755859375,3999.999755859375,0.0023099512327462435,0.001936011598445475,6.945953845977783
5,0,1,5,critic_backbone.7.bias,128,0,0.0,2103.525390625,7443.796069335934,11774.299726562505,14757.71484375,2103.525390625,7443.796069335934,11774.299726562505,14757.71484375,0.005184554029256105,0.012672136537730694,11.792278289794922
6,0,1,6,critic_backbone.0.weight,43776,38295,0.8747944078947368,380227.46875,2300153.0,8330244.0,37600668.0,1556.786865234375,1600.0,1600.0,1600.0,0.027852453291416168,0.09068285673856735,129.41546630859375
6,0,1,6,critic_backbone.4.bias,128,9,0.0703125,2001.31787109375,4939.189892578121,10178.70748046876,12658.4462890625,1773.343505859375,3999.999755859375,3999.999755859375,3999.999755859375,0.004832681268453598,0.012837603688240051,12.424640655517578
6,0,1,6,critic_backbone.6.weight,16384,5760,0.3515625,5236.037109375,19171.810156249998,30745.326660156254,90583.8203125,2780.43310546875,3999.999755859375,3999.999755859375,3999.999755859375,0.03451826795935631,0.059400323778390884,108.69569396972656
6,0,1,6,critic_backbone.7.weight,128,114,0.890625,20427.1171875,73983.16992187497,163915.6142187501,175872.09375,3909.066650390625,3999.999755859375,3999.999755859375,3999.999755859375,0.002387103857472539,0.002128304447978735,7.585898399353027
6,0,1,6,critic_backbone.7.bias,128,0,0.0,2027.102783203125,7724.768115234375,10822.885087890625,14268.8310546875,2027.102783203125,7724.768115234375,10822.885087890625,14268.8310546875,0.0052076964639127254,0.013240495696663857,12.300396919250488
7,0,1,7,critic_backbone.0.weight,43776,36401,0.8315286915204678,376641.46875,2342173.75,8288400.5,35946148.0,1535.765869140625,1600.0,1600.0,1600.0,0.028831876814365387,0.15946714580059052,200.81463623046875
7,0,1,7,critic_backbone.4.bias,128,8,0.0625,1999.826416015625,4481.590356445309,8565.341015625003,13518.9814453125,1821.3311767578125,3999.999755859375,3999.999755859375,3999.999755859375,0.004655295982956886,0.0067338235676288605,7.998088836669922
7,0,1,7,critic_backbone.6.weight,16384,5523,0.33709716796875,4842.56787109375,16687.69433593749,27406.587304687502,85061.125,2743.71875,3999.999755859375,3999.999755859375,3999.999755859375,0.0326707549393177,0.06673817336559296,123.14922332763672
7,0,1,7,critic_backbone.7.weight,128,114,0.890625,18904.0,71577.22167968741,164591.8995312501,181232.34375,3899.517578125,3999.999755859375,3999.999755859375,3999.999755859375,0.002319073537364602,0.0021437047980725765,7.409064769744873
7,0,1,7,critic_backbone.7.bias,128,0,0.0,2115.17578125,8172.30783691406,11274.142626953128,14803.560546875,2115.17578125,8172.30783691406,11274.142626953128,14803.560546875,0.005012223497033119,0.006686052773147821,6.51478385925293
8,0,2,8,critic_backbone.0.weight,43776,36528,0.8344298245614035,363901.5,2254059.0,8043592.875,36898936.0,1537.8916015625,1600.0,1600.0,1600.0,0.02919750101864338,0.09736000746488571,134.9867401123047
8,0,2,8,critic_backbone.4.bias,128,7,0.0546875,1925.519775390625,4029.0327148437486,8064.240097656258,12687.8076171875,1781.43408203125,3974.555541992187,3999.999755859375,3999.999755859375,0.004699841607362032,0.012270502746105194,12.600424766540527
8,0,2,8,critic_backbone.6.weight,16384,5468,0.333740234375,4694.40625,15699.219287109356,24761.233671875005,89169.6171875,2747.127685546875,3999.999755859375,3999.999755859375,3999.999755859375,0.03212285786867142,0.05899722874164581,109.20535278320312
8,0,2,8,critic_backbone.7.weight,128,111,0.8671875,18569.712890625,64925.31171875,174475.09953125007,186957.171875,3871.9990234375,3999.999755859375,3999.999755859375,3999.999755859375,0.0024747056886553764,0.002559443237259984,8.659077644348145
8,0,2,8,critic_backbone.7.bias,128,0,0.0,2044.490966796875,7258.291894531247,10270.691718750006,13642.861328125,2044.490966796875,7258.291894531247,10270.691718750006,13642.861328125,0.005053265485912561,0.011970327235758305,12.051068305969238
9,0,2,9,critic_backbone.0.weight,43776,36835,0.8414427997076024,362266.375,2229396.25,8080847.0,37719408.0,1541.8837890625,1600.0,1600.0,1600.0,0.02749083936214447,0.08619612455368042,123.41500854492188
9,0,2,9,critic_backbone.4.bias,128,8,0.0625,1909.707763671875,4093.4598388671866,8496.614091796882,13377.240234375,1756.873291015625,3999.999755859375,3999.999755859375,3999.999755859375,0.004722357727587223,0.012008825317025185,12.04895305633545
9,0,2,9,critic_backbone.6.weight,16384,5481,0.33453369140625,4629.640625,15146.958740234368,23767.890683593752,75241.4609375,2761.734619140625,3999.999755859375,3999.999755859375,3999.999755859375,0.032001037150621414,0.05405719578266144,100.49175262451172
9,0,2,9,critic_backbone.7.weight,128,108,0.84375,17700.8984375,64034.52343749999,166050.45484375002,188268.0,3859.813232421875,3999.999755859375,3999.999755859375,3999.999755859375,0.0026178057305514812,0.0025387939531356096,8.248771667480469
9,0,2,9,critic_backbone.7.bias,128,0,0.0,1991.6270751953125,6772.890893554686,9492.869521484376,13035.4248046875,1991.6270751953125,6772.890893554686,9492.869521484376,13035.4248046875,0.005077925510704517,0.011590496636927128,11.743165969848633
10,0,2,10,critic_backbone.0.weight,43776,37226,0.8503746345029239,354730.84375,2200259.5,7878384.5,35972688.0,1545.88232421875,1600.0,1600.0,1600.0,0.026012375950813293,0.08119866251945496,115.4112777709961
10,0,2,10,critic_backbone.4.bias,128,7,0.0546875,1883.863037109375,4121.182507324217,7171.594057617192,13652.2060546875,1744.5986328125,3990.779272460937,3999.999755859375,3999.999755859375,0.00473439646884799,0.011529779061675072,11.666901588439941
10,0,2,10,critic_backbone.6.weight,16384,5482,0.3345947265625,4532.11767578125,14326.604492187498,22010.6508984375,57629.1484375,2774.01025390625,3999.999755859375,3999.999755859375,3999.999755859375,0.03276510536670685,0.05203307047486305,102.46266174316406
10,0,2,10,critic_backbone.7.weight,128,106,0.828125,17457.5,62019.46249999996,170660.86734375005,183214.828125,3844.3701171875,3999.999755859375,3999.999755859375,3999.999755859375,0.0027540107257664204,0.0025690672919154167,8.49681282043457
10,0,2,10,critic_backbone.7.bias,128,0,0.0,1963.463623046875,6559.788574218749,9438.175664062504,13073.4130859375,1963.463623046875,6559.788574218749,9438.175664062504,13073.4130859375,0.005084406118839979,0.010898900218307972,11.265743255615234
11,0,2,11,critic_backbone.0.weight,43776,34935,0.7980400219298246,351538.96875,2170901.75,7805836.0,36582932.0,1519.2469482421875,1600.0,1600.0,1600.0,0.028301075100898743,0.20049232244491577,244.5106658935547
11,0,2,11,critic_backbone.4.bias,128,10,0.078125,1871.259033203125,4206.678271484374,6491.25353515625,13570.6005859375,1734.765380859375,3999.999755859375,3999.999755859375,3999.999755859375,0.0046898555010557175,0.01035439595580101,10.857531547546387
