section,pair,pearson,spearman
real_rollout_value_semantics,value_vs_return,-0.37638762023277694,-0.4069565217391304
real_rollout_value_semantics,value_vs_value_target,-0.37638760152938155,-0.4069565217391304
real_rollout_value_semantics,normalized_value_vs_value_target,-0.3763876129862892,-0.4069565217391304
real_rollout_value_semantics,value_vs_advantage,-0.9246138038616448,-0.6547826086956522
real_rollout_value_semantics,value_vs_one_step_reward,-0.15840915612313858,-0.2739130434782609
real_rollout_value_semantics,value_vs_one_step_td_target,0.07454884532669012,0.38086956521739124
counterfactual_value_semantics,selected_counterfactual_value_vs_return,-0.3093857525406735,-0.3786972306560874
counterfactual_value_semantics,selected_counterfactual_value_vs_advantage,-0.1765484850363029,-0.36608112930579334
counterfactual_value_semantics,selected_counterfactual_value_vs_reward_aligned_score,-0.15847372449171274,-0.09616966712328957
counterfactual_value_semantics,best_counterfactual_value_vs_return,-0.30050653180788794,-0.3589223515668532
counterfactual_value_semantics,best_counterfactual_value_vs_advantage,-0.205131540574019,-0.3485250791364878
counterfactual_value_semantics,best_counterfactual_value_vs_reward_aligned_score,-0.1612264213894712,-0.10544244018927712
