block_index,block_start,block_stop_exclusive,block_size,block_semantic,policy_surrogate_mode,block_value_score_mean,block_value_score_std,block_value_score_max,block_value_score_min,block_value_scale_mean,block_value_scale_std,block_value_scale_max,block_value_scale_min,block_clip_fraction,per_block_selected_action_prob_gain_mean,per_block_selected_action_prob_gain_std,epoch
0,0,3,3,dispatch_decision_block,blockwise_action_conditioned_td_advantage_surrogate_mean,0.3064161241054535,0.15919937193393707,0.95479416847229,-0.2922332286834717,1.0,0.0,1.0,1.0,0.3100000023841858,-0.0015985178761184216,0.23735636472702026,0
1,3,6,3,dispatch_decision_block,blockwise_action_conditioned_td_advantage_surrogate_mean,0.08876558393239975,0.15429016947746277,0.42994117736816406,-0.3368798494338989,1.0,0.0,1.0,1.0,0.2800000011920929,0.008482924662530422,0.21010300517082214,0
2,6,9,3,dispatch_decision_block,blockwise_action_conditioned_td_advantage_surrogate_mean,-0.3414512574672699,0.23100247979164124,0.6642652153968811,-0.8997969031333923,1.0,0.0,1.0,1.0,0.4300000071525574,0.01383395679295063,0.2642044723033905,0
3,9,12,3,dispatch_decision_block,blockwise_action_conditioned_td_advantage_surrogate_mean,-0.020554693415760994,0.16293470561504364,0.4902651906013489,-0.4141879081726074,1.0,0.0,1.0,1.0,0.3499999940395355,-0.003505234606564045,0.21928860247135162,0
4,12,15,3,dispatch_decision_block,blockwise_action_conditioned_td_advantage_surrogate_mean,0.22649258375167847,0.14954331517219543,0.4919463098049164,-0.26627588272094727,1.0,0.0,1.0,1.0,0.2800000011920929,-0.012250207364559174,0.1986372470855713,0
5,15,18,3,dispatch_decision_block,blockwise_action_conditioned_td_advantage_surrogate_mean,-0.506927490234375,0.1448196917772293,0.026604188606142998,-0.8496710658073425,1.0,0.0,1.0,1.0,0.30000001192092896,-0.007217030506581068,0.20830999314785004,0
6,18,21,3,dispatch_decision_block,blockwise_action_conditioned_td_advantage_surrogate_mean,-0.1312832236289978,0.16199539601802826,0.25655296444892883,-0.61898273229599,1.0,0.0,1.0,1.0,0.27000001072883606,-0.008807225152850151,0.20590946078300476,0
7,21,24,3,dispatch_decision_block,blockwise_action_conditioned_td_advantage_surrogate_mean,0.5841126441955566,0.1917305886745453,0.9670174717903137,0.055645622313022614,1.0,0.0,1.0,1.0,0.3100000023841858,0.0124445129185915,0.22197923064231873,0
8,24,27,3,dispatch_decision_block,blockwise_action_conditioned_td_advantage_surrogate_mean,0.1521049439907074,0.13634821772575378,0.5445992350578308,-0.26952722668647766,1.0,0.0,1.0,1.0,0.5299999713897705,-0.03678712993860245,0.32851189374923706,0
9,27,30,3,dispatch_decision_block,blockwise_action_conditioned_td_advantage_surrogate_mean,0.030670778825879097,0.16790936887264252,0.6299373507499695,-0.46446457505226135,1.0,0.0,1.0,1.0,0.5199999809265137,0.02075072005391121,0.3529505133628845,0
