bucket_name,bucket_sample_count,bucket_mean_advantage,bucket_mean_ratio,bucket_mean_delta_log_prob_selected_action,bucket_mean_selected_action_prob_gain,bucket_mean_clip_fraction,epoch
high_positive,0,0.0,0.0,0.0,0.0,0.0,0
mid_positive,0,0.0,0.0,0.0,0.0,0.0,0
near_zero,0,0.0,0.0,0.0,0.0,0.0,0
negative,100,-22.253490447998047,0.9912540912628174,-0.03956545144319534,-0.008745861239731312,0.37208330631256104,0
high_positive,1,3.384192943572998,1.6690740585327148,0.45467719435691833,0.6690740585327148,0.7916666865348816,1
mid_positive,1,2.003857135772705,1.8233197927474976,0.5564036965370178,0.8233199119567871,0.9583333134651184,1
near_zero,1,0.17636938393115997,1.6827601194381714,0.46080946922302246,0.6827600598335266,0.875,1
negative,97,-19.904247283935547,0.910136878490448,-0.27145254611968994,-0.08986310660839081,0.7998282313346863,1
high_positive,3,14.649304389953613,1.833419680595398,0.5212952494621277,0.8334195017814636,0.9583333134651184,2
mid_positive,7,6.068990230560303,1.7953332662582397,0.49126943945884705,0.7953333258628845,0.886904776096344,2
near_zero,2,-0.3992566466331482,1.37179434299469,0.30098846554756165,0.3717942237854004,0.75,2
negative,88,-19.70621109008789,0.8441547751426697,-0.2907642722129822,-0.1558452546596527,0.7566288113594055,2
high_positive,4,33.605567932128906,1.697801113128662,0.4682883024215698,0.6978009939193726,0.875,3
mid_positive,12,9.894088745117188,1.5469359159469604,0.38536131381988525,0.5469357371330261,0.833333432674408,3
near_zero,8,-0.22263306379318237,1.4074573516845703,0.30948173999786377,0.40745726227760315,0.7916667461395264,3
negative,76,-21.82609748840332,0.9902539253234863,-0.1449224203824997,-0.009746168740093708,0.7198465466499329,3
high_positive,5,32.31067657470703,1.7697185277938843,0.4808201789855957,0.7697186470031738,0.9166666269302368,4
mid_positive,12,12.503150939941406,1.6640545129776,0.43430909514427185,0.6640546917915344,0.8541666865348816,4
near_zero,3,-0.07063516229391098,1.5075721740722656,0.3420969247817993,0.5075721144676208,0.7222221493721008,4
negative,80,-16.754871368408203,0.8213357925415039,-0.3062402009963989,-0.1786641776561737,0.723437488079071,4
