bucket_name,bucket_sample_count,bucket_mean_advantage,bucket_mean_ratio,bucket_mean_delta_log_prob_selected_action,bucket_mean_selected_action_prob_gain,bucket_mean_clip_fraction,epoch
high_positive,0,0.0,0.0,0.0,0.0,0.0,0
mid_positive,0,0.0,0.0,0.0,0.0,0.0,0
near_zero,0,0.0,0.0,0.0,0.0,0.0,0
negative,100,-22.205528259277344,0.8513751029968262,-0.19190524518489838,-0.14862491190433502,0.46875,0
high_positive,1,5.293763160705566,1.0795196294784546,-0.04238219931721687,0.07951951026916504,0.6666666865348816,1
mid_positive,3,3.33404278755188,0.7762186527252197,-0.42688998579978943,-0.22378133237361908,0.8194444179534912,1
near_zero,0,0.0,0.0,0.0,0.0,0.0,1
negative,96,-19.829011917114258,0.6104598641395569,-0.6002165675163269,-0.3895401656627655,0.8754341006278992,1
high_positive,2,15.7664794921875,0.7788122892379761,-0.4022962152957916,-0.2211877554655075,0.7083333730697632,2
mid_positive,6,8.133237838745117,0.7122583389282227,-0.41831374168395996,-0.28774163126945496,0.7638888955116272,2
near_zero,3,0.07000138610601425,1.2023777961730957,0.04209082946181297,0.20237775146961212,0.7361111044883728,2
negative,89,-19.353864669799805,0.6423720717430115,-0.5562179684638977,-0.35762789845466614,0.8216292858123779,2
high_positive,5,29.908084869384766,0.9182863235473633,-0.2239387035369873,-0.08171363919973373,0.6333333253860474,3
mid_positive,12,8.790371894836426,0.8733723163604736,-0.2707168161869049,-0.12662774324417114,0.6770833134651184,3
near_zero,5,-0.02606443502008915,0.7577747106552124,-0.35632598400115967,-0.2422252595424652,0.6499999761581421,3
negative,78,-20.608150482177734,0.6900085806846619,-0.46938246488571167,-0.30999141931533813,0.7585470080375671,3
high_positive,5,30.632009506225586,0.9452597498893738,-0.24836666882038116,-0.05474025011062622,0.7083333730697632,4
mid_positive,13,10.894392967224121,0.9307578802108765,-0.29437655210494995,-0.06924214959144592,0.7371795177459717,4
near_zero,3,0.6749634146690369,0.7623999714851379,-0.39255475997924805,-0.23759998381137848,0.7638888955116272,4
negative,79,-17.23963165283203,0.7199334502220154,-0.42318397760391235,-0.28006649017333984,0.753164529800415,4
