block_index,block_start,block_stop_exclusive,block_size,block_semantic,block_weight_mean,block_weight_std,block_weight_max,block_weight_min,block_adv_scale_mean,block_adv_scale_std,block_adv_scale_max,block_adv_scale_min,block_advantage_mean,block_advantage_std,block_advantage_max,block_advantage_min,block_active_rate,block_clip_fraction,block_positive_adv_clip_fraction,block_negative_adv_clip_fraction,block_ratio_mean,block_ratio_std,block_ratio_max,block_surrogate_mean,block_surrogate_std,per_block_selected_action_prob_gain_mean,per_block_selected_action_prob_gain_std,epoch
0,0,3,3,dispatch_decision_block,0.04732997715473175,0.016488678753376007,0.08847889304161072,0.01919720135629177,1.1359195709228516,0.39572829008102417,2.1234936714172363,0.4607328176498413,0.03313608467578888,1.0716853141784668,4.749667644500732,-1.6263998746871948,0.4300000071525574,0.3499999940395355,0.4399999976158142,0.25999999046325684,1.0248795747756958,0.2284763902425766,1.672601342201233,0.12601056694984436,1.156948447227478,0.02487955242395401,0.2284763902425766,0
1,3,6,3,dispatch_decision_block,0.03311746194958687,0.01981029473245144,0.10301857441663742,0.005217146128416061,0.794819176197052,0.4754470884799957,2.4724459648132324,0.12521150708198547,-0.1337730586528778,1.0683207511901855,1.936086654663086,-3.7282116413116455,0.6299999952316284,0.4300000071525574,0.36734694242477417,0.4901960790157318,0.9920907616615295,0.23310133814811707,1.5857146978378296,-0.02376195415854454,1.0054279565811157,-0.007909294217824936,0.23310133814811707,0
2,6,9,3,dispatch_decision_block,0.03604390099644661,0.020740604028105736,0.10582234710454941,0.0024820088874548674,0.865053653717041,0.49777451157569885,2.53973650932312,0.059568215161561966,-0.1613159328699112,1.0697999000549316,1.6867262125015259,-3.7133285999298096,0.6200000047683716,0.41999998688697815,0.41304346919059753,0.42592594027519226,1.0063717365264893,0.24292270839214325,1.8218183517456055,-0.06651298701763153,1.0387715101242065,0.006371816620230675,0.24292270839214325,0
3,9,12,3,dispatch_decision_block,0.047101039439439774,0.015442363917827606,0.1052103340625763,0.01709936000406742,1.130424976348877,0.37061676383018494,2.525048017501831,0.4103846251964569,-0.024004431441426277,1.0678503513336182,4.455634117126465,-3.0534229278564453,0.3700000047683716,0.30000001192092896,0.28260868787765503,0.31481480598449707,0.9733148217201233,0.18732473254203796,1.4103803634643555,0.07291880249977112,1.1364820003509521,-0.02668520249426365,0.18732473254203796,0
4,12,15,3,dispatch_decision_block,0.04497215151786804,0.016966186463832855,0.09363672137260437,0.016877492889761925,1.079331636428833,0.4071884751319885,2.247281312942505,0.4050598740577698,0.4195478558540344,0.8990324139595032,4.237428188323975,-1.733993649482727,0.3700000047683716,0.3700000047683716,0.42465752363204956,0.2222222238779068,1.1006430387496948,0.24964064359664917,1.9088411331176758,0.49993395805358887,0.9906463623046875,0.10064300894737244,0.24964064359664917,0
5,15,18,3,dispatch_decision_block,0.03271540626883507,0.02262520045042038,0.10732696950435638,5.662378299575721e-08,0.785169780254364,0.5430048108100891,2.5758473873138428,1.3589709624284296e-06,0.2810784578323364,1.2061622142791748,4.418372631072998,-4.339019298553467,0.6499999761581421,0.36000001430511475,0.36986300349235535,0.3333333432674408,1.0678744316101074,0.22656969726085663,1.8164163827896118,0.39399948716163635,1.1935714483261108,0.06787433475255966,0.22656969726085663,0
6,18,21,3,dispatch_decision_block,0.03146720305085182,0.02027403749525547,0.09691941738128662,5.662378299575721e-08,0.7552129626274109,0.4865769147872925,2.3260657787323,1.3589709624284296e-06,0.26963502168655396,1.1704498529434204,4.212640285491943,-4.612884521484375,0.6700000166893005,0.4399999976158142,0.3913043439388275,0.5483871102333069,1.0547620058059692,0.3709415793418884,3.2455527782440186,0.38420435786247253,1.1482651233673096,0.05476199463009834,0.3709415793418884,0
7,21,24,3,dispatch_decision_block,0.04999563843011856,0.013195488601922989,0.0973614975810051,0.020090293139219284,1.1998952627182007,0.31669172644615173,2.3366761207580566,0.4821670651435852,0.2116442173719406,0.8682125210762024,3.458185911178589,-1.5531085729599,0.36000001430511475,0.3700000047683716,0.4528301954269409,0.27659574151039124,1.0616801977157593,0.22445334494113922,1.725077748298645,0.2908676266670227,0.9526978731155396,0.06168024241924286,0.22445334494113922,0
8,24,27,3,dispatch_decision_block,0.048451829701662064,0.017625175416469574,0.09106103330850601,0.02085929550230503,1.162843942642212,0.4230042099952698,2.185464859008789,0.5006231069564819,-0.23141951858997345,1.0319286584854126,2.919342041015625,-2.9440836906433105,0.41999998688697815,0.41999998688697815,0.46341463923454285,0.38983049988746643,0.9670109748840332,0.2305133044719696,1.7407379150390625,-0.12680257856845856,0.9984424710273743,-0.03298907354474068,0.2305133044719696,0
9,27,30,3,dispatch_decision_block,0.03398110717535019,0.021105889230966568,0.10393313318490982,0.0005297941388562322,0.8155466318130493,0.50654137134552,2.4943954944610596,0.012715059332549572,-0.2260979413986206,1.1914989948272705,1.801200032234192,-3.8086678981781006,0.6299999952316284,0.46000000834465027,0.4897959232330322,0.4313725531101227,0.995882511138916,0.3238752782344818,2.3213281631469727,-0.10122166574001312,1.119628667831421,-0.00411751726642251,0.3238752782344818,0
10,30,33,3,dispatch_decision_block,0.03424397483468056,0.021554009988904,0.1001361757516861,0.0015431217616423965,0.821855366230011,0.5172962546348572,2.4032680988311768,0.03703492507338524,-0.244685560464859,1.2472419738769531,1.8064310550689697,-5.108479022979736,0.6000000238418579,0.3700000047683716,0.4166666567325592,0.32692307233810425,1.0058469772338867,0.29020896553993225,2.8782031536102295,-0.12114324420690536,1.1432617902755737,0.005847116932272911,0.29020896553993225,0
11,33,36,3,dispatch_decision_block,0.044829100370407104,0.010954500176012516,0.08201158791780472,0.026280956342816353,1.0758984088897705,0.2629079818725586,1.9682780504226685,0.6307428479194641,-0.09025296568870544,0.7453382611274719,3.3011929988861084,-2.4583332538604736,0.1899999976158142,0.3799999952316284,0.3191489279270172,0.43396225571632385,0.959064781665802,0.22553850710391998,1.942449688911438,-0.027211733162403107,0.7304617762565613,-0.04093518853187561,0.22553850710391998,0
12,36,39,3,dispatch_decision_block,0.050058551132678986,0.019607791677117348,0.11541114747524261,0.020679451525211334,1.2014051675796509,0.47058701515197754,2.7698676586151123,0.496306836605072,-0.38221126794815063,0.9582898616790771,3.8361353874206543,-2.923604965209961,0.5799999833106995,0.4399999976158142,0.5,0.41428571939468384,0.9394025206565857,0.24141590297222137,1.5941731929779053,-0.27767831087112427,0.93828946352005,-0.060597483068704605,0.24141590297222137,0
13,39,42,3,dispatch_decision_block,0.03256065025925636,0.017139125615358353,0.07394459843635559,0.0009788002353161573,0.7814556956291199,0.4113389849662781,1.774670124053955,0.023491203784942627,-0.20660747587680817,1.2925509214401245,3.544849395751953,-5.88029146194458,0.5600000023841858,0.49000000953674316,0.42553192377090454,0.5471698045730591,1.0068341493606567,0.36357733607292175,2.6687116622924805,-0.10479521006345749,1.2179332971572876,0.006834133993834257,0.36357733607292175,0
