block_index,block_start,block_stop_exclusive,block_size,block_semantic,policy_surrogate_mode,block_adv_scale_mean,block_adv_scale_std,block_adv_scale_max,block_adv_scale_min,block_clip_fraction,per_block_selected_action_prob_gain_mean,per_block_selected_action_prob_gain_std,epoch
0,0,3,3,dispatch_decision_block,blockwise_scaled_advantage_surrogate_mean,1.1359195709228516,0.39572829008102417,2.1234936714172363,0.4607328176498413,0.30000001192092896,0.0012131005059927702,0.1838485151529312,0
1,3,6,3,dispatch_decision_block,blockwise_scaled_advantage_surrogate_mean,0.794819176197052,0.4754470884799957,2.4724459648132324,0.12521150708198547,0.3199999928474426,-0.023273887112736702,0.2534213960170746,0
2,6,9,3,dispatch_decision_block,blockwise_scaled_advantage_surrogate_mean,0.865053653717041,0.49777451157569885,2.53973650932312,0.059568215161561966,0.3499999940395355,0.02266871929168701,0.26294633746147156,0
3,9,12,3,dispatch_decision_block,blockwise_scaled_advantage_surrogate_mean,1.130424976348877,0.37061676383018494,2.525048017501831,0.4103846251964569,0.4000000059604645,-0.023790180683135986,0.2535075545310974,0
4,12,15,3,dispatch_decision_block,blockwise_scaled_advantage_surrogate_mean,1.079331636428833,0.4071884751319885,2.247281312942505,0.4050598740577698,0.36000001430511475,-0.01298028975725174,0.24914409220218658,0
5,15,18,3,dispatch_decision_block,blockwise_scaled_advantage_surrogate_mean,0.785169780254364,0.5430048108100891,2.5758473873138428,1.3589709624284296e-06,0.4000000059604645,0.02102307789027691,0.26892831921577454,0
6,18,21,3,dispatch_decision_block,blockwise_scaled_advantage_surrogate_mean,0.7552129626274109,0.4865769147872925,2.3260657787323,1.3589709624284296e-06,0.4000000059604645,0.032457318156957626,0.26327887177467346,0
7,21,24,3,dispatch_decision_block,blockwise_scaled_advantage_surrogate_mean,1.1998952627182007,0.31669172644615173,2.3366761207580566,0.4821670651435852,0.4099999964237213,0.0036078752018511295,0.26193034648895264,0
8,24,27,3,dispatch_decision_block,blockwise_scaled_advantage_surrogate_mean,1.162843942642212,0.4230042099952698,2.185464859008789,0.5006231069564819,0.3100000023841858,-0.007169040851294994,0.20361799001693726,0
9,27,30,3,dispatch_decision_block,blockwise_scaled_advantage_surrogate_mean,0.8155466318130493,0.50654137134552,2.4943954944610596,0.012715059332549572,0.4099999964237213,-0.060383111238479614,0.21973523497581482,0
10,30,33,3,dispatch_decision_block,blockwise_scaled_advantage_surrogate_mean,0.821855366230011,0.5172962546348572,2.4032680988311768,0.03703492507338524,0.3199999928474426,-0.02619391493499279,0.19065751135349274,0
11,33,36,3,dispatch_decision_block,blockwise_scaled_advantage_surrogate_mean,1.0758984088897705,0.2629079818725586,1.9682780504226685,0.6307428479194641,0.38999998569488525,-0.01207161694765091,0.24374184012413025,0
