block_index,block_start,block_stop_exclusive,block_size,block_semantic,block_weight_mean,block_weight_std,block_weight_max,block_weight_min,block_active_rate,epoch
0,0,3,3,dispatch_decision_block,0.047331809997558594,0.0165389571338892,0.08904293179512024,0.019190751016139984,0.5899999737739563,0
1,3,6,3,dispatch_decision_block,0.033122118562459946,0.019826488569378853,0.10097114741802216,0.004805860575288534,0.27000001072883606,0
2,6,9,3,dispatch_decision_block,0.03610553219914436,0.020646877586841583,0.1052829921245575,0.0027295174077153206,0.3499999940395355,0
3,9,12,3,dispatch_decision_block,0.046492986381053925,0.01402561366558075,0.08716242015361786,0.017856385558843613,0.6600000262260437,0
4,12,15,3,dispatch_decision_block,0.045129381120204926,0.017034614458680153,0.09557265788316727,0.016401981934905052,0.4399999976158142,0
5,15,18,3,dispatch_decision_block,0.032788168638944626,0.022528067231178284,0.10938934236764908,5.662378299575721e-08,0.2800000011920929,0
6,18,21,3,dispatch_decision_block,0.031201669946312904,0.020319653674960136,0.09871214628219604,5.662378299575721e-08,0.3100000023841858,0
7,21,24,3,dispatch_decision_block,0.05030485987663269,0.013006416149437428,0.0886387750506401,0.018882043659687042,0.7400000095367432,0
8,24,27,3,dispatch_decision_block,0.04799678921699524,0.017233887687325478,0.09133423864841461,0.020248519256711006,0.6000000238418579,0
9,27,30,3,dispatch_decision_block,0.034107886254787445,0.02109646052122116,0.10588449984788895,0.0004925348912365735,0.3199999928474426,0
10,30,33,3,dispatch_decision_block,0.03434188291430473,0.021579531952738762,0.1010739803314209,0.0015828529139980674,0.28999999165534973,0
11,33,36,3,dispatch_decision_block,0.04453562572598457,0.010749469511210918,0.08152058720588684,0.023222124204039574,0.5799999833106995,0
12,36,39,3,dispatch_decision_block,0.05033794790506363,0.01957576349377632,0.11762820184230804,0.020992765203118324,0.6200000047683716,0
13,39,42,3,dispatch_decision_block,0.03284604474902153,0.017099596560001373,0.0741165429353714,0.0007002353086136281,0.3100000023841858,0
14,42,45,3,dispatch_decision_block,0.03719615563750267,0.01915600337088108,0.0913502424955368,0.002764027798548341,0.4000000059604645,0
15,45,48,3,dispatch_decision_block,0.05244335159659386,0.015259389765560627,0.0962986946105957,0.013084900565445423,0.7099999785423279,0
16,48,51,3,dispatch_decision_block,0.046747904270887375,0.02030547335743904,0.09944022446870804,0.019502224400639534,0.5099999904632568,0
17,51,54,3,dispatch_decision_block,0.03649120777845383,0.021595483645796776,0.10369652509689331,0.004079890437424183,0.3499999940395355,0
18,54,57,3,dispatch_decision_block,0.03292036056518555,0.02155470661818981,0.09604229778051376,5.956425042086266e-08,0.3400000035762787,0
19,57,60,3,dispatch_decision_block,0.046671923249959946,0.01456818263977766,0.0876278206706047,0.02017251029610634,0.5899999737739563,0
20,60,63,3,dispatch_decision_block,0.051039572805166245,0.021354250609874725,0.1006656363606453,0.016164489090442657,0.5600000023841858,0
21,63,66,3,dispatch_decision_block,0.038950346410274506,0.02356663905084133,0.11215369403362274,0.002003251574933529,0.3700000047683716,0
22,66,69,3,dispatch_decision_block,0.03935150429606438,0.023425649851560593,0.09773556143045425,0.002380956429988146,0.3799999952316284,0
23,69,72,3,dispatch_decision_block,0.051544953137636185,0.01401222962886095,0.08775116503238678,0.021783972159028053,0.75,0
0,0,3,3,dispatch_decision_block,0.045489225536584854,0.01929265819489956,0.09652098268270493,0.016144530847668648,0.5400000214576721,1
1,3,6,3,dispatch_decision_block,0.03072509355843067,0.01960410177707672,0.08822368830442429,7.095481180385832e-08,0.25999999046325684,1
2,6,9,3,dispatch_decision_block,0.03434405475854874,0.020510032773017883,0.09512705355882645,7.095481180385832e-08,0.3499999940395355,1
3,9,12,3,dispatch_decision_block,0.047521695494651794,0.0159798264503479,0.11042413860559464,0.010125725530087948,0.6100000143051147,1
4,12,15,3,dispatch_decision_block,0.05030350759625435,0.01820893958210945,0.11333213001489639,0.019473230466246605,0.699999988079071,1
5,15,18,3,dispatch_decision_block,0.038788530975580215,0.022214215248823166,0.10501762479543686,7.095481180385832e-08,0.4099999964237213,1
6,18,21,3,dispatch_decision_block,0.03624698519706726,0.023843219503760338,0.09975022822618484,7.095481180385832e-08,0.3499999940395355,1
7,21,24,3,dispatch_decision_block,0.04821787774562836,0.01436663419008255,0.08694948256015778,0.016677074134349823,0.6399999856948853,1
8,24,27,3,dispatch_decision_block,0.05546315014362335,0.022077152505517006,0.12103508412837982,0.01773877441883087,0.6700000166893005,1
9,27,30,3,dispatch_decision_block,0.037868138402700424,0.025012731552124023,0.12426527589559555,0.00031802779994904995,0.4300000071525574,1
10,30,33,3,dispatch_decision_block,0.037282414734363556,0.024575401097536087,0.1187211275100708,0.00037718474050052464,0.4099999964237213,1
11,33,36,3,dispatch_decision_block,0.05001859366893768,0.015336917713284492,0.08846347779035568,0.01660737954080105,0.6700000166893005,1
12,36,39,3,dispatch_decision_block,0.043130017817020416,0.015765398740768433,0.09304990619421005,0.016892191022634506,0.4699999988079071,1
13,39,42,3,dispatch_decision_block,0.02991889975965023,0.015835369005799294,0.08848384767770767,0.000942470389418304,0.1899999976158142,1
14,42,45,3,dispatch_decision_block,0.03462081030011177,0.017590520903468132,0.09673142433166504,0.00508657842874527,0.28999999165534973,1
15,45,48,3,dispatch_decision_block,0.043765801936388016,0.01518619991838932,0.0823126807808876,0.015067127533257008,0.5199999809265137,1
16,48,51,3,dispatch_decision_block,0.04980698972940445,0.02085438184440136,0.12615737318992615,0.017269756644964218,0.5400000214576721,1
17,51,54,3,dispatch_decision_block,0.039074383676052094,0.026587899774312973,0.1300307661294937,0.0019629190210253,0.4099999964237213,1
18,54,57,3,dispatch_decision_block,0.03623349964618683,0.026867244392633438,0.1300307661294937,0.0015261523658409715,0.3499999940395355,1
19,57,60,3,dispatch_decision_block,0.045733675360679626,0.013600446283817291,0.0816463977098465,0.014410742558538914,0.6100000143051147,1
20,60,63,3,dispatch_decision_block,0.04980039596557617,0.021991221234202385,0.10435564070940018,0.017655562609434128,0.5299999713897705,1
21,63,66,3,dispatch_decision_block,0.03332262113690376,0.0233876034617424,0.10270407795906067,8.771499415161088e-05,0.33000001311302185,1
22,66,69,3,dispatch_decision_block,0.033683739602565765,0.023401465266942978,0.09567579627037048,0.0003250720619689673,0.3199999928474426,1
23,69,72,3,dispatch_decision_block,0.048639893531799316,0.016391102224588394,0.09307326376438141,0.016385028138756752,0.6299999952316284,1
0,0,3,3,dispatch_decision_block,0.04369914159178734,0.017192060127854347,0.08840402215719223,0.016550401225686073,0.5099999904632568,2
1,3,6,3,dispatch_decision_block,0.03469504415988922,0.01881810836493969,0.08787503838539124,6.529866425353248e-08,0.36000001430511475,2
2,6,9,3,dispatch_decision_block,0.03796350955963135,0.019943026825785637,0.08828157186508179,6.529866425353248e-08,0.4000000059604645,2
3,9,12,3,dispatch_decision_block,0.049339935183525085,0.013516259379684925,0.08098321408033371,0.009215646423399448,0.7099999785423279,2
4,12,15,3,dispatch_decision_block,0.05058029666543007,0.016207532957196236,0.08354587107896805,0.02180272713303566,0.6100000143051147,2
5,15,18,3,dispatch_decision_block,0.037002746015787125,0.019122200086712837,0.10259789973497391,0.004063349217176437,0.28999999165534973,2
6,18,21,3,dispatch_decision_block,0.03359878435730934,0.020016595721244812,0.10259789973497391,0.0033541375305503607,0.33000001311302185,2
7,21,24,3,dispatch_decision_block,0.050109874457120895,0.01477866806089878,0.0922822430729866,0.01413071621209383,0.7099999785423279,2
8,24,27,3,dispatch_decision_block,0.05346447974443436,0.01882198266685009,0.10152515023946762,0.023246441036462784,0.6600000262260437,2
9,27,30,3,dispatch_decision_block,0.03731253370642662,0.023093178868293762,0.12104658782482147,0.0008418495999649167,0.36000001430511475,2
10,30,33,3,dispatch_decision_block,0.037522926926612854,0.023278770968317986,0.11092999577522278,0.0007362328469753265,0.4000000059604645,2
11,33,36,3,dispatch_decision_block,0.048705559223890305,0.014551234431564808,0.0889006108045578,0.020535580813884735,0.6499999761581421,2
12,36,39,3,dispatch_decision_block,0.04708223417401314,0.017842741683125496,0.09731777012348175,0.017313264310359955,0.5699999928474426,2
13,39,42,3,dispatch_decision_block,0.0312703438103199,0.02019052766263485,0.1042625904083252,3.9981176087167114e-05,0.23999999463558197,2
14,42,45,3,dispatch_decision_block,0.03717472404241562,0.020709265023469925,0.11676639318466187,0.0035080600064247847,0.3700000047683716,2
15,45,48,3,dispatch_decision_block,0.047776032239198685,0.017863426357507706,0.10060252994298935,0.016997285187244415,0.5899999737739563,2
16,48,51,3,dispatch_decision_block,0.045423392206430435,0.017858082428574562,0.09243546426296234,0.01804467663168907,0.49000000953674316,2
17,51,54,3,dispatch_decision_block,0.032930754125118256,0.021405978128314018,0.08909911662340164,6.529866425353248e-08,0.3100000023841858,2
18,54,57,3,dispatch_decision_block,0.03272896632552147,0.0212283693253994,0.08177096396684647,6.529866425353248e-08,0.33000001311302185,2
19,57,60,3,dispatch_decision_block,0.05096328631043434,0.015059475786983967,0.08741215616464615,0.007050687447190285,0.75,2
20,60,63,3,dispatch_decision_block,0.04760367423295975,0.018936317414045334,0.10792714357376099,0.019557833671569824,0.5299999713897705,2
21,63,66,3,dispatch_decision_block,0.03311436250805855,0.021939944475889206,0.1032414436340332,0.0003250492154620588,0.2800000011920929,2
22,66,69,3,dispatch_decision_block,0.032483723014593124,0.022117171436548233,0.0995115116238594,0.00025066392845474184,0.28999999165534973,2
23,69,72,3,dispatch_decision_block,0.04745367541909218,0.01531615387648344,0.1119711697101593,0.014639428816735744,0.5899999737739563,2
0,0,3,3,dispatch_decision_block,0.047548480331897736,0.015965741127729416,0.09433405101299286,0.017162282019853592,0.6100000143051147,3
