block_index,block_start,block_stop_exclusive,block_size,block_semantic,policy_surrogate_mode,block_value_score_mean,block_value_score_std,block_value_score_max,block_value_score_min,block_value_scale_mean,block_value_scale_std,block_value_scale_max,block_value_scale_min,block_clip_fraction,per_block_selected_action_prob_gain_mean,per_block_selected_action_prob_gain_std,epoch
0,0,3,3,dispatch_decision_block,blockwise_action_conditioned_path_value_td_advantage_surrogate_mean,-0.017722558230161667,0.11634945124387741,0.4142073690891266,-0.27613896131515503,1.0,0.0,1.0,1.0,0.3400000035762787,-0.011551127769052982,0.23132720589637756,0
1,3,6,3,dispatch_decision_block,blockwise_action_conditioned_path_value_td_advantage_surrogate_mean,0.23741665482521057,0.11733230948448181,0.5172641277313232,-0.13224327564239502,1.0,0.0,1.0,1.0,0.36000001430511475,-0.006255490705370903,0.23776991665363312,0
2,6,9,3,dispatch_decision_block,blockwise_action_conditioned_path_value_td_advantage_surrogate_mean,-0.1551029533147812,0.09949283301830292,0.174815833568573,-0.37763628363609314,1.0,0.0,1.0,1.0,0.4699999988079071,-0.016436439007520676,0.25664371252059937,0
3,9,12,3,dispatch_decision_block,blockwise_action_conditioned_path_value_td_advantage_surrogate_mean,-0.061513643711805344,0.1305425465106964,0.20963925123214722,-0.3637695908546448,1.0,0.0,1.0,1.0,0.4099999964237213,0.03403656557202339,0.3332836329936981,0
4,12,15,3,dispatch_decision_block,blockwise_action_conditioned_path_value_td_advantage_surrogate_mean,0.1815696656703949,0.12245368957519531,0.5272877216339111,-0.1253039538860321,1.0,0.0,1.0,1.0,0.36000001430511475,-0.006962948944419622,0.2678138315677643,0
5,15,18,3,dispatch_decision_block,blockwise_action_conditioned_path_value_td_advantage_surrogate_mean,-0.0764012560248375,0.11994951963424683,0.29991060495376587,-0.32227760553359985,1.0,0.0,1.0,1.0,0.41999998688697815,0.00200607068836689,0.26237595081329346,0
6,18,21,3,dispatch_decision_block,blockwise_action_conditioned_path_value_td_advantage_surrogate_mean,-0.04435114935040474,0.12876176834106445,0.43198156356811523,-0.3372795581817627,1.0,0.0,1.0,1.0,0.3700000047683716,0.02892974577844143,0.31716814637184143,0
7,21,24,3,dispatch_decision_block,blockwise_action_conditioned_path_value_td_advantage_surrogate_mean,-0.028422093018889427,0.11354749649763107,0.29858699440956116,-0.31333470344543457,1.0,0.0,1.0,1.0,0.3499999940395355,-0.011093566194176674,0.21714608371257782,0
8,24,27,3,dispatch_decision_block,blockwise_action_conditioned_path_value_td_advantage_surrogate_mean,-0.2564551830291748,0.104095958173275,0.05259348452091217,-0.44002199172973633,1.0,0.0,1.0,1.0,0.3400000035762787,-0.0019100081408396363,0.20536364614963531,0
9,27,30,3,dispatch_decision_block,blockwise_action_conditioned_path_value_td_advantage_surrogate_mean,0.19940006732940674,0.12708523869514465,0.5636709928512573,-0.09919628500938416,1.0,0.0,1.0,1.0,0.3799999952316284,0.006651886273175478,0.30151093006134033,0
10,30,33,3,dispatch_decision_block,blockwise_action_conditioned_path_value_td_advantage_surrogate_mean,-0.6979466080665588,0.18951328098773956,0.17211470007896423,-1.1301560401916504,1.0,0.0,1.0,1.0,0.23999999463558197,-0.01553435530513525,0.21050244569778442,0
11,33,36,3,dispatch_decision_block,blockwise_action_conditioned_path_value_td_advantage_surrogate_mean,0.15011027455329895,0.09869246184825897,0.4105718731880188,-0.09740737080574036,1.0,0.0,1.0,1.0,0.23999999463558197,-0.01315355021506548,0.18642905354499817,0
12,36,39,3,dispatch_decision_block,blockwise_action_conditioned_path_value_td_advantage_surrogate_mean,-0.36281323432922363,0.1360466033220291,0.22270356118679047,-0.5695391893386841,1.0,0.0,1.0,1.0,0.3400000035762787,-0.021639199927449226,0.22637179493904114,0
13,39,42,3,dispatch_decision_block,blockwise_action_conditioned_path_value_td_advantage_surrogate_mean,-0.24716806411743164,0.15800508856773376,0.06727715581655502,-0.6219868659973145,1.0,0.0,1.0,1.0,0.36000001430511475,-0.00651100417599082,0.2399623990058899,0
14,42,45,3,dispatch_decision_block,blockwise_action_conditioned_path_value_td_advantage_surrogate_mean,0.0786881372332573,0.1349685788154602,0.39905086159706116,-0.229749858379364,1.0,0.0,1.0,1.0,0.28999999165534973,0.02111782133579254,0.218276709318161,0
15,45,48,3,dispatch_decision_block,blockwise_action_conditioned_path_value_td_advantage_surrogate_mean,0.07636895030736923,0.08841708302497864,0.3455831706523895,-0.18895147740840912,1.0,0.0,1.0,1.0,0.4399999976158142,-0.004854010883718729,0.25689902901649475,0
16,48,51,3,dispatch_decision_block,blockwise_action_conditioned_path_value_td_advantage_surrogate_mean,-0.3571817874908447,0.0932982861995697,-0.03416896611452103,-0.5164265036582947,1.0,0.0,1.0,1.0,0.23000000417232513,-0.02044031210243702,0.20123644173145294,0
17,51,54,3,dispatch_decision_block,blockwise_action_conditioned_path_value_td_advantage_surrogate_mean,-0.08676621317863464,0.10789791494607925,0.16592925786972046,-0.40171223878860474,1.0,0.0,1.0,1.0,0.4099999964237213,-0.011822443455457687,0.27854037284851074,0
18,54,57,3,dispatch_decision_block,blockwise_action_conditioned_path_value_td_advantage_surrogate_mean,-0.1594361513853073,0.10857710242271423,0.1651092767715454,-0.4141082167625427,1.0,0.0,1.0,1.0,0.46000000834465027,0.016710994765162468,0.2734166979789734,0
19,57,60,3,dispatch_decision_block,blockwise_action_conditioned_path_value_td_advantage_surrogate_mean,0.06605789065361023,0.1787000447511673,0.5401793122291565,-0.3782002925872803,1.0,0.0,1.0,1.0,0.3799999952316284,-0.016215896233916283,0.22931401431560516,0
