block_index,block_start,block_stop_exclusive,block_size,block_semantic,block_weight_mean,block_weight_std,block_weight_max,block_logprob_delta_mean,block_logprob_delta_std,block_ratio_proxy_mean,block_ratio_proxy_std,epoch
0,0,3,3,dispatch_decision_block,0.047222986817359924,0.016514187678694725,0.09045866876840591,-0.021034635603427887,0.20418360829353333,0.9991902112960815,0.19794434309005737,0
1,3,6,3,dispatch_decision_block,0.03304992616176605,0.01977423019707203,0.10303755104541779,-0.054708823561668396,0.23096215724945068,0.972243070602417,0.2286572903394699,0
2,6,9,3,dispatch_decision_block,0.03590892627835274,0.020618073642253876,0.10692109167575836,-0.051965538412332535,0.24267438054084778,0.9797302484512329,0.2719633877277374,0
3,9,12,3,dispatch_decision_block,0.04699283465743065,0.014562966302037239,0.09347808361053467,-0.07711496204137802,0.2712084949016571,0.9612958431243896,0.2789836525917053,0
4,12,15,3,dispatch_decision_block,0.04489120468497276,0.017033154144883156,0.0966750904917717,-0.05236579850316048,0.26381006836891174,0.983738124370575,0.2799624502658844,0
5,15,18,3,dispatch_decision_block,0.0325436145067215,0.022420309484004974,0.10710620880126953,-0.05920065939426422,0.21724216639995575,0.9653103351593018,0.2158762365579605,0
6,18,21,3,dispatch_decision_block,0.031146451830863953,0.02024117298424244,0.09800995141267776,-0.0612763985991478,0.22229991853237152,0.9635626077651978,0.2096400111913681,0
7,21,24,3,dispatch_decision_block,0.04938903823494911,0.012347628362476826,0.0842377096414566,-0.04431290924549103,0.27211031317710876,0.9908934235572815,0.26264888048171997,0
8,24,27,3,dispatch_decision_block,0.04786194488406181,0.01740581914782524,0.09050900489091873,-0.049712926149368286,0.23011958599090576,0.9767470359802246,0.22358979284763336,0
9,27,30,3,dispatch_decision_block,0.03405961021780968,0.021265359595417976,0.10420519858598709,-0.02896687015891075,0.26631075143814087,1.0080480575561523,0.2961024045944214,0
10,30,33,3,dispatch_decision_block,0.03431642800569534,0.021676527336239815,0.09953623265028,-0.06352143734693527,0.24526740610599518,0.9668086171150208,0.23689967393875122,0
11,33,36,3,dispatch_decision_block,0.04499587044119835,0.010625994764268398,0.0811978206038475,-0.03695650026202202,0.29032525420188904,1.0062880516052246,0.31288382411003113,0
12,36,39,3,dispatch_decision_block,0.05025694891810417,0.01947917230427265,0.11540096998214722,-0.017914416268467903,0.2646656334400177,1.0182148218154907,0.2938406765460968,0
13,39,42,3,dispatch_decision_block,0.032755810767412186,0.017032306641340256,0.07338032871484756,-0.03711143136024475,0.27527815103530884,0.9999724626541138,0.2724377512931824,0
14,42,45,3,dispatch_decision_block,0.037129055708646774,0.0189422108232975,0.09103556722402573,-0.03845742344856262,0.29281097650527954,1.005419373512268,0.32236456871032715,0
15,45,48,3,dispatch_decision_block,0.05345022678375244,0.015578188933432102,0.0971730649471283,-0.05494905635714531,0.2413446009159088,0.9747823476791382,0.24098999798297882,0
16,48,51,3,dispatch_decision_block,0.046873535960912704,0.020440885797142982,0.09919974207878113,-0.05613161623477936,0.26734060049057007,0.9797892570495605,0.2690328061580658,0
17,51,54,3,dispatch_decision_block,0.03670378029346466,0.021760234609246254,0.1029418483376503,-0.03019963577389717,0.23263993859291077,0.9966826438903809,0.23611445724964142,0
18,54,57,3,dispatch_decision_block,0.03301979601383209,0.021751469001173973,0.09678757190704346,-0.04442611709237099,0.22886379063129425,0.9797248840332031,0.20506539940834045,0
19,57,60,3,dispatch_decision_block,0.0467606820166111,0.014834658242762089,0.09341539442539215,-0.0383661612868309,0.226477712392807,0.9871113300323486,0.22306855022907257,0
20,60,63,3,dispatch_decision_block,0.05126373469829559,0.021362170577049255,0.09652232378721237,-0.039178267121315,0.21726495027542114,0.9840145707130432,0.20937390625476837,0
21,63,66,3,dispatch_decision_block,0.038808539509773254,0.0232748631387949,0.109340138733387,-0.05579959228634834,0.27752241492271423,0.9813328385353088,0.2631204128265381,0
22,66,69,3,dispatch_decision_block,0.03896016255021095,0.02306273952126503,0.09507739543914795,-0.06676342338323593,0.25774574279785156,0.9677415490150452,0.2633020281791687,0
23,69,72,3,dispatch_decision_block,0.05163887143135071,0.01390447374433279,0.09679044783115387,-0.0730150118470192,0.28731849789619446,0.9648506045341492,0.24687279760837555,0
0,0,3,3,dispatch_decision_block,0.045901212841272354,0.019397910684347153,0.09685350209474564,-0.2686316668987274,0.4989309012889862,0.8661172986030579,0.45429882407188416,1
1,3,6,3,dispatch_decision_block,0.031056012958288193,0.01974257081747055,0.08880762755870819,-0.21721559762954712,0.5946312546730042,0.9642863273620605,0.6830551624298096,1
2,6,9,3,dispatch_decision_block,0.03502827137708664,0.020796343684196472,0.09679602831602097,-0.24033798277378082,0.5293529629707336,0.9045557975769043,0.5017333626747131,1
3,9,12,3,dispatch_decision_block,0.04562221094965935,0.014637880027294159,0.1043982058763504,-0.2798371911048889,0.6928518414497375,0.9602593779563904,0.8244519233703613,1
4,12,15,3,dispatch_decision_block,0.05007181689143181,0.018181556835770607,0.11534149199724197,-0.25649067759513855,0.5889670848846436,0.9116694927215576,0.5597537755966187,1
5,15,18,3,dispatch_decision_block,0.03859264403581619,0.022410180419683456,0.1048390194773674,-0.26617681980133057,0.614885687828064,0.9305659532546997,0.6816264986991882,1
6,18,21,3,dispatch_decision_block,0.0362006314098835,0.023961246013641357,0.09978601336479187,-0.31490322947502136,0.6123002171516418,0.8757495284080505,0.5952839851379395,1
7,21,24,3,dispatch_decision_block,0.0489015132188797,0.014708668924868107,0.09736302495002747,-0.29422423243522644,0.6290979981422424,0.8998047709465027,0.6162226796150208,1
8,24,27,3,dispatch_decision_block,0.0553167350590229,0.022119250148534775,0.11449744552373886,-0.21868251264095306,0.5452550053596497,0.9264214038848877,0.5680881142616272,1
9,27,30,3,dispatch_decision_block,0.03774966299533844,0.025265704840421677,0.12670841813087463,-0.4167585074901581,0.6467102766036987,0.8008410930633545,0.5217639207839966,1
10,30,33,3,dispatch_decision_block,0.037165869027376175,0.024760901927947998,0.12067052721977234,-0.2776988446712494,0.6895899772644043,0.9234855771064758,0.6263043880462646,1
11,33,36,3,dispatch_decision_block,0.048804715275764465,0.015880918130278587,0.09848960489034653,-0.24415287375450134,0.6772060990333557,0.9603742957115173,0.7129253149032593,1
12,36,39,3,dispatch_decision_block,0.04340948909521103,0.015929417684674263,0.0942239835858345,-0.27623194456100464,0.6276137232780457,0.9187559485435486,0.596762478351593,1
13,39,42,3,dispatch_decision_block,0.030226239934563637,0.01571434549987316,0.08515143394470215,-0.269969642162323,0.6274486184120178,0.9312499761581421,0.6379371285438538,1
14,42,45,3,dispatch_decision_block,0.035369280725717545,0.01760394312441349,0.0934571623802185,-0.23964934051036835,0.5370619893074036,0.8944236636161804,0.4314888119697571,1
15,45,48,3,dispatch_decision_block,0.044412221759557724,0.014338444918394089,0.08691482990980148,-0.3152812123298645,0.6017585396766663,0.8584621548652649,0.483194500207901,1
16,48,51,3,dispatch_decision_block,0.04994874447584152,0.02089127153158188,0.12434644252061844,-0.24254821240901947,0.6056514382362366,0.9198266863822937,0.5084239840507507,1
17,51,54,3,dispatch_decision_block,0.03928274288773537,0.027054594829678535,0.13003313541412354,-0.26684218645095825,0.5912620425224304,0.9005807638168335,0.5564435720443726,1
18,54,57,3,dispatch_decision_block,0.03607673943042755,0.026774799451231956,0.13003313541412354,-0.23611724376678467,0.5010873079299927,0.8894926309585571,0.4318268597126007,1
19,57,60,3,dispatch_decision_block,0.04561630263924599,0.014007746241986752,0.08305852860212326,-0.2144751399755478,0.5103878378868103,0.9272728562355042,0.5640463829040527,1
20,60,63,3,dispatch_decision_block,0.049223389476537704,0.021224837750196457,0.09976734220981598,-0.24432319402694702,0.5492808818817139,0.9136573672294617,0.5415434837341309,1
21,63,66,3,dispatch_decision_block,0.03338584303855896,0.02332800254225731,0.10106883198022842,-0.25758787989616394,0.5450254678726196,0.892210066318512,0.5146594047546387,1
22,66,69,3,dispatch_decision_block,0.03373851254582405,0.02327636443078518,0.09466632455587387,-0.26008206605911255,0.5514510273933411,0.8963954448699951,0.5523655414581299,1
23,69,72,3,dispatch_decision_block,0.04889916256070137,0.01711767539381981,0.08285218477249146,-0.31449612975120544,0.6297637224197388,0.8790593147277832,0.5559118986129761,1
