probe_index,sensor_id,task_name,old_top1_choice,new_top1_choice,top1_changed,old_sampled_choice,new_sampled_choice,sampled_changed,old_top1_prob,new_top1_prob,top1_prob_delta,decision_kl,decision_l1,old_local_prob,new_local_prob,old_BS1_prob,new_BS1_prob,old_BS2_prob,new_BS2_prob
0,S1,LatCrit,local,local,0,local,local,0,0.5501148700714111,0.49965763092041016,-0.05045723915100098,0.0051013752818107605,0.10091447830200195,0.5501148700714111,0.49965763092041016,0.2211763709783554,0.24543814361095428,0.22870877385139465,0.25490424036979675
0,S1,ComHvy,local,local,0,local,BS2,1,0.5008804798126221,0.485008180141449,-0.015872299671173096,0.006191864609718323,0.09360334277153015,0.5008804798126221,0.485008180141449,0.22279199957847595,0.19186261296272278,0.27632755041122437,0.32312920689582825
0,S1,BWHvy,local,local,0,local,local,0,0.4994611144065857,0.5045446157455444,0.00508350133895874,0.0014878194779157639,0.04274486005306244,0.4994611144065857,0.5045446157455444,0.25739315152168274,0.23602071404457092,0.24314571917057037,0.25943464040756226
0,S2,LatCrit,local,BS2,1,local,BS2,1,0.4933280348777771,0.424283504486084,-0.06904453039169312,0.0620557963848114,0.337796688079834,0.4933280348777771,0.3867443799972534,0.2512867748737335,0.1889721006155014,0.255385160446167,0.424283504486084
0,S2,ComHvy,local,local,0,local,local,0,0.5239351987838745,0.4825723171234131,-0.041362881660461426,0.007175173610448837,0.10706637799739838,0.5239351987838745,0.4825723171234131,0.23126041889190674,0.21909011900424957,0.24480435252189636,0.29833754897117615
0,S2,BWHvy,local,local,0,BS1,BS1,0,0.466921865940094,0.39669501781463623,-0.07022684812545776,0.010207165032625198,0.14045371115207672,0.466921865940094,0.39669501781463623,0.29034140706062317,0.32362693548202515,0.24273674190044403,0.279678076505661
0,S3,LatCrit,local,local,0,local,local,0,0.47922664880752563,0.44693922996520996,-0.032287418842315674,0.00549161434173584,0.09467539191246033,0.47922664880752563,0.44693922996520996,0.2652272880077362,0.2501769959926605,0.25554609298706055,0.3028837740421295
0,S3,ComHvy,local,local,0,local,BS1,1,0.47202324867248535,0.38841038942337036,-0.08361285924911499,0.01831522211432457,0.1672256886959076,0.47202324867248535,0.38841038942337036,0.2752313017845154,0.35570842027664185,0.25274544954299927,0.2558811604976654
0,S3,BWHvy,local,local,0,local,local,0,0.4922470450401306,0.4552306532859802,-0.03701639175415039,0.003200594335794449,0.0740327388048172,0.4922470450401306,0.4552306532859802,0.22789761424064636,0.23317183554172516,0.2798553705215454,0.3115974962711334
0,S4,LatCrit,local,local,0,local,local,0,0.48410898447036743,0.4368631839752197,-0.047245800495147705,0.020343642681837082,0.18567903339862823,0.48410898447036743,0.4368631839752197,0.27016323804855347,0.363002747297287,0.2457277774810791,0.2001340538263321
0,S4,ComHvy,local,local,0,local,local,0,0.47710514068603516,0.47073620557785034,-0.0063689351081848145,0.010623984038829803,0.11179137229919434,0.47710514068603516,0.47073620557785034,0.23210886120796204,0.2880045473575592,0.2907860279083252,0.24125927686691284
0,S4,BWHvy,local,local,0,local,local,0,0.5005875825881958,0.621056079864502,0.12046849727630615,0.03288014233112335,0.2409370094537735,0.5005875825881958,0.621056079864502,0.22382065653800964,0.14950604736804962,0.27559179067611694,0.22943788766860962
0,S5,LatCrit,local,local,0,local,BS1,1,0.5275670289993286,0.5119979977607727,-0.015569031238555908,0.0038659945130348206,0.07458436489105225,0.5275670289993286,0.5119979977607727,0.26181137561798096,0.29910358786582947,0.21062155067920685,0.18889842927455902
0,S5,ComHvy,local,local,0,local,local,0,0.5181787014007568,0.5133653879165649,-0.0048133134841918945,0.02768389880657196,0.16440574824810028,0.5181787014007568,0.5133653879165649,0.24546723067760468,0.3276701271533966,0.2363540679216385,0.15896452963352203
0,S5,BWHvy,local,local,0,local,local,0,0.5006980895996094,0.45595794916152954,-0.044740140438079834,0.004276871681213379,0.08948029577732086,0.5006980895996094,0.45595794916152954,0.23945678770542145,0.25218459963798523,0.25984513759613037,0.2918574810028076
0,S6,LatCrit,local,local,0,local,local,0,0.47240257263183594,0.49817878007888794,0.025776207447052002,0.005100978538393974,0.08848342299461365,0.47240257263183594,0.49817878007888794,0.29195764660835266,0.24771593511104584,0.2356397658586502,0.25410526990890503
0,S6,ComHvy,local,local,0,BS2,BS2,0,0.48762816190719604,0.44945311546325684,-0.03817504644393921,0.0033099446445703506,0.07635006308555603,0.48762816190719604,0.44945311546325684,0.23608613014221191,0.24316677451133728,0.27628570795059204,0.3073800802230835
0,S6,BWHvy,local,local,0,local,local,0,0.5160313844680786,0.5415399670600891,0.025508582592010498,0.0013099964708089828,0.05101718008518219,0.5160313844680786,0.5415399670600891,0.23940470814704895,0.22754958271980286,0.24456395208835602,0.23091048002243042
0,S7,LatCrit,local,local,0,local,local,0,0.554343581199646,0.5862412452697754,0.031897664070129395,0.004462752491235733,0.0732513964176178,0.554343581199646,0.5862412452697754,0.21474742889404297,0.17812174558639526,0.23090896010398865,0.23563700914382935
0,S7,ComHvy,local,local,0,local,local,0,0.45927101373672485,0.45468825101852417,-0.004582762718200684,0.017912909388542175,0.1416485458612442,0.45927101373672485,0.45468825101852417,0.2597895860671997,0.1935480684041977,0.28093940019607544,0.35176366567611694
0,S7,BWHvy,local,local,0,BS1,BS1,0,0.47737830877304077,0.44003695249557495,-0.03734135627746582,0.006376747041940689,0.09927263855934143,0.47737830877304077,0.44003695249557495,0.28518542647361755,0.27289044857025146,0.23743629455566406,0.2870725989341736
0,S8,LatCrit,local,local,0,local,local,0,0.5396883487701416,0.5188267230987549,-0.02086162567138672,0.002254907041788101,0.0567614883184433,0.5396883487701416,0.5188267230987549,0.21496310830116272,0.24334384500980377,0.24534855782985687,0.23782943189144135
