bucket_name,bucket_sample_count,bucket_mean_advantage,bucket_mean_ratio,bucket_mean_delta_log_prob_selected_action,bucket_mean_selected_action_prob_gain,bucket_mean_clip_fraction,epoch
high_positive,0,0.0,0.0,0.0,0.0,0.0,0
mid_positive,0,0.0,0.0,0.0,0.0,0.0,0
near_zero,0,0.0,0.0,0.0,0.0,0.0,0
negative,100,-22.205163955688477,0.9893103241920471,-0.021106600761413574,-0.01068967953324318,0.4112499952316284,0
high_positive,0,0.0,0.0,0.0,0.0,0.0,1
mid_positive,0,0.0,0.0,0.0,0.0,0.0,1
near_zero,0,0.0,0.0,0.0,0.0,0.0,1
negative,100,-19.117456436157227,0.9616217613220215,-0.09218502044677734,-0.03837822750210762,0.7674999833106995,1
high_positive,2,18.295948028564453,0.9369024038314819,-0.1439017653465271,-0.06309764832258224,0.875,2
mid_positive,6,9.185011863708496,0.9134472012519836,-0.16018371284008026,-0.08655276149511337,0.8402777314186096,2
near_zero,7,-0.1429954618215561,0.9833832383155823,-0.08046958595514297,-0.016616659238934517,0.7678571343421936,2
negative,85,-20.731693267822266,0.958267867565155,-0.08559131622314453,-0.041732124984264374,0.7225489616394043,2
high_positive,4,27.046802520751953,0.9314500093460083,-0.11929995566606522,-0.06855001300573349,0.7395833134651184,3
mid_positive,12,9.357048034667969,0.9683265686035156,-0.08634572476148605,-0.03167341277003288,0.8333332538604736,3
near_zero,7,-0.5286885499954224,0.9414907097816467,-0.12438011169433594,-0.05850931257009506,0.8333333730697632,3
negative,77,-20.784791946411133,0.9646134972572327,-0.07876013219356537,-0.035386472940444946,0.738636314868927,3
high_positive,5,28.307510375976562,0.9490538835525513,-0.1284080296754837,-0.0509461872279644,0.841666579246521,4
mid_positive,13,13.069416046142578,0.9580568075180054,-0.10862720012664795,-0.041943229734897614,0.7916666269302368,4
near_zero,4,0.1462797224521637,0.9707418084144592,-0.06662745028734207,-0.029258225113153458,0.6979166269302368,4
negative,78,-16.4759464263916,0.9575984477996826,-0.08912380784749985,-0.04240147024393082,0.7596153616905212,4
