block_index,block_start,block_stop_exclusive,block_size,block_semantic,policy_surrogate_mode,block_advantage_mean,block_advantage_std,block_advantage_max,block_advantage_min,block_clip_fraction,per_block_selected_action_prob_gain_mean,per_block_selected_action_prob_gain_std,epoch
0,0,3,3,dispatch_decision_block,hierarchical_actor_dual_optimizer_alternating_branch_pg,0.0023987411987036467,0.3252061605453491,0.9054853320121765,-1.0606884956359863,0.36000001430511475,-0.021302053704857826,0.11586257070302963,0
1,3,6,3,dispatch_decision_block,hierarchical_actor_dual_optimizer_alternating_branch_pg,0.007374521344900131,0.43764206767082214,1.454469919204712,-1.2261191606521606,0.4300000071525574,-0.007891571149230003,0.14495891332626343,0
2,6,9,3,dispatch_decision_block,hierarchical_actor_dual_optimizer_alternating_branch_pg,0.013830499723553658,0.43748876452445984,1.5150150060653687,-1.1310254335403442,0.3100000023841858,0.001043981872498989,0.12806718051433563,0
3,9,12,3,dispatch_decision_block,hierarchical_actor_dual_optimizer_alternating_branch_pg,-0.002586746122688055,0.2662753462791443,0.7014204859733582,-0.5961812734603882,0.47999998927116394,-0.014766208827495575,0.14110001921653748,0
4,12,15,3,dispatch_decision_block,hierarchical_actor_dual_optimizer_alternating_branch_pg,-0.009033714421093464,0.26318594813346863,0.7981599569320679,-0.6688889265060425,0.44999998807907104,-0.023960525169968605,0.1436656415462494,0
5,15,18,3,dispatch_decision_block,hierarchical_actor_dual_optimizer_alternating_branch_pg,-0.0033930016215890646,0.4908258020877838,1.505488634109497,-0.9906118512153625,0.4000000059604645,0.014997675083577633,0.14998622238636017,0
6,18,21,3,dispatch_decision_block,hierarchical_actor_dual_optimizer_alternating_branch_pg,-0.002153282053768635,0.4156198501586914,0.9648797512054443,-1.077540397644043,0.3700000047683716,0.01094848196953535,0.1536174714565277,0
7,21,24,3,dispatch_decision_block,hierarchical_actor_dual_optimizer_alternating_branch_pg,-0.0062544215470552444,0.2065773904323578,0.6847518086433411,-0.5517762899398804,0.5199999809265137,-0.04220769554376602,0.16581428050994873,0
8,24,27,3,dispatch_decision_block,hierarchical_actor_dual_optimizer_alternating_branch_pg,-0.009930651634931564,0.3481229543685913,0.8867273926734924,-0.8915811777114868,0.3700000047683716,-0.03113768994808197,0.1249074786901474,0
9,27,30,3,dispatch_decision_block,hierarchical_actor_dual_optimizer_alternating_branch_pg,-0.0023417044430971146,0.47402453422546387,1.6674731969833374,-1.4043949842453003,0.4000000059604645,-0.011128850281238556,0.13266901671886444,0
10,30,33,3,dispatch_decision_block,hierarchical_actor_dual_optimizer_alternating_branch_pg,-0.0039020348340272903,0.47812288999557495,1.6209683418273926,-1.514341115951538,0.5,-0.010127374902367592,0.1504838764667511,0
11,33,36,3,dispatch_decision_block,hierarchical_actor_dual_optimizer_alternating_branch_pg,-0.007882474921643734,0.20639432966709137,0.7530282735824585,-0.6398939490318298,0.550000011920929,-0.00666832784190774,0.19635508954524994,0
12,36,39,3,dispatch_decision_block,hierarchical_actor_dual_optimizer_alternating_branch_pg,0.0016344308387488127,0.3380499482154846,0.7837539911270142,-0.8877980709075928,0.3499999940395355,-0.013634460046887398,0.13188506662845612,0
13,39,42,3,dispatch_decision_block,hierarchical_actor_dual_optimizer_alternating_branch_pg,0.006154836621135473,0.3539496064186096,1.1649771928787231,-1.1514661312103271,0.4300000071525574,-0.01182960532605648,0.14974617958068848,0
14,42,45,3,dispatch_decision_block,hierarchical_actor_dual_optimizer_alternating_branch_pg,-0.004111303016543388,0.36414024233818054,0.9561893939971924,-1.082149863243103,0.4300000071525574,-0.006683656480163336,0.12052897363901138,0
15,45,48,3,dispatch_decision_block,hierarchical_actor_dual_optimizer_alternating_branch_pg,-0.005323441233485937,0.1681162714958191,0.38470953702926636,-0.5201295018196106,0.44999998807907104,0.0063972813077270985,0.14610715210437775,0
16,48,51,3,dispatch_decision_block,hierarchical_actor_dual_optimizer_alternating_branch_pg,-0.014038427732884884,0.28899410367012024,0.7803937792778015,-0.8325295448303223,0.46000000834465027,-0.021399369463324547,0.1404140591621399,0
17,51,54,3,dispatch_decision_block,hierarchical_actor_dual_optimizer_alternating_branch_pg,0.002939932281151414,0.4578125476837158,1.222592830657959,-0.9903931617736816,0.3199999928474426,-0.010287335142493248,0.12098725140094757,0
18,54,57,3,dispatch_decision_block,hierarchical_actor_dual_optimizer_alternating_branch_pg,0.005198897328227758,0.4563455581665039,1.3896207809448242,-1.3140459060668945,0.20000000298023224,0.010935347527265549,0.10954326391220093,0
19,57,60,3,dispatch_decision_block,hierarchical_actor_dual_optimizer_alternating_branch_pg,-0.0006053856923244894,0.21176718175411224,0.49309223890304565,-0.8564071655273438,0.4300000071525574,-0.019844986498355865,0.14200301468372345,0
20,60,63,3,dispatch_decision_block,hierarchical_actor_dual_optimizer_alternating_branch_pg,-0.000845209346152842,0.2666901648044586,0.7485811114311218,-0.8608248233795166,0.44999998807907104,-3.9968490455066785e-05,0.16653741896152496,0
21,63,66,3,dispatch_decision_block,hierarchical_actor_dual_optimizer_alternating_branch_pg,-0.003468160517513752,0.5247282385826111,1.350812315940857,-1.2748829126358032,0.3700000047683716,-0.011204017326235771,0.10896709561347961,0
22,66,69,3,dispatch_decision_block,hierarchical_actor_dual_optimizer_alternating_branch_pg,-0.004384245723485947,0.46485865116119385,1.0084254741668701,-1.0192126035690308,0.46000000834465027,-0.012687607668340206,0.1629963368177414,0
23,69,72,3,dispatch_decision_block,hierarchical_actor_dual_optimizer_alternating_branch_pg,-0.00180019810795784,0.21058036386966705,0.597771406173706,-0.5055326819419861,0.3799999952316284,-0.024073753505945206,0.10761964321136475,0
0,0,3,3,dispatch_decision_block,hierarchical_actor_dual_optimizer_alternating_branch_pg,0.0014432001626119018,0.2931913435459137,0.7319954037666321,-0.8898559808731079,0.8199999928474426,-0.038055066019296646,0.3129929006099701,1
