block_index,block_start,block_stop_exclusive,block_size,block_semantic,policy_surrogate_mode,block_value_score_mean,block_value_score_std,block_value_score_max,block_value_score_min,block_value_scale_mean,block_value_scale_std,block_value_scale_max,block_value_scale_min,block_clip_fraction,per_block_selected_action_prob_gain_mean,per_block_selected_action_prob_gain_std,epoch
0,0,3,3,dispatch_decision_block,hierarchical_actor_factorized_conditional_route_pg,0.22228431701660156,0.10693921893835068,0.5526518225669861,-0.09927567839622498,1.0,0.0,1.0,1.0,0.0,-0.0012282133102416992,0.01379802543669939,0
1,3,6,3,dispatch_decision_block,hierarchical_actor_factorized_conditional_route_pg,-0.20673410594463348,0.12395785003900528,0.1538955420255661,-0.5476172566413879,1.0,0.0,1.0,1.0,0.0,0.00010244428995065391,0.01733223907649517,0
2,6,9,3,dispatch_decision_block,hierarchical_actor_factorized_conditional_route_pg,-0.2861585021018982,0.1105942502617836,0.24182842671871185,-0.5156113505363464,1.0,0.0,1.0,1.0,0.009999999776482582,7.662236748728901e-05,0.016242261976003647,0
3,9,12,3,dispatch_decision_block,hierarchical_actor_factorized_conditional_route_pg,-0.0575064979493618,0.11559910327196121,0.28824377059936523,-0.32457390427589417,1.0,0.0,1.0,1.0,0.0,0.0019927709363400936,0.015956681221723557,0
4,12,15,3,dispatch_decision_block,hierarchical_actor_factorized_conditional_route_pg,0.1532355397939682,0.10334572941064835,0.3565097451210022,-0.10900318622589111,1.0,0.0,1.0,1.0,0.0,0.00020202994346618652,0.01422708947211504,0
5,15,18,3,dispatch_decision_block,hierarchical_actor_factorized_conditional_route_pg,0.08778198063373566,0.10993333160877228,0.3390108644962311,-0.20126433670520782,1.0,0.0,1.0,1.0,0.0,-8.611321391072124e-05,0.014076950959861279,0
6,18,21,3,dispatch_decision_block,hierarchical_actor_factorized_conditional_route_pg,-0.02985754981637001,0.14174485206604004,0.4489589035511017,-0.3346315026283264,1.0,0.0,1.0,1.0,0.0,-0.0017209750367328525,0.011759178712964058,0
7,21,24,3,dispatch_decision_block,hierarchical_actor_factorized_conditional_route_pg,0.10900858789682388,0.11202286183834076,0.3916052579879761,-0.20463109016418457,1.0,0.0,1.0,1.0,0.0,-0.0014537000097334385,0.010178747586905956,0
8,24,27,3,dispatch_decision_block,hierarchical_actor_factorized_conditional_route_pg,0.2847619354724884,0.16813525557518005,0.7391002774238586,-0.09994786977767944,1.0,0.0,1.0,1.0,0.0,-0.0008426422136835754,0.012222975492477417,0
9,27,30,3,dispatch_decision_block,hierarchical_actor_factorized_conditional_route_pg,0.022578062489628792,0.10913289338350296,0.319032222032547,-0.2944694757461548,1.0,0.0,1.0,1.0,0.0,0.0015477847773581743,0.01342338602989912,0
10,30,33,3,dispatch_decision_block,hierarchical_actor_factorized_conditional_route_pg,0.3211597204208374,0.15618033707141876,0.5944252014160156,-0.30546993017196655,1.0,0.0,1.0,1.0,0.0,0.00041802285704761744,0.016876300796866417,0
11,33,36,3,dispatch_decision_block,hierarchical_actor_factorized_conditional_route_pg,-0.165766179561615,0.11848033219575882,0.1336965709924698,-0.5775590538978577,1.0,0.0,1.0,1.0,0.009999999776482582,0.0031917362939566374,0.018912896513938904,0
12,36,39,3,dispatch_decision_block,hierarchical_actor_factorized_conditional_route_pg,-0.23721881210803986,0.1236725002527237,0.11257962882518768,-0.4642137289047241,1.0,0.0,1.0,1.0,0.009999999776482582,0.0003772592463064939,0.01785605028271675,0
13,39,42,3,dispatch_decision_block,hierarchical_actor_factorized_conditional_route_pg,-0.3292800188064575,0.10711941123008728,-0.0071050673723220825,-0.592166543006897,1.0,0.0,1.0,1.0,0.009999999776482582,-0.0015699529321864247,0.016151027753949165,0
14,42,45,3,dispatch_decision_block,hierarchical_actor_factorized_conditional_route_pg,0.21376024186611176,0.12934209406375885,0.4936692714691162,-0.3244205415248871,1.0,0.0,1.0,1.0,0.009999999776482582,0.0016401195898652077,0.022453902289271355,0
15,45,48,3,dispatch_decision_block,hierarchical_actor_factorized_conditional_route_pg,0.06300709396600723,0.113146111369133,0.36460089683532715,-0.2955993115901947,1.0,0.0,1.0,1.0,0.009999999776482582,0.00209122896194458,0.02024843543767929,0
16,48,51,3,dispatch_decision_block,hierarchical_actor_factorized_conditional_route_pg,0.11890332400798798,0.11777718365192413,0.42801886796951294,-0.17303255200386047,1.0,0.0,1.0,1.0,0.0,0.00020577371469698846,0.012955456040799618,0
17,51,54,3,dispatch_decision_block,hierarchical_actor_factorized_conditional_route_pg,-0.3622022271156311,0.10928300768136978,-0.019393891096115112,-0.6024869680404663,1.0,0.0,1.0,1.0,0.0,-0.00255479384213686,0.00952334888279438,0
18,54,57,3,dispatch_decision_block,hierarchical_actor_factorized_conditional_route_pg,-0.31953534483909607,0.13784906268119812,0.007083132863044739,-0.662062406539917,1.0,0.0,1.0,1.0,0.0,0.0005204046028666198,0.014499439857900143,0
19,57,60,3,dispatch_decision_block,hierarchical_actor_factorized_conditional_route_pg,-0.24451476335525513,0.10551151633262634,0.06609270721673965,-0.5332699418067932,1.0,0.0,1.0,1.0,0.0,0.00012065231567248702,0.012471628375351429,0
20,60,63,3,dispatch_decision_block,hierarchical_actor_factorized_conditional_route_pg,0.044210921972990036,0.10638957470655441,0.33551105856895447,-0.24169209599494934,1.0,0.0,1.0,1.0,0.009999999776482582,0.0014195858966559172,0.020657233893871307,0
21,63,66,3,dispatch_decision_block,hierarchical_actor_factorized_conditional_route_pg,0.13182231783866882,0.13986998796463013,0.4909946024417877,-0.2668205201625824,1.0,0.0,1.0,1.0,0.0,-0.0026262300089001656,0.011381919495761395,0
22,66,69,3,dispatch_decision_block,hierarchical_actor_factorized_conditional_route_pg,0.05076754465699196,0.09358817338943481,0.3362531065940857,-0.2559983730316162,1.0,0.0,1.0,1.0,0.0,-0.0004570263554342091,0.01300084963440895,0
23,69,72,3,dispatch_decision_block,hierarchical_actor_factorized_conditional_route_pg,0.010430736467242241,0.11754345893859863,0.24686367809772491,-0.2597771883010864,1.0,0.0,1.0,1.0,0.0,0.00015232979785650969,0.013252507895231247,0
0,0,3,3,dispatch_decision_block,hierarchical_actor_factorized_conditional_route_pg,0.0585780031979084,0.076210156083107,0.46285906434059143,-0.1734878122806549,1.0,0.0,1.0,1.0,0.0,-0.0001526004052720964,0.011941779404878616,1
1,3,6,3,dispatch_decision_block,hierarchical_actor_factorized_conditional_route_pg,-0.2793479263782501,0.1546998769044876,0.4170808792114258,-0.572238028049469,1.0,0.0,1.0,1.0,0.0,0.00014528333849739283,0.014124478213489056,1
2,6,9,3,dispatch_decision_block,hierarchical_actor_factorized_conditional_route_pg,-0.3392869532108307,0.1500370353460312,0.4338526427745819,-0.5120310187339783,1.0,0.0,1.0,1.0,0.009999999776482582,0.0035014634486287832,0.02102840691804886,1
3,9,12,3,dispatch_decision_block,hierarchical_actor_factorized_conditional_route_pg,-0.09178996831178665,0.1116173043847084,0.2718474566936493,-0.31535229086875916,1.0,0.0,1.0,1.0,0.0,-0.0006671631126664579,0.012623012997210026,1
4,12,15,3,dispatch_decision_block,hierarchical_actor_factorized_conditional_route_pg,0.07651279121637344,0.0880967378616333,0.2832656800746918,-0.14744655787944794,1.0,0.0,1.0,1.0,0.009999999776482582,0.0009531891555525362,0.020711876451969147,1
5,15,18,3,dispatch_decision_block,hierarchical_actor_factorized_conditional_route_pg,0.15519016981124878,0.08805221319198608,0.45870932936668396,-0.13681654632091522,1.0,0.0,1.0,1.0,0.0,-0.0014933854108676314,0.01500706933438778,1
6,18,21,3,dispatch_decision_block,hierarchical_actor_factorized_conditional_route_pg,-0.014959677122533321,0.10089822113513947,0.29880136251449585,-0.3982906639575958,1.0,0.0,1.0,1.0,0.0,-0.0009383726282976568,0.012810488231480122,1
7,21,24,3,dispatch_decision_block,hierarchical_actor_factorized_conditional_route_pg,-0.03357966989278793,0.13144969940185547,0.31635773181915283,-0.36310315132141113,1.0,0.0,1.0,1.0,0.0,0.0022666698787361383,0.01787572167813778,1
8,24,27,3,dispatch_decision_block,hierarchical_actor_factorized_conditional_route_pg,-0.013616431504487991,0.15628363192081451,0.30668991804122925,-0.4220053553581238,1.0,0.0,1.0,1.0,0.0,-0.0015568411909043789,0.013484504073858261,1
9,27,30,3,dispatch_decision_block,hierarchical_actor_factorized_conditional_route_pg,0.004319342318922281,0.0777362734079361,0.31578099727630615,-0.26780956983566284,1.0,0.0,1.0,1.0,0.0,-0.00060700299218297,0.012599782086908817,1
10,30,33,3,dispatch_decision_block,hierarchical_actor_factorized_conditional_route_pg,0.24346038699150085,0.193288654088974,0.5648268461227417,-0.6294064521789551,1.0,0.0,1.0,1.0,0.0,-0.002439674222841859,0.01017895806580782,1
11,33,36,3,dispatch_decision_block,hierarchical_actor_factorized_conditional_route_pg,-0.12007605284452438,0.10086070001125336,0.06779106706380844,-0.5193567276000977,1.0,0.0,1.0,1.0,0.0,-0.0013530367286875844,0.014707772992551327,1
12,36,39,3,dispatch_decision_block,hierarchical_actor_factorized_conditional_route_pg,-0.30317601561546326,0.07803286612033844,-0.026473989710211754,-0.5786774754524231,1.0,0.0,1.0,1.0,0.0,0.0008442455437034369,0.014633753336966038,1
13,39,42,3,dispatch_decision_block,hierarchical_actor_factorized_conditional_route_pg,-0.14583128690719604,0.10972041636705399,0.29671710729599,-0.4335775077342987,1.0,0.0,1.0,1.0,0.009999999776482582,0.0008178007556125522,0.015321743674576283,1
14,42,45,3,dispatch_decision_block,hierarchical_actor_factorized_conditional_route_pg,0.11582326889038086,0.09453491866588593,0.3112785816192627,-0.237315833568573,1.0,0.0,1.0,1.0,0.0,0.004091911483556032,0.0202582236379385,1
15,45,48,3,dispatch_decision_block,hierarchical_actor_factorized_conditional_route_pg,-0.14382599294185638,0.09324849396944046,0.13929077982902527,-0.3108653128147125,1.0,0.0,1.0,1.0,0.0,-0.0030551881063729525,0.009984093718230724,1
16,48,51,3,dispatch_decision_block,hierarchical_actor_factorized_conditional_route_pg,0.10226236283779144,0.09292205423116684,0.3392401337623596,-0.22571516036987305,1.0,0.0,1.0,1.0,0.0,0.0022026062943041325,0.016405228525400162,1
17,51,54,3,dispatch_decision_block,hierarchical_actor_factorized_conditional_route_pg,-0.4374406933784485,0.12313008308410645,0.014331625774502754,-0.6765026450157166,1.0,0.0,1.0,1.0,0.019999999552965164,0.0014059018576517701,0.01976420357823372,1
18,54,57,3,dispatch_decision_block,hierarchical_actor_factorized_conditional_route_pg,-0.3011748790740967,0.13840869069099426,0.20771390199661255,-0.586536705493927,1.0,0.0,1.0,1.0,0.0,-0.0003042161406483501,0.01317930594086647,1
19,57,60,3,dispatch_decision_block,hierarchical_actor_factorized_conditional_route_pg,-0.17424583435058594,0.09787702560424805,0.004122495651245117,-0.5040712356567383,1.0,0.0,1.0,1.0,0.0,-0.0020301276817917824,0.01010961551219225,1
20,60,63,3,dispatch_decision_block,hierarchical_actor_factorized_conditional_route_pg,0.01884927973151207,0.08068051934242249,0.4801746904850006,-0.23201598227024078,1.0,0.0,1.0,1.0,0.0,0.001156973885372281,0.015455828979611397,1
21,63,66,3,dispatch_decision_block,hierarchical_actor_factorized_conditional_route_pg,0.1492684781551361,0.1449200063943863,0.5076873302459717,-0.49344602227211,1.0,0.0,1.0,1.0,0.0,0.0022298796102404594,0.016649125143885612,1
22,66,69,3,dispatch_decision_block,hierarchical_actor_factorized_conditional_route_pg,0.12347625941038132,0.10851114988327026,0.33268797397613525,-0.40609797835350037,1.0,0.0,1.0,1.0,0.0,-0.0008284848881885409,0.011566529050469398,1
23,69,72,3,dispatch_decision_block,hierarchical_actor_factorized_conditional_route_pg,-0.11593689024448395,0.08214136213064194,0.335382342338562,-0.24720363318920135,1.0,0.0,1.0,1.0,0.0,0.0003525608917698264,0.014468302018940449,1
0,0,3,3,dispatch_decision_block,hierarchical_actor_factorized_conditional_route_pg,-0.24543212354183197,0.10263194143772125,0.08224067836999893,-0.37519821524620056,1.0,0.0,1.0,1.0,0.009999999776482582,0.0001512956660008058,0.014210149645805359,2
1,3,6,3,dispatch_decision_block,hierarchical_actor_factorized_conditional_route_pg,-0.1570899784564972,0.10871142894029617,0.21308641135692596,-0.4652453660964966,1.0,0.0,1.0,1.0,0.0,-0.002740025520324707,0.00851786881685257,2
2,6,9,3,dispatch_decision_block,hierarchical_actor_factorized_conditional_route_pg,-0.20002058148384094,0.11377941071987152,0.2877315282821655,-0.36138442158699036,1.0,0.0,1.0,1.0,0.0,-0.000568007817491889,0.014358509331941605,2
3,9,12,3,dispatch_decision_block,hierarchical_actor_factorized_conditional_route_pg,-0.02926933579146862,0.0893033966422081,0.27252840995788574,-0.23911017179489136,1.0,0.0,1.0,1.0,0.009999999776482582,0.0019876586738973856,0.018661918118596077,2
4,12,15,3,dispatch_decision_block,hierarchical_actor_factorized_conditional_route_pg,0.08455134183168411,0.08411026000976562,0.2776917517185211,-0.17711366713047028,1.0,0.0,1.0,1.0,0.0,-0.00015340089157689363,0.013183487579226494,2
5,15,18,3,dispatch_decision_block,hierarchical_actor_factorized_conditional_route_pg,0.009425593540072441,0.16025765240192413,0.45316559076309204,-0.4835752248764038,1.0,0.0,1.0,1.0,0.0,0.0012948977528139949,0.014791387133300304,2
6,18,21,3,dispatch_decision_block,hierarchical_actor_factorized_conditional_route_pg,-0.10889489948749542,0.11934933811426163,0.2642199397087097,-0.5078990459442139,1.0,0.0,1.0,1.0,0.009999999776482582,0.0029650062788277864,0.019539829343557358,2
7,21,24,3,dispatch_decision_block,hierarchical_actor_factorized_conditional_route_pg,-0.02467183768749237,0.13158778846263885,0.28805917501449585,-0.37011075019836426,1.0,0.0,1.0,1.0,0.0,0.0011168819619342685,0.015268425457179546,2
8,24,27,3,dispatch_decision_block,hierarchical_actor_factorized_conditional_route_pg,-0.06384027004241943,0.2092376947402954,0.4085111618041992,-0.6974172592163086,1.0,0.0,1.0,1.0,0.0,-0.0005978947738185525,0.011963246390223503,2
9,27,30,3,dispatch_decision_block,hierarchical_actor_factorized_conditional_route_pg,0.06012757122516632,0.08817243576049805,0.2887136936187744,-0.22637438774108887,1.0,0.0,1.0,1.0,0.0,0.00021707593987230211,0.015498572029173374,2
10,30,33,3,dispatch_decision_block,hierarchical_actor_factorized_conditional_route_pg,0.10063821077346802,0.10803630948066711,0.3095672130584717,-0.2783530354499817,1.0,0.0,1.0,1.0,0.0,0.00015739262744318694,0.013810093514621258,2
11,33,36,3,dispatch_decision_block,hierarchical_actor_factorized_conditional_route_pg,0.1299496740102768,0.1448189616203308,0.3560448884963989,-0.2797216475009918,1.0,0.0,1.0,1.0,0.0,-0.0017458164365962148,0.01283523254096508,2
12,36,39,3,dispatch_decision_block,hierarchical_actor_factorized_conditional_route_pg,-0.23778000473976135,0.11292575299739838,0.2614782452583313,-0.5090574026107788,1.0,0.0,1.0,1.0,0.0,-0.001016128109768033,0.01056450791656971,2
13,39,42,3,dispatch_decision_block,hierarchical_actor_factorized_conditional_route_pg,0.09208526462316513,0.14215698838233948,0.5614240765571594,-0.467256098985672,1.0,0.0,1.0,1.0,0.009999999776482582,-0.0008410012815147638,0.014634693041443825,2
14,42,45,3,dispatch_decision_block,hierarchical_actor_factorized_conditional_route_pg,-0.004150169901549816,0.1469995379447937,0.4544345736503601,-0.36310163140296936,1.0,0.0,1.0,1.0,0.0,0.0007858854369260371,0.015599837526679039,2
