bucket_name,bucket_sample_count,bucket_mean_advantage,bucket_mean_ratio,bucket_mean_delta_log_prob_selected_action,bucket_mean_selected_action_prob_gain,bucket_mean_clip_fraction,epoch
high_positive,0,0.0,0.0,0.0,0.0,0.0,0
mid_positive,0,0.0,0.0,0.0,0.0,0.0,0
near_zero,0,0.0,0.0,0.0,0.0,0.0,0
negative,100,-22.205163955688477,0.992982804775238,-0.013605799525976181,-0.007017227355390787,0.33000001311302185,0
high_positive,0,0.0,0.0,0.0,0.0,0.0,1
mid_positive,0,0.0,0.0,0.0,0.0,0.0,1
near_zero,0,0.0,0.0,0.0,0.0,0.0,1
negative,100,-19.08331871032715,0.972176730632782,-0.060222700238227844,-0.027823202311992645,0.6920833587646484,1
high_positive,2,18.512866973876953,0.9564411640167236,-0.11368653178215027,-0.04355893284082413,0.8333333134651184,2
mid_positive,6,9.22229290008545,0.9370034337043762,-0.10442788153886795,-0.06299657374620438,0.7569444179534912,2
near_zero,6,-0.146646648645401,0.9843533635139465,-0.05428105592727661,-0.015646593645215034,0.6875,2
negative,86,-20.47549057006836,0.9731517434120178,-0.053949132561683655,-0.02684827707707882,0.6569768190383911,2
high_positive,4,26.66049575805664,0.9806233048439026,-0.06121759116649628,-0.019376657903194427,0.7291666865348816,3
mid_positive,12,9.74570369720459,0.9667297005653381,-0.06576164811849594,-0.03327028080821037,0.7222222685813904,3
near_zero,5,-0.16239306330680847,0.9807147979736328,-0.0558767206966877,-0.01928514800965786,0.7250000238418579,3
negative,79,-20.333900451660156,0.974064290523529,-0.052865348756313324,-0.02593577653169632,0.6524262428283691,3
high_positive,5,31.551782608032227,0.9439709782600403,-0.10244772583246231,-0.05602904036641121,0.7583333253860474,4
mid_positive,14,11.043741226196289,0.9690238237380981,-0.06932930648326874,-0.030976150184869766,0.7470237612724304,4
near_zero,2,0.5037287473678589,1.027684211730957,-0.0007886202074587345,0.027684103697538376,0.6458333134651184,4
negative,79,-16.569467544555664,0.9688494801521301,-0.05863108113408089,-0.031150583177804947,0.6772152185440063,4
