block_index,block_start,block_stop_exclusive,block_size,block_semantic,policy_surrogate_mode,block_advantage_mean,block_advantage_std,block_advantage_max,block_advantage_min,block_clip_fraction,per_block_selected_action_prob_gain_mean,per_block_selected_action_prob_gain_std,epoch
0,0,3,3,dispatch_decision_block,hierarchical_actor_factorized_ratio_pg,0.0023987411987036467,0.3252061605453491,0.9054853320121765,-1.0606884956359863,0.3799999952316284,-0.018614763393998146,0.1064423993229866,0
1,3,6,3,dispatch_decision_block,hierarchical_actor_factorized_ratio_pg,0.007374521344900131,0.43764206767082214,1.454469919204712,-1.2261191606521606,0.3499999940395355,-0.008002925664186478,0.11776870489120483,0
2,6,9,3,dispatch_decision_block,hierarchical_actor_factorized_ratio_pg,0.013830499723553658,0.43748876452445984,1.5150150060653687,-1.1310254335403442,0.23999999463558197,0.0014882540563121438,0.10768616199493408,0
3,9,12,3,dispatch_decision_block,hierarchical_actor_factorized_ratio_pg,-0.002586746122688055,0.2662753462791443,0.7014204859733582,-0.5961812734603882,0.3799999952316284,-0.00742916576564312,0.11424736678600311,0
4,12,15,3,dispatch_decision_block,hierarchical_actor_factorized_ratio_pg,-0.009033714421093464,0.26318594813346863,0.7981599569320679,-0.6688889265060425,0.4099999964237213,-0.015609378926455975,0.12524203956127167,0
5,15,18,3,dispatch_decision_block,hierarchical_actor_factorized_ratio_pg,-0.0033930016215890646,0.4908258020877838,1.505488634109497,-0.9906118512153625,0.33000001311302185,0.013776115141808987,0.112497977912426,0
6,18,21,3,dispatch_decision_block,hierarchical_actor_factorized_ratio_pg,-0.002153282053768635,0.4156198501586914,0.9648797512054443,-1.077540397644043,0.27000001072883606,0.007936027832329273,0.13201254606246948,0
7,21,24,3,dispatch_decision_block,hierarchical_actor_factorized_ratio_pg,-0.0062544215470552444,0.2065773904323578,0.6847518086433411,-0.5517762899398804,0.4300000071525574,-0.02568511664867401,0.12282738089561462,0
8,24,27,3,dispatch_decision_block,hierarchical_actor_factorized_ratio_pg,-0.009930651634931564,0.3481229543685913,0.8867273926734924,-0.8915811777114868,0.27000001072883606,-0.02215147763490677,0.09858407825231552,0
9,27,30,3,dispatch_decision_block,hierarchical_actor_factorized_ratio_pg,-0.0023417044430971146,0.47402453422546387,1.6674731969833374,-1.4043949842453003,0.28999999165534973,-0.004982569254934788,0.1011292114853859,0
10,30,33,3,dispatch_decision_block,hierarchical_actor_factorized_ratio_pg,-0.0039020348340272903,0.47812288999557495,1.6209683418273926,-1.514341115951538,0.4099999964237213,-0.00977039523422718,0.1235363632440567,0
11,33,36,3,dispatch_decision_block,hierarchical_actor_factorized_ratio_pg,-0.007882474921643734,0.20639432966709137,0.7530282735824585,-0.6398939490318298,0.4300000071525574,-0.003959910478442907,0.13216985762119293,0
12,36,39,3,dispatch_decision_block,hierarchical_actor_factorized_ratio_pg,0.0016344308387488127,0.3380499482154846,0.7837539911270142,-0.8877980709075928,0.4300000071525574,-0.010063223540782928,0.12915365397930145,0
13,39,42,3,dispatch_decision_block,hierarchical_actor_factorized_ratio_pg,0.006154836621135473,0.3539496064186096,1.1649771928787231,-1.1514661312103271,0.25999999046325684,-0.006568902637809515,0.1038309633731842,0
14,42,45,3,dispatch_decision_block,hierarchical_actor_factorized_ratio_pg,-0.004111303016543388,0.36414024233818054,0.9561893939971924,-1.082149863243103,0.3199999928474426,-0.008338055573403835,0.09633609652519226,0
15,45,48,3,dispatch_decision_block,hierarchical_actor_factorized_ratio_pg,-0.005323441233485937,0.1681162714958191,0.38470953702926636,-0.5201295018196106,0.36000001430511475,0.01052327174693346,0.12483469396829605,0
16,48,51,3,dispatch_decision_block,hierarchical_actor_factorized_ratio_pg,-0.014038427732884884,0.28899410367012024,0.7803937792778015,-0.8325295448303223,0.3700000047683716,-0.01378630381077528,0.11609380692243576,0
17,51,54,3,dispatch_decision_block,hierarchical_actor_factorized_ratio_pg,0.002939932281151414,0.4578125476837158,1.222592830657959,-0.9903931617736816,0.20000000298023224,-0.008912527933716774,0.0998435690999031,0
18,54,57,3,dispatch_decision_block,hierarchical_actor_factorized_ratio_pg,0.005198897328227758,0.4563455581665039,1.3896207809448242,-1.3140459060668945,0.1599999964237213,0.012701394967734814,0.09158825129270554,0
19,57,60,3,dispatch_decision_block,hierarchical_actor_factorized_ratio_pg,-0.0006053856923244894,0.21176718175411224,0.49309223890304565,-0.8564071655273438,0.4099999964237213,-0.021011341363191605,0.11922907084226608,0
20,60,63,3,dispatch_decision_block,hierarchical_actor_factorized_ratio_pg,-0.000845209346152842,0.2666901648044586,0.7485811114311218,-0.8608248233795166,0.3400000035762787,-0.00017180621216539294,0.12287598848342896,0
21,63,66,3,dispatch_decision_block,hierarchical_actor_factorized_ratio_pg,-0.003468160517513752,0.5247282385826111,1.350812315940857,-1.2748829126358032,0.25999999046325684,-0.009229720570147038,0.09283284842967987,0
22,66,69,3,dispatch_decision_block,hierarchical_actor_factorized_ratio_pg,-0.004384245723485947,0.46485865116119385,1.0084254741668701,-1.0192126035690308,0.3100000023841858,-0.00311906635761261,0.11207076162099838,0
23,69,72,3,dispatch_decision_block,hierarchical_actor_factorized_ratio_pg,-0.00180019810795784,0.21058036386966705,0.597771406173706,-0.5055326819419861,0.3100000023841858,-0.017431871965527534,0.09756128489971161,0
0,0,3,3,dispatch_decision_block,hierarchical_actor_factorized_ratio_pg,0.0013085126411169767,0.2931487560272217,0.7300233244895935,-0.8886382579803467,0.699999988079071,-0.04048086330294609,0.2298024445772171,1
1,3,6,3,dispatch_decision_block,hierarchical_actor_factorized_ratio_pg,0.0037027073558419943,0.442040354013443,1.3128384351730347,-0.9511050581932068,0.7099999785423279,-0.023382671177387238,0.217366024851799,1
2,6,9,3,dispatch_decision_block,hierarchical_actor_factorized_ratio_pg,0.004834165796637535,0.4514113962650299,1.39299738407135,-1.0211838483810425,0.6700000166893005,-0.048177968710660934,0.19892549514770508,1
