block_index,block_start,block_stop_exclusive,block_size,block_semantic,policy_surrogate_mode,block_adv_scale_mean,block_adv_scale_std,block_adv_scale_max,block_adv_scale_min,block_clip_fraction,per_block_selected_action_prob_gain_mean,per_block_selected_action_prob_gain_std,epoch
0,0,3,3,dispatch_decision_block,hierarchical_actor_factorized_trust_region_pg_route_first_coupled_stop_severity_gate,1.0,0.0,1.0,1.0,0.07000000029802322,-0.008181351236999035,0.05827200412750244,0
1,3,6,3,dispatch_decision_block,hierarchical_actor_factorized_trust_region_pg_route_first_coupled_stop_severity_gate,1.0,0.0,1.0,1.0,0.25999999046325684,-0.006982001475989819,0.10249817371368408,0
2,6,9,3,dispatch_decision_block,hierarchical_actor_factorized_trust_region_pg_route_first_coupled_stop_severity_gate,1.0,0.0,1.0,1.0,0.2800000011920929,0.0013419741299003363,0.0991247221827507,0
3,9,12,3,dispatch_decision_block,hierarchical_actor_factorized_trust_region_pg_route_first_coupled_stop_severity_gate,1.0,0.0,1.0,1.0,0.25,-0.010799922980368137,0.09452836215496063,0
4,12,15,3,dispatch_decision_block,hierarchical_actor_factorized_trust_region_pg_route_first_coupled_stop_severity_gate,1.0,0.0,1.0,1.0,0.3100000023841858,-0.007916444912552834,0.0955791175365448,0
5,15,18,3,dispatch_decision_block,hierarchical_actor_factorized_trust_region_pg_route_first_coupled_stop_severity_gate,1.0,0.0,1.0,1.0,0.10999999940395355,0.007063659373670816,0.06420257687568665,0
6,18,21,3,dispatch_decision_block,hierarchical_actor_factorized_trust_region_pg_route_first_coupled_stop_severity_gate,1.0,0.0,1.0,1.0,0.23000000417232513,0.004596537910401821,0.08835486322641373,0
7,21,24,3,dispatch_decision_block,hierarchical_actor_factorized_trust_region_pg_route_first_coupled_stop_severity_gate,1.0,0.0,1.0,1.0,0.49000000953674316,-0.023126807063817978,0.1315981149673462,0
8,24,27,3,dispatch_decision_block,hierarchical_actor_factorized_trust_region_pg_route_first_coupled_stop_severity_gate,1.0,0.0,1.0,1.0,0.029999999329447746,-0.007210525684058666,0.05105423927307129,0
9,27,30,3,dispatch_decision_block,hierarchical_actor_factorized_trust_region_pg_route_first_coupled_stop_severity_gate,1.0,0.0,1.0,1.0,0.4099999964237213,-0.010058565996587276,0.11717252433300018,0
10,30,33,3,dispatch_decision_block,hierarchical_actor_factorized_trust_region_pg_route_first_coupled_stop_severity_gate,1.0,0.0,1.0,1.0,0.4699999988079071,-0.018089914694428444,0.13866457343101501,0
11,33,36,3,dispatch_decision_block,hierarchical_actor_factorized_trust_region_pg_route_first_coupled_stop_severity_gate,1.0,0.0,1.0,1.0,0.3799999952316284,0.0024613142013549805,0.11460519582033157,0
12,36,39,3,dispatch_decision_block,hierarchical_actor_factorized_trust_region_pg_route_first_coupled_stop_severity_gate,1.0,0.0,1.0,1.0,0.47999998927116394,-0.0388290174305439,0.13573288917541504,0
