block_index,block_start,block_stop_exclusive,block_size,block_semantic,block_weight_mean,block_weight_std,block_weight_max,block_weight_min,block_adv_scale_mean,block_adv_scale_std,block_adv_scale_max,block_adv_scale_min,block_value_score_mean,block_value_score_std,block_value_score_max,block_value_score_min,block_value_scale_mean,block_value_scale_std,block_value_scale_max,block_value_scale_min,block_value_pred_mean,block_value_pred_std,block_value_pred_max,block_value_pred_min,block_td_target_mean,block_td_target_std,block_td_target_max,block_td_target_min,block_td_advantage_mean,block_td_advantage_std,block_td_advantage_max,block_td_advantage_min,block_advantage_mean,block_advantage_std,block_advantage_max,block_advantage_min,block_active_rate,block_clip_fraction,block_positive_adv_clip_fraction,block_negative_adv_clip_fraction,block_ratio_mean,block_ratio_std,block_ratio_max,block_surrogate_mean,block_surrogate_std,per_block_selected_action_prob_gain_mean,per_block_selected_action_prob_gain_std,epoch
0,0,3,3,dispatch_decision_block,0.04782109335064888,0.016583401709794998,0.09050367027521133,0.02010193280875683,1.0,0.0,1.0,1.0,0.22228431701660156,0.10693921893835068,0.5526518225669861,-0.09927567839622498,1.0,0.0,1.0,1.0,0.22228431701660156,0.10693921893835068,0.5526518225669861,-0.09927567839622498,0.22468306124210358,0.3002805709838867,1.0678813457489014,-0.5831922888755798,0.0023987411987036467,0.3252061605453491,0.9054853320121765,-1.0606884956359863,0.0023987411987036467,0.3252061605453491,0.9054853320121765,-1.0606884956359863,0.33000001311302185,0.07000000029802322,0.07692307978868484,0.0625,0.9918186664581299,0.05827200412750244,1.115893006324768,0.03596244752407074,0.8310881853103638,-0.008181351236999035,0.05827200412750244,0
1,3,6,3,dispatch_decision_block,0.03366798907518387,0.019945256412029266,0.10503822565078735,0.00552834989503026,1.0,0.0,1.0,1.0,-0.20673410594463348,0.12395785003900528,0.1538955420255661,-0.5476172566413879,1.0,0.0,1.0,1.0,-0.20673410594463348,0.12395785003900528,0.1538955420255661,-0.5476172566413879,-0.19935955107212067,0.45704174041748047,1.3524415493011475,-1.2992609739303589,0.007374521344900131,0.43764206767082214,1.454469919204712,-1.2261191606521606,0.007374521344900131,0.43764206767082214,1.454469919204712,-1.2261191606521606,0.5199999809265137,0.25999999046325684,0.25,0.26923078298568726,0.9930180311203003,0.10249817371368408,1.2774144411087036,0.001540327095426619,0.9844241142272949,-0.006982001475989819,0.10249817371368408,0
2,6,9,3,dispatch_decision_block,0.03660427778959274,0.020874684676527977,0.1090344563126564,0.0026836595498025417,1.0,0.0,1.0,1.0,-0.2861585021018982,0.1105942502617836,0.24182842671871185,-0.5156113505363464,1.0,0.0,1.0,1.0,-0.2861585021018982,0.1105942502617836,0.24182842671871185,-0.5156113505363464,-0.2723279893398285,0.4597250521183014,1.2364400625228882,-1.409485936164856,0.013830499723553658,0.43748876452445984,1.5150150060653687,-1.1310254335403442,0.013830499723553658,0.43748876452445984,1.5150150060653687,-1.1310254335403442,0.5099999904632568,0.2800000011920929,0.29411765933036804,0.26530611515045166,1.0013420581817627,0.0991247221827507,1.287394642829895,-0.07336239516735077,0.8271538615226746,0.0013419741299003363,0.0991247221827507,0
3,9,12,3,dispatch_decision_block,0.04721590876579285,0.015607881359755993,0.10466673970222473,0.0171921718865633,1.0,0.0,1.0,1.0,-0.0575064979493618,0.11559910327196121,0.28824377059936523,-0.32457390427589417,1.0,0.0,1.0,1.0,-0.0575064979493618,0.11559910327196121,0.28824377059936523,-0.32457390427589417,-0.06009325012564659,0.2575213611125946,0.6664257645606995,-0.7219579815864563,-0.002586746122688055,0.2662753462791443,0.7014204859733582,-0.5961812734603882,-0.002586746122688055,0.2662753462791443,0.7014204859733582,-0.5961812734603882,0.3199999928474426,0.25,0.3333333432674408,0.17307692766189575,0.9892001152038574,0.09452836215496063,1.2032991647720337,0.13566410541534424,1.0442687273025513,-0.010799922980368137,0.09452836215496063,0
4,12,15,3,dispatch_decision_block,0.04501453787088394,0.017107686027884483,0.09733086824417114,0.017252624034881592,1.0,0.0,1.0,1.0,0.1532355397939682,0.10334572941064835,0.3565097451210022,-0.10900318622589111,1.0,0.0,1.0,1.0,0.1532355397939682,0.10334572941064835,0.3565097451210022,-0.10900318622589111,0.1442018300294876,0.28286585211753845,1.0742883682250977,-0.7184722423553467,-0.009033714421093464,0.26318594813346863,0.7981599569320679,-0.6688889265060425,-0.009033714421093464,0.26318594813346863,0.7981599569320679,-0.6688889265060425,0.2199999988079071,0.3100000023841858,0.2916666567325592,0.32692307233810425,0.9920836091041565,0.0955791175365448,1.257299780845642,0.0347193107008934,1.076827883720398,-0.007916444912552834,0.0955791175365448,0
5,15,18,3,dispatch_decision_block,0.03271276131272316,0.022620374336838722,0.10764503479003906,5.662378299575721e-08,1.0,0.0,1.0,1.0,0.08778198063373566,0.10993333160877228,0.3390108644962311,-0.20126433670520782,1.0,0.0,1.0,1.0,0.08778198063373566,0.10993333160877228,0.3390108644962311,-0.20126433670520782,0.08438897877931595,0.49470722675323486,1.3042242527008057,-0.956857442855835,-0.0033930016215890646,0.4908258020877838,1.505488634109497,-0.9906118512153625,-0.0033930016215890646,0.4908258020877838,1.505488634109497,-0.9906118512153625,0.5099999904632568,0.10999999940395355,0.10204081982374191,0.11764705926179886,1.007063627243042,0.06420257687568665,1.155613660812378,0.018026703968644142,1.0615111589431763,0.007063659373670816,0.06420257687568665,0
6,18,21,3,dispatch_decision_block,0.031388502568006516,0.020413139835000038,0.09705528616905212,5.662378299575721e-08,1.0,0.0,1.0,1.0,-0.02985754981637001,0.14174485206604004,0.4489589035511017,-0.3346315026283264,1.0,0.0,1.0,1.0,-0.02985754981637001,0.14174485206604004,0.4489589035511017,-0.3346315026283264,-0.032010842114686966,0.44140467047691345,1.2179672718048096,-1.0538740158081055,-0.002153282053768635,0.4156198501586914,0.9648797512054443,-1.077540397644043,-0.002153282053768635,0.4156198501586914,0.9648797512054443,-1.077540397644043,0.5099999904632568,0.23000000417232513,0.1764705926179886,0.2857142984867096,1.0045965909957886,0.08835486322641373,1.3313931226730347,0.1200152039527893,0.8259761929512024,0.004596537910401821,0.08835486322641373,0
7,21,24,3,dispatch_decision_block,0.04995422810316086,0.0124885318800807,0.08992408961057663,0.023244164884090424,1.0,0.0,1.0,1.0,0.10900858789682388,0.11202286183834076,0.3916052579879761,-0.20463109016418457,1.0,0.0,1.0,1.0,0.10900858789682388,0.11202286183834076,0.3916052579879761,-0.20463109016418457,0.10275417566299438,0.21281109750270844,0.890168309211731,-0.4893217384815216,-0.0062544215470552444,0.2065773904323578,0.6847518086433411,-0.5517762899398804,-0.0062544215470552444,0.2065773904323578,0.6847518086433411,-0.5517762899398804,0.18000000715255737,0.49000000953674316,0.5283018946647644,0.44680851697921753,0.9768732190132141,0.1315981149673462,1.3397599458694458,0.057399459183216095,1.1514450311660767,-0.023126807063817978,0.1315981149673462,0
8,24,27,3,dispatch_decision_block,0.04848972335457802,0.017696890980005264,0.09502094238996506,0.02045363560318947,1.0,0.0,1.0,1.0,0.2847619354724884,0.16813525557518005,0.7391002774238586,-0.09994786977767944,1.0,0.0,1.0,1.0,0.2847619354724884,0.16813525557518005,0.7391002774238586,-0.09994786977767944,0.2748313248157501,0.3879895508289337,1.3831241130828857,-0.889498233795166,-0.009930651634931564,0.3481229543685913,0.8867273926734924,-0.8915811777114868,-0.009930651634931564,0.3481229543685913,0.8867273926734924,-0.8915811777114868,0.4099999964237213,0.029999999329447746,0.021739130839705467,0.03703703731298447,0.9927893877029419,0.05105423927307129,1.142440915107727,0.09873604029417038,1.0037641525268555,-0.007210525684058666,0.05105423927307129,0
9,27,30,3,dispatch_decision_block,0.03366353362798691,0.021263601258397102,0.10661318898200989,0.000364392384653911,1.0,0.0,1.0,1.0,0.022578062489628792,0.10913289338350296,0.319032222032547,-0.2944694757461548,1.0,0.0,1.0,1.0,0.022578062489628792,0.10913289338350296,0.319032222032547,-0.2944694757461548,0.020236356183886528,0.48034775257110596,1.4115965366363525,-1.4213734865188599,-0.0023417044430971146,0.47402453422546387,1.6674731969833374,-1.4043949842453003,-0.0023417044430971146,0.47402453422546387,1.6674731969833374,-1.4043949842453003,0.5199999809265137,0.4099999964237213,0.41304346919059753,0.40740740299224854,0.9899414777755737,0.11717252433300018,1.3281022310256958,0.03259782865643501,0.807939887046814,-0.010058565996587276,0.11717252433300018,0
10,30,33,3,dispatch_decision_block,0.0339919812977314,0.021747425198554993,0.10151617974042892,0.0013474548468366265,1.0,0.0,1.0,1.0,0.3211597204208374,0.15618033707141876,0.5944252014160156,-0.30546993017196655,1.0,0.0,1.0,1.0,0.3211597204208374,0.15618033707141876,0.5944252014160156,-0.30546993017196655,0.31725767254829407,0.5064060688018799,1.9950776100158691,-1.1820621490478516,-0.0039020348340272903,0.47812288999557495,1.6209683418273926,-1.514341115951538,-0.0039020348340272903,0.47812288999557495,1.6209683418273926,-1.514341115951538,0.5199999809265137,0.4699999988079071,0.4444444477558136,0.4909090995788574,0.9819101095199585,0.13866457343101501,1.3446309566497803,-0.045922573655843735,1.0682357549667358,-0.018089914694428444,0.13866457343101501,0
11,33,36,3,dispatch_decision_block,0.044066138565540314,0.010254583321511745,0.07920101284980774,0.023452667519450188,1.0,0.0,1.0,1.0,-0.165766179561615,0.11848033219575882,0.1336965709924698,-0.5775590538978577,1.0,0.0,1.0,1.0,-0.165766179561615,0.11848033219575882,0.1336965709924698,-0.5775590538978577,-0.1736486852169037,0.22459028661251068,0.6238786578178406,-0.819031298160553,-0.007882474921643734,0.20639432966709137,0.7530282735824585,-0.6398939490318298,-0.007882474921643734,0.20639432966709137,0.7530282735824585,-0.6398939490318298,0.20000000298023224,0.3799999952316284,0.375,0.38461539149284363,1.0024611949920654,0.11460519582033157,1.2714725732803345,-0.011779611930251122,0.6731171011924744,0.0024613142013549805,0.11460519582033157,0
12,36,39,3,dispatch_decision_block,0.050126947462558746,0.019716130569577217,0.11679955571889877,0.02124718390405178,1.0,0.0,1.0,1.0,-0.23721881210803986,0.1236725002527237,0.11257962882518768,-0.4642137289047241,1.0,0.0,1.0,1.0,-0.23721881210803986,0.1236725002527237,0.11257962882518768,-0.4642137289047241,-0.23558437824249268,0.3399001657962799,0.6053203344345093,-1.1210811138153076,0.0016344308387488127,0.3380499482154846,0.7837539911270142,-0.8877980709075928,0.0016344308387488127,0.3380499482154846,0.7837539911270142,-0.8877980709075928,0.4399999976158142,0.47999998927116394,0.46000000834465027,0.5,0.9611709713935852,0.13573288917541504,1.461546540260315,0.07764856517314911,0.9182161092758179,-0.0388290174305439,0.13573288917541504,0
13,39,42,3,dispatch_decision_block,0.03257514908909798,0.017165647819638252,0.07421579211950302,0.001291724038310349,1.0,0.0,1.0,1.0,-0.3292800188064575,0.10711941123008728,-0.0071050673723220825,-0.592166543006897,1.0,0.0,1.0,1.0,-0.3292800188064575,0.10711941123008728,-0.0071050673723220825,-0.592166543006897,-0.3231251835823059,0.3526444733142853,0.8249956965446472,-1.5206795930862427,0.006154836621135473,0.3539496064186096,1.1649771928787231,-1.1514661312103271,0.006154836621135473,0.3539496064186096,1.1649771928787231,-1.1514661312103271,0.49000000953674316,0.07000000029802322,0.08163265138864517,0.05882352963089943,0.9921531677246094,0.059719230979681015,1.1490355730056763,0.09199623763561249,0.772749125957489,-0.007846863940358162,0.059719230979681015,0
14,42,45,3,dispatch_decision_block,0.036456771194934845,0.019075842574238777,0.09147823601961136,0.003236619057133794,1.0,0.0,1.0,1.0,0.21376024186611176,0.12934209406375885,0.4936692714691162,-0.3244205415248871,1.0,0.0,1.0,1.0,0.21376024186611176,0.12934209406375885,0.4936692714691162,-0.3244205415248871,0.2096489518880844,0.37147530913352966,1.2017297744750977,-0.8658222556114197,-0.004111303016543388,0.36414024233818054,0.9561893939971924,-1.082149863243103,-0.004111303016543388,0.36414024233818054,0.9561893939971924,-1.082149863243103,0.46000000834465027,0.09000000357627869,0.09090909361839294,0.0892857164144516,0.9936679005622864,0.05953304469585419,1.119064450263977,0.07597443461418152,0.6923156976699829,-0.006332126446068287,0.05953304469585419,0
15,45,48,3,dispatch_decision_block,0.05227191001176834,0.01531024556607008,0.0942147821187973,0.014597280882298946,1.0,0.0,1.0,1.0,0.06300709396600723,0.113146111369133,0.36460089683532715,-0.2955993115901947,1.0,0.0,1.0,1.0,0.06300709396600723,0.113146111369133,0.36460089683532715,-0.2955993115901947,0.057683657854795456,0.17685306072235107,0.5400755405426025,-0.4179743826389313,-0.005323441233485937,0.1681162714958191,0.38470953702926636,-0.5201295018196106,-0.005323441233485937,0.1681162714958191,0.38470953702926636,-0.5201295018196106,0.15000000596046448,0.33000001311302185,0.3137255012989044,0.3469387888908386,1.0017313957214355,0.12336742132902145,1.5188673734664917,0.05730323866009712,0.7802541255950928,0.0017313361167907715,0.12336742132902145,0
16,48,51,3,dispatch_decision_block,0.046770934015512466,0.020106855779886246,0.09844094514846802,0.019692599773406982,1.0,0.0,1.0,1.0,0.11890332400798798,0.11777718365192413,0.42801886796951294,-0.17303255200386047,1.0,0.0,1.0,1.0,0.11890332400798798,0.11777718365192413,0.42801886796951294,-0.17303255200386047,0.10486489534378052,0.2841469943523407,0.7966510653495789,-0.7890400290489197,-0.014038427732884884,0.28899410367012024,0.7803937792778015,-0.8325295448303223,-0.014038427732884884,0.28899410367012024,0.7803937792778015,-0.8325295448303223,0.30000001192092896,0.4000000059604645,0.4166666567325592,0.38461539149284363,0.9830194115638733,0.12688449025154114,1.4508532285690308,0.048356786370277405,0.8098857998847961,-0.016980517655611038,0.12688449025154114,0
17,51,54,3,dispatch_decision_block,0.036664243787527084,0.021603766828775406,0.1012500524520874,0.004364293999969959,1.0,0.0,1.0,1.0,-0.3622022271156311,0.10928300768136978,-0.019393891096115112,-0.6024869680404663,1.0,0.0,1.0,1.0,-0.3622022271156311,0.10928300768136978,-0.019393891096115112,-0.6024869680404663,-0.3592623174190521,0.47222521901130676,0.9376777410507202,-1.48524808883667,0.002939932281151414,0.4578125476837158,1.222592830657959,-0.9903931617736816,0.002939932281151414,0.4578125476837158,1.222592830657959,-0.9903931617736816,0.5799999833106995,0.17000000178813934,0.1428571492433548,0.19607843458652496,1.000819444656372,0.0893021821975708,1.2629477977752686,-0.019373593851923943,0.8539041876792908,0.000819395761936903,0.0893021821975708,0
18,54,57,3,dispatch_decision_block,0.03322746232151985,0.02183140255510807,0.09628143906593323,5.931763524813505e-08,1.0,0.0,1.0,1.0,-0.31953534483909607,0.13784906268119812,0.007083132863044739,-0.662062406539917,1.0,0.0,1.0,1.0,-0.31953534483909607,0.13784906268119812,0.007083132863044739,-0.662062406539917,-0.3143364489078522,0.4662896692752838,0.8925603628158569,-1.8179916143417358,0.005198897328227758,0.4563455581665039,1.3896207809448242,-1.3140459060668945,0.005198897328227758,0.4563455581665039,1.3896207809448242,-1.3140459060668945,0.5899999737739563,0.2800000011920929,0.24528302252292633,0.3191489279270172,0.998877763748169,0.11613167077302933,1.5022668838500977,-0.06666858494281769,0.7728891968727112,-0.001122143235988915,0.11613167077302933,0
19,57,60,3,dispatch_decision_block,0.04734865203499794,0.0157503392547369,0.09652622789144516,0.019892344251275063,1.0,0.0,1.0,1.0,-0.24451476335525513,0.10551151633262634,0.06609270721673965,-0.5332699418067932,1.0,0.0,1.0,1.0,-0.24451476335525513,0.10551151633262634,0.06609270721673965,-0.5332699418067932,-0.24512013792991638,0.21777860820293427,0.37627243995666504,-1.1190334558486938,-0.0006053856923244894,0.21176718175411224,0.49309223890304565,-0.8564071655273438,-0.0006053856923244894,0.21176718175411224,0.49309223890304565,-0.8564071655273438,0.17000000178813934,0.23000000417232513,0.3529411852359772,0.10204081982374191,0.9915107488632202,0.09659293293952942,1.2602121829986572,-0.025167208164930344,0.934765636920929,-0.00848925020545721,0.09659293293952942,0
