probe_index,sensor_id,task_name,old_top1_choice,new_top1_choice,top1_changed,old_sampled_choice,new_sampled_choice,sampled_changed,old_top1_prob,new_top1_prob,top1_prob_delta,decision_kl,decision_l1,old_local_prob,new_local_prob,old_BS1_prob,new_BS1_prob,old_BS2_prob,new_BS2_prob
0,S1,LatCrit,local,local,0,local,local,0,0.49922817945480347,0.5187605619430542,0.019532382488250732,0.0009806323796510696,0.03906477987766266,0.49922817945480347,0.5187605619430542,0.26228854060173035,0.25912702083587646,0.2384832799434662,0.22211240231990814
0,S1,ComHvy,local,local,0,local,BS1,1,0.5113093256950378,0.4679519534111023,-0.04335737228393555,0.0053627751767635345,0.0867147296667099,0.5113093256950378,0.4679519534111023,0.26500454545021057,0.26702502369880676,0.22368614375591278,0.26502302289009094
0,S1,BWHvy,local,local,0,BS1,BS1,0,0.4706738591194153,0.4615103006362915,-0.00916355848312378,0.000610854011029005,0.03138241171836853,0.4706738591194153,0.4615103006362915,0.271737664937973,0.2874288558959961,0.2575884759426117,0.25106081366539
0,S2,LatCrit,local,local,0,local,local,0,0.5096600651741028,0.5055072903633118,-0.004152774810791016,4.35833353549242e-05,0.008305534720420837,0.5096600651741028,0.5055072903633118,0.2217281609773636,0.22210901975631714,0.2686117887496948,0.2723836898803711
0,S2,ComHvy,local,local,0,local,local,0,0.4989911913871765,0.48459041118621826,-0.014400780200958252,0.0007166778668761253,0.031418025493621826,0.4989911913871765,0.48459041118621826,0.2654082775115967,0.264100044965744,0.2356005311012268,0.2513095438480377
0,S2,BWHvy,local,local,0,BS1,BS1,0,0.4810486435890198,0.4667644500732422,-0.014284193515777588,0.0004828947130590677,0.028568387031555176,0.4810486435890198,0.4667644500732422,0.26840275526046753,0.28027278184890747,0.2505486011505127,0.25296276807785034
0,S3,LatCrit,local,local,0,local,local,0,0.5279426574707031,0.5309722423553467,0.0030295848846435547,6.541237235069275e-05,0.00986449420452118,0.5279426574707031,0.5309722423553467,0.2543061673641205,0.2493739128112793,0.21775119006633759,0.21965384483337402
0,S3,ComHvy,local,local,0,local,local,0,0.4862384796142578,0.4668933153152466,-0.01934516429901123,0.0031807981431484222,0.07296563684940338,0.4862384796142578,0.4668933153152466,0.29790762066841125,0.33439043164253235,0.21585386991500854,0.1987162083387375
0,S3,BWHvy,local,local,0,local,local,0,0.503341555595398,0.47154587507247925,-0.0317956805229187,0.0021592676639556885,0.06359133124351501,0.503341555595398,0.47154587507247925,0.25636377930641174,0.2789125442504883,0.2402946799993515,0.24954156577587128
0,S4,LatCrit,local,local,0,local,local,0,0.5034530162811279,0.5197972059249878,0.016344189643859863,0.0007789963856339455,0.03268837928771973,0.5034530162811279,0.5197972059249878,0.2573850750923157,0.25643134117126465,0.2391619086265564,0.22377145290374756
0,S4,ComHvy,local,local,0,local,local,0,0.5086071491241455,0.441617488861084,-0.06698966026306152,0.009234849363565445,0.13397929072380066,0.5086071491241455,0.441617488861084,0.2333602011203766,0.257157564163208,0.2580326497554779,0.3012249171733856
0,S4,BWHvy,local,local,0,local,local,0,0.5371115207672119,0.5909180641174316,0.05380654335021973,0.006045453250408173,0.10761311650276184,0.5371115207672119,0.5909180641174316,0.24163630604743958,0.20879904925823212,0.2212522029876709,0.20028288662433624
0,S5,LatCrit,local,local,0,local,BS1,1,0.49501222372055054,0.40121978521347046,-0.09379243850708008,0.018140070140361786,0.18758486211299896,0.49501222372055054,0.40121978521347046,0.24631480872631073,0.300082802772522,0.25867295265197754,0.2986973822116852
0,S5,ComHvy,local,local,0,local,local,0,0.5032742023468018,0.5654714703559875,0.06219726800918579,0.009746357798576355,0.12439453601837158,0.5032742023468018,0.5654714703559875,0.2310887575149536,0.18311354517936707,0.26563701033592224,0.251414954662323
0,S5,BWHvy,local,local,0,local,local,0,0.5358024835586548,0.5008080005645752,-0.03499448299407959,0.003401286667212844,0.06998895108699799,0.5358024835586548,0.5008080005645752,0.22695079445838928,0.2600216269493103,0.23724672198295593,0.2391703575849533
0,S6,LatCrit,local,local,0,local,local,0,0.49512845277786255,0.5747425556182861,0.07961410284042358,0.013983655720949173,0.15922817587852478,0.49512845277786255,0.5747425556182861,0.26568078994750977,0.2381848245859146,0.2391907125711441,0.18707260489463806
0,S6,ComHvy,local,local,0,BS2,local,1,0.5131915807723999,0.5916256904602051,0.07843410968780518,0.012569669634103775,0.15686827898025513,0.5131915807723999,0.5916256904602051,0.2486177384853363,0.21092067658901215,0.23819072544574738,0.19745361804962158
0,S6,BWHvy,local,local,0,local,local,0,0.501865804195404,0.4736660122871399,-0.02819979190826416,0.0027101333253085613,0.06383554637432098,0.501865804195404,0.4736660122871399,0.2530307471752167,0.2849484980106354,0.24510346353054047,0.24138545989990234
0,S7,LatCrit,local,local,0,local,local,0,0.49260663986206055,0.44972383975982666,-0.04288280010223389,0.004183806478977203,0.08576560020446777,0.49260663986206055,0.44972383975982666,0.26133301854133606,0.2954309284687042,0.24606037139892578,0.2548452615737915
0,S7,ComHvy,local,local,0,local,local,0,0.509476900100708,0.5451235771179199,0.035646677017211914,0.0026253201067447662,0.07129335403442383,0.509476900100708,0.5451235771179199,0.24760569632053375,0.22571682929992676,0.24291738867759705,0.22915957868099213
0,S7,BWHvy,local,local,0,BS1,BS1,0,0.4931354522705078,0.4847819209098816,-0.00835353136062622,0.0005652327090501785,0.029359102249145508,0.4931354522705078,0.4847819209098816,0.2502553164958954,0.26493486762046814,0.2566092312335968,0.25028321146965027
0,S8,LatCrit,local,local,0,local,local,0,0.4738994240760803,0.5117175579071045,0.03781813383102417,0.0028652772307395935,0.07563628256320953,0.4738994240760803,0.5117175579071045,0.2566542327404022,0.23726020753383636,0.26944634318351746,0.25102221965789795
