block_index,block_start,block_stop_exclusive,block_size,block_semantic,block_weight_mean,block_weight_std,block_weight_max,block_weight_min,block_active_rate,epoch
0,0,3,3,dispatch_decision_block,0.04792582988739014,0.016593536362051964,0.089747853577137,0.02045951969921589,0.6100000143051147,0
1,3,6,3,dispatch_decision_block,0.03361959382891655,0.01989537663757801,0.10571374744176865,0.005527344066649675,0.2800000011920929,0
2,6,9,3,dispatch_decision_block,0.03698369115591049,0.02080107294023037,0.10948353260755539,0.0027439722325652838,0.36000001430511475,0
3,9,12,3,dispatch_decision_block,0.04664940759539604,0.01523324754089117,0.098746158182621,0.018776841461658478,0.6200000047683716,0
4,12,15,3,dispatch_decision_block,0.04475022479891777,0.017147431150078773,0.09576664865016937,0.016480686143040657,0.4300000071525574,0
5,15,18,3,dispatch_decision_block,0.03193693980574608,0.022398807108402252,0.10612738877534866,5.662378299575721e-08,0.25999999046325684,0
6,18,21,3,dispatch_decision_block,0.0311222355812788,0.020360810682177544,0.09816555678844452,5.662378299575721e-08,0.3199999928474426,0
7,21,24,3,dispatch_decision_block,0.05078535154461861,0.01295492798089981,0.08084388077259064,0.020101631060242653,0.7599999904632568,0
8,24,27,3,dispatch_decision_block,0.047891877591609955,0.01749458722770214,0.09256751835346222,0.020545469596982002,0.5899999737739563,0
9,27,30,3,dispatch_decision_block,0.03374706581234932,0.0211754459887743,0.10492268949747086,0.0003854690003208816,0.28999999165534973,0
10,30,33,3,dispatch_decision_block,0.03432066738605499,0.021803565323352814,0.10024912655353546,0.0012934753904119134,0.28999999165534973,0
11,33,36,3,dispatch_decision_block,0.04433102905750275,0.010451573878526688,0.08098617196083069,0.0236682016402483,0.5699999928474426,0
12,36,39,3,dispatch_decision_block,0.05062992870807648,0.019637294113636017,0.12282894551753998,0.022333744913339615,0.6200000047683716,0
13,39,42,3,dispatch_decision_block,0.03297432139515877,0.017100419849157333,0.07338923215866089,0.0011454342165961862,0.3100000023841858,0
14,42,45,3,dispatch_decision_block,0.03741444647312164,0.0190813560038805,0.08923568576574326,0.003605338279157877,0.38999998569488525,0
15,45,48,3,dispatch_decision_block,0.05270964279770851,0.015426019206643105,0.09226731956005096,0.015054876916110516,0.699999988079071,0
16,48,51,3,dispatch_decision_block,0.04686744138598442,0.020394382998347282,0.09968392550945282,0.01841702125966549,0.5099999904632568,0
17,51,54,3,dispatch_decision_block,0.03660919517278671,0.021564003080129623,0.10197048634290695,0.004448517691344023,0.3400000035762787,0
18,54,57,3,dispatch_decision_block,0.03267856314778328,0.021656252443790436,0.0974869579076767,5.923615375991176e-08,0.3400000035762787,0
19,57,60,3,dispatch_decision_block,0.045919932425022125,0.014490407891571522,0.08637357503175735,0.019238298758864403,0.6000000238418579,0
20,60,63,3,dispatch_decision_block,0.050577446818351746,0.02131129987537861,0.09834721684455872,0.016241036355495453,0.5400000214576721,0
21,63,66,3,dispatch_decision_block,0.03887900710105896,0.023728130385279655,0.11232619732618332,0.0021968199871480465,0.3700000047683716,0
22,66,69,3,dispatch_decision_block,0.03888487443327904,0.023475617170333862,0.09818408638238907,0.0015399098629131913,0.3700000047683716,0
23,69,72,3,dispatch_decision_block,0.05179128050804138,0.014942933805286884,0.09528554975986481,0.0212834682315588,0.699999988079071,0
0,0,3,3,dispatch_decision_block,0.04614199325442314,0.019711947068572044,0.0961437001824379,0.01506801787763834,0.5400000214576721,1
1,3,6,3,dispatch_decision_block,0.031169364228844643,0.01974058523774147,0.08892285823822021,7.160323889365827e-08,0.27000001072883606,1
2,6,9,3,dispatch_decision_block,0.03475245088338852,0.02060055173933506,0.0956658348441124,7.160323889365827e-08,0.3700000047683716,1
3,9,12,3,dispatch_decision_block,0.04668905586004257,0.015028229914605618,0.09590655565261841,0.00956746656447649,0.6399999856948853,1
4,12,15,3,dispatch_decision_block,0.05080047622323036,0.01843714714050293,0.11112035065889359,0.020458143204450607,0.7200000286102295,1
5,15,18,3,dispatch_decision_block,0.03945381939411163,0.022561440244317055,0.1053604930639267,7.160323889365827e-08,0.4300000071525574,1
6,18,21,3,dispatch_decision_block,0.03618307411670685,0.02421794831752777,0.10151216387748718,7.160323889365827e-08,0.3400000035762787,1
7,21,24,3,dispatch_decision_block,0.046745166182518005,0.014270137995481491,0.079839326441288,0.017739620059728622,0.6000000238418579,1
8,24,27,3,dispatch_decision_block,0.05523627623915672,0.021922264248132706,0.12327460944652557,0.01790088228881359,0.6600000262260437,1
9,27,30,3,dispatch_decision_block,0.037885118275880814,0.025270668789744377,0.12581175565719604,0.00024404667783528566,0.4399999976158142,1
10,30,33,3,dispatch_decision_block,0.03747592493891716,0.02484430931508541,0.11992359906435013,0.000201034577912651,0.4300000071525574,1
11,33,36,3,dispatch_decision_block,0.05121314153075218,0.016323566436767578,0.09644992649555206,0.01911180652678013,0.7099999785423279,1
12,36,39,3,dispatch_decision_block,0.04347991943359375,0.01599586196243763,0.09386564791202545,0.01755189709365368,0.46000000834465027,1
13,39,42,3,dispatch_decision_block,0.03003629669547081,0.016075516119599342,0.0879412516951561,0.001037268084473908,0.20000000298023224,1
