bucket_name,bucket_sample_count,bucket_mean_advantage,bucket_mean_ratio,bucket_mean_delta_log_prob_selected_action,bucket_mean_selected_action_prob_gain,bucket_mean_clip_fraction,epoch
high_positive,0,0.0,0.0,0.0,0.0,0.0,0
mid_positive,0,0.0,0.0,0.0,0.0,0.0,0
near_zero,0,0.0,0.0,0.0,0.0,0.0,0
negative,100,-22.29330062866211,0.9918116927146912,-0.015760479494929314,-0.008188257925212383,0.31583333015441895,0
high_positive,1,5.687808990478516,1.001306414604187,-0.057630911469459534,0.001306456862948835,0.8333333134651184,1
mid_positive,3,2.4950926303863525,0.9937885403633118,-0.02515186183154583,-0.0062113539315760136,0.7222222685813904,1
near_zero,0,0.0,0.0,0.0,0.0,0.0,1
negative,96,-20.30692481994629,0.9621923565864563,-0.0696277916431427,-0.037807587534189224,0.6618924140930176,1
high_positive,2,14.48475456237793,0.9697860479354858,-0.05866055190563202,-0.03021392598748207,0.75,2
mid_positive,6,6.983945369720459,1.0014638900756836,-0.025840355083346367,0.0014639198780059814,0.6597222685813904,2
near_zero,3,-0.24820508062839508,0.9604507088661194,-0.05783221498131752,-0.03954930230975151,0.5416666865348816,2
negative,89,-19.859743118286133,0.9757893681526184,-0.05123171582818031,-0.024210641160607338,0.5959737300872803,2
high_positive,5,29.6789493560791,1.007721185684204,-0.027581173926591873,0.00772128626704216,0.75,3
mid_positive,12,9.042556762695312,0.9898550510406494,-0.04316059127449989,-0.010144933126866817,0.6458333134651184,3
near_zero,7,0.7475818395614624,0.9486519694328308,-0.07255394756793976,-0.05134805291891098,0.625,3
negative,76,-21.839134216308594,0.9798113107681274,-0.04878478869795799,-0.0201885923743248,0.6354166865348816,3
high_positive,5,34.177337646484375,0.9558919668197632,-0.1307084709405899,-0.044107936322689056,0.7416666746139526,4
mid_positive,12,13.659706115722656,0.9591464400291443,-0.09310603886842728,-0.04085361585021019,0.7777778506278992,4
near_zero,4,0.07939639687538147,0.9502369165420532,-0.07829442620277405,-0.04976310208439827,0.5729166865348816,4
negative,79,-16.3490047454834,0.9844605922698975,-0.040457792580127716,-0.015539395622909069,0.6060126423835754,4
