block_index,block_start,block_stop_exclusive,block_size,block_semantic,policy_surrogate_mode,block_adv_scale_mean,block_adv_scale_std,block_adv_scale_max,block_adv_scale_min,block_clip_fraction,per_block_selected_action_prob_gain_mean,per_block_selected_action_prob_gain_std,epoch
0,0,3,3,dispatch_decision_block,hierarchical_actor_hard_offload_route,1.0,0.0,1.0,1.0,0.30000001192092896,-0.00837706495076418,0.10425371676683426,0
1,3,6,3,dispatch_decision_block,hierarchical_actor_hard_offload_route,1.0,0.0,1.0,1.0,0.20000000298023224,-0.00045458972454071045,0.08699008077383041,0
2,6,9,3,dispatch_decision_block,hierarchical_actor_hard_offload_route,1.0,0.0,1.0,1.0,0.3400000035762787,0.01291577611118555,0.13483181595802307,0
3,9,12,3,dispatch_decision_block,hierarchical_actor_hard_offload_route,1.0,0.0,1.0,1.0,0.17000000178813934,0.003484052373096347,0.09178519994020462,0
4,12,15,3,dispatch_decision_block,hierarchical_actor_hard_offload_route,1.0,0.0,1.0,1.0,0.2199999988079071,-0.015081034041941166,0.09250073879957199,0
5,15,18,3,dispatch_decision_block,hierarchical_actor_hard_offload_route,1.0,0.0,1.0,1.0,0.23000000417232513,-0.0055193714797496796,0.09321276098489761,0
6,18,21,3,dispatch_decision_block,hierarchical_actor_hard_offload_route,1.0,0.0,1.0,1.0,0.5400000214576721,-0.012582513503730297,0.15341834723949432,0
7,21,24,3,dispatch_decision_block,hierarchical_actor_hard_offload_route,1.0,0.0,1.0,1.0,0.2800000011920929,-0.013512714765965939,0.08923379331827164,0
8,24,27,3,dispatch_decision_block,hierarchical_actor_hard_offload_route,1.0,0.0,1.0,1.0,0.23000000417232513,-0.02926606498658657,0.09313381463289261,0
9,27,30,3,dispatch_decision_block,hierarchical_actor_hard_offload_route,1.0,0.0,1.0,1.0,0.4000000059604645,-0.011334133334457874,0.1161748617887497,0
10,30,33,3,dispatch_decision_block,hierarchical_actor_hard_offload_route,1.0,0.0,1.0,1.0,0.3400000035762787,-0.001351752900518477,0.13951702415943146,0
11,33,36,3,dispatch_decision_block,hierarchical_actor_hard_offload_route,1.0,0.0,1.0,1.0,0.3100000023841858,-0.008024638518691063,0.10115128755569458,0
12,36,39,3,dispatch_decision_block,hierarchical_actor_hard_offload_route,1.0,0.0,1.0,1.0,0.28999999165534973,-0.013454921543598175,0.11912877857685089,0
13,39,42,3,dispatch_decision_block,hierarchical_actor_hard_offload_route,1.0,0.0,1.0,1.0,0.5199999809265137,0.004842325579375029,0.17074938118457794,0
14,42,45,3,dispatch_decision_block,hierarchical_actor_hard_offload_route,1.0,0.0,1.0,1.0,0.2800000011920929,-0.027763595804572105,0.1286170333623886,0
15,45,48,3,dispatch_decision_block,hierarchical_actor_hard_offload_route,1.0,0.0,1.0,1.0,0.20999999344348907,-0.011679260991513729,0.08659795671701431,0
16,48,51,3,dispatch_decision_block,hierarchical_actor_hard_offload_route,1.0,0.0,1.0,1.0,0.47999998927116394,0.023531250655651093,0.1424890160560608,0
17,51,54,3,dispatch_decision_block,hierarchical_actor_hard_offload_route,1.0,0.0,1.0,1.0,0.20999999344348907,-0.0019124465761706233,0.0887104794383049,0
18,54,57,3,dispatch_decision_block,hierarchical_actor_hard_offload_route,1.0,0.0,1.0,1.0,0.4699999988079071,-0.004454227164387703,0.13263480365276337,0
19,57,60,3,dispatch_decision_block,hierarchical_actor_hard_offload_route,1.0,0.0,1.0,1.0,0.2199999988079071,-0.0026904218830168247,0.09806454181671143,0
20,60,63,3,dispatch_decision_block,hierarchical_actor_hard_offload_route,1.0,0.0,1.0,1.0,0.33000001311302185,-0.009466155432164669,0.14594292640686035,0
21,63,66,3,dispatch_decision_block,hierarchical_actor_hard_offload_route,1.0,0.0,1.0,1.0,0.5799999833106995,-0.06475716829299927,0.1460460126399994,0
22,66,69,3,dispatch_decision_block,hierarchical_actor_hard_offload_route,1.0,0.0,1.0,1.0,0.28999999165534973,0.004323871340602636,0.12722526490688324,0
23,69,72,3,dispatch_decision_block,hierarchical_actor_hard_offload_route,1.0,0.0,1.0,1.0,0.41999998688697815,-0.017701754346489906,0.12164883315563202,0
0,0,3,3,dispatch_decision_block,hierarchical_actor_hard_offload_route,1.0,0.0,1.0,1.0,0.6700000166893005,-0.030106496065855026,0.21824564039707184,1
1,3,6,3,dispatch_decision_block,hierarchical_actor_hard_offload_route,1.0,0.0,1.0,1.0,0.5799999833106995,-0.00851807277649641,0.20887833833694458,1
2,6,9,3,dispatch_decision_block,hierarchical_actor_hard_offload_route,1.0,0.0,1.0,1.0,0.6899999976158142,0.006021265871822834,0.23954151570796967,1
3,9,12,3,dispatch_decision_block,hierarchical_actor_hard_offload_route,1.0,0.0,1.0,1.0,0.47999998927116394,0.01581696793437004,0.23371177911758423,1
4,12,15,3,dispatch_decision_block,hierarchical_actor_hard_offload_route,1.0,0.0,1.0,1.0,0.6000000238418579,-0.0343116819858551,0.204000324010849,1
5,15,18,3,dispatch_decision_block,hierarchical_actor_hard_offload_route,1.0,0.0,1.0,1.0,0.5099999904632568,-0.004918612074106932,0.21601228415966034,1
6,18,21,3,dispatch_decision_block,hierarchical_actor_hard_offload_route,1.0,0.0,1.0,1.0,0.7099999785423279,-0.026989197358489037,0.22198529541492462,1
7,21,24,3,dispatch_decision_block,hierarchical_actor_hard_offload_route,1.0,0.0,1.0,1.0,0.6800000071525574,-0.05754123255610466,0.21369612216949463,1
8,24,27,3,dispatch_decision_block,hierarchical_actor_hard_offload_route,1.0,0.0,1.0,1.0,0.6299999952316284,0.009669947437942028,0.2086346596479416,1
9,27,30,3,dispatch_decision_block,hierarchical_actor_hard_offload_route,1.0,0.0,1.0,1.0,0.7599999904632568,-0.022285569459199905,0.3000607490539551,1
10,30,33,3,dispatch_decision_block,hierarchical_actor_hard_offload_route,1.0,0.0,1.0,1.0,0.5799999833106995,-0.047423556447029114,0.18237745761871338,1
11,33,36,3,dispatch_decision_block,hierarchical_actor_hard_offload_route,1.0,0.0,1.0,1.0,0.6000000238418579,-0.013662781566381454,0.24980023503303528,1
12,36,39,3,dispatch_decision_block,hierarchical_actor_hard_offload_route,1.0,0.0,1.0,1.0,0.699999988079071,-0.05232752859592438,0.26280030608177185,1
13,39,42,3,dispatch_decision_block,hierarchical_actor_hard_offload_route,1.0,0.0,1.0,1.0,0.6499999761581421,0.04133453220129013,0.31787633895874023,1
14,42,45,3,dispatch_decision_block,hierarchical_actor_hard_offload_route,1.0,0.0,1.0,1.0,0.6200000047683716,-0.016654321923851967,0.19976277649402618,1
15,45,48,3,dispatch_decision_block,hierarchical_actor_hard_offload_route,1.0,0.0,1.0,1.0,0.5699999928474426,-0.031335167586803436,0.2125629484653473,1
16,48,51,3,dispatch_decision_block,hierarchical_actor_hard_offload_route,1.0,0.0,1.0,1.0,0.6200000047683716,-0.01340942271053791,0.2661241590976715,1
17,51,54,3,dispatch_decision_block,hierarchical_actor_hard_offload_route,1.0,0.0,1.0,1.0,0.6899999976158142,-0.01479575876146555,0.2481546700000763,1
18,54,57,3,dispatch_decision_block,hierarchical_actor_hard_offload_route,1.0,0.0,1.0,1.0,0.6000000238418579,-0.04759255796670914,0.22722287476062775,1
19,57,60,3,dispatch_decision_block,hierarchical_actor_hard_offload_route,1.0,0.0,1.0,1.0,0.6499999761581421,-0.014476919546723366,0.26977330446243286,1
20,60,63,3,dispatch_decision_block,hierarchical_actor_hard_offload_route,1.0,0.0,1.0,1.0,0.75,-0.07254480570554733,0.29990363121032715,1
21,63,66,3,dispatch_decision_block,hierarchical_actor_hard_offload_route,1.0,0.0,1.0,1.0,0.7200000286102295,-0.05104862153530121,0.24081607162952423,1
22,66,69,3,dispatch_decision_block,hierarchical_actor_hard_offload_route,1.0,0.0,1.0,1.0,0.5699999928474426,-0.019286995753645897,0.2096555233001709,1
23,69,72,3,dispatch_decision_block,hierarchical_actor_hard_offload_route,1.0,0.0,1.0,1.0,0.6499999761581421,-0.042448293417692184,0.2243622988462448,1
0,0,3,3,dispatch_decision_block,hierarchical_actor_hard_offload_route,1.0,0.0,1.0,1.0,0.5799999833106995,0.021500546485185623,0.271263062953949,2
1,3,6,3,dispatch_decision_block,hierarchical_actor_hard_offload_route,1.0,0.0,1.0,1.0,0.5199999809265137,-0.03754724934697151,0.15564528107643127,2
2,6,9,3,dispatch_decision_block,hierarchical_actor_hard_offload_route,1.0,0.0,1.0,1.0,0.6600000262260437,-0.03851725161075592,0.26667267084121704,2
3,9,12,3,dispatch_decision_block,hierarchical_actor_hard_offload_route,1.0,0.0,1.0,1.0,0.5199999809265137,0.028935367241501808,0.20149782299995422,2
4,12,15,3,dispatch_decision_block,hierarchical_actor_hard_offload_route,1.0,0.0,1.0,1.0,0.6000000238418579,-0.04266639053821564,0.17846737802028656,2
5,15,18,3,dispatch_decision_block,hierarchical_actor_hard_offload_route,1.0,0.0,1.0,1.0,0.5099999904632568,-0.011694883927702904,0.16578339040279388,2
6,18,21,3,dispatch_decision_block,hierarchical_actor_hard_offload_route,1.0,0.0,1.0,1.0,0.6000000238418579,-0.0073403287678956985,0.2240486592054367,2
7,21,24,3,dispatch_decision_block,hierarchical_actor_hard_offload_route,1.0,0.0,1.0,1.0,0.6800000071525574,0.0016284823650494218,0.28001007437705994,2
8,24,27,3,dispatch_decision_block,hierarchical_actor_hard_offload_route,1.0,0.0,1.0,1.0,0.6600000262260437,-0.0385475717484951,0.21093055605888367,2
9,27,30,3,dispatch_decision_block,hierarchical_actor_hard_offload_route,1.0,0.0,1.0,1.0,0.5699999928474426,-0.009571632370352745,0.209885835647583,2
10,30,33,3,dispatch_decision_block,hierarchical_actor_hard_offload_route,1.0,0.0,1.0,1.0,0.6899999976158142,-0.009188267402350903,0.239190012216568,2
11,33,36,3,dispatch_decision_block,hierarchical_actor_hard_offload_route,1.0,0.0,1.0,1.0,0.6499999761581421,0.002662155544385314,0.2196035534143448,2
12,36,39,3,dispatch_decision_block,hierarchical_actor_hard_offload_route,1.0,0.0,1.0,1.0,0.550000011920929,0.006862133275717497,0.16651993989944458,2
13,39,42,3,dispatch_decision_block,hierarchical_actor_hard_offload_route,1.0,0.0,1.0,1.0,0.6700000166893005,-0.03431353718042374,0.2900037467479706,2
14,42,45,3,dispatch_decision_block,hierarchical_actor_hard_offload_route,1.0,0.0,1.0,1.0,0.6399999856948853,-0.04334766045212746,0.2208162099123001,2
15,45,48,3,dispatch_decision_block,hierarchical_actor_hard_offload_route,1.0,0.0,1.0,1.0,0.5899999737739563,-0.017530331388115883,0.16210487484931946,2
16,48,51,3,dispatch_decision_block,hierarchical_actor_hard_offload_route,1.0,0.0,1.0,1.0,0.5899999737739563,-0.01292584091424942,0.24430887401103973,2
17,51,54,3,dispatch_decision_block,hierarchical_actor_hard_offload_route,1.0,0.0,1.0,1.0,0.7099999785423279,0.007970168255269527,0.2745489776134491,2
18,54,57,3,dispatch_decision_block,hierarchical_actor_hard_offload_route,1.0,0.0,1.0,1.0,0.6200000047683716,-0.007448321208357811,0.26829615235328674,2
19,57,60,3,dispatch_decision_block,hierarchical_actor_hard_offload_route,1.0,0.0,1.0,1.0,0.6399999856948853,-0.0396253876388073,0.2126021832227707,2
20,60,63,3,dispatch_decision_block,hierarchical_actor_hard_offload_route,1.0,0.0,1.0,1.0,0.5799999833106995,-0.002879692940041423,0.2583855092525482,2
21,63,66,3,dispatch_decision_block,hierarchical_actor_hard_offload_route,1.0,0.0,1.0,1.0,0.5799999833106995,-0.012362458743155003,0.21170729398727417,2
22,66,69,3,dispatch_decision_block,hierarchical_actor_hard_offload_route,1.0,0.0,1.0,1.0,0.5799999833106995,-0.008541964925825596,0.27290773391723633,2
23,69,72,3,dispatch_decision_block,hierarchical_actor_hard_offload_route,1.0,0.0,1.0,1.0,0.6399999856948853,-0.05544291436672211,0.2609969675540924,2
0,0,3,3,dispatch_decision_block,hierarchical_actor_hard_offload_route,1.0,0.0,1.0,1.0,0.75,-0.06031646579504013,0.2823793292045593,3
1,3,6,3,dispatch_decision_block,hierarchical_actor_hard_offload_route,1.0,0.0,1.0,1.0,0.699999988079071,-0.03969105705618858,0.25546491146087646,3
2,6,9,3,dispatch_decision_block,hierarchical_actor_hard_offload_route,1.0,0.0,1.0,1.0,0.6299999952316284,-0.05463302507996559,0.24599012732505798,3
3,9,12,3,dispatch_decision_block,hierarchical_actor_hard_offload_route,1.0,0.0,1.0,1.0,0.5400000214576721,-0.04243822395801544,0.1651957780122757,3
4,12,15,3,dispatch_decision_block,hierarchical_actor_hard_offload_route,1.0,0.0,1.0,1.0,0.6499999761581421,-0.018036959692835808,0.21711602807044983,3
5,15,18,3,dispatch_decision_block,hierarchical_actor_hard_offload_route,1.0,0.0,1.0,1.0,0.550000011920929,-0.025965819135308266,0.20501823723316193,3
6,18,21,3,dispatch_decision_block,hierarchical_actor_hard_offload_route,1.0,0.0,1.0,1.0,0.6700000166893005,-0.05910922586917877,0.25078994035720825,3
7,21,24,3,dispatch_decision_block,hierarchical_actor_hard_offload_route,1.0,0.0,1.0,1.0,0.6600000262260437,-0.04324033856391907,0.18426747620105743,3
8,24,27,3,dispatch_decision_block,hierarchical_actor_hard_offload_route,1.0,0.0,1.0,1.0,0.47999998927116394,-0.00677422946318984,0.17615872621536255,3
9,27,30,3,dispatch_decision_block,hierarchical_actor_hard_offload_route,1.0,0.0,1.0,1.0,0.5699999928474426,-0.0316837914288044,0.2750655710697174,3
10,30,33,3,dispatch_decision_block,hierarchical_actor_hard_offload_route,1.0,0.0,1.0,1.0,0.6700000166893005,-0.012365244328975677,0.23275993764400482,3
11,33,36,3,dispatch_decision_block,hierarchical_actor_hard_offload_route,1.0,0.0,1.0,1.0,0.6000000238418579,-0.006277316715568304,0.2530999481678009,3
12,36,39,3,dispatch_decision_block,hierarchical_actor_hard_offload_route,1.0,0.0,1.0,1.0,0.7799999713897705,-0.047301873564720154,0.24696724116802216,3
13,39,42,3,dispatch_decision_block,hierarchical_actor_hard_offload_route,1.0,0.0,1.0,1.0,0.5199999809265137,0.005372291896492243,0.21301162242889404,3
14,42,45,3,dispatch_decision_block,hierarchical_actor_hard_offload_route,1.0,0.0,1.0,1.0,0.6600000262260437,-0.0376380980014801,0.24404685199260712,3
15,45,48,3,dispatch_decision_block,hierarchical_actor_hard_offload_route,1.0,0.0,1.0,1.0,0.6800000071525574,-0.02529165707528591,0.2263796329498291,3
16,48,51,3,dispatch_decision_block,hierarchical_actor_hard_offload_route,1.0,0.0,1.0,1.0,0.6299999952316284,-0.04182932898402214,0.1859923154115677,3
17,51,54,3,dispatch_decision_block,hierarchical_actor_hard_offload_route,1.0,0.0,1.0,1.0,0.7200000286102295,-0.02892581932246685,0.24404576420783997,3
18,54,57,3,dispatch_decision_block,hierarchical_actor_hard_offload_route,1.0,0.0,1.0,1.0,0.6299999952316284,-0.014103523455560207,0.23228824138641357,3
