block_index,block_start,block_stop_exclusive,block_size,block_semantic,policy_surrogate_mode,block_advantage_mean,block_advantage_std,block_advantage_max,block_advantage_min,block_clip_fraction,per_block_selected_action_prob_gain_mean,per_block_selected_action_prob_gain_std,epoch
0,0,3,3,dispatch_decision_block,hierarchical_actor_hard_offload_route,0.00858607329428196,0.2681441605091095,0.7066562175750732,-0.7135894894599915,0.30000001192092896,-0.00837706495076418,0.10425371676683426,0
1,3,6,3,dispatch_decision_block,hierarchical_actor_hard_offload_route,-0.0025609969161450863,0.4430077075958252,1.5299879312515259,-1.0201491117477417,0.20000000298023224,-0.00045458972454071045,0.08699008077383041,0
2,6,9,3,dispatch_decision_block,hierarchical_actor_hard_offload_route,0.005807037465274334,0.461740106344223,1.7814247608184814,-1.318307638168335,0.3400000035762787,0.01291577611118555,0.13483181595802307,0
3,9,12,3,dispatch_decision_block,hierarchical_actor_hard_offload_route,0.0024919018615037203,0.19305889308452606,0.45536476373672485,-0.6992114782333374,0.17000000178813934,0.003484052373096347,0.09178519994020462,0
4,12,15,3,dispatch_decision_block,hierarchical_actor_hard_offload_route,-0.0092530632391572,0.28895726799964905,0.8711128234863281,-0.762057900428772,0.2199999988079071,-0.015081034041941166,0.09250073879957199,0
5,15,18,3,dispatch_decision_block,hierarchical_actor_hard_offload_route,-0.006401548162102699,0.4370541274547577,1.2086035013198853,-1.001301884651184,0.23000000417232513,-0.0055193714797496796,0.09321276098489761,0
6,18,21,3,dispatch_decision_block,hierarchical_actor_hard_offload_route,-0.002755393972620368,0.41294237971305847,0.9770665764808655,-1.0282152891159058,0.5400000214576721,-0.012582513503730297,0.15341834723949432,0
7,21,24,3,dispatch_decision_block,hierarchical_actor_hard_offload_route,-0.007813828997313976,0.19484834372997284,0.6278291940689087,-0.562542200088501,0.2800000011920929,-0.013512714765965939,0.08923379331827164,0
8,24,27,3,dispatch_decision_block,hierarchical_actor_hard_offload_route,-0.007045612204819918,0.31798020005226135,0.8246364593505859,-0.8898420333862305,0.23000000417232513,-0.02926606498658657,0.09313381463289261,0
9,27,30,3,dispatch_decision_block,hierarchical_actor_hard_offload_route,0.008126650005578995,0.4502386152744293,1.2814589738845825,-1.360337495803833,0.4000000059604645,-0.011334133334457874,0.1161748617887497,0
10,30,33,3,dispatch_decision_block,hierarchical_actor_hard_offload_route,0.00852514710277319,0.5140964984893799,1.7027665376663208,-1.4949274063110352,0.3400000035762787,-0.001351752900518477,0.13951702415943146,0
11,33,36,3,dispatch_decision_block,hierarchical_actor_hard_offload_route,0.008327747695147991,0.2355874627828598,0.8458088636398315,-0.8724962472915649,0.3100000023841858,-0.008024638518691063,0.10115128755569458,0
12,36,39,3,dispatch_decision_block,hierarchical_actor_hard_offload_route,0.0005084133008494973,0.32417863607406616,0.9418268203735352,-1.1146018505096436,0.28999999165534973,-0.013454921543598175,0.11912877857685089,0
13,39,42,3,dispatch_decision_block,hierarchical_actor_hard_offload_route,-0.005356271285563707,0.35030484199523926,0.9200478792190552,-0.9640564918518066,0.5199999809265137,0.004842325579375029,0.17074938118457794,0
14,42,45,3,dispatch_decision_block,hierarchical_actor_hard_offload_route,0.008938243612647057,0.37134942412376404,0.8898017406463623,-1.2608435153961182,0.2800000011920929,-0.027763595804572105,0.1286170333623886,0
15,45,48,3,dispatch_decision_block,hierarchical_actor_hard_offload_route,-0.001190059818327427,0.18842309713363647,0.41439715027809143,-0.4562857449054718,0.20999999344348907,-0.011679260991513729,0.08659795671701431,0
