block_index,block_start,block_stop_exclusive,block_size,block_semantic,policy_surrogate_mode,block_value_score_mean,block_value_score_std,block_value_score_max,block_value_score_min,block_value_scale_mean,block_value_scale_std,block_value_scale_max,block_value_scale_min,block_clip_fraction,per_block_selected_action_prob_gain_mean,per_block_selected_action_prob_gain_std,epoch
0,0,3,3,dispatch_decision_block,hierarchical_actor_hard_offload_route,-0.22984811663627625,0.14289137721061707,0.2990128993988037,-0.6289682388305664,1.0,0.0,1.0,1.0,0.30000001192092896,-0.00837706495076418,0.10425371676683426,0
1,3,6,3,dispatch_decision_block,hierarchical_actor_hard_offload_route,0.2811540365219116,0.11157471686601639,0.5536909103393555,-0.006296247243881226,1.0,0.0,1.0,1.0,0.20000000298023224,-0.00045458972454071045,0.08699008077383041,0
2,6,9,3,dispatch_decision_block,hierarchical_actor_hard_offload_route,-0.018833832815289497,0.10901498794555664,0.2363501936197281,-0.28479692339897156,1.0,0.0,1.0,1.0,0.3400000035762787,0.01291577611118555,0.13483181595802307,0
3,9,12,3,dispatch_decision_block,hierarchical_actor_hard_offload_route,0.25318747758865356,0.10389731824398041,0.49995505809783936,-0.06795253604650497,1.0,0.0,1.0,1.0,0.17000000178813934,0.003484052373096347,0.09178519994020462,0
4,12,15,3,dispatch_decision_block,hierarchical_actor_hard_offload_route,0.24666644632816315,0.11262921243906021,0.49839285016059875,-0.055649757385253906,1.0,0.0,1.0,1.0,0.2199999988079071,-0.015081034041941166,0.09250073879957199,0
5,15,18,3,dispatch_decision_block,hierarchical_actor_hard_offload_route,-0.07616998255252838,0.12713928520679474,0.29271507263183594,-0.41446226835250854,1.0,0.0,1.0,1.0,0.23000000417232513,-0.0055193714797496796,0.09321276098489761,0
6,18,21,3,dispatch_decision_block,hierarchical_actor_hard_offload_route,0.007561355829238892,0.11133679002523422,0.3073856234550476,-0.21652209758758545,1.0,0.0,1.0,1.0,0.5400000214576721,-0.012582513503730297,0.15341834723949432,0
7,21,24,3,dispatch_decision_block,hierarchical_actor_hard_offload_route,0.22102653980255127,0.10408028960227966,0.4802459478378296,-0.025042787194252014,1.0,0.0,1.0,1.0,0.2800000011920929,-0.013512714765965939,0.08923379331827164,0
8,24,27,3,dispatch_decision_block,hierarchical_actor_hard_offload_route,0.2813020348548889,0.1033887192606926,0.4704631268978119,-0.14614471793174744,1.0,0.0,1.0,1.0,0.23000000417232513,-0.02926606498658657,0.09313381463289261,0
9,27,30,3,dispatch_decision_block,hierarchical_actor_hard_offload_route,-0.2793181538581848,0.09856201708316803,-0.02137148380279541,-0.47657352685928345,1.0,0.0,1.0,1.0,0.4000000059604645,-0.011334133334457874,0.1161748617887497,0
10,30,33,3,dispatch_decision_block,hierarchical_actor_hard_offload_route,-0.2843484580516815,0.08341725170612335,-0.070261150598526,-0.5618611574172974,1.0,0.0,1.0,1.0,0.3400000035762787,-0.001351752900518477,0.13951702415943146,0
11,33,36,3,dispatch_decision_block,hierarchical_actor_hard_offload_route,-0.209318146109581,0.10647357255220413,0.03790055215358734,-0.5471211671829224,1.0,0.0,1.0,1.0,0.3100000023841858,-0.008024638518691063,0.10115128755569458,0
12,36,39,3,dispatch_decision_block,hierarchical_actor_hard_offload_route,-0.09464019536972046,0.11532334238290787,0.30540019273757935,-0.34880927205085754,1.0,0.0,1.0,1.0,0.28999999165534973,-0.013454921543598175,0.11912877857685089,0
13,39,42,3,dispatch_decision_block,hierarchical_actor_hard_offload_route,0.0458083339035511,0.10227349400520325,0.3076501488685608,-0.19528818130493164,1.0,0.0,1.0,1.0,0.5199999809265137,0.004842325579375029,0.17074938118457794,0
14,42,45,3,dispatch_decision_block,hierarchical_actor_hard_offload_route,-0.13001640141010284,0.11993686109781265,0.1946890503168106,-0.5605176687240601,1.0,0.0,1.0,1.0,0.2800000011920929,-0.027763595804572105,0.1286170333623886,0
15,45,48,3,dispatch_decision_block,hierarchical_actor_hard_offload_route,0.11824791878461838,0.14307446777820587,0.6365359425544739,-0.294550359249115,1.0,0.0,1.0,1.0,0.20999999344348907,-0.011679260991513729,0.08659795671701431,0
