probe_index,sensor_id,task_name,old_top1_choice,new_top1_choice,top1_changed,old_sampled_choice,new_sampled_choice,sampled_changed,old_top1_prob,new_top1_prob,top1_prob_delta,decision_kl,decision_l1,old_local_prob,new_local_prob,old_BS1_prob,new_BS1_prob,old_BS2_prob,new_BS2_prob
0,S1,LatCrit,local,local,0,local,local,0,0.5037078857421875,0.5459015369415283,0.04219365119934082,0.0035963263362646103,0.08438725769519806,0.5037078857421875,0.5459015369415283,0.2390487790107727,0.22075556218624115,0.2572433054447174,0.23334291577339172
0,S1,ComHvy,local,local,0,BS1,local,1,0.40707600116729736,0.48782867193222046,0.0807526707649231,0.013505224138498306,0.16150535643100739,0.40707600116729736,0.48782867193222046,0.2739432752132416,0.24558474123477936,0.31898072361946106,0.266586571931839
0,S1,BWHvy,local,local,0,local,local,0,0.5040125846862793,0.5355478525161743,0.03153526782989502,0.0029290243983268738,0.06327235698699951,0.5040125846862793,0.5355478525161743,0.2221735417842865,0.22227448225021362,0.2738138437271118,0.24217769503593445
0,S2,LatCrit,local,local,0,local,local,0,0.6176258325576782,0.6078674793243408,-0.009758353233337402,0.0008130744099617004,0.030917808413505554,0.6176258325576782,0.6078674793243408,0.17172884941101074,0.1871877759695053,0.21064531803131104,0.20494478940963745
0,S2,ComHvy,local,local,0,local,local,0,0.5212396383285522,0.5487105846405029,0.027470946311950684,0.001713803969323635,0.05494190752506256,0.5212396383285522,0.5487105846405029,0.23133917152881622,0.21163855493068695,0.24742121994495392,0.2396508753299713
0,S2,BWHvy,local,local,0,BS1,BS1,0,0.5043861865997314,0.5164412260055542,0.012055039405822754,0.0006216289475560188,0.028267905116081238,0.5043861865997314,0.5164412260055542,0.2745288610458374,0.27660778164863586,0.22108490765094757,0.20695096254348755
0,S3,LatCrit,local,local,0,local,local,0,0.5813249349594116,0.6018583178520203,0.020533382892608643,0.0010370705276727676,0.041066765785217285,0.5813249349594116,0.6018583178520203,0.2029837667942047,0.18749506771564484,0.21569129824638367,0.2106466144323349
0,S3,ComHvy,local,local,0,local,local,0,0.4274680018424988,0.3962470293045044,-0.031220972537994385,0.00209941528737545,0.06244197487831116,0.4274680018424988,0.3962470293045044,0.29506915807724,0.3061452805995941,0.27746284008026123,0.2976077198982239
0,S3,BWHvy,local,local,0,local,local,0,0.4460875988006592,0.4489389657974243,0.0028513669967651367,0.0037245862185955048,0.06543701887130737,0.4460875988006592,0.4489389657974243,0.25181445479393005,0.21909594535827637,0.30209794640541077,0.3319650888442993
0,S4,LatCrit,local,local,0,local,local,0,0.497944176197052,0.5218267440795898,0.023882567882537842,0.0011469591408967972,0.04776515066623688,0.497944176197052,0.5218267440795898,0.26982030272483826,0.25590190291404724,0.23223552107810974,0.22227133810520172
