bucket_name,bucket_sample_count,bucket_mean_advantage,bucket_mean_ratio,bucket_mean_delta_log_prob_selected_action,bucket_mean_selected_action_prob_gain,bucket_mean_clip_fraction,epoch
high_positive,0,0.0,0.0,0.0,0.0,0.0,0
mid_positive,0,0.0,0.0,0.0,0.0,0.0,0
near_zero,0,0.0,0.0,0.0,0.0,0.0,0
negative,100,-22.205163955688477,0.9275755882263184,-0.07821354269981384,-0.07242436707019806,0.029999999329447746,0
high_positive,0,0.0,0.0,0.0,0.0,0.0,1
mid_positive,0,0.0,0.0,0.0,0.0,0.0,1
near_zero,1,-0.2020164281129837,0.9045770168304443,-0.10028782486915588,-0.09542298316955566,0.0,1
negative,99,-19.504573822021484,0.8980658054351807,-0.1253427267074585,-0.10193423181772232,0.2929292917251587,1
high_positive,2,19.318445205688477,0.9188188910484314,-0.08719536662101746,-0.0811811089515686,0.0,2
mid_positive,6,9.00395679473877,0.9679033756256104,-0.0390092171728611,-0.03209657594561577,0.0,2
near_zero,3,-0.1562715768814087,1.1029654741287231,0.09757554531097412,0.10296539217233658,0.0,2
negative,89,-21.1248836517334,1.0004230737686157,-0.020689666271209717,0.00042310121352784336,0.40449437499046326,2
high_positive,4,27.761810302734375,1.1111879348754883,0.10114748775959015,0.1111878901720047,0.25,3
mid_positive,12,8.001091003417969,0.9647374153137207,-0.07283125072717667,-0.035262580960989,0.3333333432674408,3
near_zero,1,0.5624301433563232,1.1037412881851196,0.09870558977127075,0.10374128818511963,0.0,3
negative,83,-25.095474243164062,0.9483501315116882,-0.09080301970243454,-0.05164992809295654,0.3253012001514435,3
high_positive,5,30.290857315063477,1.0698782205581665,0.043531619012355804,0.06987820565700531,0.4000000059604645,4
mid_positive,12,9.034377098083496,0.7913326621055603,-0.3078373372554779,-0.2086673378944397,0.5,4
near_zero,1,-0.30203530192375183,1.1421600580215454,0.1329212635755539,0.1421600580215454,0.0,4
negative,82,-29.055376052856445,0.9588800668716431,-0.06135888397693634,-0.04111987352371216,0.23170731961727142,4
