block_index,block_start,block_stop_exclusive,block_size,block_semantic,block_weight_mean,block_weight_std,block_weight_max,block_logprob_delta_mean,block_logprob_delta_std,block_ratio_proxy_mean,block_ratio_proxy_std,epoch
0,0,3,3,dispatch_decision_block,0.04782109335064888,0.016583401709794998,0.09050367027521133,-1.211328148841858,1.0045626163482666,0.4727385640144348,0.5123701095581055,0
1,3,6,3,dispatch_decision_block,0.03366798907518387,0.019945256412029266,0.10503822565078735,-1.413904070854187,1.2455273866653442,0.5198161602020264,0.9705485105514526,0
2,6,9,3,dispatch_decision_block,0.03660427778959274,0.020874684676527977,0.1090344563126564,-1.3433561325073242,1.22099769115448,0.5739180445671082,1.2346464395523071,0
3,9,12,3,dispatch_decision_block,0.04721590876579285,0.015607881359755993,0.10466673970222473,-1.3442485332489014,1.2366009950637817,0.5584904551506042,0.8761958479881287,0
4,12,15,3,dispatch_decision_block,0.04501453787088394,0.017107686027884483,0.09733086824417114,-1.1910823583602905,1.2326010465621948,0.6501333713531494,1.0210821628570557,0
5,15,18,3,dispatch_decision_block,0.03271276131272316,0.022620374336838722,0.10764503479003906,-1.587099313735962,1.343956470489502,0.4923587143421173,0.8398071527481079,0
6,18,21,3,dispatch_decision_block,0.031388502568006516,0.020413139835000038,0.09705528616905212,-1.2279620170593262,1.1177476644515991,0.5379583239555359,0.7210142612457275,0
7,21,24,3,dispatch_decision_block,0.04995422810316086,0.0124885318800807,0.08992408961057663,-1.289872407913208,0.8717760443687439,0.40485793352127075,0.4203738272190094,0
8,24,27,3,dispatch_decision_block,0.04848972335457802,0.017696890980005264,0.09502094238996506,-0.7366000413894653,0.8408065438270569,0.6790524125099182,0.653793454170227,0
9,27,30,3,dispatch_decision_block,0.03366353362798691,0.021263601258397102,0.10661318898200989,-0.5519466996192932,0.771967351436615,0.7677522301673889,0.6056479215621948,0
10,30,33,3,dispatch_decision_block,0.0339919812977314,0.021747425198554993,0.10151617974042892,-1.0721946954727173,0.996971070766449,0.530058741569519,0.5414637327194214,0
11,33,36,3,dispatch_decision_block,0.044066138565540314,0.010254583321511745,0.07920101284980774,-0.6350388526916504,0.8974889516830444,0.7719339728355408,0.7275647521018982,0
12,36,39,3,dispatch_decision_block,0.050126947462558746,0.019716130569577217,0.11679955571889877,-1.0214308500289917,1.1073747873306274,0.7327526807785034,1.52402925491333,0
13,39,42,3,dispatch_decision_block,0.03257514908909798,0.017165647819638252,0.07421579211950302,-0.7573729157447815,0.8064589500427246,0.6132150888442993,0.42876163125038147,0
14,42,45,3,dispatch_decision_block,0.036456771194934845,0.019075842574238777,0.09147823601961136,-1.1580665111541748,1.1609418392181396,0.5782855153083801,0.7699520587921143,0
15,45,48,3,dispatch_decision_block,0.05227191001176834,0.01531024556607008,0.0942147821187973,-0.6546955108642578,0.891206681728363,0.8105836510658264,1.0673969984054565,0
16,48,51,3,dispatch_decision_block,0.046770934015512466,0.020106855779886246,0.09844094514846802,-1.274796962738037,1.0176970958709717,0.5077604055404663,0.8409737944602966,0
17,51,54,3,dispatch_decision_block,0.036664243787527084,0.021603766828775406,0.1012500524520874,-0.7987646460533142,0.7709702253341675,0.605437695980072,0.5579192042350769,0
18,54,57,3,dispatch_decision_block,0.03322746232151985,0.02183140255510807,0.09628143906593323,-0.6767665147781372,0.8686569333076477,0.7513865828514099,0.866690993309021,0
19,57,60,3,dispatch_decision_block,0.04734865203499794,0.0157503392547369,0.09652622789144516,-1.1039718389511108,1.1157549619674683,0.6331662535667419,0.8927953243255615,0
20,60,63,3,dispatch_decision_block,0.05137767642736435,0.021447692066431046,0.0990171879529953,-1.0469512939453125,1.1294913291931152,0.7010757923126221,1.2383825778961182,0
21,63,66,3,dispatch_decision_block,0.038944147527217865,0.023645158857107162,0.11219514161348343,-1.420642375946045,0.9975646734237671,0.4075697958469391,0.5353190898895264,0
22,66,69,3,dispatch_decision_block,0.038921333849430084,0.023474011570215225,0.09777924418449402,-1.8686935901641846,1.3578455448150635,0.4153861999511719,0.8554301857948303,0
23,69,72,3,dispatch_decision_block,0.050724077969789505,0.01388415414839983,0.08829198777675629,-0.6118552684783936,0.8101199865341187,0.7483751177787781,0.6607276201248169,0
0,0,3,3,dispatch_decision_block,0.04554484039545059,0.019249992445111275,0.09749876707792282,-1.427524447441101,1.3201799392700195,0.5038749575614929,0.6408234238624573,1
1,3,6,3,dispatch_decision_block,0.030844006687402725,0.01960488222539425,0.09243494272232056,-1.6890984773635864,1.5722731351852417,0.4650181531906128,0.8355658650398254,1
2,6,9,3,dispatch_decision_block,0.034636687487363815,0.02035846933722496,0.10030224919319153,-1.721665620803833,1.773116946220398,0.5090662240982056,0.7190043330192566,1
3,9,12,3,dispatch_decision_block,0.047081220895051956,0.016161521896719933,0.11420883983373642,-1.5446707010269165,1.479598879814148,0.48034489154815674,0.8121976852416992,1
4,12,15,3,dispatch_decision_block,0.05051543563604355,0.018542934209108353,0.11991619318723679,-2.009007215499878,1.8472658395767212,0.3666120171546936,0.5327883958816528,1
5,15,18,3,dispatch_decision_block,0.039135683327913284,0.022145502269268036,0.10646947473287582,-2.697794198989868,1.9721689224243164,0.3056415617465973,1.0482958555221558,1
6,18,21,3,dispatch_decision_block,0.035910915583372116,0.023685235530138016,0.0974055677652359,-1.5060783624649048,1.3182069063186646,0.463511198759079,0.6436673998832703,1
7,21,24,3,dispatch_decision_block,0.04820152372121811,0.0149746248498559,0.0953555628657341,-1.847233533859253,1.7120622396469116,0.464415967464447,0.7644772529602051,1
8,24,27,3,dispatch_decision_block,0.05517025291919708,0.02208455093204975,0.11791213601827621,-1.5334289073944092,1.417783260345459,0.43082207441329956,0.48324963450431824,1
9,27,30,3,dispatch_decision_block,0.03766648843884468,0.02512819692492485,0.12204553931951523,-1.2086924314498901,1.2371792793273926,0.5721239447593689,0.6644597053527832,1
10,30,33,3,dispatch_decision_block,0.03702361509203911,0.024603400379419327,0.11658871918916702,-1.6529722213745117,1.4774017333984375,0.38613590598106384,0.39915964007377625,1
11,33,36,3,dispatch_decision_block,0.05014297366142273,0.015409820713102818,0.0907532200217247,-1.7470120191574097,1.4936386346817017,0.4666156768798828,0.8661746382713318,1
