probe_index,sensor_id,task_name,old_top1_choice,new_top1_choice,top1_changed,old_sampled_choice,new_sampled_choice,sampled_changed,old_top1_prob,new_top1_prob,top1_prob_delta,decision_kl,decision_l1,old_local_prob,new_local_prob,old_BS1_prob,new_BS1_prob,old_BS2_prob,new_BS2_prob
0,S1,LatCrit,local,local,0,local,local,0,0.49922817945480347,0.39769887924194336,-0.10152930021286011,0.028156118467450142,0.2063693106174469,0.49922817945480347,0.39769887924194336,0.26228854060173035,0.3654731810092926,0.2384832799434662,0.23682790994644165
0,S1,ComHvy,local,BS2,1,local,BS1,1,0.5113093256950378,0.36603304743766785,-0.14527627825737,0.07953120023012161,0.36885619163513184,0.5113093256950378,0.3268812298774719,0.26500454545021057,0.30708572268486023,0.22368614375591278,0.36603304743766785
0,S1,BWHvy,local,BS1,1,BS1,BS1,0,0.4706738591194153,0.3965308964252472,-0.07414296269416809,0.04124291241168976,0.24958646297454834,0.4706738591194153,0.3489309549331665,0.271737664937973,0.3965308964252472,0.2575884759426117,0.2545381486415863
0,S2,LatCrit,local,local,0,local,BS2,1,0.5096600651741028,0.3589562177658081,-0.15070384740829468,0.05039043724536896,0.3014076352119446,0.5096600651741028,0.3589562177658081,0.2217281609773636,0.3261450231075287,0.2686117887496948,0.3148987293243408
0,S2,ComHvy,local,local,0,local,BS1,1,0.4989911913871765,0.36581212282180786,-0.13317906856536865,0.03684454411268234,0.2663581669330597,0.4989911913871765,0.36581212282180786,0.2654082775115967,0.3389296233654022,0.2356005311012268,0.2952582836151123
0,S2,BWHvy,local,BS1,1,BS1,BS1,0,0.4810486435890198,0.39460834860801697,-0.08644029498100281,0.06644664704799652,0.3414483964443207,0.4810486435890198,0.31032443046569824,0.26840275526046753,0.39460834860801697,0.2505486011505127,0.2950671911239624
0,S3,LatCrit,local,local,0,local,local,0,0.5279426574707031,0.3987043499946594,-0.1292383074760437,0.035106390714645386,0.2584766149520874,0.5279426574707031,0.3987043499946594,0.2543061673641205,0.3033377528190613,0.21775119006633759,0.2979578971862793
0,S3,ComHvy,local,BS1,1,local,BS1,1,0.4862384796142578,0.4024311900138855,-0.08380728960037231,0.042694978415966034,0.2800767719745636,0.4862384796142578,0.3462001085281372,0.29790762066841125,0.4024311900138855,0.21585386991500854,0.2513687014579773
0,S3,BWHvy,local,local,0,local,BS1,1,0.503341555595398,0.3823049068450928,-0.12103664875030518,0.031913019716739655,0.24207325279712677,0.503341555595398,0.3823049068450928,0.25636377930641174,0.34492409229278564,0.2402946799993515,0.2727709710597992
0,S4,LatCrit,local,local,0,local,local,0,0.5034530162811279,0.4167448878288269,-0.08670812845230103,0.016460608690977097,0.17341622710227966,0.5034530162811279,0.4167448878288269,0.2573850750923157,0.3226773738861084,0.2391619086265564,0.2605777084827423
0,S4,ComHvy,local,local,0,local,BS2,1,0.5086071491241455,0.355923593044281,-0.1526835560798645,0.04860804229974747,0.305367112159729,0.5086071491241455,0.355923593044281,0.2333602011203766,0.3034774959087372,0.2580326497554779,0.3405989110469818
0,S4,BWHvy,local,local,0,local,local,0,0.5371115207672119,0.4702425003051758,-0.06686902046203613,0.010276226326823235,0.1337379813194275,0.5371115207672119,0.4702425003051758,0.24163630604743958,0.2964721620082855,0.2212522029876709,0.2332853078842163
0,S5,LatCrit,local,BS1,1,local,BS1,1,0.49501222372055054,0.4010189175605774,-0.09399330615997314,0.10145917534828186,0.4163609445095062,0.49501222372055054,0.28683173656463623,0.24631480872631073,0.4010189175605774,0.25867295265197754,0.312149316072464
