block_index,block_start,block_stop_exclusive,block_size,block_semantic,policy_surrogate_mode,block_advantage_mean,block_advantage_std,block_advantage_max,block_advantage_min,block_clip_fraction,per_block_selected_action_prob_gain_mean,per_block_selected_action_prob_gain_std,epoch
0,0,3,3,dispatch_decision_block,hierarchical_actor_theta_route_candidate_score_credit,0.0006319713429547846,0.31049686670303345,0.9436637759208679,-0.9111630916595459,1.0,-0.4183598458766937,0.6585354208946228,0
1,3,6,3,dispatch_decision_block,hierarchical_actor_theta_route_candidate_score_credit,0.008547160774469376,0.4267589747905731,1.3813132047653198,-1.0300731658935547,1.0,-0.5070266723632812,0.777736246585846,0
2,6,9,3,dispatch_decision_block,hierarchical_actor_theta_route_candidate_score_credit,0.008984515443444252,0.41673344373703003,1.3888951539993286,-1.0671825408935547,1.0,-0.5223817825317383,0.7373055815696716,0
3,9,12,3,dispatch_decision_block,hierarchical_actor_theta_route_candidate_score_credit,-0.00041637898539192975,0.25818392634391785,0.811078667640686,-0.5653901100158691,1.0,-0.49566203355789185,0.782451868057251,0
4,12,15,3,dispatch_decision_block,hierarchical_actor_theta_route_candidate_score_credit,-0.008157537318766117,0.24772842228412628,0.7324116230010986,-0.557397186756134,1.0,-0.4386918544769287,0.8075501918792725,0
5,15,18,3,dispatch_decision_block,hierarchical_actor_theta_route_candidate_score_credit,-0.0059252227656543255,0.4815177619457245,1.116416335105896,-1.0010329484939575,1.0,-0.4625014364719391,1.2700831890106201,0
6,18,21,3,dispatch_decision_block,hierarchical_actor_theta_route_candidate_score_credit,-0.0010296249529346824,0.4161560535430908,0.9627567529678345,-1.123481035232544,1.0,-0.14652001857757568,3.4217498302459717,0
7,21,24,3,dispatch_decision_block,hierarchical_actor_theta_route_candidate_score_credit,-0.005264371633529663,0.2014077603816986,0.7742834687232971,-0.4978131651878357,1.0,-0.5798932909965515,0.4820437431335449,0
8,24,27,3,dispatch_decision_block,hierarchical_actor_theta_route_candidate_score_credit,-0.010760175064206123,0.34621644020080566,0.9144158363342285,-0.999093770980835,1.0,-0.342143177986145,0.5090160965919495,0
9,27,30,3,dispatch_decision_block,hierarchical_actor_theta_route_candidate_score_credit,0.005675909575074911,0.47523728013038635,1.6283468008041382,-1.39723539352417,1.0,-0.19978784024715424,0.689507007598877,0
10,30,33,3,dispatch_decision_block,hierarchical_actor_theta_route_candidate_score_credit,-0.0064533306285738945,0.47626814246177673,1.656239628791809,-1.2654228210449219,1.0,-0.45816969871520996,0.5581116676330566,0
11,33,36,3,dispatch_decision_block,hierarchical_actor_theta_route_candidate_score_credit,0.0029093462508171797,0.21224980056285858,0.7386660575866699,-0.6237052083015442,1.0,-0.25860679149627686,0.6860777139663696,0
12,36,39,3,dispatch_decision_block,hierarchical_actor_theta_route_candidate_score_credit,-0.003566804574802518,0.3351277709007263,0.7272705435752869,-0.8976401090621948,1.0,-0.4336208999156952,0.769380509853363,0
13,39,42,3,dispatch_decision_block,hierarchical_actor_theta_route_candidate_score_credit,0.006253649014979601,0.35344982147216797,0.9577624797821045,-1.1231590509414673,1.0,-0.2603517472743988,0.6295471787452698,0
14,42,45,3,dispatch_decision_block,hierarchical_actor_theta_route_candidate_score_credit,-0.00449786800891161,0.3540498614311218,0.9362930655479431,-1.1138544082641602,1.0,-0.41095268726348877,0.7852652072906494,0
15,45,48,3,dispatch_decision_block,hierarchical_actor_theta_route_candidate_score_credit,-0.0003277851501479745,0.16476468741893768,0.43723222613334656,-0.5331499576568604,1.0,-0.4595147967338562,0.4392203092575073,0
16,48,51,3,dispatch_decision_block,hierarchical_actor_theta_route_candidate_score_credit,-0.013347449712455273,0.29104289412498474,0.9160839319229126,-0.8599082231521606,1.0,-0.5067529082298279,0.7867124676704407,0
17,51,54,3,dispatch_decision_block,hierarchical_actor_theta_route_candidate_score_credit,0.005956892855465412,0.4495677947998047,0.9963251948356628,-1.1409275531768799,1.0,-0.3989723324775696,0.6669905185699463,0
