block_index,block_start,block_stop_exclusive,block_size,block_semantic,block_weight_mean,block_weight_std,block_weight_max,block_weight_min,block_active_rate,epoch
0,0,3,3,dispatch_decision_block,0.0478149875998497,0.016601255163550377,0.08993358910083771,0.020377008244395256,0.6100000143051147,0
1,3,6,3,dispatch_decision_block,0.03368911147117615,0.019778918474912643,0.10503822565078735,0.005093078128993511,0.27000001072883606,0
2,6,9,3,dispatch_decision_block,0.03694237768650055,0.02077401615679264,0.1090344563126564,0.0029595899395644665,0.36000001430511475,0
3,9,12,3,dispatch_decision_block,0.047156259417533875,0.015566286630928516,0.10289005935192108,0.018491923809051514,0.6499999761581421,0
4,12,15,3,dispatch_decision_block,0.04513434320688248,0.017236417159438133,0.09447673708200455,0.0162821002304554,0.4399999976158142,0
5,15,18,3,dispatch_decision_block,0.03292123228311539,0.02261212095618248,0.10770267993211746,5.662378299575721e-08,0.28999999165534973,0
6,18,21,3,dispatch_decision_block,0.031234968453645706,0.020431313663721085,0.10083583742380142,5.662378299575721e-08,0.3199999928474426,0
7,21,24,3,dispatch_decision_block,0.049675650894641876,0.012805523350834846,0.09032361954450607,0.016904111951589584,0.7099999785423279,0
8,24,27,3,dispatch_decision_block,0.047985926270484924,0.01760038360953331,0.09250061959028244,0.02056565321981907,0.6100000143051147,0
9,27,30,3,dispatch_decision_block,0.03364663943648338,0.0212115366011858,0.1059333011507988,0.0005587679333984852,0.28999999165534973,0
10,30,33,3,dispatch_decision_block,0.03410091996192932,0.021786319091916084,0.10069148987531662,0.0011922224657610059,0.2800000011920929,0
11,33,36,3,dispatch_decision_block,0.043627019971609116,0.011121093295514584,0.07920101284980774,0.022261042147874832,0.5600000023841858,0
12,36,39,3,dispatch_decision_block,0.04997120052576065,0.01942629925906658,0.11590497195720673,0.021464984863996506,0.6100000143051147,0
13,39,42,3,dispatch_decision_block,0.032468900084495544,0.017102474346756935,0.07395458221435547,0.0011528697796165943,0.3100000023841858,0
14,42,45,3,dispatch_decision_block,0.036224376410245895,0.018894728273153305,0.0868411436676979,0.0035022636875510216,0.3700000047683716,0
15,45,48,3,dispatch_decision_block,0.053497541695833206,0.01566770300269127,0.09514947980642319,0.01387866958975792,0.75,0
16,48,51,3,dispatch_decision_block,0.04680706560611725,0.020146658644080162,0.09969770163297653,0.01905740797519684,0.5299999713897705,0
17,51,54,3,dispatch_decision_block,0.036692287772893906,0.02182132937014103,0.10313867032527924,0.004414921626448631,0.3499999940395355,0
18,54,57,3,dispatch_decision_block,0.03315865620970726,0.021789340302348137,0.09591859579086304,5.9535132379551214e-08,0.3400000035762787,0
19,57,60,3,dispatch_decision_block,0.04666951298713684,0.01495907548815012,0.09297854453325272,0.019892344251275063,0.6399999856948853,0
20,60,63,3,dispatch_decision_block,0.05139666423201561,0.021479565650224686,0.10046228766441345,0.01598118431866169,0.5600000023841858,0
21,63,66,3,dispatch_decision_block,0.03889362886548042,0.0234930831938982,0.10964588075876236,0.002663800260052085,0.36000001430511475,0
22,66,69,3,dispatch_decision_block,0.03895019367337227,0.02335350215435028,0.09704066812992096,0.0022369944490492344,0.38999998569488525,0
23,69,72,3,dispatch_decision_block,0.051340505480766296,0.014108553528785706,0.08679616451263428,0.02188016101717949,0.7200000286102295,0
0,0,3,3,dispatch_decision_block,0.04540605470538139,0.019361359998583794,0.09537684917449951,0.015714852139353752,0.5299999713897705,1
1,3,6,3,dispatch_decision_block,0.030836574733257294,0.019647745415568352,0.08851291984319687,7.195509965640667e-08,0.2800000011920929,1
2,6,9,3,dispatch_decision_block,0.03457010164856911,0.02047101780772209,0.09502138942480087,7.195509965640667e-08,0.3799999952316284,1
3,9,12,3,dispatch_decision_block,0.048025406897068024,0.01626523956656456,0.10821692645549774,0.017571821808815002,0.6000000238418579,1
4,12,15,3,dispatch_decision_block,0.05026634782552719,0.018414655700325966,0.11570720374584198,0.01949467696249485,0.7099999785423279,1
5,15,18,3,dispatch_decision_block,0.03886969015002251,0.022286495193839073,0.10505825281143188,7.195509965640667e-08,0.4099999964237213,1
6,18,21,3,dispatch_decision_block,0.03610866144299507,0.02371823415160179,0.09970148652791977,7.195509965640667e-08,0.3700000047683716,1
7,21,24,3,dispatch_decision_block,0.04624863713979721,0.014922255650162697,0.08093329519033432,0.014026552438735962,0.5699999928474426,1
8,24,27,3,dispatch_decision_block,0.055502310395240784,0.02209785208106041,0.12144523113965988,0.017988847568631172,0.6600000262260437,1
9,27,30,3,dispatch_decision_block,0.03749774768948555,0.025125904008746147,0.12384721636772156,9.642785153118894e-05,0.41999998688697815,1
10,30,33,3,dispatch_decision_block,0.037030428647994995,0.02471141330897808,0.11817051470279694,0.0003106262593064457,0.4099999964237213,1
11,33,36,3,dispatch_decision_block,0.04963569715619087,0.015773477032780647,0.09036385267972946,0.021099906414747238,0.6800000071525574,1
12,36,39,3,dispatch_decision_block,0.04287637770175934,0.01594367064535618,0.09135926514863968,0.016791097819805145,0.4300000071525574,1
13,39,42,3,dispatch_decision_block,0.02979852259159088,0.015784896910190582,0.08845294266939163,0.0008197295828722417,0.1899999976158142,1
14,42,45,3,dispatch_decision_block,0.03411570563912392,0.017350370064377785,0.09685993939638138,0.004246054217219353,0.3100000023841858,1
15,45,48,3,dispatch_decision_block,0.04590759426355362,0.01501191034913063,0.08778410404920578,0.019219279289245605,0.5600000023841858,1
16,48,51,3,dispatch_decision_block,0.04989807680249214,0.020641155540943146,0.11954497545957565,0.018443036824464798,0.5400000214576721,1
17,51,54,3,dispatch_decision_block,0.03934791684150696,0.02674858458340168,0.13186389207839966,0.0021725171245634556,0.41999998688697815,1
18,54,57,3,dispatch_decision_block,0.03677602857351303,0.027227889746427536,0.13186389207839966,0.001857929746620357,0.3499999940395355,1
19,57,60,3,dispatch_decision_block,0.04521504044532776,0.013577069155871868,0.08551684021949768,0.015061202459037304,0.550000011920929,1
20,60,63,3,dispatch_decision_block,0.05057715252041817,0.02204381674528122,0.10936184227466583,0.01777511090040207,0.5299999713897705,1
21,63,66,3,dispatch_decision_block,0.03331351652741432,0.022941285744309425,0.09969496726989746,0.00012748791777994484,0.3199999928474426,1
22,66,69,3,dispatch_decision_block,0.03368023410439491,0.022893764078617096,0.09347307682037354,0.00035385211231186986,0.3400000035762787,1
23,69,72,3,dispatch_decision_block,0.04849616438150406,0.017848024144768715,0.09759411960840225,0.01620720513164997,0.6200000047683716,1
0,0,3,3,dispatch_decision_block,0.044091202318668365,0.01778181828558445,0.08884247392416,0.016145920380949974,0.5199999809265137,2
1,3,6,3,dispatch_decision_block,0.03488526865839958,0.01929830014705658,0.08790513128042221,6.467632118756228e-08,0.36000001430511475,2
2,6,9,3,dispatch_decision_block,0.037392280995845795,0.020432449877262115,0.08945906907320023,6.467632118756228e-08,0.3799999952316284,2
3,9,12,3,dispatch_decision_block,0.04870407283306122,0.013750694692134857,0.08221936225891113,0.01643863134086132,0.6800000071525574,2
4,12,15,3,dispatch_decision_block,0.05166280269622803,0.016502225771546364,0.08467572182416916,0.021280821412801743,0.6399999856948853,2
5,15,18,3,dispatch_decision_block,0.03737811744213104,0.019817980006337166,0.10162007063627243,0.003104071132838726,0.3100000023841858,2
6,18,21,3,dispatch_decision_block,0.03307835012674332,0.020047912374138832,0.10162007063627243,0.002679901197552681,0.33000001311302185,2
7,21,24,3,dispatch_decision_block,0.04850786179304123,0.015667494386434555,0.0952613353729248,0.016656868159770966,0.6399999856948853,2
8,24,27,3,dispatch_decision_block,0.05276693031191826,0.018283965066075325,0.10071855783462524,0.022367240861058235,0.6399999856948853,2
9,27,30,3,dispatch_decision_block,0.037395358085632324,0.023459138348698616,0.12697352468967438,0.0007004248909652233,0.3799999952316284,2
10,30,33,3,dispatch_decision_block,0.03790629282593727,0.02376607246696949,0.11626828461885452,0.0008191045490093529,0.4000000059604645,2
11,33,36,3,dispatch_decision_block,0.04916996508836746,0.016989607363939285,0.10237057507038116,0.015428878366947174,0.5899999737739563,2
12,36,39,3,dispatch_decision_block,0.046742845326662064,0.018116658553481102,0.1002289429306984,0.017309527844190598,0.5199999809265137,2
13,39,42,3,dispatch_decision_block,0.030828101560473442,0.020348353311419487,0.10469701886177063,1.0772739187814295e-05,0.23999999463558197,2
14,42,45,3,dispatch_decision_block,0.035576753318309784,0.020998509600758553,0.11557076871395111,0.002234249608591199,0.3199999928474426,2
15,45,48,3,dispatch_decision_block,0.04812565818428993,0.017395198345184326,0.09611634165048599,0.01797683909535408,0.6000000238418579,2
16,48,51,3,dispatch_decision_block,0.04618292301893234,0.01812991499900818,0.09410712867975235,0.01788931153714657,0.5199999809265137,2
17,51,54,3,dispatch_decision_block,0.03307607024908066,0.021686477586627007,0.08631976693868637,6.467632118756228e-08,0.3499999940395355,2
18,54,57,3,dispatch_decision_block,0.0329098142683506,0.02169174514710903,0.08428745716810226,6.467632118756228e-08,0.33000001311302185,2
19,57,60,3,dispatch_decision_block,0.05103820189833641,0.015638459473848343,0.08939015865325928,0.010922244749963284,0.7200000286102295,2
20,60,63,3,dispatch_decision_block,0.04761835187673569,0.018870124593377113,0.10627464950084686,0.019039928913116455,0.5299999713897705,2
21,63,66,3,dispatch_decision_block,0.03333732485771179,0.021862097084522247,0.10354547947645187,0.0008521584095433354,0.27000001072883606,2
22,66,69,3,dispatch_decision_block,0.032784603536129,0.022187422960996628,0.0954689234495163,0.000371371628716588,0.28999999165534973,2
23,69,72,3,dispatch_decision_block,0.04884085804224014,0.01629384234547615,0.11108437180519104,0.017212919890880585,0.6399999856948853,2
0,0,3,3,dispatch_decision_block,0.04867659881711006,0.016802053898572922,0.10284192115068436,0.01774919219315052,0.6399999856948853,3
1,3,6,3,dispatch_decision_block,0.03236565738916397,0.018993806093931198,0.09004320949316025,0.00022894125140737742,0.30000001192092896,3
2,6,9,3,dispatch_decision_block,0.038343921303749084,0.019536230713129044,0.08958680927753448,0.005001790821552277,0.36000001430511475,3
3,9,12,3,dispatch_decision_block,0.04319993034005165,0.011241761036217213,0.0702785849571228,0.017545362934470177,0.5699999928474426,3
4,12,15,3,dispatch_decision_block,0.0435917042195797,0.017312481999397278,0.0976545661687851,0.018176285549998283,0.46000000834465027,3
5,15,18,3,dispatch_decision_block,0.03270057216286659,0.022363826632499695,0.09381435811519623,1.037614154597577e-07,0.28999999165534973,3
6,18,21,3,dispatch_decision_block,0.03198810666799545,0.022122124210000038,0.08814073354005814,1.037614154597577e-07,0.3199999928474426,3
7,21,24,3,dispatch_decision_block,0.048627614974975586,0.016417691484093666,0.09702855348587036,0.012663380242884159,0.6299999952316284,3
8,24,27,3,dispatch_decision_block,0.059661008417606354,0.019932296127080917,0.11040627956390381,0.021246908232569695,0.8100000023841858,3
9,27,30,3,dispatch_decision_block,0.04241984337568283,0.024241210892796516,0.11718116700649261,6.814944697453029e-08,0.41999998688697815,3
10,30,33,3,dispatch_decision_block,0.04225907474756241,0.02453969046473503,0.1169678270816803,1.2935660379298497e-05,0.4300000071525574,3
11,33,36,3,dispatch_decision_block,0.0488695353269577,0.01525580883026123,0.09123466163873672,0.021472670137882233,0.6600000262260437,3
12,36,39,3,dispatch_decision_block,0.04677160084247589,0.018357018008828163,0.10376150906085968,0.020342912524938583,0.5899999737739563,3
13,39,42,3,dispatch_decision_block,0.03383512422442436,0.019480522722005844,0.08093659579753876,0.0003203071537427604,0.33000001311302185,3
14,42,45,3,dispatch_decision_block,0.03962237760424614,0.019684752449393272,0.08741442114114761,0.003890416119247675,0.44999998807907104,3
