block_index,block_start,block_stop_exclusive,block_size,block_semantic,block_weight_mean,block_weight_std,block_weight_max,block_weight_min,block_adv_scale_mean,block_adv_scale_std,block_adv_scale_max,block_adv_scale_min,block_value_score_mean,block_value_score_std,block_value_score_max,block_value_score_min,block_value_scale_mean,block_value_scale_std,block_value_scale_max,block_value_scale_min,block_value_pred_mean,block_value_pred_std,block_value_pred_max,block_value_pred_min,block_td_target_mean,block_td_target_std,block_td_target_max,block_td_target_min,block_td_advantage_mean,block_td_advantage_std,block_td_advantage_max,block_td_advantage_min,block_advantage_mean,block_advantage_std,block_advantage_max,block_advantage_min,block_active_rate,block_clip_fraction,block_positive_adv_clip_fraction,block_negative_adv_clip_fraction,block_ratio_mean,block_ratio_std,block_ratio_max,block_surrogate_mean,block_surrogate_std,per_block_selected_action_prob_gain_mean,per_block_selected_action_prob_gain_std,epoch
0,0,3,3,dispatch_decision_block,0.0478149875998497,0.016601255163550377,0.08993358910083771,0.020377008244395256,1.0,0.0,1.0,1.0,0.2085123509168625,0.09754730761051178,0.5157497525215149,-0.06074385344982147,1.0,0.0,1.0,1.0,0.2085123509168625,0.09754730761051178,0.5157497525215149,-0.06074385344982147,0.20914432406425476,0.2924601137638092,1.0017478466033936,-0.534700334072113,0.0006319713429547846,0.31049686670303345,0.9436637759208679,-0.9111630916595459,0.0006319713429547846,0.31049686670303345,0.9436637759208679,-0.9111630916595459,0.3499999940395355,0.0,0.0,0.0,0.9988522529602051,0.052549321204423904,1.1762609481811523,-0.01589893363416195,0.5727652907371521,-0.0011477327207103372,0.052549321204423904,0
1,3,6,3,dispatch_decision_block,0.03368911147117615,0.019778918474912643,0.10503822565078735,0.005093078128993511,1.0,0.0,1.0,1.0,-0.23997822403907776,0.1373775154352188,0.2575043737888336,-0.5124973654747009,1.0,0.0,1.0,1.0,-0.23997822403907776,0.1373775154352188,0.2575043737888336,-0.5124973654747009,-0.2314310520887375,0.4608011245727539,1.2451558113098145,-1.2243297100067139,0.008547160774469376,0.4267589747905731,1.3813132047653198,-1.0300731658935547,0.008547160774469376,0.4267589747905731,1.3813132047653198,-1.0300731658935547,0.44999998807907104,0.0,0.0,0.0,0.9997953772544861,0.0638798177242279,1.2145801782608032,-0.04606322944164276,0.7523255944252014,-0.00020462334214244038,0.0638798177242279,0
2,6,9,3,dispatch_decision_block,0.03694237768650055,0.02077401615679264,0.1090344563126564,0.0029595899395644665,1.0,0.0,1.0,1.0,-0.3285362124443054,0.13966161012649536,0.4826969802379608,-0.5667087435722351,1.0,0.0,1.0,1.0,-0.3285362124443054,0.13966161012649536,0.4826969802379608,-0.5667087435722351,-0.3195517659187317,0.46517592668533325,1.1008557081222534,-1.4661338329315186,0.008984515443444252,0.41673344373703003,1.3888951539993286,-1.0671825408935547,0.008984515443444252,0.41673344373703003,1.3888951539993286,-1.0671825408935547,0.49000000953674316,0.0,0.0,0.0,0.9721267819404602,0.14106959104537964,1.367285132408142,0.010672531090676785,0.570780336856842,-0.027873249724507332,0.14106959104537964,0
3,9,12,3,dispatch_decision_block,0.047156259417533875,0.015566286630928516,0.10289005935192108,0.018491923809051514,1.0,0.0,1.0,1.0,-0.0952618345618248,0.10541758686304092,0.17399710416793823,-0.3914453089237213,1.0,0.0,1.0,1.0,-0.0952618345618248,0.10541758686304092,0.17399710416793823,-0.3914453089237213,-0.09567821770906448,0.25497210025787354,0.7542095184326172,-0.7171280384063721,-0.00041637898539192975,0.25818392634391785,0.811078667640686,-0.5653901100158691,-0.00041637898539192975,0.25818392634391785,0.811078667640686,-0.5653901100158691,0.25999999046325684,0.0,0.0,0.0,0.9940452575683594,0.03724054992198944,1.0595507621765137,0.023414844647049904,0.7927950620651245,-0.005954754538834095,0.03724054992198944,0
4,12,15,3,dispatch_decision_block,0.04513434320688248,0.017236417159438133,0.09447673708200455,0.0162821002304554,1.0,0.0,1.0,1.0,0.0794333964586258,0.09089239686727524,0.25934451818466187,-0.1503591537475586,1.0,0.0,1.0,1.0,0.0794333964586258,0.09089239686727524,0.25934451818466187,-0.1503591537475586,0.07127585262060165,0.26118940114974976,0.8744269609451294,-0.5252811908721924,-0.008157537318766117,0.24772842228412628,0.7324116230010986,-0.557397186756134,-0.008157537318766117,0.24772842228412628,0.7324116230010986,-0.557397186756134,0.23999999463558197,0.0,0.0,0.0,0.99739670753479,0.04307032749056816,1.1679240465164185,-0.004067611880600452,0.5031673312187195,-0.0026033895555883646,0.04307032749056816,0
5,15,18,3,dispatch_decision_block,0.03292123228311539,0.02261212095618248,0.10770267993211746,5.662378299575721e-08,1.0,0.0,1.0,1.0,-0.015947695821523666,0.12048067152500153,0.21468216180801392,-0.28968873620033264,1.0,0.0,1.0,1.0,-0.015947695821523666,0.12048067152500153,0.21468216180801392,-0.28968873620033264,-0.021872911602258682,0.4939820170402527,1.0814387798309326,-1.0496275424957275,-0.0059252227656543255,0.4815177619457245,1.116416335105896,-1.0010329484939575,-0.0059252227656543255,0.4815177619457245,1.116416335105896,-1.0010329484939575,0.5,0.0,0.0,0.0,0.9943722486495972,0.12615562975406647,1.428674578666687,-0.008876809850335121,0.7287235260009766,-0.005627811420708895,0.12615562975406647,0
6,18,21,3,dispatch_decision_block,0.031234968453645706,0.020431313663721085,0.10083583742380142,5.662378299575721e-08,1.0,0.0,1.0,1.0,-0.1987888216972351,0.1264261156320572,0.23777838051319122,-0.4640785753726959,1.0,0.0,1.0,1.0,-0.1987888216972351,0.1264261156320572,0.23777838051319122,-0.4640785753726959,-0.1998184323310852,0.4356442987918854,0.9885622262954712,-1.152778148651123,-0.0010296249529346824,0.4161560535430908,0.9627567529678345,-1.123481035232544,-0.0010296249529346824,0.4161560535430908,0.9627567529678345,-1.123481035232544,0.5199999809265137,0.0,0.0,0.0,0.9810076951980591,0.1491505205631256,1.55272376537323,0.02550874650478363,0.6127457022666931,-0.0189923495054245,0.1491505205631256,0
7,21,24,3,dispatch_decision_block,0.049675650894641876,0.012805523350834846,0.09032361954450607,0.016904111951589584,1.0,0.0,1.0,1.0,0.07185720652341843,0.12298624217510223,0.42601826786994934,-0.26481086015701294,1.0,0.0,1.0,1.0,0.07185720652341843,0.12298624217510223,0.42601826786994934,-0.26481086015701294,0.06659283488988876,0.21035730838775635,0.8765931129455566,-0.5526179671287537,-0.005264371633529663,0.2014077603816986,0.7742834687232971,-0.4978131651878357,-0.005264371633529663,0.2014077603816986,0.7742834687232971,-0.4978131651878357,0.20000000298023224,0.0,0.0,0.0,0.9929807782173157,0.035734232515096664,1.1234991550445557,-0.006646773777902126,0.8546675443649292,-0.007019133772701025,0.035734232515096664,0
8,24,27,3,dispatch_decision_block,0.047985926270484924,0.01760038360953331,0.09250061959028244,0.02056565321981907,1.0,0.0,1.0,1.0,0.3987105190753937,0.20699088275432587,0.8120837211608887,-0.055503129959106445,1.0,0.0,1.0,1.0,0.3987105190753937,0.20699088275432587,0.8120837211608887,-0.055503129959106445,0.3879503309726715,0.4264025390148163,1.4511699676513672,-0.9934318661689758,-0.010760175064206123,0.34621644020080566,0.9144158363342285,-0.999093770980835,-0.010760175064206123,0.34621644020080566,0.9144158363342285,-0.999093770980835,0.36000001430511475,0.0,0.0,0.0,0.9929109215736389,0.045047298073768616,1.1321933269500732,0.03089338354766369,0.7750352621078491,-0.007089069578796625,0.045047298073768616,0
9,27,30,3,dispatch_decision_block,0.03364663943648338,0.0212115366011858,0.1059333011507988,0.0005587679333984852,1.0,0.0,1.0,1.0,0.009124095551669598,0.10304197669029236,0.3562610149383545,-0.26142388582229614,1.0,0.0,1.0,1.0,0.009124095551669598,0.10304197669029236,0.3562610149383545,-0.26142388582229614,0.014800002798438072,0.479888379573822,1.509446144104004,-1.404127597808838,0.005675909575074911,0.47523728013038635,1.6283468008041382,-1.39723539352417,0.005675909575074911,0.47523728013038635,1.6283468008041382,-1.39723539352417,0.550000011920929,0.0,0.0,0.0,1.0000972747802734,0.03503101319074631,1.1361820697784424,0.0019985116086900234,0.4992886185646057,9.72497437032871e-05,0.03503101319074631,0
